iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 17:52:53,0.0,0.4014,90.0,0.0045,0.0
1,23040,train,2026-07-05 17:53:22,0.0,0.363,90.0,0.004,0.0
2,46080,train,2026-07-05 17:54:10,0.0,0.4437,90.0,0.0049,0.0
3,69120,train,2026-07-05 17:54:58,0.0,0.622,90.0,0.0069,0.0
4,92160,train,2026-07-05 17:55:46,0.0,0.7621,90.0,0.0085,0.0
5,115200,train,2026-07-05 17:56:35,0.0,0.8694,90.0,0.0097,0.0
6,138240,train,2026-07-05 17:57:23,0.0,0.8652,90.0,0.0096,0.0
7,161280,train,2026-07-05 17:58:12,0.0,0.9725,90.0,0.0108,0.0
8,184320,train,2026-07-05 17:59:01,0.0,1.0495,90.0,0.0117,0.0
9,207360,train,2026-07-05 17:59:50,0.0,1.0114,90.0,0.0112,0.0
10,230400,train,2026-07-05 18:00:38,0.0,1.1122,90.0,0.0124,0.0
11,253440,train,2026-07-05 18:01:27,0.0,1.1029,90.0,0.0123,0.0
12,276480,train,2026-07-05 18:02:15,0.0,1.0573,90.0,0.0117,0.0
13,299520,train,2026-07-05 18:03:04,0.0,1.1502,90.0,0.0128,0.0
14,322560,train,2026-07-05 18:03:52,0.0,1.2124,90.0,0.0135,0.0
15,345600,train,2026-07-05 18:04:41,0.0039,1.325,90.0,0.0147,0.0
16,368640,train,2026-07-05 18:05:30,0.0,1.4699,90.0,0.0163,0.0
17,368640,eval,2026-07-05 18:06:48,0.0312,2.1282,90.0,0.0236,0.0
17,391680,train,2026-07-05 18:07:18,0.0,1.4882,90.0,0.0165,0.0
18,414720,train,2026-07-05 18:08:07,0.0,1.7901,90.0,0.0199,0.0
19,437760,train,2026-07-05 18:08:55,0.0039,1.6071,90.0,0.0179,0.0
20,460800,train,2026-07-05 18:09:44,0.0,1.9084,90.0,0.0212,0.0
21,483840,train,2026-07-05 18:10:33,0.0,2.1252,90.0,0.0236,0.0
22,506880,train,2026-07-05 18:11:22,0.0,2.1836,90.0,0.0243,0.0
23,529920,train,2026-07-05 18:12:11,0.0,1.9788,90.0,0.022,0.0
24,552960,train,2026-07-05 18:13:00,0.0039,2.3232,90.0,0.0258,0.0
25,576000,train,2026-07-05 18:13:49,0.0,2.4603,90.0,0.0273,0.0
26,599040,train,2026-07-05 18:14:38,0.0,2.5108,90.0,0.0279,0.0
27,622080,train,2026-07-05 18:15:27,0.0,2.8799,90.0,0.032,0.0
28,645120,train,2026-07-05 18:16:15,0.0039,2.6321,90.0,0.0292,0.0
29,668160,train,2026-07-05 18:17:04,0.0,2.8123,90.0,0.0312,0.0
30,691200,train,2026-07-05 18:17:53,0.0,2.521,90.0,0.028,0.0
31,714240,train,2026-07-05 18:18:42,0.0039,3.4341,90.0,0.0382,0.0
32,737280,train,2026-07-05 18:19:31,0.0039,3.3982,90.0,0.0378,0.0
33,737280,eval,2026-07-05 18:20:52,0.1146,12.4863,90.0,0.1387,0.0104
33,760320,train,2026-07-05 18:21:22,0.0039,3.8191,90.0,0.0424,0.0039
34,783360,train,2026-07-05 18:22:11,0.0039,3.6499,90.0,0.0406,0.0
35,806400,train,2026-07-05 18:23:00,0.0,3.0551,90.0,0.0339,0.0
36,829440,train,2026-07-05 18:23:50,0.0,3.8537,90.0,0.0428,0.0
37,852480,train,2026-07-05 18:24:39,0.0078,4.0486,90.0,0.045,0.0
38,875520,train,2026-07-05 18:25:28,0.0,4.1062,90.0,0.0456,0.0
39,898560,train,2026-07-05 18:26:17,0.0,4.0982,90.0,0.0455,0.0
40,921600,train,2026-07-05 18:27:07,0.0078,4.629,90.0,0.0514,0.0
41,944640,train,2026-07-05 18:27:56,0.0078,4.916,90.0,0.0546,0.0
42,967680,train,2026-07-05 18:28:45,0.0,4.5734,90.0,0.0508,0.0
43,990720,train,2026-07-05 18:29:34,0.0117,4.985,90.0,0.0554,0.0039
44,1013760,train,2026-07-05 18:30:23,0.0,5.0934,90.0,0.0566,0.0
45,1036800,train,2026-07-05 18:31:12,0.0078,5.4574,90.0,0.0606,0.0
46,1059840,train,2026-07-05 18:32:01,0.0078,5.5599,90.0,0.0618,0.0
47,1082880,train,2026-07-05 18:32:51,0.0117,5.8274,90.0,0.0647,0.0
48,1105920,train,2026-07-05 18:33:40,0.0039,6.0916,90.0,0.0677,0.0
