iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 22:29:55,0.0,0.4018,90.0,0.0045,0.0
1,23040,train,2026-07-05 22:30:25,0.0,0.433,90.0,0.0048,0.0
2,46080,train,2026-07-05 22:31:14,0.0,0.478,90.0,0.0053,0.0
3,69120,train,2026-07-05 22:32:04,0.0,0.5816,90.0,0.0065,0.0
4,92160,train,2026-07-05 22:32:54,0.0,0.6461,90.0,0.0072,0.0
5,115200,train,2026-07-05 22:33:44,0.0,0.7669,90.0,0.0085,0.0
6,138240,train,2026-07-05 22:34:34,0.0,0.8291,90.0,0.0092,0.0
7,161280,train,2026-07-05 22:35:24,0.0,0.905,90.0,0.0101,0.0
8,184320,train,2026-07-05 22:36:14,0.0,1.0007,90.0,0.0111,0.0
9,207360,train,2026-07-05 22:37:04,0.0,1.0114,90.0,0.0112,0.0
10,230400,train,2026-07-05 22:37:54,0.0,1.0658,90.0,0.0118,0.0
11,253440,train,2026-07-05 22:38:44,0.0,1.1855,90.0,0.0132,0.0
12,276480,train,2026-07-05 22:39:34,0.0,1.1681,90.0,0.013,0.0
13,299520,train,2026-07-05 22:40:24,0.0,1.2319,90.0,0.0137,0.0
14,322560,train,2026-07-05 22:41:14,0.0,1.2206,90.0,0.0136,0.0
15,345600,train,2026-07-05 22:42:04,0.0,1.222,90.0,0.0136,0.0
16,368640,train,2026-07-05 22:42:54,0.0,1.4131,90.0,0.0157,0.0
17,368640,eval,2026-07-05 22:44:13,0.0729,4.0872,90.0,0.0454,0.0417
17,391680,train,2026-07-05 22:44:43,0.0,1.3398,90.0,0.0149,0.0
18,414720,train,2026-07-05 22:45:33,0.0,1.5355,90.0,0.0171,0.0
19,437760,train,2026-07-05 22:46:23,0.0,1.5079,90.0,0.0168,0.0
20,460800,train,2026-07-05 22:47:14,0.0,1.8744,90.0,0.0208,0.0
21,483840,train,2026-07-05 22:48:04,0.0,1.9089,90.0,0.0212,0.0
22,506880,train,2026-07-05 22:48:54,0.0,1.9657,90.0,0.0218,0.0
23,529920,train,2026-07-05 22:49:44,0.0,2.0848,90.0,0.0232,0.0
24,552960,train,2026-07-05 22:50:34,0.0,1.9279,90.0,0.0214,0.0
25,576000,train,2026-07-05 22:51:25,0.0,2.1663,90.0,0.0241,0.0
26,599040,train,2026-07-05 22:52:15,0.0,2.256,90.0,0.0251,0.0
27,622080,train,2026-07-05 22:53:05,0.0039,2.3821,90.0,0.0265,0.0
28,645120,train,2026-07-05 22:53:55,0.0,2.8216,90.0,0.0314,0.0
29,668160,train,2026-07-05 22:54:45,0.0,3.0606,90.0,0.034,0.0
30,691200,train,2026-07-05 22:55:35,0.0,3.0841,90.0,0.0343,0.0
31,714240,train,2026-07-05 22:56:25,0.0,3.2089,90.0,0.0357,0.0
32,737280,train,2026-07-05 22:57:15,0.0,3.2094,90.0,0.0357,0.0
33,737280,eval,2026-07-05 22:58:35,0.3854,27.012,90.0,0.3001,0.0938
33,760320,train,2026-07-05 22:59:05,0.0039,3.212,90.0,0.0357,0.0
34,783360,train,2026-07-05 22:59:55,0.0,3.4038,90.0,0.0378,0.0
35,806400,train,2026-07-05 23:00:45,0.0078,4.2235,90.0,0.0469,0.0
36,829440,train,2026-07-05 23:01:35,0.0,4.1717,90.0,0.0464,0.0
37,852480,train,2026-07-05 23:02:26,0.0,4.081,90.0,0.0453,0.0
38,875520,train,2026-07-05 23:03:16,0.0,4.0698,90.0,0.0452,0.0
39,898560,train,2026-07-05 23:04:06,0.0039,4.3212,90.0,0.048,0.0
40,921600,train,2026-07-05 23:04:56,0.0,4.3617,90.0,0.0485,0.0
41,944640,train,2026-07-05 23:05:46,0.0,4.549,90.0,0.0505,0.0
42,967680,train,2026-07-05 23:06:37,0.0,4.4295,90.0,0.0492,0.0
43,990720,train,2026-07-05 23:07:27,0.0,4.5048,90.0,0.0501,0.0
44,1013760,train,2026-07-05 23:08:17,0.0039,4.99,90.0,0.0554,0.0
45,1036800,train,2026-07-05 23:09:08,0.0,4.8935,90.0,0.0544,0.0
46,1059840,train,2026-07-05 23:09:58,0.0,4.9176,90.0,0.0546,0.0
47,1082880,train,2026-07-05 23:10:48,0.0,5.2475,90.0,0.0583,0.0
48,1105920,train,2026-07-05 23:11:38,0.0,4.9698,90.0,0.0552,0.0
49,1105920,eval,2026-07-05 23:12:43,0.9167,29.115,90.0,0.3235,0.375
49,1128960,train,2026-07-05 23:13:14,0.0,6.6599,90.0,0.074,0.0
50,1152000,train,2026-07-05 23:14:04,0.0,5.7797,90.0,0.0642,0.0
51,1175040,train,2026-07-05 23:14:54,0.0039,6.1836,90.0,0.0687,0.0
52,1198080,train,2026-07-05 23:15:33,0.0039,7.008,90.0,0.0779,0.0
53,1221120,train,2026-07-05 23:16:19,0.0,6.0527,90.0,0.0673,0.0
54,1244160,train,2026-07-05 23:16:57,0.0,6.9303,90.0,0.077,0.0
55,1267200,train,2026-07-05 23:17:29,0.0,5.4249,90.0,0.0603,0.0
56,1290240,train,2026-07-05 23:18:19,0.0078,5.7671,90.0,0.0641,0.0
57,1313280,train,2026-07-05 23:19:10,0.0,5.6034,90.0,0.0623,0.0
58,1336320,train,2026-07-05 23:20:00,0.0156,6.9222,90.0,0.0769,0.0
59,1359360,train,2026-07-05 23:20:51,0.0156,7.4915,90.0,0.0832,0.0
60,1382400,train,2026-07-05 23:21:30,0.0,6.6227,90.0,0.0736,0.0
61,1405440,train,2026-07-05 23:22:20,0.0039,7.6039,90.0,0.0845,0.0
62,1428480,train,2026-07-05 23:22:56,0.0078,6.944,90.0,0.0772,0.0
63,1451520,train,2026-07-05 23:23:43,0.0117,8.6963,90.0,0.0966,0.0
64,1474560,train,2026-07-05 23:24:33,0.0273,8.4427,90.0,0.0938,0.0
65,1474560,eval,2026-07-05 23:25:54,0.75,32.8188,90.0,0.3647,0.4792
65,1497600,train,2026-07-05 23:26:25,0.0039,8.2697,90.0,0.0919,0.0
66,1520640,train,2026-07-05 23:27:03,0.0234,10.1913,90.0,0.1132,0.0
67,1543680,train,2026-07-05 23:27:40,0.0078,10.0218,90.0,0.1114,0.0
68,1566720,train,2026-07-05 23:28:31,0.0156,10.795,90.0,0.1199,0.0
69,1589760,train,2026-07-05 23:29:05,0.0195,10.3534,90.0,0.115,0.0
70,1612800,train,2026-07-05 23:29:40,0.0234,11.4914,90.0,0.1277,0.0
71,1635840,train,2026-07-05 23:30:26,0.0156,10.829,90.0,0.1203,0.0
72,1658880,train,2026-07-05 23:31:15,0.0273,10.2535,90.0,0.1139,0.0
73,1681920,train,2026-07-05 23:32:05,0.0195,11.8235,90.0,0.1314,0.0
74,1704960,train,2026-07-05 23:32:42,0.0039,10.1538,90.0,0.1128,0.0
75,1728000,train,2026-07-05 23:33:33,0.0391,10.4277,90.0,0.1159,0.0039
76,1751040,train,2026-07-05 23:34:19,0.0156,10.7644,90.0,0.1196,0.0
77,1774080,train,2026-07-05 23:35:06,0.0117,12.7391,90.0,0.1415,0.0
