iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-03 01:12:54,0.0,0.398,90.0,0.0044,0.0
1,23040,train,2026-07-03 01:13:53,0.0,0.4313,90.0,0.0048,0.0
2,46080,train,2026-07-03 01:14:53,0.0,0.4483,90.0,0.005,0.0
3,69120,train,2026-07-03 01:15:53,0.0,0.527,90.0,0.0059,0.0
4,92160,train,2026-07-03 01:16:53,0.0,0.5937,90.0,0.0066,0.0
5,115200,train,2026-07-03 01:17:54,0.0,0.67,90.0,0.0074,0.0
6,138240,train,2026-07-03 01:18:54,0.0,0.8384,90.0,0.0093,0.0
7,161280,train,2026-07-03 01:19:55,0.0,0.8981,90.0,0.01,0.0
8,184320,train,2026-07-03 01:20:55,0.0,0.8049,90.0,0.0089,0.0
9,207360,train,2026-07-03 01:21:56,0.0,0.927,90.0,0.0103,0.0
10,230400,train,2026-07-03 01:22:56,0.0,0.9879,90.0,0.011,0.0
11,253440,train,2026-07-03 01:23:57,0.0,1.1073,90.0,0.0123,0.0
12,276480,train,2026-07-03 01:24:57,0.0,1.0936,90.0,0.0122,0.0
13,299520,train,2026-07-03 01:25:58,0.0,1.189,90.0,0.0132,0.0
14,322560,train,2026-07-03 01:26:59,0.0,1.2992,90.0,0.0144,0.0
15,345600,train,2026-07-03 01:27:59,0.0,1.3027,90.0,0.0145,0.0
16,368640,train,2026-07-03 01:29:00,0.0,1.3695,90.0,0.0152,0.0
17,368640,eval,2026-07-03 01:30:14,0.0312,1.8886,90.0,0.021,0.0104
17,391680,train,2026-07-03 01:31:14,0.0,1.3916,90.0,0.0155,0.0
18,414720,train,2026-07-03 01:32:15,0.0,1.3244,90.0,0.0147,0.0
19,437760,train,2026-07-03 01:33:15,0.0,1.4346,90.0,0.0159,0.0
20,460800,train,2026-07-03 01:34:16,0.0,1.7336,90.0,0.0193,0.0
21,483840,train,2026-07-03 01:35:16,0.0,1.6624,90.0,0.0185,0.0
22,506880,train,2026-07-03 01:36:17,0.0,1.5302,90.0,0.017,0.0
23,529920,train,2026-07-03 01:37:18,0.0,1.5969,90.0,0.0177,0.0
24,552960,train,2026-07-03 01:38:18,0.0,1.6571,90.0,0.0184,0.0
25,576000,train,2026-07-03 01:39:19,0.0,1.8588,90.0,0.0207,0.0
26,599040,train,2026-07-03 01:40:20,0.0,2.1561,90.0,0.024,0.0
27,622080,train,2026-07-03 01:41:20,0.0,1.9702,90.0,0.0219,0.0
28,645120,train,2026-07-03 01:42:21,0.0,2.101,90.0,0.0233,0.0
29,668160,train,2026-07-03 01:43:22,0.0,1.8855,90.0,0.0209,0.0
