iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 10:29:17,0.0,1.0547,90.0,0.0117,0.0
1,23040,train,2026-07-02 10:29:46,0.0,1.021,90.0,0.0113,0.0
2,46080,train,2026-07-02 10:30:33,0.0,1.1271,90.0,0.0125,0.0
3,69120,train,2026-07-02 10:31:20,0.0,1.2815,90.0,0.0142,0.0
4,92160,train,2026-07-02 10:32:07,0.0,1.4222,90.0,0.0158,0.0
5,115200,train,2026-07-02 10:32:54,0.0,1.3899,90.0,0.0154,0.0
6,138240,train,2026-07-02 10:33:41,0.0,1.4692,90.0,0.0163,0.0
7,161280,train,2026-07-02 10:34:28,0.0,1.3958,90.0,0.0155,0.0
8,184320,train,2026-07-02 10:35:15,0.0,1.325,90.0,0.0147,0.0
9,207360,train,2026-07-02 10:36:02,0.0,1.2885,90.0,0.0143,0.0
10,230400,train,2026-07-02 10:36:50,0.0,1.3186,90.0,0.0147,0.0
11,253440,train,2026-07-02 10:37:37,0.0,1.2417,90.0,0.0138,0.0
12,276480,train,2026-07-02 10:38:24,0.0,1.2417,90.0,0.0138,0.0
13,299520,train,2026-07-02 10:39:11,0.0,1.2846,90.0,0.0143,0.0
14,322560,train,2026-07-02 10:39:58,0.0,1.2079,90.0,0.0134,0.0
15,345600,train,2026-07-02 10:40:45,0.0,1.4118,90.0,0.0157,0.0
16,368640,train,2026-07-02 10:41:32,0.0,1.4731,90.0,0.0164,0.0
17,368640,eval,2026-07-02 10:42:45,0.0,1.8973,90.0,0.0211,0.0
17,391680,train,2026-07-02 10:43:14,0.0,1.5243,90.0,0.0169,0.0
18,414720,train,2026-07-02 10:44:01,0.0,1.7719,90.0,0.0197,0.0
19,437760,train,2026-07-02 10:44:48,0.0,2.1541,90.0,0.0239,0.0
20,460800,train,2026-07-02 10:45:36,0.0156,2.5486,90.0,0.0283,0.0
21,483840,train,2026-07-02 10:46:24,0.0156,2.6288,90.0,0.0292,0.0
22,506880,train,2026-07-02 10:47:11,0.0078,2.7166,90.0,0.0302,0.0
23,529920,train,2026-07-02 10:47:59,0.0273,2.7884,90.0,0.031,0.0
24,552960,train,2026-07-02 10:48:47,0.043,3.5346,90.0,0.0393,0.0078
25,576000,train,2026-07-02 10:49:35,0.0352,3.432,90.0,0.0381,0.0
26,599040,train,2026-07-02 10:50:22,0.0547,3.6311,90.0,0.0403,0.0039
