iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 16:33:23,0.0,1.0443,90.0,0.0116,0.0
1,23040,train,2026-07-02 16:33:53,0.0,1.0155,90.0,0.0113,0.0
2,46080,train,2026-07-02 16:34:44,0.0,1.244,90.0,0.0138,0.0
3,69120,train,2026-07-02 16:35:32,0.0,1.3358,90.0,0.0148,0.0
4,92160,train,2026-07-02 16:36:21,0.0,1.4105,90.0,0.0157,0.0
5,115200,train,2026-07-02 16:37:10,0.0,1.4346,90.0,0.0159,0.0
6,138240,train,2026-07-02 16:37:58,0.0,1.5146,90.0,0.0168,0.0
7,161280,train,2026-07-02 16:38:47,0.0,1.5932,90.0,0.0177,0.0
8,184320,train,2026-07-02 16:39:36,0.0,1.6357,90.0,0.0182,0.0
9,207360,train,2026-07-02 16:40:25,0.0,1.6908,90.0,0.0188,0.0
10,230400,train,2026-07-02 16:41:14,0.0,1.7849,90.0,0.0198,0.0
11,253440,train,2026-07-02 16:42:02,0.0,1.7637,90.0,0.0196,0.0
12,276480,train,2026-07-02 16:42:51,0.0,1.832,90.0,0.0204,0.0
13,299520,train,2026-07-02 16:43:40,0.0,1.9748,90.0,0.0219,0.0
14,322560,train,2026-07-02 16:44:29,0.0,2.0535,90.0,0.0228,0.0
15,345600,train,2026-07-02 16:45:18,0.0,2.1091,90.0,0.0234,0.0
16,368640,train,2026-07-02 16:46:07,0.0,2.1518,90.0,0.0239,0.0
17,368640,eval,2026-07-02 16:47:22,0.0,2.4651,90.0,0.0274,0.0
17,391680,train,2026-07-02 16:47:52,0.0,2.2109,90.0,0.0246,0.0
18,414720,train,2026-07-02 16:48:40,0.0,2.2933,90.0,0.0255,0.0
19,437760,train,2026-07-02 16:49:29,0.0039,2.5747,90.0,0.0286,0.0
20,460800,train,2026-07-02 16:50:19,0.0039,2.5675,90.0,0.0285,0.0
21,483840,train,2026-07-02 16:51:08,0.0,2.6486,90.0,0.0294,0.0
22,506880,train,2026-07-02 16:51:57,0.0156,2.9184,90.0,0.0324,0.0
23,529920,train,2026-07-02 16:52:46,0.0117,2.9183,90.0,0.0324,0.0
24,552960,train,2026-07-02 16:53:35,0.0156,2.9526,90.0,0.0328,0.0
25,576000,train,2026-07-02 16:54:25,0.0352,3.4762,90.0,0.0386,0.0
26,599040,train,2026-07-02 16:54:56,0.0547,4.0038,90.0,0.0445,0.0078
27,622080,train,2026-07-02 16:55:46,0.0586,4.0923,90.0,0.0455,0.0039
28,645120,train,2026-07-02 16:56:24,0.0859,4.1434,90.0,0.046,0.0039
29,668160,train,2026-07-02 16:57:14,0.0898,4.0474,90.0,0.045,0.0
30,691200,train,2026-07-02 16:58:03,0.082,4.112,90.0,0.0457,0.0
31,714240,train,2026-07-02 16:58:53,0.1562,4.79,90.0,0.0532,0.0039
32,737280,train,2026-07-02 16:59:42,0.1328,5.2466,90.0,0.0583,0.0
33,737280,eval,2026-07-02 17:00:59,0.2917,9.3577,90.0,0.104,0.1146
33,760320,train,2026-07-02 17:01:29,0.125,4.9982,90.0,0.0555,0.0039
34,783360,train,2026-07-02 17:02:19,0.125,3.9649,90.0,0.0441,0.0
35,806400,train,2026-07-02 17:03:08,0.1211,4.4079,90.0,0.049,0.0156
36,829440,train,2026-07-02 17:03:57,0.1133,3.8202,90.0,0.0424,0.0078
37,852480,train,2026-07-02 17:04:47,0.1133,4.3418,90.0,0.0482,0.0039
38,875520,train,2026-07-02 17:05:36,0.1562,4.4229,90.0,0.0491,0.0
39,898560,train,2026-07-02 17:06:26,0.1953,5.0413,90.0,0.056,0.0078
40,921600,train,2026-07-02 17:07:15,0.1953,4.881,90.0,0.0542,0.0078
41,944640,train,2026-07-02 17:08:04,0.2344,5.9599,90.0,0.0662,0.0039
42,967680,train,2026-07-02 17:08:54,0.2031,5.5594,90.0,0.0618,0.0156
43,990720,train,2026-07-02 17:09:43,0.2188,6.1361,90.0,0.0682,0.0
44,1013760,train,2026-07-02 17:10:33,0.207,5.4892,90.0,0.061,0.0
45,1036800,train,2026-07-02 17:11:22,0.1953,5.8035,90.0,0.0645,0.0039
46,1059840,train,2026-07-02 17:12:11,0.2461,5.6577,90.0,0.0629,0.0078
47,1082880,train,2026-07-02 17:13:01,0.2305,6.5395,90.0,0.0727,0.0
48,1105920,train,2026-07-02 17:13:48,0.207,5.3866,90.0,0.0599,0.0117
49,1105920,eval,2026-07-02 17:15:05,0.4167,9.0127,90.0,0.1001,0.0312
49,1128960,train,2026-07-02 17:15:35,0.2891,7.0519,90.0,0.0784,0.0195
50,1152000,train,2026-07-02 17:16:24,0.2344,6.2154,90.0,0.0691,0.0078
51,1175040,train,2026-07-02 17:17:14,0.2578,6.6157,90.0,0.0735,0.0
52,1198080,train,2026-07-02 17:18:03,0.2383,6.8631,90.0,0.0763,0.0078
53,1221120,train,2026-07-02 17:18:52,0.2227,7.3833,90.0,0.082,0.0156
54,1244160,train,2026-07-02 17:19:42,0.2344,6.9669,90.0,0.0774,0.0039
55,1267200,train,2026-07-02 17:20:31,0.2188,7.1341,90.0,0.0793,0.0
56,1290240,train,2026-07-02 17:21:20,0.3164,7.851,90.0,0.0872,0.0117
57,1313280,train,2026-07-02 17:22:10,0.2891,7.5127,90.0,0.0835,0.0039
58,1336320,train,2026-07-02 17:22:59,0.3164,7.8558,90.0,0.0873,0.0117
59,1359360,train,2026-07-02 17:23:39,0.2109,5.5216,90.0,0.0614,0.0156
60,1382400,train,2026-07-02 17:24:29,0.2695,6.0642,90.0,0.0674,0.0039
61,1405440,train,2026-07-02 17:25:18,0.3906,7.9882,90.0,0.0888,0.0039
62,1428480,train,2026-07-02 17:26:07,0.3711,7.7686,90.0,0.0863,0.0039
63,1451520,train,2026-07-02 17:26:57,0.3242,7.7673,90.0,0.0863,0.0117
64,1474560,train,2026-07-02 17:27:46,0.2969,7.7542,90.0,0.0862,0.0039
65,1474560,eval,2026-07-02 17:29:04,0.4583,13.1433,90.0,0.146,0.0833
65,1497600,train,2026-07-02 17:29:34,0.3594,8.5332,90.0,0.0948,0.0039
66,1520640,train,2026-07-02 17:30:23,0.2656,7.987,90.0,0.0887,0.0117
67,1543680,train,2026-07-02 17:31:12,0.2969,8.0511,90.0,0.0895,0.0039
68,1566720,train,2026-07-02 17:32:02,0.293,7.6652,90.0,0.0852,0.0
69,1589760,train,2026-07-02 17:32:51,0.3711,8.1622,90.0,0.0907,0.0078
70,1612800,train,2026-07-02 17:33:41,0.3867,8.9712,90.0,0.0997,0.0
71,1635840,train,2026-07-02 17:34:30,0.3594,8.9844,90.0,0.0998,0.0117
72,1658880,train,2026-07-02 17:35:20,0.2852,7.9292,90.0,0.0881,0.0078
73,1681920,train,2026-07-02 17:36:09,0.3203,8.497,90.0,0.0944,0.0039
74,1704960,train,2026-07-02 17:36:58,0.3047,7.913,90.0,0.0879,0.0
75,1728000,train,2026-07-02 17:37:48,0.4141,9.2594,90.0,0.1029,0.0078
76,1751040,train,2026-07-02 17:38:37,0.3203,8.3348,90.0,0.0926,0.0
77,1774080,train,2026-07-02 17:39:27,0.4531,9.9493,90.0,0.1105,0.0078
78,1797120,train,2026-07-02 17:40:16,0.5,10.3097,90.0,0.1146,0.0156
79,1820160,train,2026-07-02 17:41:06,0.4375,10.0468,90.0,0.1116,0.0156
80,1843200,train,2026-07-02 17:41:55,0.4375,9.8419,90.0,0.1094,0.0078
81,1843200,eval,2026-07-02 17:43:13,0.5938,15.4881,90.0,0.1721,0.0729
81,1866240,train,2026-07-02 17:43:43,0.418,9.0411,90.0,0.1005,0.0
82,1889280,train,2026-07-02 17:44:34,0.4023,8.7446,90.0,0.0972,0.0195
83,1912320,train,2026-07-02 17:45:24,0.4375,9.6207,90.0,0.1069,0.0195
84,1935360,train,2026-07-02 17:46:13,0.4844,10.2979,90.0,0.1144,0.0117
85,1958400,train,2026-07-02 17:47:03,0.4844,9.6835,90.0,0.1076,0.0117
86,1981440,train,2026-07-02 17:47:52,0.5039,10.0918,90.0,0.1121,0.0195
87,2004480,train,2026-07-02 17:48:42,0.4609,8.7347,90.0,0.0971,0.0039
88,2027520,train,2026-07-02 17:49:31,0.4297,10.0626,90.0,0.1118,0.0
89,2050560,train,2026-07-02 17:50:20,0.4688,9.8514,90.0,0.1095,0.0117
90,2073600,train,2026-07-02 17:51:10,0.5078,9.8622,90.0,0.1096,0.0039
91,2096640,train,2026-07-02 17:51:59,0.4805,10.144,90.0,0.1127,0.0078
92,2119680,train,2026-07-02 17:52:39,0.4414,9.7759,90.0,0.1086,0.0
93,2142720,train,2026-07-02 17:53:28,0.3828,9.548,90.0,0.1061,0.0039
94,2165760,train,2026-07-02 17:54:18,0.5117,10.1729,90.0,0.113,0.0117
