iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 20:59:36,0.0,1.0201,90.0,0.0113,0.0
1,23040,train,2026-07-02 21:00:05,0.0,1.0033,90.0,0.0111,0.0
2,46080,train,2026-07-02 21:00:53,0.0,1.1471,90.0,0.0127,0.0
3,69120,train,2026-07-02 21:01:41,0.0,1.3052,90.0,0.0145,0.0
4,92160,train,2026-07-02 21:02:29,0.0,1.4645,90.0,0.0163,0.0
5,115200,train,2026-07-02 21:03:18,0.0,1.585,90.0,0.0176,0.0
6,138240,train,2026-07-02 21:04:06,0.0,1.5444,90.0,0.0172,0.0
7,161280,train,2026-07-02 21:04:55,0.0,1.5983,90.0,0.0178,0.0
8,184320,train,2026-07-02 21:05:43,0.0,1.7066,90.0,0.019,0.0
9,207360,train,2026-07-02 21:06:31,0.0,1.6578,90.0,0.0184,0.0
10,230400,train,2026-07-02 21:07:19,0.0,1.6773,90.0,0.0186,0.0
11,253440,train,2026-07-02 21:08:07,0.0,1.5643,90.0,0.0174,0.0
12,276480,train,2026-07-02 21:08:56,0.0,1.6275,90.0,0.0181,0.0
13,299520,train,2026-07-02 21:09:44,0.0,1.6296,90.0,0.0181,0.0
14,322560,train,2026-07-02 21:10:32,0.0,1.6658,90.0,0.0185,0.0
15,345600,train,2026-07-02 21:11:20,0.0,1.6232,90.0,0.018,0.0
16,368640,train,2026-07-02 21:12:08,0.0,1.5734,90.0,0.0175,0.0
17,368640,eval,2026-07-02 21:13:22,0.0,1.5664,90.0,0.0174,0.0
17,391680,train,2026-07-02 21:13:51,0.0,1.5385,90.0,0.0171,0.0
18,414720,train,2026-07-02 21:14:39,0.0,1.5237,90.0,0.0169,0.0
19,437760,train,2026-07-02 21:15:27,0.0,1.6438,90.0,0.0183,0.0
20,460800,train,2026-07-02 21:16:16,0.0,1.7239,90.0,0.0192,0.0
21,483840,train,2026-07-02 21:17:04,0.0,1.8004,90.0,0.02,0.0
22,506880,train,2026-07-02 21:17:53,0.0,1.7802,90.0,0.0198,0.0
23,529920,train,2026-07-02 21:18:41,0.0,1.8669,90.0,0.0207,0.0
24,552960,train,2026-07-02 21:19:30,0.0,1.9014,90.0,0.0211,0.0
25,576000,train,2026-07-02 21:20:19,0.0039,2.0905,90.0,0.0232,0.0039
26,599040,train,2026-07-02 21:21:08,0.0,1.9055,90.0,0.0212,0.0
27,622080,train,2026-07-02 21:21:57,0.0,2.0578,90.0,0.0229,0.0
28,645120,train,2026-07-02 21:22:46,0.0078,2.3258,90.0,0.0258,0.0
29,668160,train,2026-07-02 21:23:35,0.0078,2.5324,90.0,0.0281,0.0
30,691200,train,2026-07-02 21:24:24,0.0234,2.719,90.0,0.0302,0.0039
31,714240,train,2026-07-02 21:25:13,0.0156,2.8116,90.0,0.0312,0.0078
32,737280,train,2026-07-02 21:26:02,0.0117,2.5596,90.0,0.0284,0.0039
33,737280,eval,2026-07-02 21:27:20,0.0,4.0142,90.0,0.0446,0.0
33,760320,train,2026-07-02 21:27:50,0.0,2.296,90.0,0.0255,0.0
34,783360,train,2026-07-02 21:28:38,0.0273,3.1996,90.0,0.0356,0.0039
35,806400,train,2026-07-02 21:29:27,0.0234,3.1741,90.0,0.0353,0.0039
36,829440,train,2026-07-02 21:30:16,0.0117,3.329,90.0,0.037,0.0039
37,852480,train,2026-07-02 21:31:06,0.0508,3.8809,90.0,0.0431,0.0156
38,875520,train,2026-07-02 21:31:55,0.0508,4.26,90.0,0.0473,0.0117
39,898560,train,2026-07-02 21:32:44,0.0312,4.1547,90.0,0.0462,0.0039
40,921600,train,2026-07-02 21:33:33,0.0938,4.7885,90.0,0.0532,0.0078
41,944640,train,2026-07-02 21:34:22,0.0469,4.5889,90.0,0.051,0.0039
42,967680,train,2026-07-02 21:35:11,0.0742,4.8095,90.0,0.0534,0.0078
43,990720,train,2026-07-02 21:36:01,0.0742,4.9344,90.0,0.0548,0.0117
44,1013760,train,2026-07-02 21:36:50,0.0508,4.2894,90.0,0.0477,0.0039
45,1036800,train,2026-07-02 21:37:39,0.1094,5.5455,90.0,0.0616,0.0234
46,1059840,train,2026-07-02 21:38:29,0.1094,5.0497,90.0,0.0561,0.0195
47,1082880,train,2026-07-02 21:39:18,0.1016,5.5934,90.0,0.0621,0.0195
48,1105920,train,2026-07-02 21:40:07,0.043,4.6416,90.0,0.0516,0.0156
49,1105920,eval,2026-07-02 21:41:26,0.0417,6.8309,90.0,0.0759,0.0208
49,1128960,train,2026-07-02 21:41:56,0.0938,5.1826,90.0,0.0576,0.0117
50,1152000,train,2026-07-02 21:42:45,0.0938,5.2661,90.0,0.0585,0.0078
51,1175040,train,2026-07-02 21:43:34,0.0898,5.7186,90.0,0.0635,0.0156
52,1198080,train,2026-07-02 21:44:23,0.1328,5.9237,90.0,0.0658,0.0234
53,1221120,train,2026-07-02 21:45:12,0.1523,6.0302,90.0,0.067,0.0195
54,1244160,train,2026-07-02 21:46:01,0.1211,5.3776,90.0,0.0598,0.0117
55,1267200,train,2026-07-02 21:46:50,0.0938,5.2633,90.0,0.0585,0.0195
56,1290240,train,2026-07-02 21:47:39,0.1055,5.8275,90.0,0.0647,0.0117
57,1313280,train,2026-07-02 21:48:28,0.1172,6.0136,90.0,0.0668,0.0117
58,1336320,train,2026-07-02 21:49:17,0.125,5.7956,90.0,0.0644,0.0195
59,1359360,train,2026-07-02 21:50:06,0.1211,6.1567,90.0,0.0684,0.0156
60,1382400,train,2026-07-02 21:50:55,0.1211,5.9337,90.0,0.0659,0.0078
61,1405440,train,2026-07-02 21:51:44,0.1055,6.0911,90.0,0.0677,0.0273
62,1428480,train,2026-07-02 21:52:33,0.0977,5.7694,90.0,0.0641,0.0078
63,1451520,train,2026-07-02 21:53:22,0.1484,6.8689,90.0,0.0763,0.0312
64,1474560,train,2026-07-02 21:54:11,0.1367,6.5592,90.0,0.0729,0.0195
65,1474560,eval,2026-07-02 21:55:29,0.0521,8.1268,90.0,0.0903,0.0208
65,1497600,train,2026-07-02 21:55:59,0.1641,7.0367,90.0,0.0782,0.0156
66,1520640,train,2026-07-02 21:56:48,0.1523,6.2931,90.0,0.0699,0.0
67,1543680,train,2026-07-02 21:57:37,0.1875,7.5807,90.0,0.0842,0.0117
68,1566720,train,2026-07-02 21:58:26,0.2422,8.1323,90.0,0.0904,0.0117
69,1589760,train,2026-07-02 21:59:15,0.1523,7.3033,90.0,0.0811,0.0156
70,1612800,train,2026-07-02 22:00:03,0.2227,7.7072,90.0,0.0856,0.0117
71,1635840,train,2026-07-02 22:00:52,0.2109,7.4475,90.0,0.0828,0.0195
72,1658880,train,2026-07-02 22:01:41,0.1758,7.4377,90.0,0.0826,0.0156
73,1681920,train,2026-07-02 22:02:30,0.2383,8.0228,90.0,0.0891,0.0273
74,1704960,train,2026-07-02 22:03:19,0.2305,7.9489,90.0,0.0883,0.0195
75,1728000,train,2026-07-02 22:04:08,0.2578,7.7021,90.0,0.0856,0.0078
76,1751040,train,2026-07-02 22:04:57,0.2422,7.9307,90.0,0.0881,0.0117
77,1774080,train,2026-07-02 22:05:46,0.2852,7.8777,90.0,0.0875,0.0156
78,1797120,train,2026-07-02 22:06:35,0.2734,7.5887,90.0,0.0843,0.0117
79,1820160,train,2026-07-02 22:07:23,0.3203,9.3534,90.0,0.1039,0.0195
80,1843200,train,2026-07-02 22:08:12,0.3438,8.9427,90.0,0.0994,0.0
81,1843200,eval,2026-07-02 22:09:29,0.3333,11.681,90.0,0.1298,0.0938
81,1866240,train,2026-07-02 22:09:59,0.2773,8.0868,90.0,0.0899,0.0078
82,1889280,train,2026-07-02 22:10:48,0.2812,7.6352,90.0,0.0848,0.0078
83,1912320,train,2026-07-02 22:11:36,0.2969,8.3688,90.0,0.093,0.0078
84,1935360,train,2026-07-02 22:12:25,0.3164,8.9133,90.0,0.099,0.0234
85,1958400,train,2026-07-02 22:13:14,0.3555,9.0888,90.0,0.101,0.0117
86,1981440,train,2026-07-02 22:14:03,0.3633,9.2587,90.0,0.1029,0.0078
87,2004480,train,2026-07-02 22:14:52,0.3477,9.3382,90.0,0.1038,0.0195
88,2027520,train,2026-07-02 22:15:41,0.3086,8.9686,90.0,0.0997,0.0117
89,2050560,train,2026-07-02 22:16:30,0.3633,9.0609,90.0,0.1007,0.0078
90,2073600,train,2026-07-02 22:17:19,0.332,9.2557,90.0,0.1028,0.0117
91,2096640,train,2026-07-02 22:18:08,0.3516,8.9443,90.0,0.0994,0.0078
92,2119680,train,2026-07-02 22:18:56,0.3477,9.0114,90.0,0.1001,0.0039
93,2142720,train,2026-07-02 22:19:45,0.3242,8.5501,90.0,0.095,0.0039
94,2165760,train,2026-07-02 22:20:34,0.3359,8.9609,90.0,0.0996,0.0039
95,2188800,train,2026-07-02 22:21:23,0.3594,9.2374,90.0,0.1026,0.0156
96,2211840,train,2026-07-02 22:22:12,0.3789,9.5669,90.0,0.1063,0.0
97,2211840,eval,2026-07-02 22:23:30,0.4167,13.4011,90.0,0.1489,0.0208
97,2234880,train,2026-07-02 22:24:00,0.3867,9.6473,90.0,0.1072,0.0
98,2257920,train,2026-07-02 22:24:49,0.4023,11.0365,90.0,0.1226,0.0117
99,2280960,train,2026-07-02 22:25:38,0.3789,9.7721,90.0,0.1086,0.0039
100,2304000,train,2026-07-02 22:26:27,0.457,10.68,90.0,0.1187,0.0039
101,2327040,train,2026-07-02 22:27:16,0.4297,10.6815,90.0,0.1187,0.0
102,2350080,train,2026-07-02 22:28:05,0.3789,9.3498,90.0,0.1039,0.0039
103,2373120,train,2026-07-02 22:28:54,0.3711,9.603,90.0,0.1067,0.0039
104,2396160,train,2026-07-02 22:29:43,0.457,10.7975,90.0,0.12,0.0
105,2419200,train,2026-07-02 22:30:32,0.4336,10.3705,90.0,0.1152,0.0078
106,2442240,train,2026-07-02 22:31:21,0.4648,11.6733,90.0,0.1297,0.0156
107,2465280,train,2026-07-02 22:32:10,0.457,11.171,90.0,0.1241,0.0039
108,2488320,train,2026-07-02 22:32:59,0.457,11.755,90.0,0.1306,0.0117
109,2511360,train,2026-07-02 22:33:48,0.5273,12.7955,90.0,0.1422,0.0
110,2534400,train,2026-07-02 22:34:37,0.5234,11.9697,90.0,0.133,0.0117
111,2557440,train,2026-07-02 22:35:26,0.4961,11.5203,90.0,0.128,0.0156
112,2580480,train,2026-07-02 22:36:15,0.5312,11.4444,90.0,0.1272,0.0
113,2580480,eval,2026-07-02 22:37:32,0.6979,19.7031,90.0,0.2189,0.0729
113,2603520,train,2026-07-02 22:38:03,0.5742,11.8434,90.0,0.1316,0.0078
114,2626560,train,2026-07-02 22:38:51,0.4922,12.1916,90.0,0.1355,0.0117
