iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 21:14:20,0.0,1.0646,90.0,0.0118,0.0
1,23040,train,2026-04-15 21:14:42,0.0,1.0267,90.0,0.0114,0.0
2,46080,train,2026-04-15 21:15:06,0.0,1.0391,90.0,0.0115,0.0
3,69120,train,2026-04-15 21:15:28,0.0,1.2362,90.0,0.0137,0.0
4,92160,train,2026-04-15 21:15:50,0.0,1.3066,90.0,0.0145,0.0
5,115200,train,2026-04-15 21:16:12,0.0039,1.5235,90.0,0.0169,0.0
6,138240,train,2026-04-15 21:16:34,0.0078,1.6427,90.0,0.0183,0.0039
7,161280,train,2026-04-15 21:16:57,0.0078,1.7523,90.0,0.0195,0.0
8,184320,train,2026-04-15 21:17:19,0.0078,1.7822,90.0,0.0198,0.0
9,207360,train,2026-04-15 21:17:41,0.0039,1.6376,90.0,0.0182,0.0039
10,230400,train,2026-04-15 21:18:03,0.0078,1.7728,90.0,0.0197,0.0039
11,253440,train,2026-04-15 21:18:25,0.0039,1.7243,90.0,0.0192,0.0
12,276480,train,2026-04-15 21:18:47,0.0,1.5635,90.0,0.0174,0.0
13,299520,train,2026-04-15 21:19:09,0.0,1.6118,90.0,0.0179,0.0
14,322560,train,2026-04-15 21:19:31,0.0039,1.6897,90.0,0.0188,0.0
15,345600,train,2026-04-15 21:19:53,0.0039,1.6154,90.0,0.0179,0.0039
16,368640,train,2026-04-15 21:20:15,0.0,1.5722,90.0,0.0175,0.0
17,391680,train,2026-04-15 21:20:37,0.0,1.5451,90.0,0.0172,0.0
18,414720,train,2026-04-15 21:20:59,0.0,1.7429,90.0,0.0194,0.0
19,437760,train,2026-04-15 21:21:21,0.0039,1.6213,90.0,0.018,0.0
20,460800,train,2026-04-15 21:21:43,0.0039,1.6012,90.0,0.0178,0.0
21,483840,train,2026-04-15 21:22:05,0.0,1.5927,90.0,0.0177,0.0
22,506880,train,2026-04-15 21:22:27,0.0,1.506,90.0,0.0167,0.0
23,529920,train,2026-04-15 21:22:49,0.0039,1.629,90.0,0.0181,0.0
24,552960,train,2026-04-15 21:23:11,0.0,1.5324,90.0,0.017,0.0
25,576000,train,2026-04-15 21:23:33,0.0,1.448,90.0,0.0161,0.0
26,576000,eval,2026-04-15 21:25:05,0.0,1.429,90.0,0.0159,0.0
26,599040,train,2026-04-15 21:25:25,0.0,1.379,90.0,0.0153,0.0
27,622080,train,2026-04-15 21:25:47,0.0,1.3964,90.0,0.0155,0.0
28,645120,train,2026-04-15 21:26:08,0.0,1.3682,90.0,0.0152,0.0
29,668160,train,2026-04-15 21:26:30,0.0,1.4363,90.0,0.016,0.0
30,691200,train,2026-04-15 21:26:52,0.0,1.4093,90.0,0.0157,0.0
31,714240,train,2026-04-15 21:27:14,0.0039,1.4563,90.0,0.0162,0.0
32,737280,train,2026-04-15 21:27:35,0.0,1.4635,90.0,0.0163,0.0
33,760320,train,2026-04-15 21:27:57,0.0,1.474,90.0,0.0164,0.0
34,783360,train,2026-04-15 21:28:19,0.0,1.5159,90.0,0.0168,0.0
35,806400,train,2026-04-15 21:28:41,0.0,1.5112,90.0,0.0168,0.0
36,829440,train,2026-04-15 21:29:03,0.0078,1.5948,90.0,0.0177,0.0
37,852480,train,2026-04-15 21:29:25,0.0,1.4268,90.0,0.0159,0.0
38,875520,train,2026-04-15 21:29:47,0.0,1.4478,90.0,0.0161,0.0
39,898560,train,2026-04-15 21:30:09,0.0039,1.5458,90.0,0.0172,0.0
40,921600,train,2026-04-15 21:30:31,0.0,1.4776,90.0,0.0164,0.0
41,944640,train,2026-04-15 21:30:53,0.0,1.4337,90.0,0.0159,0.0
42,967680,train,2026-04-15 21:31:16,0.0039,1.4958,90.0,0.0166,0.0
43,990720,train,2026-04-15 21:31:38,0.0,1.4684,90.0,0.0163,0.0
44,1013760,train,2026-04-15 21:32:00,0.0117,1.6243,90.0,0.018,0.0
45,1036800,train,2026-04-15 21:32:22,0.0,1.6177,90.0,0.018,0.0
46,1059840,train,2026-04-15 21:32:45,0.0039,1.5985,90.0,0.0178,0.0039
47,1082880,train,2026-04-15 21:33:07,0.0039,1.616,90.0,0.018,0.0
48,1105920,train,2026-04-15 21:33:29,0.0,1.5664,90.0,0.0174,0.0
49,1128960,train,2026-04-15 21:33:51,0.0,1.5261,90.0,0.017,0.0
50,1152000,train,2026-04-15 21:34:14,0.0039,1.6582,90.0,0.0184,0.0039
51,1152000,eval,2026-04-15 21:35:48,0.0,1.6634,90.0,0.0185,0.0
51,1175040,train,2026-04-15 21:36:09,0.0,1.6009,90.0,0.0178,0.0
52,1198080,train,2026-04-15 21:36:31,0.0078,1.737,90.0,0.0193,0.0
53,1221120,train,2026-04-15 21:36:53,0.0117,1.7069,90.0,0.019,0.0
54,1244160,train,2026-04-15 21:37:15,0.0,1.5907,90.0,0.0177,0.0
55,1267200,train,2026-04-15 21:37:38,0.0039,1.5217,90.0,0.0169,0.0
56,1290240,train,2026-04-15 21:38:00,0.0156,1.8314,90.0,0.0203,0.0
57,1313280,train,2026-04-15 21:38:22,0.0,1.5601,90.0,0.0173,0.0
58,1336320,train,2026-04-15 21:38:45,0.0039,1.737,90.0,0.0193,0.0
59,1359360,train,2026-04-15 21:39:07,0.0039,1.8294,90.0,0.0203,0.0
60,1382400,train,2026-04-15 21:39:29,0.0039,1.7065,90.0,0.019,0.0
61,1405440,train,2026-04-15 21:39:52,0.0156,1.834,90.0,0.0204,0.0
62,1428480,train,2026-04-15 21:40:14,0.0117,1.645,90.0,0.0183,0.0
63,1451520,train,2026-04-15 21:40:36,0.0078,1.7235,90.0,0.0191,0.0
64,1474560,train,2026-04-15 21:40:59,0.0156,2.0126,90.0,0.0224,0.0
65,1497600,train,2026-04-15 21:41:21,0.0195,1.931,90.0,0.0215,0.0
66,1520640,train,2026-04-15 21:41:43,0.0078,1.825,90.0,0.0203,0.0
67,1543680,train,2026-04-15 21:42:06,0.0117,1.9446,90.0,0.0216,0.0078
68,1566720,train,2026-04-15 21:42:28,0.0078,1.9746,90.0,0.0219,0.0
69,1589760,train,2026-04-15 21:42:50,0.0234,2.2908,90.0,0.0255,0.0
70,1612800,train,2026-04-15 21:43:12,0.0312,2.4152,90.0,0.0268,0.0
71,1635840,train,2026-04-15 21:43:35,0.0312,2.4461,90.0,0.0272,0.0039
72,1658880,train,2026-04-15 21:43:57,0.0156,2.0037,90.0,0.0223,0.0
73,1681920,train,2026-04-15 21:44:19,0.0273,2.3598,90.0,0.0262,0.0
74,1704960,train,2026-04-15 21:44:41,0.0391,2.6158,90.0,0.0291,0.0039
75,1728000,train,2026-04-15 21:45:04,0.0352,2.4164,90.0,0.0268,0.0078
76,1728000,eval,2026-04-15 21:46:41,0.0,2.3465,90.0,0.0261,0.0
76,1751040,train,2026-04-15 21:47:02,0.0117,2.0463,90.0,0.0227,0.0
77,1774080,train,2026-04-15 21:47:24,0.0352,2.4112,90.0,0.0268,0.0
78,1797120,train,2026-04-15 21:47:46,0.0547,2.6678,90.0,0.0296,0.0
79,1820160,train,2026-04-15 21:48:09,0.0312,2.6013,90.0,0.0289,0.0078
80,1843200,train,2026-04-15 21:48:31,0.0234,2.4123,90.0,0.0268,0.0
81,1866240,train,2026-04-15 21:48:53,0.0352,2.5547,90.0,0.0284,0.0039
82,1889280,train,2026-04-15 21:49:16,0.0312,2.5873,90.0,0.0287,0.0039
83,1912320,train,2026-04-15 21:49:38,0.0391,2.7584,90.0,0.0306,0.0
84,1935360,train,2026-04-15 21:50:01,0.0508,3.4833,90.0,0.0387,0.0117
85,1958400,train,2026-04-15 21:50:23,0.0352,2.8118,90.0,0.0312,0.0039
86,1981440,train,2026-04-15 21:50:45,0.0586,3.1129,90.0,0.0346,0.0039
87,2004480,train,2026-04-15 21:51:08,0.0508,3.1998,90.0,0.0356,0.0078
88,2027520,train,2026-04-15 21:51:30,0.0625,3.2705,90.0,0.0363,0.0117
89,2050560,train,2026-04-15 21:51:53,0.0391,2.9901,90.0,0.0332,0.0
90,2073600,train,2026-04-15 21:52:15,0.0547,3.1872,90.0,0.0354,0.0039
91,2096640,train,2026-04-15 21:52:38,0.0742,3.7281,90.0,0.0414,0.0
92,2119680,train,2026-04-15 21:53:00,0.0781,3.8052,90.0,0.0423,0.0078
93,2142720,train,2026-04-15 21:53:23,0.0586,3.6491,90.0,0.0405,0.0039
94,2165760,train,2026-04-15 21:53:45,0.0664,3.3515,90.0,0.0372,0.0
95,2188800,train,2026-04-15 21:54:07,0.0586,2.9907,90.0,0.0332,0.0
96,2211840,train,2026-04-15 21:54:30,0.0703,3.7013,90.0,0.0411,0.0039
97,2234880,train,2026-04-15 21:54:52,0.0938,3.9541,90.0,0.0439,0.0039
98,2257920,train,2026-04-15 21:55:15,0.0859,4.1143,90.0,0.0457,0.0039
99,2280960,train,2026-04-15 21:55:37,0.082,4.1447,90.0,0.0461,0.0117
100,2304000,train,2026-04-15 21:56:00,0.0742,3.9073,90.0,0.0434,0.0039
101,2304000,eval,2026-04-15 21:57:41,0.0208,4.0861,90.0,0.0454,0.0156
101,2327040,train,2026-04-15 21:58:02,0.0977,4.4765,90.0,0.0497,0.0078
102,2350080,train,2026-04-15 21:58:24,0.082,3.9219,90.0,0.0436,0.0
103,2373120,train,2026-04-15 21:58:47,0.0664,3.6174,90.0,0.0402,0.0117
104,2396160,train,2026-04-15 21:59:09,0.0742,3.7115,90.0,0.0412,0.0039
105,2419200,train,2026-04-15 21:59:32,0.0938,4.1965,90.0,0.0466,0.0078
106,2442240,train,2026-04-15 21:59:54,0.082,4.1624,90.0,0.0462,0.0078
107,2465280,train,2026-04-15 22:00:17,0.1016,4.3875,90.0,0.0487,0.0117
108,2488320,train,2026-04-15 22:00:39,0.0977,4.3304,90.0,0.0481,0.0156
109,2511360,train,2026-04-15 22:01:02,0.0859,4.2023,90.0,0.0467,0.0078
110,2534400,train,2026-04-15 22:01:24,0.0859,3.9774,90.0,0.0442,0.0039
111,2557440,train,2026-04-15 22:01:46,0.0859,4.0295,90.0,0.0448,0.0078
112,2580480,train,2026-04-15 22:02:09,0.0938,4.0259,90.0,0.0447,0.0039
113,2603520,train,2026-04-15 22:02:31,0.0586,3.9867,90.0,0.0443,0.0039
114,2626560,train,2026-04-15 22:02:54,0.0938,4.1217,90.0,0.0458,0.0039
115,2649600,train,2026-04-15 22:03:16,0.0508,3.5912,90.0,0.0399,0.0078
116,2672640,train,2026-04-15 22:03:38,0.0898,3.9852,90.0,0.0443,0.0078
117,2695680,train,2026-04-15 22:04:00,0.1094,4.2247,90.0,0.0469,0.0039
118,2718720,train,2026-04-15 22:04:23,0.0977,4.1373,90.0,0.046,0.0039
119,2741760,train,2026-04-15 22:04:45,0.0938,4.3059,90.0,0.0478,0.0078
120,2764800,train,2026-04-15 22:05:08,0.0977,4.5329,90.0,0.0504,0.0117
121,2787840,train,2026-04-15 22:05:30,0.1094,4.4449,90.0,0.0494,0.0117
122,2810880,train,2026-04-15 22:05:53,0.0938,4.4766,90.0,0.0497,0.0078
123,2833920,train,2026-04-15 22:06:15,0.1055,4.5745,90.0,0.0508,0.0195
124,2856960,train,2026-04-15 22:06:37,0.082,3.7889,90.0,0.0421,0.0039
125,2880000,train,2026-04-15 22:07:00,0.082,3.8791,90.0,0.0431,0.0117
126,2880000,eval,2026-04-15 22:08:41,0.0104,4.0337,90.0,0.0448,0.0104
126,2903040,train,2026-04-15 22:09:02,0.082,4.2329,90.0,0.047,0.0
127,2926080,train,2026-04-15 22:09:24,0.082,4.3976,90.0,0.0489,0.0078
128,2949120,train,2026-04-15 22:09:46,0.0781,4.2849,90.0,0.0476,0.0156
129,2972160,train,2026-04-15 22:10:09,0.0742,4.2106,90.0,0.0468,0.0
130,2995200,train,2026-04-15 22:10:31,0.1016,4.3323,90.0,0.0481,0.0078
131,3018240,train,2026-04-15 22:10:54,0.0664,4.0634,90.0,0.0451,0.0078
132,3041280,train,2026-04-15 22:11:16,0.1289,4.8329,90.0,0.0537,0.0
133,3064320,train,2026-04-15 22:11:39,0.1055,5.1934,90.0,0.0577,0.0039
134,3087360,train,2026-04-15 22:12:01,0.0898,4.578,90.0,0.0509,0.0039
135,3110400,train,2026-04-15 22:12:24,0.1094,4.9233,90.0,0.0547,0.0078
136,3133440,train,2026-04-15 22:12:46,0.1172,4.9199,90.0,0.0547,0.0039
137,3156480,train,2026-04-15 22:13:09,0.0742,4.0979,90.0,0.0455,0.0039
138,3179520,train,2026-04-15 22:13:31,0.1055,4.8301,90.0,0.0537,0.0039
139,3202560,train,2026-04-15 22:13:54,0.1211,4.9075,90.0,0.0545,0.0
140,3225600,train,2026-04-15 22:14:16,0.0781,4.4729,90.0,0.0497,0.0117
