iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-31 04:54:37,0.0,1.0438,90.0,0.0116,0.0
1,23040,train,2026-05-31 04:55:06,0.0,1.1366,90.0,0.0126,0.0
2,46080,train,2026-05-31 04:55:55,0.0,1.1635,90.0,0.0129,0.0
3,69120,train,2026-05-31 04:56:44,0.0,1.2753,90.0,0.0142,0.0
4,92160,train,2026-05-31 04:57:33,0.0039,1.3447,90.0,0.0149,0.0
5,115200,train,2026-05-31 04:58:22,0.0,1.3984,90.0,0.0155,0.0
6,138240,train,2026-05-31 04:59:11,0.0,1.4309,90.0,0.0159,0.0
7,161280,train,2026-05-31 04:59:59,0.0,1.4044,90.0,0.0156,0.0
8,184320,train,2026-05-31 05:00:48,0.0,1.3321,90.0,0.0148,0.0
9,207360,train,2026-05-31 05:01:37,0.0,1.3918,90.0,0.0155,0.0
10,230400,train,2026-05-31 05:02:26,0.0,1.4766,90.0,0.0164,0.0
11,253440,train,2026-05-31 05:03:15,0.0,1.4,90.0,0.0156,0.0
12,276480,train,2026-05-31 05:04:04,0.0,1.4743,90.0,0.0164,0.0
13,299520,train,2026-05-31 05:04:53,0.0,1.5729,90.0,0.0175,0.0
14,322560,train,2026-05-31 05:05:42,0.0,1.7362,90.0,0.0193,0.0
15,345600,train,2026-05-31 05:06:31,0.0,1.83,90.0,0.0203,0.0
16,368640,train,2026-05-31 05:07:19,0.0,1.8179,90.0,0.0202,0.0
17,391680,train,2026-05-31 05:08:08,0.0,1.9815,90.0,0.022,0.0
18,414720,train,2026-05-31 05:08:58,0.0,2.0177,90.0,0.0224,0.0
19,437760,train,2026-05-31 05:09:47,0.0,2.2378,90.0,0.0249,0.0
20,460800,train,2026-05-31 05:10:36,0.0078,2.659,90.0,0.0295,0.0
21,483840,train,2026-05-31 05:11:25,0.0156,2.8227,90.0,0.0314,0.0
22,506880,train,2026-05-31 05:12:14,0.0117,2.9898,90.0,0.0332,0.0
