iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 22:13:29,0.0,1.0369,90.0,0.0115,0.0
1,23040,train,2026-05-16 22:14:08,0.0,1.1446,90.0,0.0127,0.0
2,46080,train,2026-05-16 22:14:47,0.0,1.2528,90.0,0.0139,0.0
3,69120,train,2026-05-16 22:15:25,0.0,1.3898,90.0,0.0154,0.0
4,92160,train,2026-05-16 22:16:03,0.0,1.3868,90.0,0.0154,0.0
5,115200,train,2026-05-16 22:16:40,0.0039,1.6125,90.0,0.0179,0.0
6,138240,train,2026-05-16 22:17:15,0.0,1.8858,90.0,0.021,0.0
7,161280,train,2026-05-16 22:17:52,0.0039,1.8618,90.0,0.0207,0.0
8,184320,train,2026-05-16 22:18:28,0.0039,1.9787,90.0,0.022,0.0
9,207360,train,2026-05-16 22:19:04,0.0039,2.1744,90.0,0.0242,0.0
10,230400,train,2026-05-16 22:19:40,0.0273,2.812,90.0,0.0312,0.0039
11,253440,train,2026-05-16 22:20:14,0.0234,2.7377,90.0,0.0304,0.0039
12,276480,train,2026-05-16 22:20:49,0.0352,3.212,90.0,0.0357,0.0039
13,299520,train,2026-05-16 22:21:24,0.0586,3.6482,90.0,0.0405,0.0117
14,322560,train,2026-05-16 22:21:59,0.0234,3.0008,90.0,0.0333,0.0
15,345600,train,2026-05-16 22:22:33,0.043,3.2138,90.0,0.0357,0.0
16,368640,train,2026-05-16 22:23:08,0.0352,3.3749,90.0,0.0375,0.0
17,391680,train,2026-05-16 22:23:43,0.0391,3.7675,90.0,0.0419,0.0039
18,414720,train,2026-05-16 22:24:17,0.0352,3.3051,90.0,0.0367,0.0
19,437760,train,2026-05-16 22:24:52,0.0508,3.8377,90.0,0.0426,0.0078
20,460800,train,2026-05-16 22:25:27,0.0586,4.1288,90.0,0.0459,0.0156
21,483840,train,2026-05-16 22:26:02,0.0547,4.0147,90.0,0.0446,0.0039
22,506880,train,2026-05-16 22:26:36,0.0742,4.0158,90.0,0.0446,0.0078
23,529920,train,2026-05-16 22:27:11,0.0508,4.0091,90.0,0.0445,0.0
24,552960,train,2026-05-16 22:27:46,0.043,3.7058,90.0,0.0412,0.0
25,576000,train,2026-05-16 22:28:20,0.0547,3.9801,90.0,0.0442,0.0039
26,576000,eval,2026-05-16 22:30:22,0.0104,3.6289,90.0,0.0403,0.0052
26,599040,train,2026-05-16 22:30:56,0.0898,4.5858,90.0,0.051,0.0195
27,622080,train,2026-05-16 22:31:30,0.0742,4.1373,90.0,0.046,0.0078
28,645120,train,2026-05-16 22:32:05,0.0469,3.5916,90.0,0.0399,0.0078
29,668160,train,2026-05-16 22:32:40,0.0586,4.1902,90.0,0.0466,0.0117
30,691200,train,2026-05-16 22:33:15,0.0352,3.4508,90.0,0.0383,0.0078
31,714240,train,2026-05-16 22:33:50,0.0625,4.2367,90.0,0.0471,0.0
32,737280,train,2026-05-16 22:34:25,0.0586,4.2138,90.0,0.0468,0.0039
33,760320,train,2026-05-16 22:35:00,0.0586,3.9764,90.0,0.0442,0.0039
34,783360,train,2026-05-16 22:35:35,0.0547,4.048,90.0,0.045,0.0117
35,806400,train,2026-05-16 22:36:10,0.0664,4.2681,90.0,0.0474,0.0078
36,829440,train,2026-05-16 22:36:45,0.0781,4.5816,90.0,0.0509,0.0078
37,852480,train,2026-05-16 22:37:20,0.0703,4.7926,90.0,0.0533,0.0078
