iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 20:32:39,0.0,1.0394,90.0,0.0115,0.0
1,23040,train,2026-05-10 20:33:18,0.0,1.1466,90.0,0.0127,0.0
2,46080,train,2026-05-10 20:33:59,0.0,1.2157,90.0,0.0135,0.0
3,69120,train,2026-05-10 20:34:38,0.0,1.3584,90.0,0.0151,0.0
4,92160,train,2026-05-10 20:35:18,0.0,1.3056,90.0,0.0145,0.0
5,115200,train,2026-05-10 20:35:57,0.0,1.4711,90.0,0.0163,0.0
6,138240,train,2026-05-10 20:36:36,0.0,1.5986,90.0,0.0178,0.0
7,161280,train,2026-05-10 20:37:13,0.0,1.7394,90.0,0.0193,0.0
8,184320,train,2026-05-10 20:37:50,0.0039,1.8683,90.0,0.0208,0.0
9,207360,train,2026-05-10 20:38:27,0.0,2.0126,90.0,0.0224,0.0
10,230400,train,2026-05-10 20:39:03,0.0117,2.2329,90.0,0.0248,0.0039
11,253440,train,2026-05-10 20:39:39,0.0156,2.419,90.0,0.0269,0.0
12,276480,train,2026-05-10 20:40:14,0.0195,2.6519,90.0,0.0295,0.0078
13,299520,train,2026-05-10 20:40:50,0.0547,3.642,90.0,0.0405,0.0
14,322560,train,2026-05-10 20:41:25,0.043,3.5999,90.0,0.04,0.0039
15,345600,train,2026-05-10 20:42:00,0.0273,3.628,90.0,0.0403,0.0
16,368640,train,2026-05-10 20:42:35,0.0508,4.003,90.0,0.0445,0.0195
17,391680,train,2026-05-10 20:43:10,0.0703,4.5997,90.0,0.0511,0.0078
18,414720,train,2026-05-10 20:43:44,0.0273,3.879,90.0,0.0431,0.0039
19,437760,train,2026-05-10 20:44:19,0.0664,4.2797,90.0,0.0476,0.0039
20,460800,train,2026-05-10 20:44:54,0.0547,4.4411,90.0,0.0493,0.0
21,483840,train,2026-05-10 20:45:29,0.0703,4.0676,90.0,0.0452,0.0156
22,506880,train,2026-05-10 20:46:04,0.0664,3.8271,90.0,0.0425,0.0078
23,529920,train,2026-05-10 20:46:39,0.0703,4.3006,90.0,0.0478,0.0078
24,552960,train,2026-05-10 20:47:14,0.0859,4.5617,90.0,0.0507,0.0156
25,576000,train,2026-05-10 20:47:49,0.0586,4.0353,90.0,0.0448,0.0039
26,576000,eval,2026-05-10 20:49:48,0.0208,4.6181,90.0,0.0513,0.0052
26,599040,train,2026-05-10 20:50:23,0.0664,4.1839,90.0,0.0465,0.0078
27,622080,train,2026-05-10 20:50:58,0.0547,4.2007,90.0,0.0467,0.0117
28,645120,train,2026-05-10 20:51:34,0.0977,4.6253,90.0,0.0514,0.0195
29,668160,train,2026-05-10 20:52:09,0.0742,4.9119,90.0,0.0546,0.0117
30,691200,train,2026-05-10 20:52:45,0.0742,4.0735,90.0,0.0453,0.0039
31,714240,train,2026-05-10 20:53:20,0.0938,5.3001,90.0,0.0589,0.0156
32,737280,train,2026-05-10 20:53:57,0.0664,4.6255,90.0,0.0514,0.0117
33,760320,train,2026-05-10 20:54:34,0.0898,4.6619,90.0,0.0518,0.0117
34,783360,train,2026-05-10 20:55:11,0.1133,5.018,90.0,0.0558,0.0156
35,806400,train,2026-05-10 20:55:48,0.0859,4.7791,90.0,0.0531,0.0039
