iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-17 17:13:59,0.0,1.0285,90.0,0.0114,0.0
1,23040,train,2026-04-17 17:14:19,0.0,1.0254,90.0,0.0114,0.0
2,46080,train,2026-04-17 17:14:41,0.0,1.1323,90.0,0.0126,0.0
3,69120,train,2026-04-17 17:15:03,0.0,1.307,90.0,0.0145,0.0
4,92160,train,2026-04-17 17:15:26,0.0,1.3761,90.0,0.0153,0.0
5,115200,train,2026-04-17 17:15:48,0.0039,1.507,90.0,0.0167,0.0
6,138240,train,2026-04-17 17:16:10,0.0,1.559,90.0,0.0173,0.0
7,161280,train,2026-04-17 17:16:33,0.0,1.3267,90.0,0.0147,0.0
8,184320,train,2026-04-17 17:16:55,0.0,1.3453,90.0,0.0149,0.0
9,207360,train,2026-04-17 17:17:17,0.0,1.1421,90.0,0.0127,0.0
10,230400,train,2026-04-17 17:17:39,0.0,1.179,90.0,0.0131,0.0
11,253440,train,2026-04-17 17:18:01,0.0,1.1421,90.0,0.0127,0.0
12,276480,train,2026-04-17 17:18:23,0.0,1.2553,90.0,0.0139,0.0
13,299520,train,2026-04-17 17:18:45,0.0,1.2425,90.0,0.0138,0.0
14,322560,train,2026-04-17 17:19:07,0.0,1.324,90.0,0.0147,0.0
15,345600,train,2026-04-17 17:19:29,0.0,1.3449,90.0,0.0149,0.0
16,368640,train,2026-04-17 17:19:51,0.0,1.3263,90.0,0.0147,0.0
17,391680,train,2026-04-17 17:20:13,0.0,1.3618,90.0,0.0151,0.0
18,414720,train,2026-04-17 17:20:35,0.0,1.2701,90.0,0.0141,0.0
19,437760,train,2026-04-17 17:20:57,0.0,1.2608,90.0,0.014,0.0
20,460800,train,2026-04-17 17:21:19,0.0,1.3053,90.0,0.0145,0.0
21,483840,train,2026-04-17 17:21:41,0.0,1.3635,90.0,0.0152,0.0
22,506880,train,2026-04-17 17:22:03,0.0,1.4531,90.0,0.0161,0.0
23,529920,train,2026-04-17 17:22:25,0.0,1.4352,90.0,0.0159,0.0
24,552960,train,2026-04-17 17:22:47,0.0,1.3803,90.0,0.0153,0.0
25,576000,train,2026-04-17 17:23:09,0.0,1.2827,90.0,0.0143,0.0
26,576000,eval,2026-04-17 17:24:44,0.0,1.3964,90.0,0.0155,0.0
26,599040,train,2026-04-17 17:25:05,0.0,1.2934,90.0,0.0144,0.0
27,622080,train,2026-04-17 17:25:26,0.0,1.2231,90.0,0.0136,0.0
28,645120,train,2026-04-17 17:25:48,0.0,1.1512,90.0,0.0128,0.0
29,668160,train,2026-04-17 17:26:10,0.0,1.0461,90.0,0.0116,0.0
30,691200,train,2026-04-17 17:26:33,0.0,0.9737,90.0,0.0108,0.0
31,714240,train,2026-04-17 17:26:55,0.0,1.0954,90.0,0.0122,0.0
32,737280,train,2026-04-17 17:27:17,0.0039,1.1347,90.0,0.0126,0.0
33,760320,train,2026-04-17 17:27:39,0.0,1.1267,90.0,0.0125,0.0
34,783360,train,2026-04-17 17:28:01,0.0039,1.1267,90.0,0.0125,0.0
35,806400,train,2026-04-17 17:28:23,0.0,1.176,90.0,0.0131,0.0
36,829440,train,2026-04-17 17:28:45,0.0,1.1821,90.0,0.0131,0.0
37,852480,train,2026-04-17 17:29:07,0.0,1.1273,90.0,0.0125,0.0
38,875520,train,2026-04-17 17:29:29,0.0,1.099,90.0,0.0122,0.0
39,898560,train,2026-04-17 17:29:51,0.0,1.1131,90.0,0.0124,0.0
40,921600,train,2026-04-17 17:30:14,0.0,1.0668,90.0,0.0119,0.0
41,944640,train,2026-04-17 17:30:36,0.0,1.0109,90.0,0.0112,0.0
42,967680,train,2026-04-17 17:30:58,0.0,0.9828,90.0,0.0109,0.0
43,990720,train,2026-04-17 17:31:20,0.0,1.0655,90.0,0.0118,0.0
44,1013760,train,2026-04-17 17:31:42,0.0,1.1325,90.0,0.0126,0.0
45,1036800,train,2026-04-17 17:32:04,0.0,1.2515,90.0,0.0139,0.0
46,1059840,train,2026-04-17 17:32:26,0.0,1.1817,90.0,0.0131,0.0
47,1082880,train,2026-04-17 17:32:48,0.0,1.2489,90.0,0.0139,0.0
48,1105920,train,2026-04-17 17:33:10,0.0,1.1583,90.0,0.0129,0.0
49,1128960,train,2026-04-17 17:33:32,0.0,1.0106,90.0,0.0112,0.0
50,1152000,train,2026-04-17 17:33:54,0.0,0.9837,90.0,0.0109,0.0
51,1152000,eval,2026-04-17 17:35:34,0.0,1.0219,90.0,0.0114,0.0
51,1175040,train,2026-04-17 17:35:55,0.0,1.0097,90.0,0.0112,0.0
52,1198080,train,2026-04-17 17:36:17,0.0,0.9949,90.0,0.0111,0.0
53,1221120,train,2026-04-17 17:36:39,0.0,1.0205,90.0,0.0113,0.0
54,1244160,train,2026-04-17 17:37:01,0.0,1.0418,90.0,0.0116,0.0
55,1267200,train,2026-04-17 17:37:23,0.0,1.0621,90.0,0.0118,0.0
56,1290240,train,2026-04-17 17:37:45,0.0,1.0729,90.0,0.0119,0.0
57,1313280,train,2026-04-17 17:38:07,0.0,1.0639,90.0,0.0118,0.0
58,1336320,train,2026-04-17 17:38:29,0.0,1.1206,90.0,0.0125,0.0
59,1359360,train,2026-04-17 17:38:51,0.0,1.1013,90.0,0.0122,0.0
60,1382400,train,2026-04-17 17:39:13,0.0,1.0124,90.0,0.0112,0.0
61,1405440,train,2026-04-17 17:39:35,0.0,1.0368,90.0,0.0115,0.0
62,1428480,train,2026-04-17 17:39:57,0.0,1.0009,90.0,0.0111,0.0
63,1451520,train,2026-04-17 17:40:20,0.0,1.038,90.0,0.0115,0.0
64,1474560,train,2026-04-17 17:40:42,0.0,1.0632,90.0,0.0118,0.0
65,1497600,train,2026-04-17 17:41:04,0.0,1.1301,90.0,0.0126,0.0
66,1520640,train,2026-04-17 17:41:26,0.0,1.2271,90.0,0.0136,0.0
67,1543680,train,2026-04-17 17:41:48,0.0,1.2116,90.0,0.0135,0.0
68,1566720,train,2026-04-17 17:42:10,0.0,1.1878,90.0,0.0132,0.0
69,1589760,train,2026-04-17 17:42:32,0.0,1.1552,90.0,0.0128,0.0
70,1612800,train,2026-04-17 17:42:54,0.0,1.0211,90.0,0.0113,0.0
71,1635840,train,2026-04-17 17:43:16,0.0,1.0255,90.0,0.0114,0.0
72,1658880,train,2026-04-17 17:43:38,0.0,1.0854,90.0,0.0121,0.0
73,1681920,train,2026-04-17 17:44:01,0.0,1.1599,90.0,0.0129,0.0
74,1704960,train,2026-04-17 17:44:23,0.0,1.2759,90.0,0.0142,0.0
75,1728000,train,2026-04-17 17:44:45,0.0,1.184,90.0,0.0132,0.0
76,1728000,eval,2026-04-17 17:46:20,0.0,1.3601,90.0,0.0151,0.0
76,1751040,train,2026-04-17 17:46:41,0.0,1.2981,90.0,0.0144,0.0
77,1774080,train,2026-04-17 17:47:03,0.0,1.316,90.0,0.0146,0.0
78,1797120,train,2026-04-17 17:47:25,0.0,1.2512,90.0,0.0139,0.0
79,1820160,train,2026-04-17 17:47:47,0.0,1.2271,90.0,0.0136,0.0
80,1843200,train,2026-04-17 17:48:09,0.0,1.2448,90.0,0.0138,0.0
81,1866240,train,2026-04-17 17:48:31,0.0,1.159,90.0,0.0129,0.0
82,1889280,train,2026-04-17 17:48:54,0.0,1.1747,90.0,0.0131,0.0
83,1912320,train,2026-04-17 17:49:16,0.0,1.1489,90.0,0.0128,0.0
84,1935360,train,2026-04-17 17:49:38,0.0,1.3315,90.0,0.0148,0.0
85,1958400,train,2026-04-17 17:50:00,0.0,1.216,90.0,0.0135,0.0
86,1981440,train,2026-04-17 17:50:23,0.0,1.3321,90.0,0.0148,0.0
87,2004480,train,2026-04-17 17:50:45,0.0,1.2631,90.0,0.014,0.0
88,2027520,train,2026-04-17 17:51:08,0.0,1.1917,90.0,0.0132,0.0
89,2050560,train,2026-04-17 17:51:30,0.0,1.2801,90.0,0.0142,0.0
90,2073600,train,2026-04-17 17:51:52,0.0,1.273,90.0,0.0141,0.0
91,2096640,train,2026-04-17 17:52:15,0.0,1.3088,90.0,0.0145,0.0
92,2119680,train,2026-04-17 17:52:37,0.0,1.3302,90.0,0.0148,0.0
93,2142720,train,2026-04-17 17:53:00,0.0,1.3668,90.0,0.0152,0.0
94,2165760,train,2026-04-17 17:53:22,0.0,1.3843,90.0,0.0154,0.0
95,2188800,train,2026-04-17 17:53:45,0.0,1.4902,90.0,0.0166,0.0
96,2211840,train,2026-04-17 17:54:07,0.0,1.5965,90.0,0.0177,0.0
97,2234880,train,2026-04-17 17:54:29,0.0,1.6485,90.0,0.0183,0.0
98,2257920,train,2026-04-17 17:54:52,0.0,1.5343,90.0,0.017,0.0
99,2280960,train,2026-04-17 17:55:14,0.0,1.5409,90.0,0.0171,0.0
100,2304000,train,2026-04-17 17:55:36,0.0078,1.6614,90.0,0.0185,0.0039
101,2304000,eval,2026-04-17 17:57:11,0.0,1.5304,90.0,0.017,0.0
101,2327040,train,2026-04-17 17:57:32,0.0,1.4956,90.0,0.0166,0.0
102,2350080,train,2026-04-17 17:57:54,0.0,1.5317,90.0,0.017,0.0
103,2373120,train,2026-04-17 17:58:16,0.0,1.7043,90.0,0.0189,0.0
104,2396160,train,2026-04-17 17:58:39,0.0117,1.7562,90.0,0.0195,0.0
105,2419200,train,2026-04-17 17:59:01,0.0,1.4854,90.0,0.0165,0.0
106,2442240,train,2026-04-17 17:59:23,0.0,1.2685,90.0,0.0141,0.0
107,2465280,train,2026-04-17 17:59:46,0.0039,1.3654,90.0,0.0152,0.0
108,2488320,train,2026-04-17 18:00:08,0.0117,1.7266,90.0,0.0192,0.0
