iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 17:13:15,0.0,1.0654,90.0,0.0118,0.0
1,23040,train,2026-05-10 17:13:36,0.0,1.027,90.0,0.0114,0.0
2,46080,train,2026-05-10 17:13:58,0.0,1.0916,90.0,0.0121,0.0
3,69120,train,2026-05-10 17:14:21,0.0,1.2738,90.0,0.0142,0.0
4,92160,train,2026-05-10 17:14:44,0.0039,1.3509,90.0,0.015,0.0
5,115200,train,2026-05-10 17:15:07,0.0039,1.4552,90.0,0.0162,0.0
6,138240,train,2026-05-10 17:15:29,0.0,1.4576,90.0,0.0162,0.0
7,161280,train,2026-05-10 17:15:52,0.0,1.4895,90.0,0.0165,0.0
8,184320,train,2026-05-10 17:16:14,0.0039,1.5896,90.0,0.0177,0.0
9,207360,train,2026-05-10 17:16:37,0.0,1.2996,90.0,0.0144,0.0
10,230400,train,2026-05-10 17:16:59,0.0,1.2925,90.0,0.0144,0.0
11,253440,train,2026-05-10 17:17:22,0.0039,1.2105,90.0,0.0134,0.0
12,276480,train,2026-05-10 17:17:45,0.0,1.1878,90.0,0.0132,0.0
13,299520,train,2026-05-10 17:18:07,0.0,1.17,90.0,0.013,0.0
14,322560,train,2026-05-10 17:18:30,0.0,1.1294,90.0,0.0125,0.0
15,345600,train,2026-05-10 17:18:52,0.0,1.2004,90.0,0.0133,0.0
16,368640,train,2026-05-10 17:19:15,0.0,1.1447,90.0,0.0127,0.0
17,391680,train,2026-05-10 17:19:37,0.0,1.2309,90.0,0.0137,0.0
18,414720,train,2026-05-10 17:20:00,0.0,1.3239,90.0,0.0147,0.0
19,437760,train,2026-05-10 17:20:22,0.0,1.2519,90.0,0.0139,0.0
20,460800,train,2026-05-10 17:20:44,0.0,1.2997,90.0,0.0144,0.0
21,483840,train,2026-05-10 17:21:07,0.0,1.2969,90.0,0.0144,0.0
22,506880,train,2026-05-10 17:21:29,0.0,1.281,90.0,0.0142,0.0
23,529920,train,2026-05-10 17:21:52,0.0,1.2935,90.0,0.0144,0.0
24,552960,train,2026-05-10 17:22:14,0.0,1.2557,90.0,0.014,0.0
25,576000,train,2026-05-10 17:22:37,0.0,1.1538,90.0,0.0128,0.0
26,576000,eval,2026-05-10 17:24:21,0.0,1.1673,90.0,0.013,0.0
26,599040,train,2026-05-10 17:24:42,0.0,1.0761,90.0,0.012,0.0
27,622080,train,2026-05-10 17:25:04,0.0,1.2328,90.0,0.0137,0.0
