iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-16 06:02:34,0.0,1.0362,90.0,0.0115,0.0
1,23040,train,2026-04-16 06:02:55,0.0,1.1435,90.0,0.0127,0.0
2,46080,train,2026-04-16 06:03:18,0.0,1.2091,90.0,0.0134,0.0
3,69120,train,2026-04-16 06:03:41,0.0,1.3166,90.0,0.0146,0.0
4,92160,train,2026-04-16 06:04:04,0.0,1.3207,90.0,0.0147,0.0
5,115200,train,2026-04-16 06:04:27,0.0,1.4536,90.0,0.0162,0.0
6,138240,train,2026-04-16 06:04:50,0.0,1.6209,90.0,0.018,0.0
7,161280,train,2026-04-16 06:05:13,0.0,1.4672,90.0,0.0163,0.0
8,184320,train,2026-04-16 06:05:36,0.0039,1.4318,90.0,0.0159,0.0
9,207360,train,2026-04-16 06:05:59,0.0,1.3851,90.0,0.0154,0.0
10,230400,train,2026-04-16 06:06:22,0.0,1.282,90.0,0.0142,0.0
11,253440,train,2026-04-16 06:06:45,0.0039,1.3695,90.0,0.0152,0.0
12,276480,train,2026-04-16 06:07:07,0.0,1.2994,90.0,0.0144,0.0
13,299520,train,2026-04-16 06:07:30,0.0,1.389,90.0,0.0154,0.0
14,322560,train,2026-04-16 06:07:53,0.0,1.3474,90.0,0.015,0.0
15,345600,train,2026-04-16 06:08:16,0.0,1.4403,90.0,0.016,0.0
16,368640,train,2026-04-16 06:08:38,0.0,1.5016,90.0,0.0167,0.0
17,391680,train,2026-04-16 06:09:01,0.0,1.5803,90.0,0.0176,0.0
18,414720,train,2026-04-16 06:09:24,0.0,1.5667,90.0,0.0174,0.0
19,437760,train,2026-04-16 06:09:47,0.0039,1.7115,90.0,0.019,0.0
20,460800,train,2026-04-16 06:10:10,0.0,1.6704,90.0,0.0186,0.0
21,483840,train,2026-04-16 06:10:33,0.0,1.6318,90.0,0.0181,0.0
22,506880,train,2026-04-16 06:10:56,0.0039,1.7287,90.0,0.0192,0.0
23,529920,train,2026-04-16 06:11:19,0.0039,1.6919,90.0,0.0188,0.0
24,552960,train,2026-04-16 06:11:42,0.0,1.6483,90.0,0.0183,0.0
25,576000,train,2026-04-16 06:12:05,0.0039,1.7319,90.0,0.0192,0.0
26,576000,eval,2026-04-16 06:13:37,0.0,1.8774,90.0,0.0209,0.0
26,599040,train,2026-04-16 06:13:58,0.0039,1.866,90.0,0.0207,0.0
27,622080,train,2026-04-16 06:14:21,0.0,1.8628,90.0,0.0207,0.0
28,645120,train,2026-04-16 06:14:44,0.0,1.8746,90.0,0.0208,0.0
29,668160,train,2026-04-16 06:15:08,0.0039,2.2468,90.0,0.025,0.0039
30,691200,train,2026-04-16 06:15:31,0.0195,2.4671,90.0,0.0274,0.0
31,714240,train,2026-04-16 06:15:54,0.0234,2.7001,90.0,0.03,0.0
32,737280,train,2026-04-16 06:16:18,0.0117,2.3083,90.0,0.0256,0.0
