iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 07:37:56,0.0,1.0588,90.0,0.0118,0.0
1,23040,train,2026-05-17 07:38:40,0.0,1.0228,90.0,0.0114,0.0
2,46080,train,2026-05-17 07:39:25,0.0,1.1134,90.0,0.0124,0.0
3,69120,train,2026-05-17 07:40:10,0.0,1.2613,90.0,0.014,0.0
4,92160,train,2026-05-17 07:40:56,0.0,1.3514,90.0,0.015,0.0
5,115200,train,2026-05-17 07:41:41,0.0039,1.479,90.0,0.0164,0.0
6,138240,train,2026-05-17 07:42:26,0.0039,1.7207,90.0,0.0191,0.0
7,161280,train,2026-05-17 07:43:12,0.0117,2.0704,90.0,0.023,0.0
8,184320,train,2026-05-17 07:43:57,0.0078,2.284,90.0,0.0254,0.0039
9,207360,train,2026-05-17 07:44:43,0.0547,3.0496,90.0,0.0339,0.0039
10,230400,train,2026-05-17 07:45:29,0.0156,2.4815,90.0,0.0276,0.0
11,253440,train,2026-05-17 07:46:14,0.0234,2.8693,90.0,0.0319,0.0039
12,276480,train,2026-05-17 07:47:00,0.0469,3.3456,90.0,0.0372,0.0039
13,299520,train,2026-05-17 07:47:45,0.043,3.4163,90.0,0.038,0.0
14,322560,train,2026-05-17 07:48:31,0.0508,3.4996,90.0,0.0389,0.0078
15,345600,train,2026-05-17 07:49:17,0.0547,3.4902,90.0,0.0388,0.0195
16,368640,train,2026-05-17 07:50:03,0.0508,3.5239,90.0,0.0392,0.0039
17,391680,train,2026-05-17 07:50:48,0.0625,3.6343,90.0,0.0404,0.0078
18,414720,train,2026-05-17 07:51:34,0.0391,3.474,90.0,0.0386,0.0039
19,437760,train,2026-05-17 07:52:20,0.0469,3.7477,90.0,0.0416,0.0
20,460800,train,2026-05-17 07:53:05,0.0547,3.8154,90.0,0.0424,0.0078
21,483840,train,2026-05-17 07:53:51,0.0508,4.0145,90.0,0.0446,0.0117
22,506880,train,2026-05-17 07:54:37,0.0391,3.715,90.0,0.0413,0.0039
23,529920,train,2026-05-17 07:55:23,0.0664,4.2818,90.0,0.0476,0.0039
24,552960,train,2026-05-17 07:56:08,0.0312,3.4722,90.0,0.0386,0.0
25,576000,train,2026-05-17 07:56:54,0.0352,3.8448,90.0,0.0427,0.0
26,576000,eval,2026-05-17 07:58:03,0.0208,4.5839,90.0,0.0509,0.0208
26,599040,train,2026-05-17 07:58:48,0.0625,4.3009,90.0,0.0478,0.0117
27,622080,train,2026-05-17 07:59:34,0.0742,4.1251,90.0,0.0458,0.0117
28,645120,train,2026-05-17 08:00:20,0.0547,4.0858,90.0,0.0454,0.0078
29,668160,train,2026-05-17 08:01:06,0.0742,4.2713,90.0,0.0475,0.0
30,691200,train,2026-05-17 08:01:51,0.0938,5.1983,90.0,0.0578,0.0156
31,714240,train,2026-05-17 08:02:37,0.0859,4.7168,90.0,0.0524,0.0039
32,737280,train,2026-05-17 08:03:23,0.0742,4.4605,90.0,0.0496,0.0078
33,760320,train,2026-05-17 08:04:09,0.0664,4.7134,90.0,0.0524,0.0039
34,783360,train,2026-05-17 08:04:55,0.0781,4.6954,90.0,0.0522,0.0039
35,806400,train,2026-05-17 08:05:41,0.1289,5.8454,90.0,0.0649,0.0195
36,829440,train,2026-05-17 08:06:27,0.1055,5.7699,90.0,0.0641,0.0195
37,852480,train,2026-05-17 08:07:13,0.0859,5.3591,90.0,0.0595,0.0078
38,875520,train,2026-05-17 08:07:59,0.1094,5.6669,90.0,0.063,0.0078
39,898560,train,2026-05-17 08:08:45,0.1445,6.2246,90.0,0.0692,0.0078
40,921600,train,2026-05-17 08:09:31,0.1445,6.138,90.0,0.0682,0.0
41,944640,train,2026-05-17 08:10:17,0.1406,6.0117,90.0,0.0668,0.0
42,967680,train,2026-05-17 08:11:03,0.1484,6.8496,90.0,0.0761,0.0117
43,990720,train,2026-05-17 08:11:49,0.168,6.4324,90.0,0.0715,0.0234
44,1013760,train,2026-05-17 08:12:35,0.1719,6.7898,90.0,0.0754,0.0
45,1036800,train,2026-05-17 08:13:21,0.1445,6.2321,90.0,0.0692,0.0078
46,1059840,train,2026-05-17 08:14:08,0.1602,6.8751,90.0,0.0764,0.0117
