iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 20:00:28,0.0,1.0305,90.0,0.0115,0.0
1,23040,train,2026-05-10 20:00:49,0.0,1.0267,90.0,0.0114,0.0
2,46080,train,2026-05-10 20:01:11,0.0,0.9874,90.0,0.011,0.0
3,69120,train,2026-05-10 20:01:33,0.0,1.1507,90.0,0.0128,0.0
4,92160,train,2026-05-10 20:01:56,0.0,1.2324,90.0,0.0137,0.0
5,115200,train,2026-05-10 20:02:19,0.0,1.4245,90.0,0.0158,0.0
6,138240,train,2026-05-10 20:02:41,0.0,1.5656,90.0,0.0174,0.0
7,161280,train,2026-05-10 20:03:04,0.0039,1.5795,90.0,0.0176,0.0039
8,184320,train,2026-05-10 20:03:27,0.0039,1.6826,90.0,0.0187,0.0
9,207360,train,2026-05-10 20:03:49,0.0,1.5798,90.0,0.0176,0.0
10,230400,train,2026-05-10 20:04:12,0.0,1.714,90.0,0.019,0.0
11,253440,train,2026-05-10 20:04:34,0.0,1.6462,90.0,0.0183,0.0
12,276480,train,2026-05-10 20:04:57,0.0,1.7064,90.0,0.019,0.0
13,299520,train,2026-05-10 20:05:20,0.0,1.7442,90.0,0.0194,0.0
14,322560,train,2026-05-10 20:05:42,0.0,1.714,90.0,0.019,0.0
15,345600,train,2026-05-10 20:06:05,0.0078,1.8191,90.0,0.0202,0.0
16,368640,train,2026-05-10 20:06:27,0.0,1.6974,90.0,0.0189,0.0
17,391680,train,2026-05-10 20:06:50,0.0,1.6027,90.0,0.0178,0.0
18,414720,train,2026-05-10 20:07:13,0.0,1.5389,90.0,0.0171,0.0
19,437760,train,2026-05-10 20:07:36,0.0,1.5085,90.0,0.0168,0.0
20,460800,train,2026-05-10 20:07:58,0.0039,1.5102,90.0,0.0168,0.0
21,483840,train,2026-05-10 20:08:21,0.0,1.4572,90.0,0.0162,0.0
22,506880,train,2026-05-10 20:08:43,0.0,1.4378,90.0,0.016,0.0
23,529920,train,2026-05-10 20:09:05,0.0,1.4062,90.0,0.0156,0.0
24,552960,train,2026-05-10 20:09:28,0.0,1.3551,90.0,0.0151,0.0
25,576000,train,2026-05-10 20:09:50,0.0,1.3814,90.0,0.0153,0.0
26,576000,eval,2026-05-10 20:11:34,0.0,1.381,90.0,0.0153,0.0
26,599040,train,2026-05-10 20:11:55,0.0,1.3866,90.0,0.0154,0.0
27,622080,train,2026-05-10 20:12:17,0.0,1.382,90.0,0.0154,0.0
28,645120,train,2026-05-10 20:12:39,0.0,1.4024,90.0,0.0156,0.0
29,668160,train,2026-05-10 20:13:02,0.0,1.3637,90.0,0.0152,0.0
30,691200,train,2026-05-10 20:13:24,0.0,1.3806,90.0,0.0153,0.0
31,714240,train,2026-05-10 20:13:46,0.0,1.417,90.0,0.0157,0.0
32,737280,train,2026-05-10 20:14:09,0.0039,1.417,90.0,0.0157,0.0
33,760320,train,2026-05-10 20:14:31,0.0,1.3885,90.0,0.0154,0.0
34,783360,train,2026-05-10 20:14:53,0.0039,1.3884,90.0,0.0154,0.0
35,806400,train,2026-05-10 20:15:16,0.0,1.4045,90.0,0.0156,0.0
36,829440,train,2026-05-10 20:15:38,0.0,1.441,90.0,0.016,0.0
37,852480,train,2026-05-10 20:16:00,0.0,1.4572,90.0,0.0162,0.0
38,875520,train,2026-05-10 20:16:23,0.0,1.4342,90.0,0.0159,0.0
39,898560,train,2026-05-10 20:16:45,0.0,1.4884,90.0,0.0165,0.0
40,921600,train,2026-05-10 20:17:07,0.0,1.4795,90.0,0.0164,0.0
41,944640,train,2026-05-10 20:17:30,0.0,1.4478,90.0,0.0161,0.0
42,967680,train,2026-05-10 20:17:52,0.0,1.4269,90.0,0.0159,0.0
43,990720,train,2026-05-10 20:18:14,0.0,1.4304,90.0,0.0159,0.0
44,1013760,train,2026-05-10 20:18:37,0.0,1.4053,90.0,0.0156,0.0
45,1036800,train,2026-05-10 20:18:59,0.0,1.4605,90.0,0.0162,0.0
46,1059840,train,2026-05-10 20:19:22,0.0,1.4254,90.0,0.0158,0.0
47,1082880,train,2026-05-10 20:19:44,0.0,1.4305,90.0,0.0159,0.0
48,1105920,train,2026-05-10 20:20:06,0.0,1.4365,90.0,0.016,0.0
49,1128960,train,2026-05-10 20:20:29,0.0,1.4188,90.0,0.0158,0.0
50,1152000,train,2026-05-10 20:20:51,0.0,1.4308,90.0,0.0159,0.0
51,1152000,eval,2026-05-10 20:22:33,0.0,1.4419,90.0,0.016,0.0
51,1175040,train,2026-05-10 20:22:53,0.0,1.4252,90.0,0.0158,0.0
52,1198080,train,2026-05-10 20:23:15,0.0,1.4182,90.0,0.0158,0.0
53,1221120,train,2026-05-10 20:23:38,0.0,1.4221,90.0,0.0158,0.0
54,1244160,train,2026-05-10 20:24:00,0.0,1.3822,90.0,0.0154,0.0
55,1267200,train,2026-05-10 20:24:22,0.0,1.3764,90.0,0.0153,0.0
56,1290240,train,2026-05-10 20:24:45,0.0,1.3409,90.0,0.0149,0.0
57,1313280,train,2026-05-10 20:25:07,0.0,1.3259,90.0,0.0147,0.0
58,1336320,train,2026-05-10 20:25:29,0.0,1.3305,90.0,0.0148,0.0
59,1359360,train,2026-05-10 20:25:52,0.0,1.3567,90.0,0.0151,0.0
60,1382400,train,2026-05-10 20:26:14,0.0,1.3314,90.0,0.0148,0.0
61,1405440,train,2026-05-10 20:26:36,0.0,1.3396,90.0,0.0149,0.0
62,1428480,train,2026-05-10 20:26:59,0.0,1.3418,90.0,0.0149,0.0
63,1451520,train,2026-05-10 20:27:21,0.0,1.3237,90.0,0.0147,0.0
64,1474560,train,2026-05-10 20:27:43,0.0,1.3349,90.0,0.0148,0.0
65,1497600,train,2026-05-10 20:28:06,0.0,1.3378,90.0,0.0149,0.0
66,1520640,train,2026-05-10 20:28:28,0.0,1.355,90.0,0.0151,0.0
67,1543680,train,2026-05-10 20:28:51,0.0,1.3696,90.0,0.0152,0.0
68,1566720,train,2026-05-10 20:29:13,0.0,1.3601,90.0,0.0151,0.0
69,1589760,train,2026-05-10 20:29:35,0.0,1.3792,90.0,0.0153,0.0
70,1612800,train,2026-05-10 20:29:58,0.0,1.3542,90.0,0.015,0.0
71,1635840,train,2026-05-10 20:30:20,0.0,1.3439,90.0,0.0149,0.0
72,1658880,train,2026-05-10 20:30:43,0.0,1.325,90.0,0.0147,0.0
73,1681920,train,2026-05-10 20:31:05,0.0,1.3321,90.0,0.0148,0.0
74,1704960,train,2026-05-10 20:31:27,0.0,1.284,90.0,0.0143,0.0
75,1728000,train,2026-05-10 20:31:50,0.0,1.2996,90.0,0.0144,0.0
76,1728000,eval,2026-05-10 20:33:32,0.0,1.3288,90.0,0.0148,0.0
76,1751040,train,2026-05-10 20:33:53,0.0,1.3104,90.0,0.0146,0.0
77,1774080,train,2026-05-10 20:34:15,0.0,1.2989,90.0,0.0144,0.0
78,1797120,train,2026-05-10 20:34:37,0.0,1.3186,90.0,0.0147,0.0
79,1820160,train,2026-05-10 20:34:59,0.0,1.3381,90.0,0.0149,0.0
80,1843200,train,2026-05-10 20:35:22,0.0,1.3379,90.0,0.0149,0.0
81,1866240,train,2026-05-10 20:35:45,0.0,1.3249,90.0,0.0147,0.0
82,1889280,train,2026-05-10 20:36:07,0.0,1.3108,90.0,0.0146,0.0
83,1912320,train,2026-05-10 20:36:29,0.0,1.3297,90.0,0.0148,0.0
84,1935360,train,2026-05-10 20:36:52,0.0,1.3376,90.0,0.0149,0.0
85,1958400,train,2026-05-10 20:37:14,0.0,1.3591,90.0,0.0151,0.0
86,1981440,train,2026-05-10 20:37:36,0.0,1.3421,90.0,0.0149,0.0
87,2004480,train,2026-05-10 20:37:59,0.0,1.3372,90.0,0.0149,0.0
88,2027520,train,2026-05-10 20:38:21,0.0,1.3258,90.0,0.0147,0.0
89,2050560,train,2026-05-10 20:38:43,0.0,1.306,90.0,0.0145,0.0
90,2073600,train,2026-05-10 20:39:06,0.0,1.3327,90.0,0.0148,0.0
91,2096640,train,2026-05-10 20:39:28,0.0,1.3108,90.0,0.0146,0.0
92,2119680,train,2026-05-10 20:39:51,0.0,1.3238,90.0,0.0147,0.0
93,2142720,train,2026-05-10 20:40:13,0.0,1.3338,90.0,0.0148,0.0
94,2165760,train,2026-05-10 20:40:36,0.0,1.3192,90.0,0.0147,0.0
95,2188800,train,2026-05-10 20:40:58,0.0,1.3344,90.0,0.0148,0.0
96,2211840,train,2026-05-10 20:41:20,0.0,1.3432,90.0,0.0149,0.0
97,2234880,train,2026-05-10 20:41:43,0.0,1.3555,90.0,0.0151,0.0
98,2257920,train,2026-05-10 20:42:05,0.0,1.3353,90.0,0.0148,0.0
99,2280960,train,2026-05-10 20:42:27,0.0,1.3437,90.0,0.0149,0.0
100,2304000,train,2026-05-10 20:42:50,0.0,1.3439,90.0,0.0149,0.0
101,2304000,eval,2026-05-10 20:44:35,0.0,1.3762,90.0,0.0153,0.0
101,2327040,train,2026-05-10 20:44:55,0.0,1.3293,90.0,0.0148,0.0
102,2350080,train,2026-05-10 20:45:17,0.0,1.3527,90.0,0.015,0.0
103,2373120,train,2026-05-10 20:45:40,0.0,1.3453,90.0,0.0149,0.0
104,2396160,train,2026-05-10 20:46:02,0.0,1.3105,90.0,0.0146,0.0
105,2419200,train,2026-05-10 20:46:24,0.0,1.3461,90.0,0.015,0.0
106,2442240,train,2026-05-10 20:46:47,0.0,1.3071,90.0,0.0145,0.0
107,2465280,train,2026-05-10 20:47:09,0.0,1.3118,90.0,0.0146,0.0
108,2488320,train,2026-05-10 20:47:31,0.0,1.3009,90.0,0.0145,0.0
109,2511360,train,2026-05-10 20:47:54,0.0,1.3132,90.0,0.0146,0.0
110,2534400,train,2026-05-10 20:48:16,0.0,1.3178,90.0,0.0146,0.0
111,2557440,train,2026-05-10 20:48:39,0.0,1.2823,90.0,0.0142,0.0
112,2580480,train,2026-05-10 20:49:01,0.0,1.3006,90.0,0.0145,0.0
113,2603520,train,2026-05-10 20:49:23,0.0,1.2856,90.0,0.0143,0.0
114,2626560,train,2026-05-10 20:49:46,0.0,1.2682,90.0,0.0141,0.0
115,2649600,train,2026-05-10 20:50:08,0.0,1.2521,90.0,0.0139,0.0
116,2672640,train,2026-05-10 20:50:31,0.0,1.2344,90.0,0.0137,0.0
117,2695680,train,2026-05-10 20:50:53,0.0,1.232,90.0,0.0137,0.0
118,2718720,train,2026-05-10 20:51:16,0.0,1.2479,90.0,0.0139,0.0
119,2741760,train,2026-05-10 20:51:38,0.0,1.2323,90.0,0.0137,0.0
120,2764800,train,2026-05-10 20:52:00,0.0,1.2531,90.0,0.0139,0.0
121,2787840,train,2026-05-10 20:52:23,0.0,1.2344,90.0,0.0137,0.0
122,2810880,train,2026-05-10 20:52:46,0.0,1.216,90.0,0.0135,0.0
123,2833920,train,2026-05-10 20:53:08,0.0,1.2297,90.0,0.0137,0.0
124,2856960,train,2026-05-10 20:53:31,0.0,1.2451,90.0,0.0138,0.0
125,2880000,train,2026-05-10 20:53:53,0.0,1.243,90.0,0.0138,0.0
126,2880000,eval,2026-05-10 20:55:36,0.0,1.2971,90.0,0.0144,0.0
126,2903040,train,2026-05-10 20:55:56,0.0,1.2354,90.0,0.0137,0.0
127,2926080,train,2026-05-10 20:56:19,0.0,1.2573,90.0,0.014,0.0
128,2949120,train,2026-05-10 20:56:41,0.0,1.2509,90.0,0.0139,0.0
129,2972160,train,2026-05-10 20:57:04,0.0,1.2414,90.0,0.0138,0.0
130,2995200,train,2026-05-10 20:57:26,0.0,1.242,90.0,0.0138,0.0
131,3018240,train,2026-05-10 20:57:48,0.0039,1.3056,90.0,0.0145,0.0
132,3041280,train,2026-05-10 20:58:11,0.0,1.2844,90.0,0.0143,0.0
133,3064320,train,2026-05-10 20:58:33,0.0,1.294,90.0,0.0144,0.0
134,3087360,train,2026-05-10 20:58:56,0.0,1.2884,90.0,0.0143,0.0
135,3110400,train,2026-05-10 20:59:18,0.0,1.2659,90.0,0.0141,0.0
136,3133440,train,2026-05-10 20:59:40,0.0,1.2553,90.0,0.0139,0.0
137,3156480,train,2026-05-10 21:00:03,0.0,1.2522,90.0,0.0139,0.0
138,3179520,train,2026-05-10 21:00:25,0.0,1.2681,90.0,0.0141,0.0
139,3202560,train,2026-05-10 21:00:48,0.0,1.2646,90.0,0.0141,0.0
140,3225600,train,2026-05-10 21:01:10,0.0,1.2487,90.0,0.0139,0.0
141,3248640,train,2026-05-10 21:01:33,0.0,1.2321,90.0,0.0137,0.0
142,3271680,train,2026-05-10 21:01:55,0.0,1.219,90.0,0.0135,0.0
143,3294720,train,2026-05-10 21:02:18,0.0,1.2266,90.0,0.0136,0.0
144,3317760,train,2026-05-10 21:02:40,0.0,1.259,90.0,0.014,0.0
