iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-30 04:21:39,0.0,1.0394,90.0,0.0115,0.0
1,23040,train,2026-05-30 04:22:38,0.0,1.0099,90.0,0.0112,0.0
2,46080,train,2026-05-30 04:23:40,0.0,1.229,90.0,0.0137,0.0
3,69120,train,2026-05-30 04:24:39,0.0,1.3107,90.0,0.0146,0.0
4,92160,train,2026-05-30 04:25:39,0.0,1.4391,90.0,0.016,0.0
5,115200,train,2026-05-30 04:26:39,0.0,1.5874,90.0,0.0176,0.0
6,138240,train,2026-05-30 04:27:39,0.0039,1.748,90.0,0.0194,0.0
7,161280,train,2026-05-30 04:28:39,0.0,1.7541,90.0,0.0195,0.0
8,184320,train,2026-05-30 04:29:39,0.0,1.9134,90.0,0.0213,0.0
9,207360,train,2026-05-30 04:30:39,0.0,2.1104,90.0,0.0234,0.0
10,230400,train,2026-05-30 04:31:39,0.0156,2.5,90.0,0.0278,0.0
11,253440,train,2026-05-30 04:32:39,0.0117,2.6104,90.0,0.029,0.0039
12,276480,train,2026-05-30 04:33:39,0.0273,2.9017,90.0,0.0322,0.0
13,299520,train,2026-05-30 04:34:39,0.0312,2.9929,90.0,0.0333,0.0039
14,322560,train,2026-05-30 04:35:40,0.0391,3.4499,90.0,0.0383,0.0
15,345600,train,2026-05-30 04:36:40,0.0312,3.0869,90.0,0.0343,0.0
16,368640,train,2026-05-30 04:37:40,0.0391,3.4994,90.0,0.0389,0.0078
17,391680,train,2026-05-30 04:38:40,0.0352,3.1823,90.0,0.0354,0.0039
18,414720,train,2026-05-30 04:39:40,0.0391,3.3211,90.0,0.0369,0.0117
19,437760,train,2026-05-30 04:40:41,0.0352,3.205,90.0,0.0356,0.0039
20,460800,train,2026-05-30 04:41:41,0.0547,3.5052,90.0,0.0389,0.0078
21,483840,train,2026-05-30 04:42:41,0.0352,3.3598,90.0,0.0373,0.0039
22,506880,train,2026-05-30 04:43:41,0.0625,3.7659,90.0,0.0418,0.0039
23,529920,train,2026-05-30 04:44:41,0.0664,4.1417,90.0,0.046,0.0234
24,552960,train,2026-05-30 04:45:42,0.0664,3.9747,90.0,0.0442,0.0078
25,576000,train,2026-05-30 04:46:42,0.0625,3.9447,90.0,0.0438,0.0078
