iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 15:59:07,0.0,1.0589,90.0,0.0118,0.0
1,23040,train,2026-05-17 15:59:46,0.0,1.0214,90.0,0.0113,0.0
2,46080,train,2026-05-17 16:00:26,0.0,1.1235,90.0,0.0125,0.0
3,69120,train,2026-05-17 16:01:05,0.0,1.3063,90.0,0.0145,0.0
4,92160,train,2026-05-17 16:01:43,0.0,1.4132,90.0,0.0157,0.0
5,115200,train,2026-05-17 16:02:21,0.0039,1.5356,90.0,0.0171,0.0
6,138240,train,2026-05-17 16:02:58,0.0078,1.6958,90.0,0.0188,0.0
7,161280,train,2026-05-17 16:03:34,0.0078,2.096,90.0,0.0233,0.0
8,184320,train,2026-05-17 16:04:09,0.0117,2.1027,90.0,0.0234,0.0
9,207360,train,2026-05-17 16:04:44,0.0273,2.6335,90.0,0.0293,0.0
10,230400,train,2026-05-17 16:05:19,0.0195,2.5597,90.0,0.0284,0.0039
11,253440,train,2026-05-17 16:05:55,0.0312,2.8594,90.0,0.0318,0.0117
12,276480,train,2026-05-17 16:06:30,0.0586,3.4021,90.0,0.0378,0.0117
13,299520,train,2026-05-17 16:07:05,0.0273,2.9426,90.0,0.0327,0.0039
14,322560,train,2026-05-17 16:07:41,0.0391,3.1946,90.0,0.0355,0.0039
15,345600,train,2026-05-17 16:08:17,0.0586,3.403,90.0,0.0378,0.0
16,368640,train,2026-05-17 16:08:54,0.0742,4.0548,90.0,0.0451,0.0117
17,391680,train,2026-05-17 16:09:32,0.043,3.361,90.0,0.0373,0.0078
18,414720,train,2026-05-17 16:10:10,0.0391,3.472,90.0,0.0386,0.0039
19,437760,train,2026-05-17 16:10:50,0.0586,3.7366,90.0,0.0415,0.0039
20,460800,train,2026-05-17 16:11:30,0.0508,3.8438,90.0,0.0427,0.0117
21,483840,train,2026-05-17 16:12:10,0.0625,3.7612,90.0,0.0418,0.0039
22,506880,train,2026-05-17 16:12:50,0.0508,3.7525,90.0,0.0417,0.0078
23,529920,train,2026-05-17 16:13:35,0.0898,4.4764,90.0,0.0497,0.0117
24,552960,train,2026-05-17 16:14:14,0.0938,4.3499,90.0,0.0483,0.0039
25,576000,train,2026-05-17 16:14:52,0.0977,4.4567,90.0,0.0495,0.0156
26,576000,eval,2026-05-17 16:15:55,0.0625,5.7071,90.0,0.0634,0.0417
26,599040,train,2026-05-17 16:16:32,0.1406,5.228,90.0,0.0581,0.0117
27,622080,train,2026-05-17 16:17:12,0.1094,4.7004,90.0,0.0522,0.0195
