iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-25 02:41:57,0.0,1.0562,90.0,0.0117,0.0
1,23040,train,2026-05-25 02:42:36,0.0,1.018,90.0,0.0113,0.0
2,46080,train,2026-05-25 02:43:16,0.0,1.1671,90.0,0.013,0.0
3,69120,train,2026-05-25 02:43:55,0.0,1.3479,90.0,0.015,0.0
4,92160,train,2026-05-25 02:44:34,0.0,1.3724,90.0,0.0152,0.0
5,115200,train,2026-05-25 02:45:11,0.0,1.521,90.0,0.0169,0.0
6,138240,train,2026-05-25 02:45:48,0.0,1.6092,90.0,0.0179,0.0
7,161280,train,2026-05-25 02:46:25,0.0,1.6541,90.0,0.0184,0.0
8,184320,train,2026-05-25 02:47:02,0.0039,1.9792,90.0,0.022,0.0
9,207360,train,2026-05-25 02:47:38,0.0117,2.1914,90.0,0.0243,0.0039
10,230400,train,2026-05-25 02:48:14,0.0078,2.2615,90.0,0.0251,0.0
11,253440,train,2026-05-25 02:48:50,0.0195,2.5549,90.0,0.0284,0.0
12,276480,train,2026-05-25 02:49:26,0.0156,2.8169,90.0,0.0313,0.0
13,299520,train,2026-05-25 02:50:01,0.0156,2.7933,90.0,0.031,0.0078
14,322560,train,2026-05-25 02:50:37,0.043,3.3639,90.0,0.0374,0.0039
15,345600,train,2026-05-25 02:51:12,0.043,3.3351,90.0,0.0371,0.0
16,368640,train,2026-05-25 02:51:48,0.0391,3.4929,90.0,0.0388,0.0
17,391680,train,2026-05-25 02:52:24,0.0508,3.5072,90.0,0.039,0.0039
18,414720,train,2026-05-25 02:53:00,0.0586,3.8142,90.0,0.0424,0.0
19,437760,train,2026-05-25 02:53:36,0.0664,4.1387,90.0,0.046,0.0117
20,460800,train,2026-05-25 02:54:11,0.0547,3.5406,90.0,0.0393,0.0
21,483840,train,2026-05-25 02:54:47,0.0625,3.8781,90.0,0.0431,0.0039
22,506880,train,2026-05-25 02:55:23,0.1172,4.6168,90.0,0.0513,0.0156
23,529920,train,2026-05-25 02:55:58,0.0391,3.5176,90.0,0.0391,0.0039
24,552960,train,2026-05-25 02:56:34,0.0859,4.7786,90.0,0.0531,0.0156
25,576000,train,2026-05-25 02:57:09,0.0938,4.4494,90.0,0.0494,0.0117
26,576000,eval,2026-05-25 02:58:11,0.2083,9.845,90.0,0.1094,0.1146
26,599040,train,2026-05-25 02:58:45,0.1055,4.7046,90.0,0.0523,0.0
27,622080,train,2026-05-25 02:59:20,0.1211,5.508,90.0,0.0612,0.0078
28,645120,train,2026-05-25 02:59:55,0.1523,5.4643,90.0,0.0607,0.0
29,668160,train,2026-05-25 03:00:30,0.1016,5.2891,90.0,0.0588,0.0117
30,691200,train,2026-05-25 03:01:05,0.0938,5.1417,90.0,0.0571,0.0
31,714240,train,2026-05-25 03:01:40,0.1406,5.8922,90.0,0.0655,0.0117
32,737280,train,2026-05-25 03:02:15,0.1289,5.6462,90.0,0.0627,0.0039
33,760320,train,2026-05-25 03:02:50,0.1367,5.6283,90.0,0.0625,0.0156
34,783360,train,2026-05-25 03:03:25,0.0977,5.1248,90.0,0.0569,0.0078
35,806400,train,2026-05-25 03:04:00,0.125,5.3183,90.0,0.0591,0.0156
36,829440,train,2026-05-25 03:04:35,0.125,5.1788,90.0,0.0575,0.0078
37,852480,train,2026-05-25 03:05:11,0.0977,4.5798,90.0,0.0509,0.0
38,875520,train,2026-05-25 03:05:46,0.1016,5.0232,90.0,0.0558,0.0
39,898560,train,2026-05-25 03:06:21,0.1211,4.8023,90.0,0.0534,0.0039
40,921600,train,2026-05-25 03:06:56,0.1484,5.3136,90.0,0.059,0.0039
