iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 16:47:19,0.0,1.041,90.0,0.0116,0.0
1,23040,train,2026-05-17 16:47:59,0.0,1.0124,90.0,0.0112,0.0
2,46080,train,2026-05-17 16:48:39,0.0,1.2621,90.0,0.014,0.0
3,69120,train,2026-05-17 16:49:18,0.0,1.3846,90.0,0.0154,0.0
4,92160,train,2026-05-17 16:49:57,0.0,1.5085,90.0,0.0168,0.0
5,115200,train,2026-05-17 16:50:35,0.0,1.5703,90.0,0.0174,0.0
6,138240,train,2026-05-17 16:51:13,0.0,1.6326,90.0,0.0181,0.0
7,161280,train,2026-05-17 16:51:50,0.0,1.6591,90.0,0.0184,0.0
8,184320,train,2026-05-17 16:52:27,0.0,1.8621,90.0,0.0207,0.0
9,207360,train,2026-05-17 16:53:04,0.0,1.8886,90.0,0.021,0.0
10,230400,train,2026-05-17 16:53:41,0.0039,2.0492,90.0,0.0228,0.0
11,253440,train,2026-05-17 16:54:18,0.0,1.976,90.0,0.022,0.0
12,276480,train,2026-05-17 16:54:55,0.0,1.9757,90.0,0.022,0.0
13,299520,train,2026-05-17 16:55:31,0.0,2.0695,90.0,0.023,0.0
14,322560,train,2026-05-17 16:56:08,0.0117,2.414,90.0,0.0268,0.0039
15,345600,train,2026-05-17 16:56:44,0.0,2.412,90.0,0.0268,0.0
16,368640,train,2026-05-17 16:57:20,0.0117,2.6866,90.0,0.0299,0.0039
17,391680,train,2026-05-17 16:57:57,0.0078,2.7541,90.0,0.0306,0.0039
18,414720,train,2026-05-17 16:58:33,0.0195,3.2481,90.0,0.0361,0.0
19,437760,train,2026-05-17 16:59:09,0.0273,3.739,90.0,0.0415,0.0039
20,460800,train,2026-05-17 16:59:44,0.0625,4.4571,90.0,0.0495,0.0039
21,483840,train,2026-05-17 17:00:20,0.0586,4.752,90.0,0.0528,0.0
22,506880,train,2026-05-17 17:00:55,0.0742,4.3144,90.0,0.0479,0.0039
23,529920,train,2026-05-17 17:01:30,0.1367,5.1394,90.0,0.0571,0.0117
24,552960,train,2026-05-17 17:02:05,0.0703,4.4482,90.0,0.0494,0.0117
25,576000,train,2026-05-17 17:02:40,0.0703,4.5117,90.0,0.0501,0.0078
26,576000,eval,2026-05-17 17:03:43,0.0417,5.324,90.0,0.0592,0.0104
26,599040,train,2026-05-17 17:04:18,0.0938,4.8883,90.0,0.0543,0.0156
27,622080,train,2026-05-17 17:04:53,0.0781,4.8801,90.0,0.0542,0.0156
28,645120,train,2026-05-17 17:05:29,0.1016,4.8695,90.0,0.0541,0.0117
29,668160,train,2026-05-17 17:06:04,0.1133,5.0065,90.0,0.0556,0.0195
30,691200,train,2026-05-17 17:06:40,0.0703,4.5561,90.0,0.0506,0.0039
31,714240,train,2026-05-17 17:07:15,0.0859,5.0806,90.0,0.0565,0.0078
32,737280,train,2026-05-17 17:07:51,0.1016,5.5356,90.0,0.0615,0.0195
33,760320,train,2026-05-17 17:08:26,0.0625,4.7962,90.0,0.0533,0.0078
34,783360,train,2026-05-17 17:09:02,0.082,4.8404,90.0,0.0538,0.0
35,806400,train,2026-05-17 17:09:38,0.082,4.8984,90.0,0.0544,0.0078
36,829440,train,2026-05-17 17:10:13,0.1523,5.5179,90.0,0.0613,0.0039
37,852480,train,2026-05-17 17:10:49,0.1602,6.3911,90.0,0.071,0.0078
38,875520,train,2026-05-17 17:11:24,0.1797,6.0095,90.0,0.0668,0.0156
39,898560,train,2026-05-17 17:12:00,0.1055,4.8263,90.0,0.0536,0.0039
40,921600,train,2026-05-17 17:12:36,0.1484,5.1503,90.0,0.0572,0.0078
41,944640,train,2026-05-17 17:13:11,0.1836,6.0268,90.0,0.067,0.0078
42,967680,train,2026-05-17 17:13:47,0.1445,5.6985,90.0,0.0633,0.0078
43,990720,train,2026-05-17 17:14:23,0.1523,5.3523,90.0,0.0595,0.0078
44,1013760,train,2026-05-17 17:14:58,0.1875,5.9215,90.0,0.0658,0.0156
45,1036800,train,2026-05-17 17:15:34,0.207,6.6996,90.0,0.0744,0.0078
46,1059840,train,2026-05-17 17:16:09,0.1406,5.784,90.0,0.0643,0.0078
47,1082880,train,2026-05-17 17:16:45,0.1523,6.5393,90.0,0.0727,0.0273
48,1105920,train,2026-05-17 17:17:21,0.1602,6.3012,90.0,0.07,0.0117
49,1128960,train,2026-05-17 17:17:56,0.1406,5.6618,90.0,0.0629,0.0078
50,1152000,train,2026-05-17 17:18:32,0.1719,5.6544,90.0,0.0628,0.0078
51,1152000,eval,2026-05-17 17:19:34,0.1354,7.3363,90.0,0.0815,0.0417
51,1175040,train,2026-05-17 17:20:09,0.1719,5.6579,90.0,0.0629,0.0039
52,1198080,train,2026-05-17 17:20:44,0.1719,5.5315,90.0,0.0615,0.0039
53,1221120,train,2026-05-17 17:21:20,0.125,5.3014,90.0,0.0589,0.0117
54,1244160,train,2026-05-17 17:21:56,0.1836,6.1852,90.0,0.0687,0.0039
