iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 20:38:56,0.0,1.0439,90.0,0.0116,0.0
1,23040,train,2026-05-17 20:39:35,0.0,1.0144,90.0,0.0113,0.0
2,46080,train,2026-05-17 20:40:16,0.0,1.1949,90.0,0.0133,0.0
3,69120,train,2026-05-17 20:40:56,0.0,1.3051,90.0,0.0145,0.0
4,92160,train,2026-05-17 20:41:35,0.0,1.4719,90.0,0.0164,0.0
5,115200,train,2026-05-17 20:42:12,0.0,1.609,90.0,0.0179,0.0
6,138240,train,2026-05-17 20:42:50,0.0039,1.7649,90.0,0.0196,0.0
7,161280,train,2026-05-17 20:43:26,0.0,1.8227,90.0,0.0203,0.0
8,184320,train,2026-05-17 20:44:02,0.0,1.9177,90.0,0.0213,0.0
9,207360,train,2026-05-17 20:44:38,0.0039,2.1263,90.0,0.0236,0.0
10,230400,train,2026-05-17 20:45:14,0.0039,2.2131,90.0,0.0246,0.0
11,253440,train,2026-05-17 20:45:51,0.0078,2.1836,90.0,0.0243,0.0
12,276480,train,2026-05-17 20:46:26,0.0234,2.8112,90.0,0.0312,0.0
13,299520,train,2026-05-17 20:47:02,0.0195,2.6587,90.0,0.0295,0.0
14,322560,train,2026-05-17 20:47:37,0.0391,3.4637,90.0,0.0385,0.0039
15,345600,train,2026-05-17 20:48:13,0.0664,4.022,90.0,0.0447,0.0117
16,368640,train,2026-05-17 20:48:48,0.0547,3.9517,90.0,0.0439,0.0039
17,391680,train,2026-05-17 20:49:23,0.0508,3.5865,90.0,0.0399,0.0
18,414720,train,2026-05-17 20:49:58,0.0547,4.1797,90.0,0.0464,0.0039
19,437760,train,2026-05-17 20:50:33,0.0703,4.105,90.0,0.0456,0.0039
20,460800,train,2026-05-17 20:51:08,0.1016,4.6523,90.0,0.0517,0.0234
21,483840,train,2026-05-17 20:51:43,0.1211,5.36,90.0,0.0596,0.0039
22,506880,train,2026-05-17 20:52:19,0.0859,4.6781,90.0,0.052,0.0117
23,529920,train,2026-05-17 20:52:54,0.0938,4.6872,90.0,0.0521,0.0117
24,552960,train,2026-05-17 20:53:29,0.0703,4.5761,90.0,0.0508,0.0039
25,576000,train,2026-05-17 20:54:04,0.1328,5.0664,90.0,0.0563,0.0039
26,576000,eval,2026-05-17 20:55:07,0.0833,5.6462,90.0,0.0627,0.0521
26,599040,train,2026-05-17 20:55:41,0.1172,5.0312,90.0,0.0559,0.0078
27,622080,train,2026-05-17 20:56:17,0.0938,5.2116,90.0,0.0579,0.0117
28,645120,train,2026-05-17 20:56:52,0.0898,4.9425,90.0,0.0549,0.0
29,668160,train,2026-05-17 20:57:27,0.1055,5.2963,90.0,0.0588,0.0078
30,691200,train,2026-05-17 20:58:01,0.0703,4.1229,90.0,0.0458,0.0039
31,714240,train,2026-05-17 20:58:36,0.1016,4.8076,90.0,0.0534,0.0078
32,737280,train,2026-05-17 20:59:11,0.1172,5.4089,90.0,0.0601,0.0156
33,760320,train,2026-05-17 20:59:47,0.1328,5.6959,90.0,0.0633,0.0234
34,783360,train,2026-05-17 21:00:22,0.1094,5.1352,90.0,0.0571,0.0039
35,806400,train,2026-05-17 21:00:57,0.1211,5.1854,90.0,0.0576,0.0078
36,829440,train,2026-05-17 21:01:32,0.1211,4.8076,90.0,0.0534,0.0117
37,852480,train,2026-05-17 21:02:07,0.1367,5.517,90.0,0.0613,0.0234
38,875520,train,2026-05-17 21:02:42,0.1445,5.6566,90.0,0.0629,0.0156
39,898560,train,2026-05-17 21:03:17,0.0938,4.9423,90.0,0.0549,0.0078
40,921600,train,2026-05-17 21:03:52,0.1328,5.3888,90.0,0.0599,0.0195
41,944640,train,2026-05-17 21:04:27,0.125,5.9846,90.0,0.0665,0.0078
42,967680,train,2026-05-17 21:05:02,0.1289,5.762,90.0,0.064,0.0234
43,990720,train,2026-05-17 21:05:37,0.125,5.4243,90.0,0.0603,0.0078
44,1013760,train,2026-05-17 21:06:12,0.1367,5.4525,90.0,0.0606,0.0117
45,1036800,train,2026-05-17 21:06:48,0.0859,5.2301,90.0,0.0581,0.0039
46,1059840,train,2026-05-17 21:07:23,0.1289,5.7407,90.0,0.0638,0.0156
47,1082880,train,2026-05-17 21:07:57,0.125,5.9257,90.0,0.0658,0.0078
48,1105920,train,2026-05-17 21:08:32,0.1562,5.9384,90.0,0.066,0.0156
49,1128960,train,2026-05-17 21:09:07,0.1719,6.7487,90.0,0.075,0.0156
50,1152000,train,2026-05-17 21:09:42,0.1953,6.5198,90.0,0.0724,0.0117
51,1152000,eval,2026-05-17 21:10:46,0.0729,5.2967,90.0,0.0589,0.0104
51,1175040,train,2026-05-17 21:11:19,0.1484,5.8644,90.0,0.0652,0.0039
52,1198080,train,2026-05-17 21:11:54,0.2422,7.7478,90.0,0.0861,0.0117
53,1221120,train,2026-05-17 21:12:29,0.1445,6.456,90.0,0.0717,0.0117
54,1244160,train,2026-05-17 21:13:03,0.168,6.1361,90.0,0.0682,0.0234
55,1267200,train,2026-05-17 21:13:38,0.2109,6.9669,90.0,0.0774,0.0039
56,1290240,train,2026-05-17 21:14:13,0.2109,7.0066,90.0,0.0779,0.0352
57,1313280,train,2026-05-17 21:14:48,0.168,6.5145,90.0,0.0724,0.0195
58,1336320,train,2026-05-17 21:15:23,0.207,6.9203,90.0,0.0769,0.0117
59,1359360,train,2026-05-17 21:15:58,0.2031,7.4253,90.0,0.0825,0.0391
60,1382400,train,2026-05-17 21:16:32,0.207,7.0541,90.0,0.0784,0.0117
61,1405440,train,2026-05-17 21:17:07,0.1875,6.516,90.0,0.0724,0.0156
62,1428480,train,2026-05-17 21:17:42,0.1523,6.5019,90.0,0.0722,0.0352
63,1451520,train,2026-05-17 21:18:17,0.1367,5.7596,90.0,0.064,0.0117
64,1474560,train,2026-05-17 21:18:52,0.1992,7.371,90.0,0.0819,0.0156
65,1497600,train,2026-05-17 21:19:27,0.2031,6.7414,90.0,0.0749,0.0078
66,1520640,train,2026-05-17 21:20:02,0.2188,6.8425,90.0,0.076,0.0117
67,1543680,train,2026-05-17 21:20:38,0.2695,7.9148,90.0,0.0879,0.0352
68,1566720,train,2026-05-17 21:21:13,0.1797,6.3937,90.0,0.071,0.0117
69,1589760,train,2026-05-17 21:21:48,0.2539,7.7835,90.0,0.0865,0.0156
70,1612800,train,2026-05-17 21:22:23,0.2148,7.24,90.0,0.0804,0.0156
71,1635840,train,2026-05-17 21:22:58,0.2617,7.7915,90.0,0.0866,0.0156
72,1658880,train,2026-05-17 21:23:33,0.207,7.3811,90.0,0.082,0.0195
73,1681920,train,2026-05-17 21:24:08,0.2344,7.3039,90.0,0.0812,0.0078
74,1704960,train,2026-05-17 21:24:43,0.2812,8.6073,90.0,0.0956,0.0195
75,1728000,train,2026-05-17 21:25:18,0.1719,6.4887,90.0,0.0721,0.0039
76,1728000,eval,2026-05-17 21:26:22,0.3542,12.1839,90.0,0.1354,0.1146
76,1751040,train,2026-05-17 21:26:55,0.2695,8.3604,90.0,0.0929,0.0117
77,1774080,train,2026-05-17 21:27:30,0.1484,6.8084,90.0,0.0756,0.0156
78,1797120,train,2026-05-17 21:28:05,0.1836,7.093,90.0,0.0788,0.0195
79,1820160,train,2026-05-17 21:28:40,0.2812,8.6779,90.0,0.0964,0.0117
80,1843200,train,2026-05-17 21:29:15,0.3008,8.8325,90.0,0.0981,0.0156
81,1866240,train,2026-05-17 21:29:50,0.2344,7.463,90.0,0.0829,0.0156
82,1889280,train,2026-05-17 21:30:25,0.25,7.6816,90.0,0.0854,0.0078
83,1912320,train,2026-05-17 21:31:00,0.2656,7.6197,90.0,0.0847,0.0273
84,1935360,train,2026-05-17 21:31:35,0.2578,7.2591,90.0,0.0807,0.0234
85,1958400,train,2026-05-17 21:32:10,0.2852,8.606,90.0,0.0956,0.0156
86,1981440,train,2026-05-17 21:32:45,0.2891,7.7797,90.0,0.0864,0.0195
87,2004480,train,2026-05-17 21:33:20,0.2109,7.5546,90.0,0.0839,0.0156
88,2027520,train,2026-05-17 21:33:55,0.2461,8.1612,90.0,0.0907,0.0117
89,2050560,train,2026-05-17 21:34:30,0.2773,7.5953,90.0,0.0844,0.0195
90,2073600,train,2026-05-17 21:35:05,0.25,7.8201,90.0,0.0869,0.0078
91,2096640,train,2026-05-17 21:35:40,0.2656,7.817,90.0,0.0869,0.0273
92,2119680,train,2026-05-17 21:36:15,0.2969,8.436,90.0,0.0937,0.0234
93,2142720,train,2026-05-17 21:36:50,0.2695,7.4624,90.0,0.0829,0.0234
94,2165760,train,2026-05-17 21:37:25,0.2969,8.0368,90.0,0.0893,0.0156
95,2188800,train,2026-05-17 21:38:00,0.293,7.9416,90.0,0.0882,0.0195
96,2211840,train,2026-05-17 21:38:35,0.3086,8.6354,90.0,0.0959,0.0195
97,2234880,train,2026-05-17 21:39:10,0.2422,7.4533,90.0,0.0828,0.0117
98,2257920,train,2026-05-17 21:39:45,0.3086,8.5914,90.0,0.0955,0.0117
99,2280960,train,2026-05-17 21:40:20,0.3203,9.1165,90.0,0.1013,0.0195
100,2304000,train,2026-05-17 21:40:55,0.3203,8.8907,90.0,0.0988,0.0195
101,2304000,eval,2026-05-17 21:41:56,0.3229,9.6074,90.0,0.1067,0.1042
101,2327040,train,2026-05-17 21:42:30,0.3203,9.2811,90.0,0.1031,0.0195
102,2350080,train,2026-05-17 21:43:05,0.2852,8.7094,90.0,0.0968,0.0234
103,2373120,train,2026-05-17 21:43:40,0.293,7.7189,90.0,0.0858,0.0156
104,2396160,train,2026-05-17 21:44:15,0.3281,8.3404,90.0,0.0927,0.0078
105,2419200,train,2026-05-17 21:44:50,0.3477,8.9733,90.0,0.0997,0.0078
106,2442240,train,2026-05-17 21:45:25,0.2617,8.2762,90.0,0.092,0.0273
