iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-22 02:22:14,0.0,1.0367,90.0,0.0115,0.0
1,23040,train,2026-05-22 02:22:54,0.0,1.1286,90.0,0.0125,0.0
2,46080,train,2026-05-22 02:23:37,0.0,1.2117,90.0,0.0135,0.0
3,69120,train,2026-05-22 02:24:16,0.0,1.373,90.0,0.0153,0.0
4,92160,train,2026-05-22 02:24:54,0.0,1.3987,90.0,0.0155,0.0
5,115200,train,2026-05-22 02:25:32,0.0,1.5078,90.0,0.0168,0.0
6,138240,train,2026-05-22 02:26:11,0.0039,1.6006,90.0,0.0178,0.0
7,161280,train,2026-05-22 02:26:49,0.0,1.5956,90.0,0.0177,0.0
8,184320,train,2026-05-22 02:27:27,0.0,1.6791,90.0,0.0187,0.0
9,207360,train,2026-05-22 02:28:04,0.0078,2.0535,90.0,0.0228,0.0
10,230400,train,2026-05-22 02:28:42,0.0,1.8669,90.0,0.0207,0.0
11,253440,train,2026-05-22 02:29:19,0.0039,2.0295,90.0,0.0225,0.0
12,276480,train,2026-05-22 02:29:56,0.0078,2.4178,90.0,0.0269,0.0
13,299520,train,2026-05-22 02:30:32,0.0117,2.5455,90.0,0.0283,0.0
14,322560,train,2026-05-22 02:31:09,0.0078,2.3791,90.0,0.0264,0.0039
15,345600,train,2026-05-22 02:31:46,0.0117,2.6393,90.0,0.0293,0.0078
16,368640,train,2026-05-22 02:32:23,0.0273,2.8336,90.0,0.0315,0.0
17,391680,train,2026-05-22 02:33:00,0.0391,3.5965,90.0,0.04,0.0078
18,414720,train,2026-05-22 02:33:36,0.0234,3.2848,90.0,0.0365,0.0
19,437760,train,2026-05-22 02:34:12,0.0352,3.2872,90.0,0.0365,0.0039
20,460800,train,2026-05-22 02:34:48,0.0391,3.5354,90.0,0.0393,0.0039
21,483840,train,2026-05-22 02:35:24,0.0469,3.862,90.0,0.0429,0.0078
22,506880,train,2026-05-22 02:36:00,0.0195,3.8288,90.0,0.0425,0.0
23,529920,train,2026-05-22 02:36:36,0.0625,4.5426,90.0,0.0505,0.0078
24,552960,train,2026-05-22 02:37:11,0.0547,4.2728,90.0,0.0475,0.0117
25,576000,train,2026-05-22 02:37:47,0.0742,4.6636,90.0,0.0518,0.0078
26,576000,eval,2026-05-22 02:38:51,0.0104,5.1901,90.0,0.0577,0.0104
26,599040,train,2026-05-22 02:39:25,0.0859,5.065,90.0,0.0563,0.0078
27,622080,train,2026-05-22 02:40:01,0.0664,4.6068,90.0,0.0512,0.0156
28,645120,train,2026-05-22 02:40:37,0.0703,4.8296,90.0,0.0537,0.0
29,668160,train,2026-05-22 02:41:13,0.0703,4.5935,90.0,0.051,0.0195
30,691200,train,2026-05-22 02:41:48,0.0625,4.7892,90.0,0.0532,0.0117
31,714240,train,2026-05-22 02:42:24,0.0977,5.3475,90.0,0.0594,0.0117
32,737280,train,2026-05-22 02:43:00,0.0859,5.0802,90.0,0.0564,0.0195
33,760320,train,2026-05-22 02:43:36,0.0625,5.0088,90.0,0.0557,0.0117
34,783360,train,2026-05-22 02:44:12,0.0859,4.9168,90.0,0.0546,0.0
35,806400,train,2026-05-22 02:44:48,0.0898,5.0729,90.0,0.0564,0.0156
36,829440,train,2026-05-22 02:45:23,0.0938,5.277,90.0,0.0586,0.0078
37,852480,train,2026-05-22 02:45:59,0.1133,5.7823,90.0,0.0642,0.0195
38,875520,train,2026-05-22 02:46:35,0.1016,4.9812,90.0,0.0553,0.0039
39,898560,train,2026-05-22 02:47:11,0.0859,5.3711,90.0,0.0597,0.0117
40,921600,train,2026-05-22 02:47:47,0.1016,5.0814,90.0,0.0565,0.0078
41,944640,train,2026-05-22 02:48:22,0.0859,4.8382,90.0,0.0538,0.0117
42,967680,train,2026-05-22 02:48:58,0.125,6.2047,90.0,0.0689,0.0234
43,990720,train,2026-05-22 02:49:33,0.1172,5.9112,90.0,0.0657,0.0234
44,1013760,train,2026-05-22 02:50:08,0.0938,4.876,90.0,0.0542,0.0117
45,1036800,train,2026-05-22 02:50:44,0.1289,5.5345,90.0,0.0615,0.0078
46,1059840,train,2026-05-22 02:51:19,0.1445,6.3452,90.0,0.0705,0.0117
47,1082880,train,2026-05-22 02:51:55,0.1406,5.7612,90.0,0.064,0.0078
48,1105920,train,2026-05-22 02:52:30,0.168,5.9282,90.0,0.0659,0.0156
49,1128960,train,2026-05-22 02:53:05,0.1289,5.8334,90.0,0.0648,0.0156
50,1152000,train,2026-05-22 02:53:41,0.1641,6.7904,90.0,0.0754,0.0273
51,1152000,eval,2026-05-22 02:54:43,0.1979,9.8147,90.0,0.1091,0.0833
51,1175040,train,2026-05-22 02:55:18,0.1289,5.545,90.0,0.0616,0.0
52,1198080,train,2026-05-22 02:55:53,0.1562,6.4412,90.0,0.0716,0.0078
53,1221120,train,2026-05-22 02:56:28,0.1602,6.2232,90.0,0.0691,0.0
54,1244160,train,2026-05-22 02:57:04,0.2109,6.4147,90.0,0.0713,0.0117
55,1267200,train,2026-05-22 02:57:39,0.1836,6.5181,90.0,0.0724,0.0078
56,1290240,train,2026-05-22 02:58:14,0.1875,6.5469,90.0,0.0727,0.0078
57,1313280,train,2026-05-22 02:58:49,0.1289,5.6247,90.0,0.0625,0.0078
58,1336320,train,2026-05-22 02:59:24,0.2031,6.8555,90.0,0.0762,0.0195
59,1359360,train,2026-05-22 02:59:59,0.2305,6.9695,90.0,0.0774,0.0195
60,1382400,train,2026-05-22 03:00:34,0.2383,7.3075,90.0,0.0812,0.0156
61,1405440,train,2026-05-22 03:01:10,0.25,8.059,90.0,0.0895,0.0156
62,1428480,train,2026-05-22 03:01:45,0.2266,7.129,90.0,0.0792,0.0195
63,1451520,train,2026-05-22 03:02:20,0.2227,7.3755,90.0,0.0819,0.0039
64,1474560,train,2026-05-22 03:02:55,0.1758,6.9345,90.0,0.077,0.0078
65,1497600,train,2026-05-22 03:03:31,0.1719,7.0425,90.0,0.0782,0.0078
66,1520640,train,2026-05-22 03:04:06,0.2188,7.0333,90.0,0.0781,0.0156
67,1543680,train,2026-05-22 03:04:41,0.2891,7.9812,90.0,0.0887,0.0078
68,1566720,train,2026-05-22 03:05:17,0.2422,6.9985,90.0,0.0778,0.0117
69,1589760,train,2026-05-22 03:05:52,0.2617,7.2177,90.0,0.0802,0.0273
70,1612800,train,2026-05-22 03:06:28,0.2383,7.3449,90.0,0.0816,0.0156
71,1635840,train,2026-05-22 03:07:03,0.2617,8.1827,90.0,0.0909,0.0078
72,1658880,train,2026-05-22 03:07:38,0.2773,8.3816,90.0,0.0931,0.0273
73,1681920,train,2026-05-22 03:08:13,0.2109,7.6082,90.0,0.0845,0.0117
74,1704960,train,2026-05-22 03:08:48,0.2773,8.1095,90.0,0.0901,0.0195
75,1728000,train,2026-05-22 03:09:23,0.2422,7.5633,90.0,0.084,0.0234
76,1728000,eval,2026-05-22 03:10:26,0.3021,11.0303,90.0,0.1226,0.0833
76,1751040,train,2026-05-22 03:11:00,0.293,8.0523,90.0,0.0895,0.0391
77,1774080,train,2026-05-22 03:11:35,0.2617,7.3147,90.0,0.0813,0.0078
78,1797120,train,2026-05-22 03:12:10,0.2891,8.0792,90.0,0.0898,0.0117
79,1820160,train,2026-05-22 03:12:45,0.2812,7.9117,90.0,0.0879,0.0078
80,1843200,train,2026-05-22 03:13:20,0.1992,7.3325,90.0,0.0815,0.0117
81,1866240,train,2026-05-22 03:13:55,0.2305,7.8662,90.0,0.0874,0.0234
82,1889280,train,2026-05-22 03:14:30,0.2383,7.9396,90.0,0.0882,0.0156
83,1912320,train,2026-05-22 03:15:05,0.293,8.6465,90.0,0.0961,0.0469
84,1935360,train,2026-05-22 03:15:40,0.2344,7.5895,90.0,0.0843,0.0195
85,1958400,train,2026-05-22 03:16:15,0.2539,8.4827,90.0,0.0943,0.0195
86,1981440,train,2026-05-22 03:16:50,0.2695,8.4968,90.0,0.0944,0.0195
87,2004480,train,2026-05-22 03:17:24,0.2617,8.2685,90.0,0.0919,0.0117
88,2027520,train,2026-05-22 03:17:59,0.2656,7.901,90.0,0.0878,0.0078
89,2050560,train,2026-05-22 03:18:34,0.3008,8.5459,90.0,0.095,0.0078
90,2073600,train,2026-05-22 03:19:09,0.3125,8.8394,90.0,0.0982,0.0273
91,2096640,train,2026-05-22 03:19:44,0.2852,8.2701,90.0,0.0919,0.0156
92,2119680,train,2026-05-22 03:20:19,0.2969,9.5892,90.0,0.1065,0.0391
93,2142720,train,2026-05-22 03:20:54,0.2578,8.3306,90.0,0.0926,0.0195
94,2165760,train,2026-05-22 03:21:29,0.3086,8.7403,90.0,0.0971,0.0117
95,2188800,train,2026-05-22 03:22:04,0.3242,8.8616,90.0,0.0985,0.0117
96,2211840,train,2026-05-22 03:22:39,0.3359,9.3519,90.0,0.1039,0.0234
97,2234880,train,2026-05-22 03:23:15,0.293,8.8601,90.0,0.0984,0.0273
98,2257920,train,2026-05-22 03:23:50,0.2656,8.2131,90.0,0.0913,0.0234
99,2280960,train,2026-05-22 03:24:25,0.3203,8.7007,90.0,0.0967,0.0117
100,2304000,train,2026-05-22 03:25:00,0.2969,8.3656,90.0,0.093,0.0117
101,2304000,eval,2026-05-22 03:26:03,0.3542,12.3196,90.0,0.1369,0.0833
101,2327040,train,2026-05-22 03:26:37,0.2891,8.3994,90.0,0.0933,0.0117
102,2350080,train,2026-05-22 03:27:12,0.3164,8.2516,90.0,0.0917,0.0234
103,2373120,train,2026-05-22 03:27:47,0.2617,8.2796,90.0,0.092,0.0234
104,2396160,train,2026-05-22 03:28:22,0.2852,9.302,90.0,0.1034,0.0352
105,2419200,train,2026-05-22 03:28:57,0.2695,8.6441,90.0,0.096,0.0195
106,2442240,train,2026-05-22 03:29:32,0.2305,7.983,90.0,0.0887,0.0195
107,2465280,train,2026-05-22 03:30:07,0.293,8.9122,90.0,0.099,0.043
108,2488320,train,2026-05-22 03:30:42,0.3086,8.9929,90.0,0.0999,0.0234
109,2511360,train,2026-05-22 03:31:17,0.2656,8.5525,90.0,0.095,0.0312
110,2534400,train,2026-05-22 03:31:52,0.3242,8.6973,90.0,0.0966,0.0156
111,2557440,train,2026-05-22 03:32:27,0.2773,8.6811,90.0,0.0965,0.0156
112,2580480,train,2026-05-22 03:33:03,0.2969,8.0286,90.0,0.0892,0.0117
113,2603520,train,2026-05-22 03:33:38,0.2852,9.4558,90.0,0.1051,0.0312
114,2626560,train,2026-05-22 03:34:13,0.293,9.4031,90.0,0.1045,0.0508
115,2649600,train,2026-05-22 03:34:48,0.3125,8.9713,90.0,0.0997,0.0273
116,2672640,train,2026-05-22 03:35:23,0.3086,8.8895,90.0,0.0988,0.0195
117,2695680,train,2026-05-22 03:35:58,0.3242,8.56,90.0,0.0951,0.0234
118,2718720,train,2026-05-22 03:36:33,0.3242,9.0829,90.0,0.1009,0.0312
119,2741760,train,2026-05-22 03:37:08,0.3438,9.606,90.0,0.1067,0.0156
120,2764800,train,2026-05-22 03:37:43,0.3398,9.3638,90.0,0.104,0.0312
121,2787840,train,2026-05-22 03:38:18,0.3633,9.2154,90.0,0.1024,0.043
122,2810880,train,2026-05-22 03:38:53,0.3047,8.7593,90.0,0.0973,0.0195
123,2833920,train,2026-05-22 03:39:28,0.3125,9.6634,90.0,0.1074,0.0195
124,2856960,train,2026-05-22 03:40:03,0.2656,9.2191,90.0,0.1024,0.0273
125,2880000,train,2026-05-22 03:40:38,0.2695,8.464,90.0,0.094,0.0391
126,2880000,eval,2026-05-22 03:41:41,0.1562,7.8947,90.0,0.0877,0.0104
126,2903040,train,2026-05-22 03:42:15,0.2969,8.8771,90.0,0.0986,0.043
127,2926080,train,2026-05-22 03:42:50,0.3125,8.2926,90.0,0.0921,0.0039
128,2949120,train,2026-05-22 03:43:24,0.3555,9.6834,90.0,0.1076,0.0273
129,2972160,train,2026-05-22 03:43:59,0.3008,8.7971,90.0,0.0977,0.0234
130,2995200,train,2026-05-22 03:44:34,0.3984,10.1929,90.0,0.1133,0.0195
131,3018240,train,2026-05-22 03:45:09,0.3672,9.8482,90.0,0.1094,0.0234
132,3041280,train,2026-05-22 03:45:44,0.418,11.0992,90.0,0.1233,0.0312
133,3064320,train,2026-05-22 03:46:19,0.2773,8.5328,90.0,0.0948,0.0312
134,3087360,train,2026-05-22 03:46:54,0.332,8.5912,90.0,0.0955,0.0156
135,3110400,train,2026-05-22 03:47:29,0.3672,9.3819,90.0,0.1042,0.0234
136,3133440,train,2026-05-22 03:48:04,0.3125,8.5584,90.0,0.0951,0.0117
137,3156480,train,2026-05-22 03:48:39,0.3164,9.282,90.0,0.1031,0.0156
138,3179520,train,2026-05-22 03:49:13,0.3633,9.5196,90.0,0.1058,0.0156
139,3202560,train,2026-05-22 03:49:48,0.3633,9.024,90.0,0.1003,0.0391
140,3225600,train,2026-05-22 03:50:23,0.3398,9.3036,90.0,0.1034,0.0234
141,3248640,train,2026-05-22 03:50:58,0.3711,9.7278,90.0,0.1081,0.0312
142,3271680,train,2026-05-22 03:51:33,0.3438,9.1582,90.0,0.1018,0.0273
143,3294720,train,2026-05-22 03:52:07,0.332,8.8966,90.0,0.0989,0.0156
144,3317760,train,2026-05-22 03:52:42,0.4375,10.9717,90.0,0.1219,0.0312
145,3340800,train,2026-05-22 03:53:17,0.4062,10.5116,90.0,0.1168,0.0312
146,3363840,train,2026-05-22 03:53:52,0.375,9.6754,90.0,0.1075,0.0117
147,3386880,train,2026-05-22 03:54:27,0.3711,9.3734,90.0,0.1041,0.0195
148,3409920,train,2026-05-22 03:55:01,0.3125,8.5298,90.0,0.0948,0.0234
149,3432960,train,2026-05-22 03:55:36,0.4141,9.5593,90.0,0.1062,0.0234
150,3456000,train,2026-05-22 03:56:11,0.4258,10.8183,90.0,0.1202,0.0234
151,3456000,eval,2026-05-22 03:57:13,0.3542,13.1142,90.0,0.1457,0.0833
151,3479040,train,2026-05-22 03:57:47,0.332,9.1864,90.0,0.1021,0.0039
152,3502080,train,2026-05-22 03:58:22,0.4688,10.2602,90.0,0.114,0.0273
153,3525120,train,2026-05-22 03:58:56,0.375,9.5731,90.0,0.1064,0.0039
154,3548160,train,2026-05-22 03:59:31,0.3086,9.0051,90.0,0.1001,0.0273
155,3571200,train,2026-05-22 04:00:06,0.2578,8.5254,90.0,0.0947,0.0156
156,3594240,train,2026-05-22 04:00:41,0.3086,8.917,90.0,0.0991,0.0078
157,3617280,train,2026-05-22 04:01:17,0.3906,10.0527,90.0,0.1117,0.0156
158,3640320,train,2026-05-22 04:01:51,0.3789,9.6108,90.0,0.1068,0.0273
159,3663360,train,2026-05-22 04:02:26,0.4453,10.3717,90.0,0.1152,0.0469
160,3686400,train,2026-05-22 04:03:01,0.4141,10.2316,90.0,0.1137,0.0039
161,3709440,train,2026-05-22 04:03:36,0.3594,10.2757,90.0,0.1142,0.0352
162,3732480,train,2026-05-22 04:04:11,0.3477,9.1373,90.0,0.1015,0.0156
163,3755520,train,2026-05-22 04:04:46,0.5391,11.735,90.0,0.1304,0.0156
164,3778560,train,2026-05-22 04:05:21,0.4297,9.6032,90.0,0.1067,0.0039
165,3801600,train,2026-05-22 04:05:56,0.4023,9.1501,90.0,0.1017,0.0195
166,3824640,train,2026-05-22 04:06:31,0.4609,10.7461,90.0,0.1194,0.0156
167,3847680,train,2026-05-22 04:07:06,0.4805,10.3024,90.0,0.1145,0.0195
168,3870720,train,2026-05-22 04:07:41,0.4258,9.7975,90.0,0.1089,0.0078
169,3893760,train,2026-05-22 04:08:16,0.4688,9.9219,90.0,0.1102,0.0117
170,3916800,train,2026-05-22 04:08:50,0.4453,9.8592,90.0,0.1095,0.0117
171,3939840,train,2026-05-22 04:09:26,0.3789,9.5501,90.0,0.1061,0.0156
172,3962880,train,2026-05-22 04:10:00,0.4141,10.456,90.0,0.1162,0.0156
173,3985920,train,2026-05-22 04:10:35,0.4453,10.4303,90.0,0.1159,0.0195
174,4008960,train,2026-05-22 04:11:10,0.3945,10.0948,90.0,0.1122,0.0117
175,4032000,train,2026-05-22 04:11:45,0.4414,10.0774,90.0,0.112,0.0156
176,4032000,eval,2026-05-22 04:12:47,0.5521,16.1544,90.0,0.1795,0.1042
176,4055040,train,2026-05-22 04:13:21,0.5078,10.9253,90.0,0.1214,0.0195
177,4078080,train,2026-05-22 04:13:56,0.4219,10.2548,90.0,0.1139,0.0039
178,4101120,train,2026-05-22 04:14:31,0.4492,10.6112,90.0,0.1179,0.0117
179,4124160,train,2026-05-22 04:15:07,0.3711,9.1951,90.0,0.1022,0.0156
180,4147200,train,2026-05-22 04:15:41,0.332,9.1205,90.0,0.1013,0.0117
181,4170240,train,2026-05-22 04:16:16,0.5078,10.8489,90.0,0.1205,0.0117
182,4193280,train,2026-05-22 04:16:51,0.5195,10.9367,90.0,0.1215,0.0156
183,4216320,train,2026-05-22 04:17:26,0.3789,9.3438,90.0,0.1038,0.0156
184,4239360,train,2026-05-22 04:18:01,0.4297,9.7296,90.0,0.1081,0.0156
185,4262400,train,2026-05-22 04:18:36,0.543,11.2696,90.0,0.1252,0.0117
186,4285440,train,2026-05-22 04:19:10,0.4375,10.2786,90.0,0.1142,0.0117
187,4308480,train,2026-05-22 04:19:46,0.3984,10.0501,90.0,0.1117,0.0273
188,4331520,train,2026-05-22 04:20:20,0.418,10.8587,90.0,0.1207,0.0234
189,4354560,train,2026-05-22 04:20:55,0.3867,9.9619,90.0,0.1107,0.0312
190,4377600,train,2026-05-22 04:21:30,0.4453,10.4859,90.0,0.1165,0.0156
191,4400640,train,2026-05-22 04:22:05,0.3789,9.7958,90.0,0.1088,0.0117
192,4423680,train,2026-05-22 04:22:39,0.4453,10.4026,90.0,0.1156,0.0117
193,4446720,train,2026-05-22 04:23:14,0.5391,11.2663,90.0,0.1252,0.0078
194,4469760,train,2026-05-22 04:23:48,0.4219,10.2069,90.0,0.1134,0.0078
195,4492800,train,2026-05-22 04:24:23,0.4609,10.3209,90.0,0.1147,0.0156
196,4515840,train,2026-05-22 04:24:58,0.5469,11.3049,90.0,0.1256,0.0508
197,4538880,train,2026-05-22 04:25:32,0.5273,11.7427,90.0,0.1305,0.0156
198,4561920,train,2026-05-22 04:26:07,0.4961,10.2442,90.0,0.1138,0.0039
199,4584960,train,2026-05-22 04:26:42,0.5234,11.6949,90.0,0.1299,0.0156
200,4608000,train,2026-05-22 04:27:17,0.4961,10.4947,90.0,0.1166,0.0039
201,4608000,eval,2026-05-22 04:28:18,0.5729,13.6551,90.0,0.1517,0.0208
201,4631040,train,2026-05-22 04:28:52,0.4766,10.5503,90.0,0.1172,0.0195
202,4654080,train,2026-05-22 04:29:27,0.5273,10.6355,90.0,0.1182,0.0234
203,4677120,train,2026-05-22 04:30:02,0.5469,11.0781,90.0,0.1231,0.0195
204,4700160,train,2026-05-22 04:30:37,0.6016,11.7976,90.0,0.1311,0.0078
205,4723200,train,2026-05-22 04:31:11,0.4727,10.5615,90.0,0.1173,0.0156
206,4746240,train,2026-05-22 04:31:46,0.5039,11.0675,90.0,0.123,0.0195
207,4769280,train,2026-05-22 04:32:21,0.5508,12.0187,90.0,0.1335,0.0117
208,4792320,train,2026-05-22 04:32:56,0.5234,11.0559,90.0,0.1228,0.0234
209,4815360,train,2026-05-22 04:33:30,0.5352,10.9147,90.0,0.1213,0.0117
210,4838400,train,2026-05-22 04:34:05,0.5039,10.594,90.0,0.1177,0.0117
211,4861440,train,2026-05-22 04:34:40,0.4961,10.2948,90.0,0.1144,0.0156
212,4884480,train,2026-05-22 04:35:14,0.5586,11.1446,90.0,0.1238,0.0117
213,4907520,train,2026-05-22 04:35:49,0.5,11.0019,90.0,0.1222,0.0117
214,4930560,train,2026-05-22 04:36:24,0.5,11.4213,90.0,0.1269,0.0039
215,4953600,train,2026-05-22 04:36:59,0.543,11.716,90.0,0.1302,0.0117
216,4976640,train,2026-05-22 04:37:34,0.5,11.4307,90.0,0.127,0.0117
217,4999680,train,2026-05-22 04:38:09,0.5625,12.3791,90.0,0.1375,0.0117
218,5022720,train,2026-05-22 04:38:44,0.4805,11.5374,90.0,0.1282,0.0156
219,5045760,train,2026-05-22 04:39:18,0.5078,12.4168,90.0,0.138,0.0078
220,5068800,train,2026-05-22 04:39:53,0.4961,11.9256,90.0,0.1325,0.043
221,5091840,train,2026-05-22 04:40:28,0.5117,12.0464,90.0,0.1338,0.0234
222,5114880,train,2026-05-22 04:41:03,0.5625,12.2252,90.0,0.1358,0.0156
223,5137920,train,2026-05-22 04:41:38,0.5938,11.7629,90.0,0.1307,0.0234
224,5160960,train,2026-05-22 04:42:13,0.5234,11.6256,90.0,0.1292,0.0352
225,5184000,train,2026-05-22 04:42:48,0.5312,11.6464,90.0,0.1294,0.0312
226,5184000,eval,2026-05-22 04:43:50,0.6354,16.9444,90.0,0.1883,0.1354
226,5207040,train,2026-05-22 04:44:24,0.5898,12.398,90.0,0.1378,0.0273
227,5230080,train,2026-05-22 04:44:59,0.6172,12.8366,90.0,0.1426,0.0273
228,5253120,train,2026-05-22 04:45:35,0.543,11.7313,90.0,0.1303,0.0078
229,5276160,train,2026-05-22 04:46:10,0.625,13.0584,90.0,0.1451,0.0156
230,5299200,train,2026-05-22 04:46:45,0.5898,11.6075,90.0,0.129,0.0195
231,5322240,train,2026-05-22 04:47:20,0.5703,11.6571,90.0,0.1295,0.0195
232,5345280,train,2026-05-22 04:47:55,0.5156,11.206,90.0,0.1245,0.0156
233,5368320,train,2026-05-22 04:48:31,0.5039,11.3233,90.0,0.1258,0.0117
234,5391360,train,2026-05-22 04:49:06,0.5625,11.7468,90.0,0.1305,0.0273
235,5414400,train,2026-05-22 04:49:42,0.4453,10.8464,90.0,0.1205,0.0117
236,5437440,train,2026-05-22 04:50:17,0.5039,11.239,90.0,0.1249,0.0078
237,5460480,train,2026-05-22 04:50:52,0.5586,12.0875,90.0,0.1343,0.0195
238,5483520,train,2026-05-22 04:51:27,0.5859,12.9666,90.0,0.1441,0.0156
239,5506560,train,2026-05-22 04:52:02,0.5469,11.7267,90.0,0.1303,0.0156
240,5529600,train,2026-05-22 04:52:37,0.6133,12.6948,90.0,0.1411,0.0156
241,5552640,train,2026-05-22 04:53:12,0.5391,11.9677,90.0,0.133,0.0156
242,5575680,train,2026-05-22 04:53:48,0.6133,13.0229,90.0,0.1447,0.0312
243,5598720,train,2026-05-22 04:54:23,0.6016,12.8777,90.0,0.1431,0.0352
244,5621760,train,2026-05-22 04:54:58,0.582,12.7219,90.0,0.1414,0.0234
245,5644800,train,2026-05-22 04:55:33,0.5664,12.2306,90.0,0.1359,0.0156
246,5667840,train,2026-05-22 04:56:08,0.5469,10.9024,90.0,0.1211,0.0078
247,5690880,train,2026-05-22 04:56:44,0.5781,11.4511,90.0,0.1272,0.0078
248,5713920,train,2026-05-22 04:57:19,0.5547,11.1396,90.0,0.1238,0.0117
249,5736960,train,2026-05-22 04:57:55,0.6328,12.1667,90.0,0.1352,0.0156
250,5760000,train,2026-05-22 04:58:30,0.5391,11.0351,90.0,0.1226,0.0195
251,5760000,eval,2026-05-22 04:59:33,0.6979,16.0055,90.0,0.1778,0.0208
251,5783040,train,2026-05-22 05:00:08,0.5547,11.4517,90.0,0.1272,0.0352
252,5806080,train,2026-05-22 05:00:43,0.6172,12.4365,90.0,0.1382,0.0234
253,5829120,train,2026-05-22 05:01:19,0.6133,12.1132,90.0,0.1346,0.0195
254,5852160,train,2026-05-22 05:01:54,0.6016,12.3822,90.0,0.1376,0.0352
255,5875200,train,2026-05-22 05:02:30,0.5586,11.1671,90.0,0.1241,0.0078
256,5898240,train,2026-05-22 05:03:06,0.5781,11.3042,90.0,0.1256,0.0156
257,5921280,train,2026-05-22 05:03:41,0.5664,11.734,90.0,0.1304,0.0273
258,5944320,train,2026-05-22 05:04:17,0.4961,10.6522,90.0,0.1184,0.0156
259,5967360,train,2026-05-22 05:04:53,0.5078,10.9022,90.0,0.1211,0.0234
260,5990400,train,2026-05-22 05:05:29,0.5547,11.9421,90.0,0.1327,0.0352
261,6013440,train,2026-05-22 05:06:04,0.625,12.2533,90.0,0.1361,0.0312
262,6036480,train,2026-05-22 05:06:40,0.5312,11.4893,90.0,0.1277,0.0156
263,6059520,train,2026-05-22 05:07:16,0.5469,12.2094,90.0,0.1357,0.0195
264,6082560,train,2026-05-22 05:07:52,0.5703,11.2925,90.0,0.1255,0.0078
