iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 04:24:57,0.0,1.0394,90.0,0.0115,0.0
1,23040,train,2026-07-02 04:25:55,0.0,1.0099,90.0,0.0112,0.0
2,46080,train,2026-07-02 04:26:55,0.0,1.229,90.0,0.0137,0.0
3,69120,train,2026-07-02 04:27:55,0.0,1.3126,90.0,0.0146,0.0
4,92160,train,2026-07-02 04:28:55,0.0,1.4361,90.0,0.016,0.0
5,115200,train,2026-07-02 04:29:55,0.0,1.5015,90.0,0.0167,0.0
6,138240,train,2026-07-02 04:30:55,0.0,1.6334,90.0,0.0181,0.0
7,161280,train,2026-07-02 04:31:55,0.0,1.6404,90.0,0.0182,0.0
8,184320,train,2026-07-02 04:32:55,0.0,1.7769,90.0,0.0197,0.0
9,207360,train,2026-07-02 04:33:55,0.0,1.9214,90.0,0.0213,0.0
10,230400,train,2026-07-02 04:34:55,0.0078,2.3483,90.0,0.0261,0.0
11,253440,train,2026-07-02 04:35:55,0.0,2.1098,90.0,0.0234,0.0
12,276480,train,2026-07-02 04:36:56,0.0234,2.7242,90.0,0.0303,0.0
13,299520,train,2026-07-02 04:37:56,0.0312,2.8035,90.0,0.0312,0.0078
14,322560,train,2026-07-02 04:38:57,0.0312,3.1021,90.0,0.0345,0.0156
15,345600,train,2026-07-02 04:39:57,0.0352,3.2528,90.0,0.0361,0.0
16,368640,train,2026-07-02 04:40:58,0.0625,3.8292,90.0,0.0425,0.0273
17,368640,eval,2026-07-02 04:42:09,0.0,3.7241,90.0,0.0414,0.0
17,391680,train,2026-07-02 04:43:08,0.0508,3.1884,90.0,0.0354,0.0
18,414720,train,2026-07-02 04:44:09,0.0273,3.4143,90.0,0.0379,0.0078
19,437760,train,2026-07-02 04:45:09,0.0469,3.6807,90.0,0.0409,0.0117
20,460800,train,2026-07-02 04:46:09,0.0547,3.4764,90.0,0.0386,0.0039
21,483840,train,2026-07-02 04:47:10,0.0586,3.4832,90.0,0.0387,0.0039
22,506880,train,2026-07-02 04:48:11,0.082,3.7991,90.0,0.0422,0.0078
23,529920,train,2026-07-02 04:49:11,0.0703,3.8704,90.0,0.043,0.0039
24,552960,train,2026-07-02 04:50:12,0.0742,3.9233,90.0,0.0436,0.0039
25,576000,train,2026-07-02 04:51:12,0.0703,3.7246,90.0,0.0414,0.0156
26,599040,train,2026-07-02 04:52:13,0.0586,3.5027,90.0,0.0389,0.0039
27,622080,train,2026-07-02 04:53:14,0.0703,4.1064,90.0,0.0456,0.0078
28,645120,train,2026-07-02 04:54:14,0.0703,4.1176,90.0,0.0458,0.0039
29,668160,train,2026-07-02 04:55:15,0.0742,4.1309,90.0,0.0459,0.0
30,691200,train,2026-07-02 04:56:16,0.0586,3.7662,90.0,0.0418,0.0117
31,714240,train,2026-07-02 04:57:16,0.0781,4.3111,90.0,0.0479,0.0
32,737280,train,2026-07-02 04:58:17,0.0469,4.2406,90.0,0.0471,0.0039
33,737280,eval,2026-07-02 04:59:32,0.0417,5.7055,90.0,0.0634,0.0104
33,760320,train,2026-07-02 05:00:32,0.0781,4.4538,90.0,0.0495,0.0078
34,783360,train,2026-07-02 05:01:33,0.082,4.5542,90.0,0.0506,0.0039
35,806400,train,2026-07-02 05:02:34,0.082,4.9262,90.0,0.0547,0.0078
