iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 12:27:24,0.0833,2.2782,90.0,0.0253,0.0417
1,23040,train,2026-07-02 12:27:53,0.082,1.9751,90.0,0.0219,0.0195
2,46080,train,2026-07-02 12:28:41,0.1133,2.5822,90.0,0.0287,0.0234
3,69120,train,2026-07-02 12:29:30,0.1055,2.6711,90.0,0.0297,0.0312
4,92160,train,2026-07-02 12:30:19,0.0898,2.89,90.0,0.0321,0.0234
5,115200,train,2026-07-02 12:31:15,0.0703,2.5695,90.0,0.0286,0.0117
6,138240,train,2026-07-02 12:32:04,0.1367,3.1058,90.0,0.0345,0.0391
7,161280,train,2026-07-02 12:32:53,0.0781,2.9549,90.0,0.0328,0.0391
8,184320,train,2026-07-02 12:33:43,0.0664,3.0228,90.0,0.0336,0.0117
9,207360,train,2026-07-02 12:34:32,0.1133,3.4043,90.0,0.0378,0.0234
10,230400,train,2026-07-02 12:35:21,0.1172,3.5143,90.0,0.039,0.0391
11,253440,train,2026-07-02 12:36:10,0.1055,3.2391,90.0,0.036,0.0391
12,276480,train,2026-07-02 12:36:59,0.0898,3.4424,90.0,0.0382,0.0195
13,299520,train,2026-07-02 12:37:48,0.1094,3.4215,90.0,0.038,0.0547
14,322560,train,2026-07-02 12:38:38,0.1328,4.0916,90.0,0.0455,0.0391
15,345600,train,2026-07-02 12:39:27,0.1133,3.7307,90.0,0.0415,0.0352
16,368640,train,2026-07-02 12:40:16,0.1211,3.8959,90.0,0.0433,0.0352
17,368640,eval,2026-07-02 12:41:33,0.0417,3.6254,90.0,0.0403,0.0104
17,391680,train,2026-07-02 12:42:03,0.1523,4.1323,90.0,0.0459,0.0508
18,414720,train,2026-07-02 12:42:52,0.1016,3.6983,90.0,0.0411,0.0156
19,437760,train,2026-07-02 12:43:41,0.125,4.0295,90.0,0.0448,0.0312
20,460800,train,2026-07-02 12:44:30,0.1172,4.0759,90.0,0.0453,0.0234
21,483840,train,2026-07-02 12:45:20,0.1602,4.4929,90.0,0.0499,0.0156
22,506880,train,2026-07-02 12:46:09,0.1211,4.3057,90.0,0.0478,0.0234
23,529920,train,2026-07-02 12:46:58,0.1094,3.58,90.0,0.0398,0.0469
24,552960,train,2026-07-02 12:47:47,0.1328,3.7481,90.0,0.0416,0.0391
25,576000,train,2026-07-02 12:48:37,0.1797,4.6,90.0,0.0511,0.0469
26,599040,train,2026-07-02 12:49:26,0.1094,3.7295,90.0,0.0414,0.0273
27,622080,train,2026-07-02 12:50:15,0.0977,3.291,90.0,0.0366,0.0273
28,645120,train,2026-07-02 12:51:04,0.1055,3.649,90.0,0.0405,0.0273
29,668160,train,2026-07-02 12:51:53,0.1211,3.9044,90.0,0.0434,0.0156
30,691200,train,2026-07-02 12:52:42,0.125,4.2741,90.0,0.0475,0.0273
31,714240,train,2026-07-02 12:53:32,0.1641,4.9935,90.0,0.0555,0.0391
32,737280,train,2026-07-02 12:54:21,0.1641,5.0178,90.0,0.0558,0.0586
33,737280,eval,2026-07-02 12:55:39,0.1042,4.4785,90.0,0.0498,0.0625
33,760320,train,2026-07-02 12:56:08,0.1445,4.6349,90.0,0.0515,0.0469
34,783360,train,2026-07-02 12:56:58,0.1758,4.9394,90.0,0.0549,0.0469
35,806400,train,2026-07-02 12:57:47,0.1992,5.0903,90.0,0.0566,0.0273
36,829440,train,2026-07-02 12:58:36,0.1523,4.3421,90.0,0.0482,0.0273
37,852480,train,2026-07-02 12:59:25,0.1641,4.6384,90.0,0.0515,0.0703
38,875520,train,2026-07-02 13:00:14,0.207,5.4895,90.0,0.061,0.0234
39,898560,train,2026-07-02 13:01:04,0.1992,5.6409,90.0,0.0627,0.0391
40,921600,train,2026-07-02 13:01:53,0.1523,4.7641,90.0,0.0529,0.0352
41,944640,train,2026-07-02 13:02:42,0.207,5.3757,90.0,0.0597,0.0273
42,967680,train,2026-07-02 13:03:32,0.1836,4.8491,90.0,0.0539,0.0391
43,990720,train,2026-07-02 13:04:21,0.1836,5.244,90.0,0.0583,0.0352
44,1013760,train,2026-07-02 13:05:10,0.2109,5.5737,90.0,0.0619,0.043
45,1036800,train,2026-07-02 13:06:00,0.2383,5.8394,90.0,0.0649,0.0391
46,1059840,train,2026-07-02 13:06:49,0.2188,5.5174,90.0,0.0613,0.0469
47,1082880,train,2026-07-02 13:07:38,0.2461,5.9272,90.0,0.0659,0.0234
48,1105920,train,2026-07-02 13:08:27,0.1953,5.7239,90.0,0.0636,0.0273
49,1105920,eval,2026-07-02 13:09:45,0.1979,7.1964,90.0,0.08,0.0833
49,1128960,train,2026-07-02 13:10:15,0.2031,5.5757,90.0,0.062,0.0547
50,1152000,train,2026-07-02 13:11:04,0.1836,5.4222,90.0,0.0602,0.043
51,1175040,train,2026-07-02 13:11:53,0.1953,5.8714,90.0,0.0652,0.0352
52,1198080,train,2026-07-02 13:12:42,0.1836,5.5962,90.0,0.0622,0.0391
53,1221120,train,2026-07-02 13:13:31,0.2031,5.4037,90.0,0.06,0.0391
54,1244160,train,2026-07-02 13:14:21,0.1992,5.8135,90.0,0.0646,0.0352
55,1267200,train,2026-07-02 13:15:10,0.2188,5.9469,90.0,0.0661,0.0312
56,1290240,train,2026-07-02 13:15:59,0.2188,6.355,90.0,0.0706,0.0508
57,1313280,train,2026-07-02 13:16:48,0.2422,6.0537,90.0,0.0673,0.0469
58,1336320,train,2026-07-02 13:17:38,0.2617,6.1939,90.0,0.0688,0.043
59,1359360,train,2026-07-02 13:18:27,0.2734,6.2791,90.0,0.0698,0.0898
60,1382400,train,2026-07-02 13:19:16,0.25,6.5878,90.0,0.0732,0.0625
61,1405440,train,2026-07-02 13:20:05,0.2695,5.9472,90.0,0.0661,0.043
62,1428480,train,2026-07-02 13:20:55,0.2891,6.168,90.0,0.0685,0.0625
63,1451520,train,2026-07-02 13:21:44,0.3047,6.5721,90.0,0.073,0.043
64,1474560,train,2026-07-02 13:22:33,0.3398,6.8418,90.0,0.076,0.0469
65,1474560,eval,2026-07-02 13:23:52,0.2917,8.384,90.0,0.0932,0.125
65,1497600,train,2026-07-02 13:24:22,0.2617,6.4185,90.0,0.0713,0.0625
66,1520640,train,2026-07-02 13:25:11,0.2969,6.7954,90.0,0.0755,0.0664
67,1543680,train,2026-07-02 13:25:59,0.2422,5.873,90.0,0.0653,0.0312
68,1566720,train,2026-07-02 13:26:48,0.3164,6.7206,90.0,0.0747,0.0625
69,1589760,train,2026-07-02 13:27:37,0.2578,5.8571,90.0,0.0651,0.0469
70,1612800,train,2026-07-02 13:28:26,0.2773,5.7464,90.0,0.0638,0.0508
71,1635840,train,2026-07-02 13:29:16,0.2539,5.8858,90.0,0.0654,0.0547
72,1658880,train,2026-07-02 13:30:05,0.3086,6.1236,90.0,0.068,0.043
73,1681920,train,2026-07-02 13:30:54,0.2461,5.576,90.0,0.062,0.0547
74,1704960,train,2026-07-02 13:31:43,0.3008,6.7258,90.0,0.0747,0.0391
75,1728000,train,2026-07-02 13:32:32,0.3047,6.6465,90.0,0.0738,0.0469
76,1751040,train,2026-07-02 13:33:21,0.3789,7.2037,90.0,0.08,0.0625
77,1774080,train,2026-07-02 13:34:10,0.3242,6.9733,90.0,0.0775,0.0508
78,1797120,train,2026-07-02 13:34:59,0.3555,7.0981,90.0,0.0789,0.0273
79,1820160,train,2026-07-02 13:35:48,0.3164,6.6023,90.0,0.0734,0.043
80,1843200,train,2026-07-02 13:36:37,0.3086,6.4659,90.0,0.0718,0.0508
81,1843200,eval,2026-07-02 13:37:55,0.375,9.6841,90.0,0.1076,0.1979
81,1866240,train,2026-07-02 13:38:25,0.3125,6.8364,90.0,0.076,0.0625
82,1889280,train,2026-07-02 13:39:14,0.3438,6.9363,90.0,0.0771,0.0586
83,1912320,train,2026-07-02 13:40:03,0.3008,7.3046,90.0,0.0812,0.0742
84,1935360,train,2026-07-02 13:40:52,0.3945,7.974,90.0,0.0886,0.0742
85,1958400,train,2026-07-02 13:41:41,0.2812,6.8841,90.0,0.0765,0.0312
86,1981440,train,2026-07-02 13:42:30,0.3867,8.0215,90.0,0.0891,0.0547
87,2004480,train,2026-07-02 13:43:19,0.4023,7.6851,90.0,0.0854,0.0547
88,2027520,train,2026-07-02 13:44:08,0.4141,7.8496,90.0,0.0872,0.0508
89,2050560,train,2026-07-02 13:44:57,0.4375,7.6085,90.0,0.0845,0.0625
90,2073600,train,2026-07-02 13:45:46,0.3789,7.5383,90.0,0.0838,0.0508
91,2096640,train,2026-07-02 13:46:35,0.4258,7.8059,90.0,0.0867,0.0703
92,2119680,train,2026-07-02 13:47:25,0.4922,8.6094,90.0,0.0957,0.0977
93,2142720,train,2026-07-02 13:48:14,0.4492,8.106,90.0,0.0901,0.0703
94,2165760,train,2026-07-02 13:49:03,0.4297,7.8566,90.0,0.0873,0.0859
95,2188800,train,2026-07-02 13:49:52,0.4141,7.8449,90.0,0.0872,0.0742
96,2211840,train,2026-07-02 13:50:41,0.4531,8.019,90.0,0.0891,0.0508
97,2211840,eval,2026-07-02 13:51:59,0.5,10.8834,90.0,0.1209,0.1875
97,2234880,train,2026-07-02 13:52:29,0.4258,7.4952,90.0,0.0833,0.0742
98,2257920,train,2026-07-02 13:53:17,0.3711,7.225,90.0,0.0803,0.0469
99,2280960,train,2026-07-02 13:54:06,0.3672,6.868,90.0,0.0763,0.0312
100,2304000,train,2026-07-02 13:54:55,0.4297,7.6156,90.0,0.0846,0.0352
101,2327040,train,2026-07-02 13:55:45,0.4648,7.9576,90.0,0.0884,0.0625
102,2350080,train,2026-07-02 13:56:34,0.3984,7.6349,90.0,0.0848,0.0703
103,2373120,train,2026-07-02 13:57:23,0.4844,8.5351,90.0,0.0948,0.0859
104,2396160,train,2026-07-02 13:58:12,0.3906,8.4284,90.0,0.0936,0.0469
105,2419200,train,2026-07-02 13:59:01,0.4609,8.4306,90.0,0.0937,0.043
106,2442240,train,2026-07-02 13:59:50,0.4375,7.771,90.0,0.0863,0.0547
107,2465280,train,2026-07-02 14:00:39,0.4883,8.1092,90.0,0.0901,0.0391
108,2488320,train,2026-07-02 14:01:28,0.5117,8.4386,90.0,0.0938,0.0625
109,2511360,train,2026-07-02 14:02:18,0.4922,8.6363,90.0,0.096,0.0742
110,2534400,train,2026-07-02 14:03:07,0.5391,8.3835,90.0,0.0932,0.0781
