iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 20:47:37,0.0625,1.9333,90.0,0.0215,0.0104
1,23040,train,2026-07-02 20:48:06,0.1367,2.5758,90.0,0.0286,0.0508
2,46080,train,2026-07-02 20:48:53,0.1133,2.5009,90.0,0.0278,0.043
3,69120,train,2026-07-02 20:49:40,0.125,2.9007,90.0,0.0322,0.0508
4,92160,train,2026-07-02 20:50:27,0.1055,2.7646,90.0,0.0307,0.0273
5,115200,train,2026-07-02 20:51:14,0.0859,2.6633,90.0,0.0296,0.0391
6,138240,train,2026-07-02 20:52:02,0.168,3.6411,90.0,0.0405,0.0742
7,161280,train,2026-07-02 20:52:49,0.1094,2.8988,90.0,0.0322,0.043
8,184320,train,2026-07-02 20:53:37,0.1016,2.8441,90.0,0.0316,0.0234
9,207360,train,2026-07-02 20:54:25,0.1562,3.2799,90.0,0.0364,0.043
10,230400,train,2026-07-02 20:55:12,0.0977,3.0941,90.0,0.0344,0.0352
11,253440,train,2026-07-02 20:56:00,0.1367,3.6419,90.0,0.0405,0.0391
12,276480,train,2026-07-02 20:56:48,0.1367,3.5652,90.0,0.0396,0.0312
13,299520,train,2026-07-02 20:57:35,0.1055,3.3793,90.0,0.0375,0.0156
14,322560,train,2026-07-02 20:58:23,0.125,3.9001,90.0,0.0433,0.0156
15,345600,train,2026-07-02 20:59:11,0.1367,3.547,90.0,0.0394,0.0273
16,368640,train,2026-07-02 20:59:58,0.1172,3.334,90.0,0.037,0.0469
17,368640,eval,2026-07-02 21:01:16,0.1979,5.5623,90.0,0.0618,0.0938
17,391680,train,2026-07-02 21:01:45,0.1602,4.4599,90.0,0.0496,0.0273
18,414720,train,2026-07-02 21:02:33,0.1523,4.1819,90.0,0.0465,0.0391
19,437760,train,2026-07-02 21:03:20,0.1719,4.5083,90.0,0.0501,0.0547
20,460800,train,2026-07-02 21:04:08,0.1211,3.7764,90.0,0.042,0.0352
21,483840,train,2026-07-02 21:04:55,0.168,4.6283,90.0,0.0514,0.0508
22,506880,train,2026-07-02 21:05:43,0.1562,4.5932,90.0,0.051,0.0273
23,529920,train,2026-07-02 21:06:30,0.1328,4.2659,90.0,0.0474,0.0352
24,552960,train,2026-07-02 21:07:18,0.125,4.2573,90.0,0.0473,0.0195
25,576000,train,2026-07-02 21:08:05,0.1406,4.1833,90.0,0.0465,0.0391
26,599040,train,2026-07-02 21:08:52,0.1719,4.6639,90.0,0.0518,0.0703
27,622080,train,2026-07-02 21:09:40,0.2109,4.8733,90.0,0.0541,0.0469
28,645120,train,2026-07-02 21:10:27,0.1562,4.7085,90.0,0.0523,0.043
29,668160,train,2026-07-02 21:11:15,0.2148,5.0359,90.0,0.056,0.0664
30,691200,train,2026-07-02 21:12:02,0.1719,4.7472,90.0,0.0527,0.0547
31,714240,train,2026-07-02 21:12:50,0.207,4.8533,90.0,0.0539,0.0586
32,737280,train,2026-07-02 21:13:37,0.1797,4.7317,90.0,0.0526,0.0547
33,737280,eval,2026-07-02 21:14:54,0.1354,3.826,90.0,0.0425,0.0417
33,760320,train,2026-07-02 21:15:23,0.2148,5.4655,90.0,0.0607,0.0703
34,783360,train,2026-07-02 21:16:11,0.1836,4.8784,90.0,0.0542,0.0664
35,806400,train,2026-07-02 21:16:58,0.1719,4.7412,90.0,0.0527,0.0352
36,829440,train,2026-07-02 21:17:45,0.168,4.6375,90.0,0.0515,0.0273
37,852480,train,2026-07-02 21:18:33,0.2227,5.1627,90.0,0.0574,0.0664
38,875520,train,2026-07-02 21:19:20,0.1914,4.9171,90.0,0.0546,0.0469
39,898560,train,2026-07-02 21:20:07,0.2461,5.4467,90.0,0.0605,0.0859
40,921600,train,2026-07-02 21:20:55,0.1992,5.0788,90.0,0.0564,0.0664
41,944640,train,2026-07-02 21:21:42,0.2148,4.983,90.0,0.0554,0.0664
42,967680,train,2026-07-02 21:22:29,0.1758,4.748,90.0,0.0528,0.0352
43,990720,train,2026-07-02 21:23:17,0.2578,6.0126,90.0,0.0668,0.0625
44,1013760,train,2026-07-02 21:24:04,0.2227,5.559,90.0,0.0618,0.0586
45,1036800,train,2026-07-02 21:24:51,0.2461,5.704,90.0,0.0634,0.0703
46,1059840,train,2026-07-02 21:25:39,0.2695,5.5925,90.0,0.0621,0.0625
47,1082880,train,2026-07-02 21:26:26,0.2617,5.75,90.0,0.0639,0.0742
48,1105920,train,2026-07-02 21:27:13,0.2227,5.1656,90.0,0.0574,0.0625
49,1105920,eval,2026-07-02 21:28:32,0.2292,6.2042,90.0,0.0689,0.125
49,1128960,train,2026-07-02 21:29:01,0.2578,5.6612,90.0,0.0629,0.0703
50,1152000,train,2026-07-02 21:29:48,0.2148,5.1686,90.0,0.0574,0.0703
51,1175040,train,2026-07-02 21:30:36,0.2461,5.3147,90.0,0.0591,0.0781
52,1198080,train,2026-07-02 21:31:23,0.2227,5.2849,90.0,0.0587,0.0586
53,1221120,train,2026-07-02 21:32:10,0.293,5.666,90.0,0.063,0.082
54,1244160,train,2026-07-02 21:32:57,0.2422,5.776,90.0,0.0642,0.0703
55,1267200,train,2026-07-02 21:33:45,0.3125,6.1985,90.0,0.0689,0.0938
56,1290240,train,2026-07-02 21:34:32,0.2969,5.7784,90.0,0.0642,0.1016
57,1313280,train,2026-07-02 21:35:19,0.3086,6.0237,90.0,0.0669,0.0859
58,1336320,train,2026-07-02 21:36:07,0.3164,6.4681,90.0,0.0719,0.0703
59,1359360,train,2026-07-02 21:36:54,0.293,6.164,90.0,0.0685,0.0781
60,1382400,train,2026-07-02 21:37:41,0.2969,5.9848,90.0,0.0665,0.0664
61,1405440,train,2026-07-02 21:38:29,0.3164,6.056,90.0,0.0673,0.0977
62,1428480,train,2026-07-02 21:39:16,0.3086,6.0305,90.0,0.067,0.0938
63,1451520,train,2026-07-02 21:40:03,0.2695,5.3693,90.0,0.0597,0.0742
64,1474560,train,2026-07-02 21:40:51,0.3242,5.9662,90.0,0.0663,0.0938
65,1474560,eval,2026-07-02 21:42:09,0.2708,6.5594,90.0,0.0729,0.1354
65,1497600,train,2026-07-02 21:42:38,0.3477,6.6401,90.0,0.0738,0.0977
66,1520640,train,2026-07-02 21:43:25,0.3398,6.3679,90.0,0.0708,0.0742
67,1543680,train,2026-07-02 21:44:12,0.3555,6.2823,90.0,0.0698,0.0938
68,1566720,train,2026-07-02 21:45:00,0.3945,6.6664,90.0,0.0741,0.1289
69,1589760,train,2026-07-02 21:45:47,0.3242,6.3419,90.0,0.0705,0.082
70,1612800,train,2026-07-02 21:46:34,0.3711,6.2709,90.0,0.0697,0.1016
71,1635840,train,2026-07-02 21:47:22,0.3359,6.2455,90.0,0.0694,0.1094
72,1658880,train,2026-07-02 21:48:09,0.3398,6.3788,90.0,0.0709,0.1055
73,1681920,train,2026-07-02 21:48:57,0.3594,6.0719,90.0,0.0675,0.1094
74,1704960,train,2026-07-02 21:49:44,0.3438,6.2009,90.0,0.0689,0.0977
75,1728000,train,2026-07-02 21:50:32,0.3594,6.2353,90.0,0.0693,0.1172
76,1751040,train,2026-07-02 21:51:19,0.2812,5.6599,90.0,0.0629,0.1055
77,1774080,train,2026-07-02 21:52:06,0.3867,6.7531,90.0,0.075,0.082
78,1797120,train,2026-07-02 21:52:54,0.3555,6.3768,90.0,0.0709,0.1328
79,1820160,train,2026-07-02 21:53:41,0.3672,6.0208,90.0,0.0669,0.0898
80,1843200,train,2026-07-02 21:54:28,0.3828,6.5585,90.0,0.0729,0.1211
81,1843200,eval,2026-07-02 21:55:47,0.3229,6.8103,90.0,0.0757,0.2188
81,1866240,train,2026-07-02 21:56:17,0.3555,6.5267,90.0,0.0725,0.1289
82,1889280,train,2026-07-02 21:57:04,0.3359,5.7136,90.0,0.0635,0.0938
83,1912320,train,2026-07-02 21:57:51,0.3125,5.7283,90.0,0.0636,0.0977
84,1935360,train,2026-07-02 21:58:38,0.2773,4.9783,90.0,0.0553,0.1016
