iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 08:01:59,0.0625,1.9659,90.0,0.0218,0.0208
1,23040,train,2026-05-17 08:02:43,0.1328,2.3522,90.0,0.0261,0.0586
2,46080,train,2026-05-17 08:03:29,0.1133,2.2078,90.0,0.0245,0.0117
3,69120,train,2026-05-17 08:04:14,0.0703,2.1484,90.0,0.0239,0.0195
4,92160,train,2026-05-17 08:04:59,0.1133,2.6957,90.0,0.03,0.0195
5,115200,train,2026-05-17 08:05:45,0.1094,2.9808,90.0,0.0331,0.043
6,138240,train,2026-05-17 08:06:30,0.0742,2.6034,90.0,0.0289,0.0234
7,161280,train,2026-05-17 08:07:16,0.1484,3.2269,90.0,0.0359,0.0547
8,184320,train,2026-05-17 08:08:02,0.1055,3.2433,90.0,0.036,0.0195
9,207360,train,2026-05-17 08:08:48,0.1055,3.4668,90.0,0.0385,0.0508
10,230400,train,2026-05-17 08:09:33,0.1133,3.4679,90.0,0.0385,0.0273
11,253440,train,2026-05-17 08:10:19,0.1328,3.7756,90.0,0.042,0.0352
12,276480,train,2026-05-17 08:11:05,0.1641,4.1048,90.0,0.0456,0.0508
13,299520,train,2026-05-17 08:11:51,0.1133,4.0125,90.0,0.0446,0.0273
14,322560,train,2026-05-17 08:12:36,0.082,3.4495,90.0,0.0383,0.0195
15,345600,train,2026-05-17 08:13:22,0.1133,3.7259,90.0,0.0414,0.0391
16,368640,train,2026-05-17 08:14:08,0.1367,4.1089,90.0,0.0457,0.0312
17,391680,train,2026-05-17 08:14:54,0.0703,3.4869,90.0,0.0387,0.0117
18,414720,train,2026-05-17 08:15:40,0.1172,4.0992,90.0,0.0455,0.0352
19,437760,train,2026-05-17 08:16:25,0.1367,3.9649,90.0,0.0441,0.043
20,460800,train,2026-05-17 08:17:11,0.1094,4.1132,90.0,0.0457,0.0234
21,483840,train,2026-05-17 08:17:57,0.1172,4.1532,90.0,0.0461,0.0234
22,506880,train,2026-05-17 08:18:43,0.1172,4.1169,90.0,0.0457,0.0273
23,529920,train,2026-05-17 08:19:29,0.125,4.0201,90.0,0.0447,0.0234
24,552960,train,2026-05-17 08:20:14,0.1367,4.2521,90.0,0.0472,0.0234
25,576000,train,2026-05-17 08:21:00,0.0938,3.9258,90.0,0.0436,0.0117
26,576000,eval,2026-05-17 08:22:11,0.1979,5.396,90.0,0.06,0.1042
26,599040,train,2026-05-17 08:22:55,0.1289,4.033,90.0,0.0448,0.0195
27,622080,train,2026-05-17 08:23:41,0.1562,4.2559,90.0,0.0473,0.043
28,645120,train,2026-05-17 08:24:27,0.1133,4.0386,90.0,0.0449,0.0391
29,668160,train,2026-05-17 08:25:13,0.0938,3.6593,90.0,0.0407,0.0078
30,691200,train,2026-05-17 08:25:59,0.1172,3.9984,90.0,0.0444,0.0273
31,714240,train,2026-05-17 08:26:45,0.1484,4.0669,90.0,0.0452,0.0234
32,737280,train,2026-05-17 08:27:30,0.1445,4.0168,90.0,0.0446,0.0234
33,760320,train,2026-05-17 08:28:16,0.2109,4.9454,90.0,0.0549,0.0312
34,783360,train,2026-05-17 08:29:02,0.1211,4.1675,90.0,0.0463,0.0234
35,806400,train,2026-05-17 08:29:48,0.1484,4.3163,90.0,0.048,0.0273
36,829440,train,2026-05-17 08:30:34,0.1484,4.144,90.0,0.046,0.0195
37,852480,train,2026-05-17 08:31:20,0.1719,4.5231,90.0,0.0503,0.0195
38,875520,train,2026-05-17 08:32:05,0.1562,4.456,90.0,0.0495,0.0391
39,898560,train,2026-05-17 08:32:51,0.1602,4.7222,90.0,0.0525,0.0078
40,921600,train,2026-05-17 08:33:37,0.1445,4.6351,90.0,0.0515,0.0117
41,944640,train,2026-05-17 08:34:23,0.1953,4.9039,90.0,0.0545,0.0195
42,967680,train,2026-05-17 08:35:09,0.2148,5.3,90.0,0.0589,0.0039
43,990720,train,2026-05-17 08:35:54,0.1367,4.7274,90.0,0.0525,0.0195
44,1013760,train,2026-05-17 08:36:40,0.1133,4.4696,90.0,0.0497,0.0078
45,1036800,train,2026-05-17 08:37:26,0.1445,4.3569,90.0,0.0484,0.0117
46,1059840,train,2026-05-17 08:38:12,0.1992,5.527,90.0,0.0614,0.0156
47,1082880,train,2026-05-17 08:38:58,0.1484,5.0516,90.0,0.0561,0.0352
48,1105920,train,2026-05-17 08:39:44,0.168,5.4749,90.0,0.0608,0.0352
49,1128960,train,2026-05-17 08:40:30,0.207,5.6584,90.0,0.0629,0.0078
50,1152000,train,2026-05-17 08:41:16,0.2148,5.6488,90.0,0.0628,0.0156
51,1152000,eval,2026-05-17 08:42:26,0.2604,6.1733,90.0,0.0686,0.0938
51,1175040,train,2026-05-17 08:43:10,0.1875,5.417,90.0,0.0602,0.0117
52,1198080,train,2026-05-17 08:43:56,0.168,4.8613,90.0,0.054,0.0312
53,1221120,train,2026-05-17 08:44:42,0.168,4.8726,90.0,0.0541,0.0234
54,1244160,train,2026-05-17 08:45:28,0.1523,4.9668,90.0,0.0552,0.0039
55,1267200,train,2026-05-17 08:46:13,0.125,5.0396,90.0,0.056,0.0078
56,1290240,train,2026-05-17 08:46:59,0.1367,5.1029,90.0,0.0567,0.0195
57,1313280,train,2026-05-17 08:47:45,0.1484,5.2549,90.0,0.0584,0.0156
58,1336320,train,2026-05-17 08:48:31,0.168,5.2318,90.0,0.0581,0.0195
59,1359360,train,2026-05-17 08:49:16,0.1484,5.3994,90.0,0.06,0.0391
60,1382400,train,2026-05-17 08:50:02,0.1055,4.4176,90.0,0.0491,0.0234
61,1405440,train,2026-05-17 08:50:48,0.1719,5.8472,90.0,0.065,0.0195
62,1428480,train,2026-05-17 08:51:34,0.1602,5.6029,90.0,0.0623,0.0391
63,1451520,train,2026-05-17 08:52:19,0.168,5.6579,90.0,0.0629,0.043
64,1474560,train,2026-05-17 08:53:05,0.1953,5.683,90.0,0.0631,0.0312
65,1497600,train,2026-05-17 08:53:51,0.1641,5.7946,90.0,0.0644,0.0195
66,1520640,train,2026-05-17 08:54:37,0.1797,5.481,90.0,0.0609,0.0312
67,1543680,train,2026-05-17 08:55:22,0.1484,5.5461,90.0,0.0616,0.0078
68,1566720,train,2026-05-17 08:56:08,0.1484,5.9592,90.0,0.0662,0.0117
69,1589760,train,2026-05-17 08:56:54,0.1523,6.0185,90.0,0.0669,0.0156
70,1612800,train,2026-05-17 08:57:40,0.1602,5.7073,90.0,0.0634,0.0273
71,1635840,train,2026-05-17 08:58:25,0.1953,5.9834,90.0,0.0665,0.0195
72,1658880,train,2026-05-17 08:59:11,0.1836,6.0794,90.0,0.0675,0.0352
73,1681920,train,2026-05-17 08:59:57,0.1914,6.0417,90.0,0.0671,0.0508
74,1704960,train,2026-05-17 09:00:43,0.1914,5.8704,90.0,0.0652,0.0117
75,1728000,train,2026-05-17 09:01:28,0.1992,6.3285,90.0,0.0703,0.0312
76,1728000,eval,2026-05-17 09:02:39,0.2812,8.9291,90.0,0.0992,0.0312
76,1751040,train,2026-05-17 09:03:23,0.1406,5.9622,90.0,0.0662,0.0039
77,1774080,train,2026-05-17 09:04:09,0.1992,5.9111,90.0,0.0657,0.0234
78,1797120,train,2026-05-17 09:04:54,0.1836,5.6927,90.0,0.0633,0.0039
79,1820160,train,2026-05-17 09:05:40,0.2227,6.5367,90.0,0.0726,0.0469
80,1843200,train,2026-05-17 09:06:26,0.2188,6.3804,90.0,0.0709,0.0273
81,1866240,train,2026-05-17 09:07:12,0.1875,5.8173,90.0,0.0646,0.0117
82,1889280,train,2026-05-17 09:07:57,0.1914,6.2572,90.0,0.0695,0.0273
83,1912320,train,2026-05-17 09:08:43,0.1836,6.2037,90.0,0.0689,0.0078
