iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 22:55:02,0.0833,2.267,90.0,0.0252,0.0417
1,23040,train,2026-07-01 22:56:01,0.082,1.9644,90.0,0.0218,0.0195
2,46080,train,2026-07-01 22:57:00,0.1133,2.5583,90.0,0.0284,0.0234
3,69120,train,2026-07-01 22:58:01,0.1055,2.6483,90.0,0.0294,0.0312
4,92160,train,2026-07-01 22:59:01,0.0938,3.0076,90.0,0.0334,0.0312
5,115200,train,2026-07-01 23:00:02,0.0703,2.6318,90.0,0.0292,0.0078
6,138240,train,2026-07-01 23:01:02,0.1406,3.2895,90.0,0.0365,0.043
7,161280,train,2026-07-01 23:02:02,0.082,3.073,90.0,0.0341,0.0391
8,184320,train,2026-07-01 23:03:03,0.0742,3.1509,90.0,0.035,0.0117
9,207360,train,2026-07-01 23:04:04,0.1289,3.5677,90.0,0.0396,0.0352
10,230400,train,2026-07-01 23:05:05,0.1367,3.7238,90.0,0.0414,0.0352
11,253440,train,2026-07-01 23:06:05,0.1016,3.5472,90.0,0.0394,0.0352
12,276480,train,2026-07-01 23:07:06,0.0859,3.4716,90.0,0.0386,0.0156
13,299520,train,2026-07-01 23:08:06,0.1211,3.9863,90.0,0.0443,0.0508
14,322560,train,2026-07-01 23:09:07,0.1641,4.4925,90.0,0.0499,0.0352
15,345600,train,2026-07-01 23:10:07,0.1289,4.0872,90.0,0.0454,0.0273
16,368640,train,2026-07-01 23:11:08,0.1211,4.0843,90.0,0.0454,0.0195
17,368640,eval,2026-07-01 23:12:20,0.0729,4.2569,90.0,0.0473,0.0417
17,391680,train,2026-07-01 23:13:19,0.1523,4.2578,90.0,0.0473,0.0273
18,414720,train,2026-07-01 23:14:19,0.1211,4.025,90.0,0.0447,0.0195
19,437760,train,2026-07-01 23:15:19,0.1016,3.9802,90.0,0.0442,0.0234
20,460800,train,2026-07-01 23:16:19,0.1055,3.6987,90.0,0.0411,0.0195
21,483840,train,2026-07-01 23:17:19,0.1367,4.4861,90.0,0.0498,0.0039
22,506880,train,2026-07-01 23:18:19,0.1211,4.2853,90.0,0.0476,0.0117
23,529920,train,2026-07-01 23:19:19,0.1289,3.9138,90.0,0.0435,0.0391
24,552960,train,2026-07-01 23:20:19,0.1875,4.7945,90.0,0.0533,0.043
25,576000,train,2026-07-01 23:21:19,0.1602,4.5022,90.0,0.05,0.0352
26,599040,train,2026-07-01 23:22:19,0.1133,4.1914,90.0,0.0466,0.0352
27,622080,train,2026-07-01 23:23:19,0.168,4.7933,90.0,0.0533,0.0352
28,645120,train,2026-07-01 23:24:19,0.1562,4.5887,90.0,0.051,0.0469
29,668160,train,2026-07-01 23:25:19,0.1094,4.406,90.0,0.049,0.0117
30,691200,train,2026-07-01 23:26:19,0.1328,4.3957,90.0,0.0488,0.0391
31,714240,train,2026-07-01 23:27:19,0.1445,4.415,90.0,0.0491,0.0391
32,737280,train,2026-07-01 23:28:19,0.1289,4.345,90.0,0.0483,0.0469
