iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-19 04:59:27,0.0,9.7967,60.0,0.1633,0.0
1,15360,train,2026-06-19 04:59:48,0.0,0.0777,60.0,0.0013,0.0
2,30720,train,2026-06-19 05:00:48,0.0,0.0975,60.0,0.0016,0.0
3,46080,train,2026-06-19 05:01:47,0.0,0.1487,60.0,0.0025,0.0
4,61440,train,2026-06-19 05:02:45,0.0,0.2481,60.0,0.0041,0.0
5,76800,train,2026-06-19 05:03:44,0.0,0.3677,60.0,0.0061,0.0
6,92160,train,2026-06-19 05:04:42,0.0,0.5242,60.0,0.0087,0.0
7,107520,train,2026-06-19 05:05:41,0.0,0.6515,60.0,0.0109,0.0
8,122880,train,2026-06-19 05:06:39,0.0,0.6345,60.0,0.0106,0.0
9,138240,train,2026-06-19 05:07:38,0.0,0.8642,60.0,0.0144,0.0
10,153600,train,2026-06-19 05:08:37,0.0,0.9227,60.0,0.0154,0.0
11,168960,train,2026-06-19 05:09:36,0.0,1.2043,60.0,0.0201,0.0
12,184320,train,2026-06-19 05:10:34,0.0039,1.3156,60.0,0.0219,0.0
13,199680,train,2026-06-19 05:11:33,0.0039,1.3846,60.0,0.0231,0.0
14,215040,train,2026-06-19 05:12:31,0.0,1.3464,60.0,0.0224,0.0
15,230400,train,2026-06-19 05:13:31,0.0039,1.3167,60.0,0.0219,0.0
16,245760,train,2026-06-19 05:14:29,0.0039,1.6745,60.0,0.0279,0.0
17,261120,train,2026-06-19 05:15:28,0.0,1.5811,60.0,0.0264,0.0
18,276480,train,2026-06-19 05:16:26,0.0039,1.409,60.0,0.0235,0.0
19,291840,train,2026-06-19 05:17:25,0.0,1.665,60.0,0.0278,0.0
20,307200,train,2026-06-19 05:18:24,0.0,1.4721,60.0,0.0245,0.0
21,322560,train,2026-06-19 05:19:23,0.0,1.3623,60.0,0.0227,0.0
22,337920,train,2026-06-19 05:20:22,0.0078,1.4798,60.0,0.0247,0.0
23,353280,train,2026-06-19 05:21:20,0.0,1.4432,60.0,0.0241,0.0
24,368640,train,2026-06-19 05:22:19,0.0,1.4965,60.0,0.0249,0.0
25,368640,eval,2026-06-19 05:24:18,0.0,4.4641,60.0,0.0744,0.0
25,384000,train,2026-06-19 05:24:39,0.0,1.4089,60.0,0.0235,0.0
26,399360,train,2026-06-19 05:25:38,0.0,1.1549,60.0,0.0192,0.0
27,414720,train,2026-06-19 05:26:37,0.0,1.2842,60.0,0.0214,0.0
28,430080,train,2026-06-19 05:27:36,0.0039,1.2117,60.0,0.0202,0.0
29,445440,train,2026-06-19 05:28:35,0.0,1.3342,60.0,0.0222,0.0
30,460800,train,2026-06-19 05:29:33,0.0,1.4304,60.0,0.0238,0.0
31,476160,train,2026-06-19 05:30:33,0.0039,1.3761,60.0,0.0229,0.0
32,491520,train,2026-06-19 05:31:32,0.0039,1.6369,60.0,0.0273,0.0
33,506880,train,2026-06-19 05:32:30,0.0,1.544,60.0,0.0257,0.0
34,522240,train,2026-06-19 05:33:29,0.0,1.5898,60.0,0.0265,0.0
35,537600,train,2026-06-19 05:34:28,0.0039,1.4434,60.0,0.0241,0.0
36,552960,train,2026-06-19 05:35:28,0.0,1.6465,60.0,0.0274,0.0
37,568320,train,2026-06-19 05:36:27,0.0078,1.3495,60.0,0.0225,0.0
38,583680,train,2026-06-19 05:37:26,0.0,1.6319,60.0,0.0272,0.0
39,599040,train,2026-06-19 05:38:25,0.0078,1.8619,60.0,0.031,0.0
40,614400,train,2026-06-19 05:39:24,0.0078,1.615,60.0,0.0269,0.0
41,629760,train,2026-06-19 05:40:22,0.0,1.6626,60.0,0.0277,0.0
42,645120,train,2026-06-19 05:41:21,0.0039,1.2007,60.0,0.02,0.0
43,660480,train,2026-06-19 05:42:19,0.0,1.3513,60.0,0.0225,0.0
44,675840,train,2026-06-19 05:43:18,0.0,1.2363,60.0,0.0206,0.0
45,691200,train,2026-06-19 05:44:16,0.0,1.5888,60.0,0.0265,0.0
46,706560,train,2026-06-19 05:45:15,0.0,1.3211,60.0,0.022,0.0
47,721920,train,2026-06-19 05:46:13,0.0039,1.586,60.0,0.0264,0.0
48,737280,train,2026-06-19 05:47:12,0.0039,1.6123,60.0,0.0269,0.0
49,737280,eval,2026-06-19 05:49:13,0.2344,5.3497,60.0,0.0892,0.0365
49,752640,train,2026-06-19 05:49:34,0.0,1.5574,60.0,0.026,0.0
50,768000,train,2026-06-19 05:50:32,0.0,1.7916,60.0,0.0299,0.0
51,783360,train,2026-06-19 05:51:31,0.0039,1.8304,60.0,0.0305,0.0
52,798720,train,2026-06-19 05:52:30,0.0,1.5425,60.0,0.0257,0.0
53,814080,train,2026-06-19 05:53:29,0.0,1.5344,60.0,0.0256,0.0
54,829440,train,2026-06-19 05:54:27,0.0039,1.6486,60.0,0.0275,0.0
