iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-31 06:33:04,0.0,9.9493,60.0,0.1658,0.0
1,15360,train,2026-05-31 06:33:24,0.0,0.0835,60.0,0.0014,0.0
2,30720,train,2026-05-31 06:33:57,0.0,0.1102,60.0,0.0018,0.0
3,46080,train,2026-05-31 06:34:30,0.0,0.1888,60.0,0.0031,0.0
4,61440,train,2026-05-31 06:35:03,0.0,0.2532,60.0,0.0042,0.0
5,76800,train,2026-05-31 06:35:36,0.0,0.3538,60.0,0.0059,0.0
6,92160,train,2026-05-31 06:36:09,0.0,0.5245,60.0,0.0087,0.0
7,107520,train,2026-05-31 06:36:43,0.0,0.6971,60.0,0.0116,0.0
8,122880,train,2026-05-31 06:37:16,0.0,0.6981,60.0,0.0116,0.0
9,138240,train,2026-05-31 06:37:49,0.0,0.8983,60.0,0.015,0.0
10,153600,train,2026-05-31 06:38:23,0.0039,0.9653,60.0,0.0161,0.0
11,168960,train,2026-05-31 06:38:56,0.0,1.198,60.0,0.02,0.0
12,184320,train,2026-05-31 06:39:29,0.0,1.2118,60.0,0.0202,0.0
13,199680,train,2026-05-31 06:40:03,0.0,1.1307,60.0,0.0188,0.0
14,215040,train,2026-05-31 06:40:36,0.0,1.239,60.0,0.0206,0.0
15,230400,train,2026-05-31 06:41:09,0.0,1.2276,60.0,0.0205,0.0
16,245760,train,2026-05-31 06:41:43,0.0,1.2106,60.0,0.0202,0.0
17,261120,train,2026-05-31 06:42:16,0.0,1.2685,60.0,0.0211,0.0
18,276480,train,2026-05-31 06:42:49,0.0,1.2803,60.0,0.0213,0.0
19,291840,train,2026-05-31 06:43:22,0.0,1.3489,60.0,0.0225,0.0
20,307200,train,2026-05-31 06:43:56,0.0,1.2901,60.0,0.0215,0.0
21,322560,train,2026-05-31 06:44:29,0.0,1.3468,60.0,0.0224,0.0
22,337920,train,2026-05-31 06:45:02,0.0,1.2907,60.0,0.0215,0.0
23,353280,train,2026-05-31 06:45:35,0.0,1.2474,60.0,0.0208,0.0
24,368640,train,2026-05-31 06:46:09,0.0,1.1322,60.0,0.0189,0.0
25,384000,train,2026-05-31 06:46:42,0.0,1.1643,60.0,0.0194,0.0
26,399360,train,2026-05-31 06:47:15,0.0,1.1942,60.0,0.0199,0.0
27,414720,train,2026-05-31 06:47:53,0.0,1.1241,60.0,0.0187,0.0
28,430080,train,2026-05-31 06:48:26,0.0,1.085,60.0,0.0181,0.0
29,445440,train,2026-05-31 06:48:59,0.0,1.0723,60.0,0.0179,0.0
30,460800,train,2026-05-31 06:49:32,0.0,1.3406,60.0,0.0223,0.0
31,476160,train,2026-05-31 06:50:05,0.0,1.3688,60.0,0.0228,0.0
32,491520,train,2026-05-31 06:50:38,0.0,1.23,60.0,0.0205,0.0
33,506880,train,2026-05-31 06:51:12,0.0,1.3662,60.0,0.0228,0.0
34,522240,train,2026-05-31 06:51:45,0.0,1.1981,60.0,0.02,0.0
35,537600,train,2026-05-31 06:52:18,0.0,1.3099,60.0,0.0218,0.0
36,552960,train,2026-05-31 06:52:51,0.0,1.4516,60.0,0.0242,0.0
37,568320,train,2026-05-31 06:53:24,0.0039,1.4194,60.0,0.0237,0.0
38,583680,train,2026-05-31 06:53:58,0.0,1.3357,60.0,0.0223,0.0
39,599040,train,2026-05-31 06:54:31,0.0,1.6301,60.0,0.0272,0.0
40,614400,train,2026-05-31 06:55:04,0.0,1.4444,60.0,0.0241,0.0
41,629760,train,2026-05-31 06:55:37,0.0,1.3323,60.0,0.0222,0.0
42,645120,train,2026-05-31 06:56:10,0.0039,1.5273,60.0,0.0255,0.0
43,660480,train,2026-05-31 06:56:44,0.0,1.3365,60.0,0.0223,0.0
44,675840,train,2026-05-31 06:57:17,0.0,1.1907,60.0,0.0198,0.0
45,691200,train,2026-05-31 06:57:50,0.0,1.2218,60.0,0.0204,0.0
46,706560,train,2026-05-31 06:58:23,0.0,1.3454,60.0,0.0224,0.0
47,721920,train,2026-05-31 06:58:56,0.0,1.4226,60.0,0.0237,0.0
48,737280,train,2026-05-31 06:59:29,0.0,1.3214,60.0,0.022,0.0
49,737280,eval,2026-05-31 07:01:03,0.0729,6.2165,60.0,0.1036,0.0052
49,752640,train,2026-05-31 07:01:24,0.0,1.3233,60.0,0.0221,0.0
50,768000,train,2026-05-31 07:01:57,0.0,1.5669,60.0,0.0261,0.0
51,783360,train,2026-05-31 07:02:30,0.0,1.3135,60.0,0.0219,0.0
52,798720,train,2026-05-31 07:03:04,0.0078,1.3606,60.0,0.0227,0.0
53,814080,train,2026-05-31 07:03:37,0.0,1.618,60.0,0.027,0.0
54,829440,train,2026-05-31 07:04:10,0.0,1.6287,60.0,0.0271,0.0
55,844800,train,2026-05-31 07:04:44,0.0,1.5553,60.0,0.0259,0.0
56,860160,train,2026-05-31 07:05:17,0.0,1.6112,60.0,0.0269,0.0
57,875520,train,2026-05-31 07:05:50,0.0,1.6257,60.0,0.0271,0.0
58,890880,train,2026-05-31 07:06:24,0.0,1.67,60.0,0.0278,0.0
59,906240,train,2026-05-31 07:06:57,0.0078,1.7563,60.0,0.0293,0.0
60,921600,train,2026-05-31 07:07:30,0.0078,1.7329,60.0,0.0289,0.0
61,936960,train,2026-05-31 07:08:04,0.0039,1.5578,60.0,0.026,0.0
62,952320,train,2026-05-31 07:08:37,0.0,1.7038,60.0,0.0284,0.0
63,967680,train,2026-05-31 07:09:11,0.0,1.4773,60.0,0.0246,0.0
64,983040,train,2026-05-31 07:09:44,0.0,1.8037,60.0,0.0301,0.0
65,998400,train,2026-05-31 07:10:17,0.0,1.7636,60.0,0.0294,0.0
66,1013760,train,2026-05-31 07:10:51,0.0,1.6908,60.0,0.0282,0.0
67,1029120,train,2026-05-31 07:11:24,0.0,2.0625,60.0,0.0344,0.0
68,1044480,train,2026-05-31 07:11:58,0.0039,1.6112,60.0,0.0269,0.0
69,1059840,train,2026-05-31 07:12:31,0.0,1.9727,60.0,0.0329,0.0
70,1075200,train,2026-05-31 07:13:04,0.0,1.8906,60.0,0.0315,0.0
71,1090560,train,2026-05-31 07:13:38,0.0039,1.979,60.0,0.033,0.0
72,1105920,train,2026-05-31 07:14:11,0.0,1.8811,60.0,0.0314,0.0
73,1121280,train,2026-05-31 07:14:44,0.0039,1.8486,60.0,0.0308,0.0
74,1136640,train,2026-05-31 07:15:18,0.0,1.9617,60.0,0.0327,0.0
75,1152000,train,2026-05-31 07:15:51,0.0039,2.1192,60.0,0.0353,0.0
76,1167360,train,2026-05-31 07:16:25,0.0,1.8233,60.0,0.0304,0.0
77,1182720,train,2026-05-31 07:16:58,0.0,1.9191,60.0,0.032,0.0
78,1198080,train,2026-05-31 07:17:31,0.0,1.8589,60.0,0.031,0.0
79,1213440,train,2026-05-31 07:18:05,0.0039,1.8898,60.0,0.0315,0.0
80,1228800,train,2026-05-31 07:18:38,0.0039,2.095,60.0,0.0349,0.0
81,1244160,train,2026-05-31 07:19:12,0.0,1.8181,60.0,0.0303,0.0
82,1259520,train,2026-05-31 07:19:45,0.0117,1.8253,60.0,0.0304,0.0
83,1274880,train,2026-05-31 07:20:18,0.0039,1.8644,60.0,0.0311,0.0
84,1290240,train,2026-05-31 07:20:52,0.0078,1.9617,60.0,0.0327,0.0
85,1305600,train,2026-05-31 07:21:25,0.0,1.8754,60.0,0.0313,0.0
86,1320960,train,2026-05-31 07:21:58,0.0,2.0408,60.0,0.034,0.0
