iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-18 11:10:46,0.0,9.9599,60.0,0.166,0.0
1,15360,train,2026-06-18 11:11:07,0.0,0.0751,60.0,0.0013,0.0
2,30720,train,2026-06-18 11:11:54,0.0,0.0899,60.0,0.0015,0.0
3,46080,train,2026-06-18 11:12:40,0.0,0.1127,60.0,0.0019,0.0
4,61440,train,2026-06-18 11:13:26,0.0,0.1864,60.0,0.0031,0.0
5,76800,train,2026-06-18 11:14:13,0.0,0.283,60.0,0.0047,0.0
6,92160,train,2026-06-18 11:15:00,0.0,0.3601,60.0,0.006,0.0
7,107520,train,2026-06-18 11:15:47,0.0,0.5146,60.0,0.0086,0.0
8,122880,train,2026-06-18 11:16:34,0.0,0.597,60.0,0.0099,0.0
9,138240,train,2026-06-18 11:17:21,0.0,0.6825,60.0,0.0114,0.0
10,153600,train,2026-06-18 11:18:07,0.0,0.8581,60.0,0.0143,0.0
11,168960,train,2026-06-18 11:18:54,0.0,1.0379,60.0,0.0173,0.0
12,184320,train,2026-06-18 11:19:41,0.0,1.1315,60.0,0.0189,0.0
13,199680,train,2026-06-18 11:20:28,0.0,1.0762,60.0,0.0179,0.0
14,215040,train,2026-06-18 11:21:15,0.0,0.9384,60.0,0.0156,0.0
15,230400,train,2026-06-18 11:22:02,0.0,1.0683,60.0,0.0178,0.0
16,245760,train,2026-06-18 11:22:48,0.0,1.1438,60.0,0.0191,0.0
17,261120,train,2026-06-18 11:23:35,0.0,1.2913,60.0,0.0215,0.0
18,276480,train,2026-06-18 11:24:22,0.0,1.1705,60.0,0.0195,0.0
19,291840,train,2026-06-18 11:25:09,0.0,1.0633,60.0,0.0177,0.0
20,307200,train,2026-06-18 11:25:56,0.0,1.1494,60.0,0.0192,0.0
21,322560,train,2026-06-18 11:26:42,0.0,1.175,60.0,0.0196,0.0
22,337920,train,2026-06-18 11:27:29,0.0,1.4778,60.0,0.0246,0.0
23,353280,train,2026-06-18 11:28:16,0.0,1.2086,60.0,0.0201,0.0
24,368640,train,2026-06-18 11:29:03,0.0,1.213,60.0,0.0202,0.0
25,368640,eval,2026-06-18 11:30:52,0.0052,5.0826,60.0,0.0847,0.0052
25,384000,train,2026-06-18 11:31:13,0.0,1.152,60.0,0.0192,0.0
26,399360,train,2026-06-18 11:32:00,0.0,0.9426,60.0,0.0157,0.0
27,414720,train,2026-06-18 11:32:47,0.0,1.1467,60.0,0.0191,0.0
28,430080,train,2026-06-18 11:33:34,0.0,1.1773,60.0,0.0196,0.0
29,445440,train,2026-06-18 11:34:21,0.0,1.4125,60.0,0.0235,0.0
30,460800,train,2026-06-18 11:35:08,0.0,1.2224,60.0,0.0204,0.0
31,476160,train,2026-06-18 11:35:55,0.0,1.4623,60.0,0.0244,0.0
32,491520,train,2026-06-18 11:36:42,0.0,1.3492,60.0,0.0225,0.0
33,506880,train,2026-06-18 11:37:29,0.0,1.5129,60.0,0.0252,0.0
34,522240,train,2026-06-18 11:38:15,0.0,1.3711,60.0,0.0229,0.0
35,537600,train,2026-06-18 11:39:02,0.0,1.424,60.0,0.0237,0.0
36,552960,train,2026-06-18 11:39:49,0.0,1.5668,60.0,0.0261,0.0
37,568320,train,2026-06-18 11:40:36,0.0039,1.2691,60.0,0.0212,0.0
38,583680,train,2026-06-18 11:41:23,0.0,1.2032,60.0,0.0201,0.0
39,599040,train,2026-06-18 11:42:10,0.0,1.3682,60.0,0.0228,0.0
40,614400,train,2026-06-18 11:42:57,0.0,1.3017,60.0,0.0217,0.0
41,629760,train,2026-06-18 11:43:44,0.0,1.3712,60.0,0.0229,0.0
42,645120,train,2026-06-18 11:44:30,0.0,1.4171,60.0,0.0236,0.0
43,660480,train,2026-06-18 11:45:17,0.0,1.513,60.0,0.0252,0.0
44,675840,train,2026-06-18 11:46:10,0.0,1.4614,60.0,0.0244,0.0
45,691200,train,2026-06-18 11:46:56,0.0,1.3695,60.0,0.0228,0.0
46,706560,train,2026-06-18 11:47:43,0.0039,1.3616,60.0,0.0227,0.0
47,721920,train,2026-06-18 11:48:30,0.0,1.5421,60.0,0.0257,0.0
48,737280,train,2026-06-18 11:49:16,0.0,1.5469,60.0,0.0258,0.0
49,737280,eval,2026-06-18 11:51:06,0.0,6.5716,60.0,0.1095,0.0
49,752640,train,2026-06-18 11:51:27,0.0,1.4425,60.0,0.024,0.0
50,768000,train,2026-06-18 11:52:14,0.0,1.5062,60.0,0.0251,0.0
51,783360,train,2026-06-18 11:53:00,0.0,1.4911,60.0,0.0249,0.0
52,798720,train,2026-06-18 11:53:47,0.0,1.4457,60.0,0.0241,0.0
53,814080,train,2026-06-18 11:54:34,0.0039,1.3766,60.0,0.0229,0.0
54,829440,train,2026-06-18 11:55:21,0.0,1.6816,60.0,0.028,0.0
55,844800,train,2026-06-18 11:56:08,0.0,1.462,60.0,0.0244,0.0
56,860160,train,2026-06-18 11:56:55,0.0,1.6112,60.0,0.0269,0.0
57,875520,train,2026-06-18 11:57:42,0.0,1.6203,60.0,0.027,0.0
