iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 15:17:20,0.0,9.9443,60.0,0.1657,0.0
1,15360,train,2026-05-16 15:18:21,0.0,0.0822,60.0,0.0014,0.0
2,30720,train,2026-05-16 15:19:25,0.0,0.1188,60.0,0.002,0.0
3,46080,train,2026-05-16 15:20:25,0.0,0.2013,60.0,0.0034,0.0
4,61440,train,2026-05-16 15:21:25,0.0,0.2691,60.0,0.0045,0.0
5,76800,train,2026-05-16 15:22:23,0.0,0.4563,60.0,0.0076,0.0
6,92160,train,2026-05-16 15:23:21,0.0,0.6387,60.0,0.0106,0.0
7,107520,train,2026-05-16 15:24:19,0.0,0.8499,60.0,0.0142,0.0
8,122880,train,2026-05-16 15:25:17,0.0,0.8135,60.0,0.0136,0.0
9,138240,train,2026-05-16 15:26:15,0.0,0.9146,60.0,0.0152,0.0
10,153600,train,2026-05-16 15:27:13,0.0,0.977,60.0,0.0163,0.0
11,168960,train,2026-05-16 15:28:10,0.0039,1.0591,60.0,0.0177,0.0
12,184320,train,2026-05-16 15:29:07,0.0,1.0597,60.0,0.0177,0.0
13,199680,train,2026-05-16 15:30:03,0.0,0.9547,60.0,0.0159,0.0
14,215040,train,2026-05-16 15:31:00,0.0039,1.1421,60.0,0.019,0.0
15,230400,train,2026-05-16 15:31:58,0.0,1.1256,60.0,0.0188,0.0
16,245760,train,2026-05-16 15:32:56,0.0,1.1007,60.0,0.0183,0.0
17,261120,train,2026-05-16 15:33:54,0.0,1.232,60.0,0.0205,0.0
18,276480,train,2026-05-16 15:34:52,0.0,1.1555,60.0,0.0193,0.0
19,291840,train,2026-05-16 15:35:49,0.0,1.2241,60.0,0.0204,0.0
20,307200,train,2026-05-16 15:36:46,0.0039,1.1872,60.0,0.0198,0.0
21,322560,train,2026-05-16 15:37:44,0.0,1.2026,60.0,0.02,0.0
22,337920,train,2026-05-16 15:38:42,0.0,1.1852,60.0,0.0198,0.0
23,353280,train,2026-05-16 15:39:39,0.0,1.3162,60.0,0.0219,0.0
24,368640,train,2026-05-16 15:40:36,0.0,1.1621,60.0,0.0194,0.0
25,384000,train,2026-05-16 15:41:34,0.0,1.1819,60.0,0.0197,0.0
26,399360,train,2026-05-16 15:42:31,0.0,1.2716,60.0,0.0212,0.0
27,414720,train,2026-05-16 15:43:29,0.0,1.2501,60.0,0.0208,0.0
28,430080,train,2026-05-16 15:44:26,0.0,1.2536,60.0,0.0209,0.0
29,445440,train,2026-05-16 15:45:24,0.0039,1.2748,60.0,0.0212,0.0
30,460800,train,2026-05-16 15:46:21,0.0,1.5915,60.0,0.0265,0.0
31,476160,train,2026-05-16 15:47:19,0.0,1.4313,60.0,0.0239,0.0
32,491520,train,2026-05-16 15:48:16,0.0,1.2558,60.0,0.0209,0.0
33,506880,train,2026-05-16 15:49:14,0.0,1.4741,60.0,0.0246,0.0
34,522240,train,2026-05-16 15:50:11,0.0039,1.3861,60.0,0.0231,0.0
35,537600,train,2026-05-16 15:51:09,0.0,1.3649,60.0,0.0227,0.0
36,552960,train,2026-05-16 15:52:07,0.0039,1.5184,60.0,0.0253,0.0
37,568320,train,2026-05-16 15:53:04,0.0,1.498,60.0,0.025,0.0
38,583680,train,2026-05-16 15:54:02,0.0,1.4505,60.0,0.0242,0.0
39,599040,train,2026-05-16 15:54:59,0.0078,1.7696,60.0,0.0295,0.0
40,614400,train,2026-05-16 15:55:57,0.0,1.5859,60.0,0.0264,0.0
