iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-15 11:36:31,0.0,9.8873,60.0,0.1648,0.0
1,15360,train,2026-05-15 11:37:09,0.0,0.0681,60.0,0.0011,0.0
2,30720,train,2026-05-15 11:37:49,0.0,0.1105,60.0,0.0018,0.0
3,46080,train,2026-05-15 11:38:28,0.0,0.1533,60.0,0.0026,0.0
4,61440,train,2026-05-15 11:39:08,0.0,0.2619,60.0,0.0044,0.0
5,76800,train,2026-05-15 11:39:47,0.0,0.3818,60.0,0.0064,0.0
6,92160,train,2026-05-15 11:40:27,0.0,0.383,60.0,0.0064,0.0
7,107520,train,2026-05-15 11:41:06,0.0,0.5674,60.0,0.0095,0.0
8,122880,train,2026-05-15 11:41:46,0.0,0.635,60.0,0.0106,0.0
9,138240,train,2026-05-15 11:42:26,0.0,0.9463,60.0,0.0158,0.0
10,153600,train,2026-05-15 11:43:06,0.0,0.8183,60.0,0.0136,0.0
11,168960,train,2026-05-15 11:43:46,0.0039,1.1051,60.0,0.0184,0.0
12,184320,train,2026-05-15 11:44:26,0.0,1.1243,60.0,0.0187,0.0
13,199680,train,2026-05-15 11:45:06,0.0,1.0547,60.0,0.0176,0.0
14,215040,train,2026-05-15 11:45:46,0.0,1.2368,60.0,0.0206,0.0
15,230400,train,2026-05-15 11:46:25,0.0039,1.3535,60.0,0.0226,0.0
16,245760,train,2026-05-15 11:47:05,0.0,1.3207,60.0,0.022,0.0
17,261120,train,2026-05-15 11:47:45,0.0,1.2476,60.0,0.0208,0.0
18,276480,train,2026-05-15 11:48:25,0.0,1.6526,60.0,0.0275,0.0
19,291840,train,2026-05-15 11:49:05,0.0,1.3377,60.0,0.0223,0.0
20,307200,train,2026-05-15 11:49:45,0.0039,1.3683,60.0,0.0228,0.0
21,322560,train,2026-05-15 11:50:25,0.0,1.5702,60.0,0.0262,0.0
22,337920,train,2026-05-15 11:51:05,0.0,1.4587,60.0,0.0243,0.0
23,353280,train,2026-05-15 11:51:45,0.0,1.518,60.0,0.0253,0.0
24,368640,train,2026-05-15 11:52:25,0.0039,1.7191,60.0,0.0287,0.0
25,384000,train,2026-05-15 11:53:05,0.0,1.7078,60.0,0.0285,0.0
26,399360,train,2026-05-15 11:53:45,0.0,1.7011,60.0,0.0284,0.0
27,414720,train,2026-05-15 11:54:25,0.0,1.436,60.0,0.0239,0.0
28,430080,train,2026-05-15 11:55:05,0.0039,1.836,60.0,0.0306,0.0
29,445440,train,2026-05-15 11:55:45,0.0,1.6891,60.0,0.0282,0.0
30,460800,train,2026-05-15 11:56:25,0.0,1.6061,60.0,0.0268,0.0
31,476160,train,2026-05-15 11:57:05,0.0,1.5614,60.0,0.026,0.0
32,491520,train,2026-05-15 11:57:45,0.0,1.5028,60.0,0.025,0.0
33,506880,train,2026-05-15 11:58:25,0.0078,1.5479,60.0,0.0258,0.0
34,522240,train,2026-05-15 11:59:05,0.0,1.5049,60.0,0.0251,0.0
35,537600,train,2026-05-15 11:59:45,0.0,1.5275,60.0,0.0255,0.0
36,552960,train,2026-05-15 12:00:25,0.0,1.8928,60.0,0.0315,0.0
37,568320,train,2026-05-15 12:01:06,0.0,1.718,60.0,0.0286,0.0
