iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 21:36:19,0.0,9.8815,60.0,0.1647,0.0
1,15360,train,2026-05-06 21:37:46,0.0,0.0794,60.0,0.0013,0.0
2,30720,train,2026-05-06 21:39:14,0.0,0.1326,60.0,0.0022,0.0
3,46080,train,2026-05-06 21:40:43,0.0,0.2154,60.0,0.0036,0.0
4,61440,train,2026-05-06 21:42:11,0.0,0.3221,60.0,0.0054,0.0
5,76800,train,2026-05-06 21:43:39,0.0,0.4573,60.0,0.0076,0.0
6,92160,train,2026-05-06 21:45:08,0.0,0.475,60.0,0.0079,0.0
7,107520,train,2026-05-06 21:46:37,0.0,0.586,60.0,0.0098,0.0
8,122880,train,2026-05-06 21:48:05,0.0,0.5898,60.0,0.0098,0.0
9,138240,train,2026-05-06 21:49:34,0.0,0.8016,60.0,0.0134,0.0
10,153600,train,2026-05-06 21:51:03,0.0,0.8902,60.0,0.0148,0.0
11,168960,train,2026-05-06 21:52:31,0.0039,1.0796,60.0,0.018,0.0
12,184320,train,2026-05-06 21:54:00,0.0,1.2675,60.0,0.0211,0.0
13,199680,train,2026-05-06 21:55:29,0.0,1.3204,60.0,0.022,0.0
14,215040,train,2026-05-06 21:56:58,0.0,1.4586,60.0,0.0243,0.0
15,230400,train,2026-05-06 21:58:27,0.0039,1.3617,60.0,0.0227,0.0
16,245760,train,2026-05-06 21:59:56,0.0039,1.4214,60.0,0.0237,0.0
17,261120,train,2026-05-06 22:01:25,0.0,1.336,60.0,0.0223,0.0
18,276480,train,2026-05-06 22:02:54,0.0,1.3348,60.0,0.0222,0.0
19,291840,train,2026-05-06 22:04:23,0.0,1.5735,60.0,0.0262,0.0
20,307200,train,2026-05-06 22:05:52,0.0,1.3204,60.0,0.022,0.0
21,322560,train,2026-05-06 22:07:21,0.0,1.2582,60.0,0.021,0.0
22,337920,train,2026-05-06 22:08:50,0.0,1.2977,60.0,0.0216,0.0
23,353280,train,2026-05-06 22:10:19,0.0,1.2815,60.0,0.0214,0.0
24,368640,train,2026-05-06 22:11:48,0.0,1.2015,60.0,0.02,0.0
25,384000,train,2026-05-06 22:13:17,0.0,1.2868,60.0,0.0214,0.0
26,399360,train,2026-05-06 22:14:46,0.0,1.458,60.0,0.0243,0.0
27,414720,train,2026-05-06 22:16:16,0.0078,1.6032,60.0,0.0267,0.0
28,430080,train,2026-05-06 22:17:45,0.0,1.3988,60.0,0.0233,0.0
29,445440,train,2026-05-06 22:19:14,0.0,1.465,60.0,0.0244,0.0
30,460800,train,2026-05-06 22:20:43,0.0,1.4861,60.0,0.0248,0.0
31,476160,train,2026-05-06 22:22:13,0.0,1.6974,60.0,0.0283,0.0
32,491520,train,2026-05-06 22:23:42,0.0039,1.686,60.0,0.0281,0.0
33,506880,train,2026-05-06 22:25:11,0.0,1.7414,60.0,0.029,0.0
34,522240,train,2026-05-06 22:26:40,0.0039,1.7545,60.0,0.0292,0.0
35,537600,train,2026-05-06 22:28:09,0.0,1.6324,60.0,0.0272,0.0
36,552960,train,2026-05-06 22:29:38,0.0,1.7761,60.0,0.0296,0.0
37,568320,train,2026-05-06 22:31:07,0.0039,2.0587,60.0,0.0343,0.0
38,583680,train,2026-05-06 22:32:36,0.0,1.7935,60.0,0.0299,0.0
39,599040,train,2026-05-06 22:34:05,0.0039,1.6772,60.0,0.028,0.0
40,614400,train,2026-05-06 22:35:34,0.0,1.563,60.0,0.026,0.0
41,629760,train,2026-05-06 22:37:03,0.0,1.7288,60.0,0.0288,0.0
42,645120,train,2026-05-06 22:38:31,0.0039,1.7151,60.0,0.0286,0.0
43,660480,train,2026-05-06 22:40:00,0.0039,1.7097,60.0,0.0285,0.0
44,675840,train,2026-05-06 22:41:29,0.0,1.7956,60.0,0.0299,0.0
45,691200,train,2026-05-06 22:42:58,0.0078,1.908,60.0,0.0318,0.0
46,706560,train,2026-05-06 22:44:26,0.0,2.1719,60.0,0.0362,0.0
47,721920,train,2026-05-06 22:45:55,0.0117,1.7204,60.0,0.0287,0.0
48,737280,train,2026-05-06 22:47:23,0.0,1.738,60.0,0.029,0.0
49,737280,eval,2026-05-06 22:49:37,0.3854,11.1109,60.0,0.1852,0.276
49,752640,train,2026-05-06 22:51:02,0.0117,1.8173,60.0,0.0303,0.0
50,768000,train,2026-05-06 22:52:31,0.0039,1.9757,60.0,0.0329,0.0
51,783360,train,2026-05-06 22:53:59,0.0,1.8622,60.0,0.031,0.0
52,798720,train,2026-05-06 22:55:28,0.0,1.8621,60.0,0.031,0.0
53,814080,train,2026-05-06 22:56:57,0.0078,1.9911,60.0,0.0332,0.0
54,829440,train,2026-05-06 22:58:25,0.0039,2.0248,60.0,0.0337,0.0
55,844800,train,2026-05-06 22:59:54,0.0039,1.6422,60.0,0.0274,0.0
56,860160,train,2026-05-06 23:01:23,0.0,1.9366,60.0,0.0323,0.0
57,875520,train,2026-05-06 23:02:51,0.0,1.7847,60.0,0.0297,0.0
58,890880,train,2026-05-06 23:04:20,0.0,1.9488,60.0,0.0325,0.0
59,906240,train,2026-05-06 23:05:49,0.0039,2.2398,60.0,0.0373,0.0
60,921600,train,2026-05-06 23:07:18,0.0039,2.0517,60.0,0.0342,0.0
61,936960,train,2026-05-06 23:08:46,0.0,1.8011,60.0,0.03,0.0
62,952320,train,2026-05-06 23:10:15,0.0,1.7507,60.0,0.0292,0.0
63,967680,train,2026-05-06 23:11:44,0.0117,1.8316,60.0,0.0305,0.0
64,983040,train,2026-05-06 23:13:12,0.0,1.6086,60.0,0.0268,0.0
65,998400,train,2026-05-06 23:14:41,0.0039,2.1056,60.0,0.0351,0.0
66,1013760,train,2026-05-06 23:16:10,0.0,1.8814,60.0,0.0314,0.0
67,1029120,train,2026-05-06 23:17:39,0.0,2.0994,60.0,0.035,0.0
68,1044480,train,2026-05-06 23:19:07,0.0,2.0991,60.0,0.035,0.0
69,1059840,train,2026-05-06 23:20:36,0.0078,2.1083,60.0,0.0351,0.0
70,1075200,train,2026-05-06 23:22:05,0.0039,2.0527,60.0,0.0342,0.0
71,1090560,train,2026-05-06 23:23:33,0.0039,2.0731,60.0,0.0346,0.0
72,1105920,train,2026-05-06 23:25:02,0.0,1.9959,60.0,0.0333,0.0
73,1121280,train,2026-05-06 23:26:31,0.0,1.8475,60.0,0.0308,0.0
74,1136640,train,2026-05-06 23:28:00,0.0039,2.2898,60.0,0.0382,0.0
75,1152000,train,2026-05-06 23:29:29,0.0039,2.0347,60.0,0.0339,0.0
76,1167360,train,2026-05-06 23:30:58,0.0,1.7789,60.0,0.0296,0.0
77,1182720,train,2026-05-06 23:32:26,0.0156,2.2144,60.0,0.0369,0.0
78,1198080,train,2026-05-06 23:33:55,0.0078,2.3486,60.0,0.0391,0.0
79,1213440,train,2026-05-06 23:35:24,0.0,2.1036,60.0,0.0351,0.0
80,1228800,train,2026-05-06 23:36:53,0.0039,2.1146,60.0,0.0352,0.0
81,1244160,train,2026-05-06 23:38:22,0.0039,2.3356,60.0,0.0389,0.0
82,1259520,train,2026-05-06 23:39:51,0.0,2.1082,60.0,0.0351,0.0
83,1274880,train,2026-05-06 23:41:20,0.0039,1.9867,60.0,0.0331,0.0
84,1290240,train,2026-05-06 23:42:49,0.0078,2.2407,60.0,0.0373,0.0
85,1305600,train,2026-05-06 23:44:18,0.0039,2.1064,60.0,0.0351,0.0
86,1320960,train,2026-05-06 23:45:47,0.0,2.1521,60.0,0.0359,0.0
87,1336320,train,2026-05-06 23:47:16,0.0,1.9988,60.0,0.0333,0.0
88,1351680,train,2026-05-06 23:48:45,0.0,1.9632,60.0,0.0327,0.0
89,1367040,train,2026-05-06 23:50:15,0.0078,2.1652,60.0,0.0361,0.0
90,1382400,train,2026-05-06 23:51:44,0.0,1.8806,60.0,0.0313,0.0
91,1397760,train,2026-05-06 23:53:13,0.0078,1.9252,60.0,0.0321,0.0
92,1413120,train,2026-05-06 23:54:43,0.0039,1.8504,60.0,0.0308,0.0
93,1428480,train,2026-05-06 23:56:12,0.0,2.0469,60.0,0.0341,0.0
94,1443840,train,2026-05-06 23:57:41,0.0039,2.0729,60.0,0.0345,0.0
95,1459200,train,2026-05-06 23:59:10,0.0,2.1869,60.0,0.0364,0.0
96,1474560,train,2026-05-07 00:00:40,0.0039,2.038,60.0,0.034,0.0
97,1474560,eval,2026-05-07 00:02:54,0.2344,7.9209,60.0,0.132,0.0938
97,1489920,train,2026-05-07 00:04:20,0.0,2.2078,60.0,0.0368,0.0
98,1505280,train,2026-05-07 00:05:49,0.0,2.314,60.0,0.0386,0.0
99,1520640,train,2026-05-07 00:07:18,0.0,2.0325,60.0,0.0339,0.0
100,1536000,train,2026-05-07 00:08:47,0.0,2.1627,60.0,0.036,0.0
101,1551360,train,2026-05-07 00:10:16,0.0039,2.2633,60.0,0.0377,0.0
102,1566720,train,2026-05-07 00:11:45,0.0,2.3245,60.0,0.0387,0.0
103,1582080,train,2026-05-07 00:13:14,0.0078,2.0539,60.0,0.0342,0.0
104,1597440,train,2026-05-07 00:14:43,0.0039,2.1602,60.0,0.036,0.0
105,1612800,train,2026-05-07 00:16:11,0.0,2.7087,60.0,0.0451,0.0
106,1628160,train,2026-05-07 00:17:40,0.0,2.0645,60.0,0.0344,0.0
107,1643520,train,2026-05-07 00:19:09,0.0039,2.0484,60.0,0.0341,0.0
108,1658880,train,2026-05-07 00:20:38,0.0039,2.1763,60.0,0.0363,0.0
109,1674240,train,2026-05-07 00:22:07,0.0078,2.6289,60.0,0.0438,0.0
110,1689600,train,2026-05-07 00:23:35,0.0078,2.4124,60.0,0.0402,0.0
111,1704960,train,2026-05-07 00:25:04,0.0039,2.278,60.0,0.038,0.0
