iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-15 19:11:42,0.0,9.8629,60.0,0.1644,0.0
1,15360,train,2026-05-15 19:12:03,0.0,0.0774,60.0,0.0013,0.0
2,30720,train,2026-05-15 19:12:37,0.0,0.087,60.0,0.0014,0.0
3,46080,train,2026-05-15 19:13:11,0.0,0.1087,60.0,0.0018,0.0
4,61440,train,2026-05-15 19:13:45,0.0,0.1517,60.0,0.0025,0.0
5,76800,train,2026-05-15 19:14:19,0.0,0.2742,60.0,0.0046,0.0
6,92160,train,2026-05-15 19:14:54,0.0,0.2813,60.0,0.0047,0.0
7,107520,train,2026-05-15 19:15:28,0.0,0.3452,60.0,0.0058,0.0
8,122880,train,2026-05-15 19:16:03,0.0,0.3927,60.0,0.0065,0.0
9,138240,train,2026-05-15 19:16:37,0.0,0.5745,60.0,0.0096,0.0
10,153600,train,2026-05-15 19:17:12,0.0,0.6561,60.0,0.0109,0.0
11,168960,train,2026-05-15 19:17:46,0.0,0.8481,60.0,0.0141,0.0
12,184320,train,2026-05-15 19:18:21,0.0,0.9788,60.0,0.0163,0.0
13,199680,train,2026-05-15 19:18:56,0.0,1.2437,60.0,0.0207,0.0
14,215040,train,2026-05-15 19:19:30,0.0,1.1829,60.0,0.0197,0.0
15,230400,train,2026-05-15 19:20:05,0.0,1.1384,60.0,0.019,0.0
16,245760,train,2026-05-15 19:20:40,0.0039,1.399,60.0,0.0233,0.0
17,261120,train,2026-05-15 19:21:14,0.0,1.3399,60.0,0.0223,0.0
18,276480,train,2026-05-15 19:21:49,0.0039,1.2312,60.0,0.0205,0.0
19,291840,train,2026-05-15 19:22:24,0.0039,1.4246,60.0,0.0237,0.0
20,307200,train,2026-05-15 19:22:58,0.0,1.281,60.0,0.0213,0.0
21,322560,train,2026-05-15 19:23:33,0.0039,1.4913,60.0,0.0249,0.0
22,337920,train,2026-05-15 19:24:08,0.0,1.4778,60.0,0.0246,0.0
23,353280,train,2026-05-15 19:24:42,0.0,1.6274,60.0,0.0271,0.0
24,368640,train,2026-05-15 19:25:17,0.0,1.4547,60.0,0.0242,0.0
25,384000,train,2026-05-15 19:25:52,0.0039,1.6083,60.0,0.0268,0.0
26,399360,train,2026-05-15 19:26:27,0.0,1.2694,60.0,0.0212,0.0
27,414720,train,2026-05-15 19:27:01,0.0,1.6325,60.0,0.0272,0.0
28,430080,train,2026-05-15 19:27:36,0.0,1.4328,60.0,0.0239,0.0
29,445440,train,2026-05-15 19:28:11,0.0,1.3178,60.0,0.022,0.0
30,460800,train,2026-05-15 19:28:45,0.0,1.3444,60.0,0.0224,0.0
31,476160,train,2026-05-15 19:29:20,0.0,1.6468,60.0,0.0274,0.0
32,491520,train,2026-05-15 19:29:55,0.0,1.6105,60.0,0.0268,0.0
33,506880,train,2026-05-15 19:30:30,0.0,1.6512,60.0,0.0275,0.0
34,522240,train,2026-05-15 19:31:04,0.0039,1.5661,60.0,0.0261,0.0
35,537600,train,2026-05-15 19:31:39,0.0039,1.5572,60.0,0.026,0.0
36,552960,train,2026-05-15 19:32:14,0.0039,1.6586,60.0,0.0276,0.0
37,568320,train,2026-05-15 19:32:48,0.0156,1.849,60.0,0.0308,0.0
38,583680,train,2026-05-15 19:33:23,0.0,1.5766,60.0,0.0263,0.0
39,599040,train,2026-05-15 19:33:58,0.0,1.6522,60.0,0.0275,0.0
40,614400,train,2026-05-15 19:34:33,0.0039,1.5478,60.0,0.0258,0.0
41,629760,train,2026-05-15 19:35:07,0.0,1.833,60.0,0.0306,0.0
42,645120,train,2026-05-15 19:35:42,0.0039,1.4529,60.0,0.0242,0.0
43,660480,train,2026-05-15 19:36:17,0.0039,1.6561,60.0,0.0276,0.0
44,675840,train,2026-05-15 19:36:52,0.0039,1.6795,60.0,0.028,0.0
45,691200,train,2026-05-15 19:37:26,0.0039,1.7045,60.0,0.0284,0.0
46,706560,train,2026-05-15 19:38:01,0.0039,1.9401,60.0,0.0323,0.0
47,721920,train,2026-05-15 19:38:36,0.0039,1.9064,60.0,0.0318,0.0
