iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 17:30:58,0.0,9.975,60.0,0.1663,0.0
1,15360,train,2026-05-06 17:31:13,0.0,0.0783,60.0,0.0013,0.0
2,30720,train,2026-05-06 17:31:29,0.0,0.1313,60.0,0.0022,0.0
3,46080,train,2026-05-06 17:31:46,0.0,0.2099,60.0,0.0035,0.0
4,61440,train,2026-05-06 17:32:03,0.0,0.3007,60.0,0.005,0.0
5,76800,train,2026-05-06 17:32:19,0.0,0.4705,60.0,0.0078,0.0
6,92160,train,2026-05-06 17:32:36,0.0,0.5459,60.0,0.0091,0.0
7,107520,train,2026-05-06 17:32:53,0.0,0.7349,60.0,0.0122,0.0
8,122880,train,2026-05-06 17:33:10,0.0,0.6679,60.0,0.0111,0.0
9,138240,train,2026-05-06 17:33:27,0.0,0.7859,60.0,0.0131,0.0
10,153600,train,2026-05-06 17:33:44,0.0,0.7758,60.0,0.0129,0.0
11,168960,train,2026-05-06 17:34:00,0.0,0.9922,60.0,0.0165,0.0
12,184320,train,2026-05-06 17:34:17,0.0039,1.0891,60.0,0.0182,0.0
13,199680,train,2026-05-06 17:34:34,0.0,1.2513,60.0,0.0209,0.0
14,215040,train,2026-05-06 17:34:51,0.0039,1.2818,60.0,0.0214,0.0
15,230400,train,2026-05-06 17:35:08,0.0,1.204,60.0,0.0201,0.0
16,245760,train,2026-05-06 17:35:25,0.0039,1.2371,60.0,0.0206,0.0
17,261120,train,2026-05-06 17:35:42,0.0078,1.2825,60.0,0.0214,0.0
18,276480,train,2026-05-06 17:35:59,0.0,1.1331,60.0,0.0189,0.0
19,291840,train,2026-05-06 17:36:16,0.0,1.1144,60.0,0.0186,0.0
20,307200,train,2026-05-06 17:36:33,0.0039,1.2316,60.0,0.0205,0.0
21,322560,train,2026-05-06 17:36:50,0.0,1.3449,60.0,0.0224,0.0
22,337920,train,2026-05-06 17:37:06,0.0,1.2249,60.0,0.0204,0.0
23,353280,train,2026-05-06 17:37:23,0.0,1.2043,60.0,0.0201,0.0
24,368640,train,2026-05-06 17:37:40,0.0,1.31,60.0,0.0218,0.0
25,384000,train,2026-05-06 17:37:57,0.0039,1.3707,60.0,0.0228,0.0
26,399360,train,2026-05-06 17:38:14,0.0039,1.1988,60.0,0.02,0.0
27,414720,train,2026-05-06 17:38:31,0.0,1.3875,60.0,0.0231,0.0
