iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 15:26:21,0.0,9.8912,60.0,0.1649,0.0
1,15360,train,2026-05-16 15:26:52,0.0,0.0818,60.0,0.0014,0.0
2,30720,train,2026-05-16 15:27:26,0.0,0.0933,60.0,0.0016,0.0
3,46080,train,2026-05-16 15:27:58,0.0,0.1663,60.0,0.0028,0.0
4,61440,train,2026-05-16 15:28:29,0.0,0.2159,60.0,0.0036,0.0
5,76800,train,2026-05-16 15:29:00,0.0,0.3222,60.0,0.0054,0.0
6,92160,train,2026-05-16 15:29:32,0.0,0.5118,60.0,0.0085,0.0
7,107520,train,2026-05-16 15:30:03,0.0,0.7845,60.0,0.0131,0.0
8,122880,train,2026-05-16 15:30:35,0.0,0.804,60.0,0.0134,0.0
9,138240,train,2026-05-16 15:31:06,0.0,0.9233,60.0,0.0154,0.0
10,153600,train,2026-05-16 15:31:38,0.0,1.0352,60.0,0.0173,0.0
11,168960,train,2026-05-16 15:32:10,0.0,1.1862,60.0,0.0198,0.0
12,184320,train,2026-05-16 15:32:41,0.0,1.2171,60.0,0.0203,0.0
13,199680,train,2026-05-16 15:33:13,0.0,1.1713,60.0,0.0195,0.0
14,215040,train,2026-05-16 15:33:44,0.0,1.4367,60.0,0.0239,0.0
15,230400,train,2026-05-16 15:34:16,0.0,1.3292,60.0,0.0222,0.0
16,245760,train,2026-05-16 15:34:48,0.0039,1.3558,60.0,0.0226,0.0
17,261120,train,2026-05-16 15:35:19,0.0039,1.5727,60.0,0.0262,0.0
18,276480,train,2026-05-16 15:35:51,0.0,1.3355,60.0,0.0223,0.0
19,291840,train,2026-05-16 15:36:23,0.0117,1.6203,60.0,0.027,0.0039
20,307200,train,2026-05-16 15:36:54,0.0039,1.5386,60.0,0.0256,0.0
21,322560,train,2026-05-16 15:37:26,0.0039,1.4625,60.0,0.0244,0.0
22,337920,train,2026-05-16 15:37:58,0.0,1.5007,60.0,0.025,0.0
23,353280,train,2026-05-16 15:38:29,0.0039,1.5242,60.0,0.0254,0.0
24,368640,train,2026-05-16 15:39:01,0.0,1.4886,60.0,0.0248,0.0
25,384000,train,2026-05-16 15:39:32,0.0,1.5954,60.0,0.0266,0.0
