iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 01:18:02,0.0,8.695,60.0,0.1449,0.0
1,15360,train,2026-05-16 01:18:22,0.0,0.0645,60.0,0.0011,0.0
2,30720,train,2026-05-16 01:18:55,0.0,0.0647,60.0,0.0011,0.0
3,46080,train,2026-05-16 01:19:27,0.0,0.0517,60.0,0.0009,0.0
4,61440,train,2026-05-16 01:20:00,0.0,0.0516,60.0,0.0009,0.0
5,76800,train,2026-05-16 01:20:33,0.0,0.0666,60.0,0.0011,0.0
6,92160,train,2026-05-16 01:21:06,0.0,0.0918,60.0,0.0015,0.0
7,107520,train,2026-05-16 01:21:39,0.0,0.1109,60.0,0.0018,0.0
8,122880,train,2026-05-16 01:22:12,0.0,0.0981,60.0,0.0016,0.0
9,138240,train,2026-05-16 01:22:45,0.0,0.1535,60.0,0.0026,0.0
10,153600,train,2026-05-16 01:23:18,0.0,0.2099,60.0,0.0035,0.0
11,168960,train,2026-05-16 01:23:51,0.0,0.2471,60.0,0.0041,0.0
12,184320,train,2026-05-16 01:24:24,0.0,0.3709,60.0,0.0062,0.0
13,199680,train,2026-05-16 01:24:57,0.0,0.3949,60.0,0.0066,0.0
14,215040,train,2026-05-16 01:25:30,0.0,0.4677,60.0,0.0078,0.0
15,230400,train,2026-05-16 01:26:04,0.0,0.6864,60.0,0.0114,0.0
16,245760,train,2026-05-16 01:26:37,0.0,0.7498,60.0,0.0125,0.0
17,261120,train,2026-05-16 01:27:10,0.0,0.8739,60.0,0.0146,0.0
18,276480,train,2026-05-16 01:27:44,0.0,0.9789,60.0,0.0163,0.0
19,291840,train,2026-05-16 01:28:17,0.0,0.9733,60.0,0.0162,0.0
20,307200,train,2026-05-16 01:28:50,0.0,1.0639,60.0,0.0177,0.0
21,322560,train,2026-05-16 01:29:24,0.0,1.04,60.0,0.0173,0.0
22,337920,train,2026-05-16 01:29:57,0.0,1.5036,60.0,0.0251,0.0
23,353280,train,2026-05-16 01:30:30,0.0,1.0852,60.0,0.0181,0.0
24,368640,train,2026-05-16 01:31:04,0.0039,1.3413,60.0,0.0224,0.0
25,384000,train,2026-05-16 01:31:37,0.0,1.2144,60.0,0.0202,0.0
26,399360,train,2026-05-16 01:32:11,0.0,1.3018,60.0,0.0217,0.0
27,414720,train,2026-05-16 01:32:44,0.0,1.2942,60.0,0.0216,0.0
28,430080,train,2026-05-16 01:33:18,0.0,1.3281,60.0,0.0221,0.0
29,445440,train,2026-05-16 01:33:51,0.0,1.1945,60.0,0.0199,0.0
30,460800,train,2026-05-16 01:34:24,0.0,1.2882,60.0,0.0215,0.0
31,476160,train,2026-05-16 01:34:58,0.0078,1.5931,60.0,0.0266,0.0
32,491520,train,2026-05-16 01:35:31,0.0039,1.4215,60.0,0.0237,0.0
33,506880,train,2026-05-16 01:36:05,0.0,1.3632,60.0,0.0227,0.0
34,522240,train,2026-05-16 01:36:38,0.0,1.418,60.0,0.0236,0.0
35,537600,train,2026-05-16 01:37:11,0.0,1.547,60.0,0.0258,0.0
36,552960,train,2026-05-16 01:37:45,0.0,1.4633,60.0,0.0244,0.0
37,568320,train,2026-05-16 01:38:18,0.0039,1.7055,60.0,0.0284,0.0
38,583680,train,2026-05-16 01:38:52,0.0039,1.837,60.0,0.0306,0.0
39,599040,train,2026-05-16 01:39:25,0.0,1.7925,60.0,0.0299,0.0
40,614400,train,2026-05-16 01:39:58,0.0039,1.7269,60.0,0.0288,0.0
41,629760,train,2026-05-16 01:40:32,0.0,1.6121,60.0,0.0269,0.0
42,645120,train,2026-05-16 01:41:05,0.0,1.5957,60.0,0.0266,0.0
43,660480,train,2026-05-16 01:41:39,0.0078,1.7089,60.0,0.0285,0.0
44,675840,train,2026-05-16 01:42:12,0.0,1.8093,60.0,0.0302,0.0
