iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-29 06:19:51,0.0,9.8763,60.0,0.1646,0.0
1,15360,train,2026-05-29 06:20:30,0.0,0.0762,60.0,0.0013,0.0
2,30720,train,2026-05-29 06:21:11,0.0,0.1031,60.0,0.0017,0.0
3,46080,train,2026-05-29 06:21:51,0.0,0.1609,60.0,0.0027,0.0
4,61440,train,2026-05-29 06:22:31,0.0,0.228,60.0,0.0038,0.0
5,76800,train,2026-05-29 06:23:12,0.0,0.3375,60.0,0.0056,0.0
6,92160,train,2026-05-29 06:23:52,0.0,0.3807,60.0,0.0063,0.0
7,107520,train,2026-05-29 06:24:33,0.0,0.5388,60.0,0.009,0.0
8,122880,train,2026-05-29 06:25:14,0.0,0.5434,60.0,0.0091,0.0
9,138240,train,2026-05-29 06:25:56,0.0,0.6943,60.0,0.0116,0.0
10,153600,train,2026-05-29 06:26:37,0.0,0.7712,60.0,0.0129,0.0
11,168960,train,2026-05-29 06:27:18,0.0,0.9589,60.0,0.016,0.0
12,184320,train,2026-05-29 06:27:59,0.0,1.1714,60.0,0.0195,0.0
13,199680,train,2026-05-29 06:28:40,0.0039,1.2823,60.0,0.0214,0.0
14,215040,train,2026-05-29 06:29:21,0.0,1.1794,60.0,0.0197,0.0
15,230400,train,2026-05-29 06:30:03,0.0039,1.2725,60.0,0.0212,0.0
16,245760,train,2026-05-29 06:30:44,0.0,1.3963,60.0,0.0233,0.0
17,261120,train,2026-05-29 06:31:25,0.0,1.4359,60.0,0.0239,0.0
18,276480,train,2026-05-29 06:32:06,0.0039,1.3944,60.0,0.0232,0.0
19,291840,train,2026-05-29 06:32:47,0.0,1.6205,60.0,0.027,0.0
20,307200,train,2026-05-29 06:33:28,0.0,1.3062,60.0,0.0218,0.0
21,322560,train,2026-05-29 06:34:09,0.0,1.2237,60.0,0.0204,0.0
22,337920,train,2026-05-29 06:34:51,0.0,1.3674,60.0,0.0228,0.0
23,353280,train,2026-05-29 06:35:32,0.0,1.2741,60.0,0.0212,0.0
24,368640,train,2026-05-29 06:36:13,0.0,1.2896,60.0,0.0215,0.0
25,384000,train,2026-05-29 06:36:54,0.0,1.339,60.0,0.0223,0.0
26,399360,train,2026-05-29 06:37:35,0.0,1.4843,60.0,0.0247,0.0
27,414720,train,2026-05-29 06:38:17,0.0,1.5693,60.0,0.0262,0.0
28,430080,train,2026-05-29 06:38:58,0.0039,1.4188,60.0,0.0236,0.0
29,445440,train,2026-05-29 06:39:38,0.0039,1.3487,60.0,0.0225,0.0
30,460800,train,2026-05-29 06:40:19,0.0,1.4128,60.0,0.0235,0.0
31,476160,train,2026-05-29 06:41:00,0.0,1.6232,60.0,0.0271,0.0
32,491520,train,2026-05-29 06:41:40,0.0,1.5826,60.0,0.0264,0.0
33,506880,train,2026-05-29 06:42:21,0.0,1.7144,60.0,0.0286,0.0
34,522240,train,2026-05-29 06:43:01,0.0,1.565,60.0,0.0261,0.0
35,537600,train,2026-05-29 06:43:42,0.0,1.5073,60.0,0.0251,0.0
36,552960,train,2026-05-29 06:44:23,0.0,1.6247,60.0,0.0271,0.0
37,568320,train,2026-05-29 06:45:03,0.0078,1.8901,60.0,0.0315,0.0
38,583680,train,2026-05-29 06:45:44,0.0,1.7127,60.0,0.0285,0.0
39,599040,train,2026-05-29 06:46:25,0.0,1.6027,60.0,0.0267,0.0
40,614400,train,2026-05-29 06:47:05,0.0,1.4862,60.0,0.0248,0.0
41,629760,train,2026-05-29 06:47:46,0.0,1.5998,60.0,0.0267,0.0
42,645120,train,2026-05-29 06:48:27,0.0,1.6632,60.0,0.0277,0.0
43,660480,train,2026-05-29 06:49:07,0.0,1.5687,60.0,0.0261,0.0
44,675840,train,2026-05-29 06:49:48,0.0039,1.8307,60.0,0.0305,0.0
45,691200,train,2026-05-29 06:50:29,0.0,1.699,60.0,0.0283,0.0
46,706560,train,2026-05-29 06:51:09,0.0,2.0303,60.0,0.0338,0.0
47,721920,train,2026-05-29 06:51:50,0.0,1.5896,60.0,0.0265,0.0
48,737280,train,2026-05-29 06:52:31,0.0039,1.6575,60.0,0.0276,0.0
49,737280,eval,2026-05-29 06:54:10,0.1354,4.6012,60.0,0.0767,0.0781
