iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-29 11:49:13,0.0,9.9328,60.0,0.1655,0.0
1,15360,train,2026-05-29 11:49:52,0.0,0.0745,60.0,0.0012,0.0
2,30720,train,2026-05-29 11:50:32,0.0,0.0907,60.0,0.0015,0.0
3,46080,train,2026-05-29 11:51:12,0.0,0.1098,60.0,0.0018,0.0
4,61440,train,2026-05-29 11:51:52,0.0,0.152,60.0,0.0025,0.0
5,76800,train,2026-05-29 11:52:31,0.0,0.201,60.0,0.0033,0.0
6,92160,train,2026-05-29 11:53:11,0.0,0.2803,60.0,0.0047,0.0
7,107520,train,2026-05-29 11:53:52,0.0,0.4962,60.0,0.0083,0.0
8,122880,train,2026-05-29 11:54:32,0.0,0.5489,60.0,0.0091,0.0
9,138240,train,2026-05-29 11:55:12,0.0,0.7071,60.0,0.0118,0.0
10,153600,train,2026-05-29 11:55:52,0.0,0.905,60.0,0.0151,0.0
11,168960,train,2026-05-29 11:56:33,0.0078,0.9619,60.0,0.016,0.0039
12,184320,train,2026-05-29 11:57:13,0.0,1.1502,60.0,0.0192,0.0
13,199680,train,2026-05-29 11:57:54,0.0039,1.2667,60.0,0.0211,0.0
14,215040,train,2026-05-29 11:58:34,0.0039,1.175,60.0,0.0196,0.0
15,230400,train,2026-05-29 11:59:15,0.0,1.3432,60.0,0.0224,0.0
16,245760,train,2026-05-29 11:59:56,0.0,1.4071,60.0,0.0235,0.0
17,261120,train,2026-05-29 12:00:36,0.0,1.4605,60.0,0.0243,0.0
18,276480,train,2026-05-29 12:01:16,0.0039,1.3605,60.0,0.0227,0.0
19,291840,train,2026-05-29 12:01:57,0.0,1.1723,60.0,0.0195,0.0
20,307200,train,2026-05-29 12:02:37,0.0,1.3038,60.0,0.0217,0.0
21,322560,train,2026-05-29 12:03:18,0.0039,1.2051,60.0,0.0201,0.0
22,337920,train,2026-05-29 12:03:58,0.0039,1.661,60.0,0.0277,0.0
23,353280,train,2026-05-29 12:04:38,0.0,1.43,60.0,0.0238,0.0
24,368640,train,2026-05-29 12:05:19,0.0039,1.3465,60.0,0.0224,0.0
25,384000,train,2026-05-29 12:05:59,0.0,1.555,60.0,0.0259,0.0
26,399360,train,2026-05-29 12:06:40,0.0078,1.5967,60.0,0.0266,0.0
27,414720,train,2026-05-29 12:07:20,0.0039,1.4664,60.0,0.0244,0.0
28,430080,train,2026-05-29 12:08:00,0.0,1.454,60.0,0.0242,0.0
29,445440,train,2026-05-29 12:08:41,0.0039,1.221,60.0,0.0204,0.0
30,460800,train,2026-05-29 12:09:21,0.0039,1.5576,60.0,0.026,0.0
31,476160,train,2026-05-29 12:10:02,0.0039,1.5455,60.0,0.0258,0.0
32,491520,train,2026-05-29 12:10:42,0.0,1.5956,60.0,0.0266,0.0
33,506880,train,2026-05-29 12:11:23,0.0,1.291,60.0,0.0215,0.0
34,522240,train,2026-05-29 12:12:03,0.0,1.6228,60.0,0.027,0.0
35,537600,train,2026-05-29 12:12:44,0.0156,1.714,60.0,0.0286,0.0
36,552960,train,2026-05-29 12:13:24,0.0,1.4683,60.0,0.0245,0.0
37,568320,train,2026-05-29 12:14:05,0.0078,1.7981,60.0,0.03,0.0
38,583680,train,2026-05-29 12:14:46,0.0,1.5413,60.0,0.0257,0.0
39,599040,train,2026-05-29 12:15:26,0.0078,1.8965,60.0,0.0316,0.0
40,614400,train,2026-05-29 12:16:07,0.0078,1.7559,60.0,0.0293,0.0
41,629760,train,2026-05-29 12:16:47,0.0,1.93,60.0,0.0322,0.0
42,645120,train,2026-05-29 12:17:28,0.0,1.7685,60.0,0.0295,0.0
43,660480,train,2026-05-29 12:18:08,0.0078,1.6192,60.0,0.027,0.0
44,675840,train,2026-05-29 12:18:49,0.0,1.7496,60.0,0.0292,0.0
45,691200,train,2026-05-29 12:19:29,0.0039,1.7311,60.0,0.0289,0.0
46,706560,train,2026-05-29 12:20:10,0.0,2.0089,60.0,0.0335,0.0
47,721920,train,2026-05-29 12:20:51,0.0078,1.7888,60.0,0.0298,0.0
48,737280,train,2026-05-29 12:21:31,0.0039,1.8614,60.0,0.031,0.0
49,737280,eval,2026-05-29 12:23:16,0.3021,7.753,60.0,0.1292,0.1406
49,752640,train,2026-05-29 12:23:56,0.0039,1.6049,60.0,0.0267,0.0
50,768000,train,2026-05-29 12:24:36,0.0,1.9186,60.0,0.032,0.0
51,783360,train,2026-05-29 12:25:17,0.0039,1.8103,60.0,0.0302,0.0
52,798720,train,2026-05-29 12:25:58,0.0039,1.8638,60.0,0.0311,0.0
53,814080,train,2026-05-29 12:26:38,0.0039,1.8958,60.0,0.0316,0.0
54,829440,train,2026-05-29 12:27:19,0.0039,2.0323,60.0,0.0339,0.0
55,844800,train,2026-05-29 12:28:00,0.0039,1.9126,60.0,0.0319,0.0
56,860160,train,2026-05-29 12:28:40,0.0039,1.9557,60.0,0.0326,0.0
57,875520,train,2026-05-29 12:29:21,0.0078,2.0053,60.0,0.0334,0.0
58,890880,train,2026-05-29 12:30:01,0.0,1.8705,60.0,0.0312,0.0
59,906240,train,2026-05-29 12:30:42,0.0,1.9829,60.0,0.033,0.0
60,921600,train,2026-05-29 12:31:22,0.0039,1.8045,60.0,0.0301,0.0
61,936960,train,2026-05-29 12:32:03,0.0039,2.1876,60.0,0.0365,0.0
62,952320,train,2026-05-29 12:32:44,0.0039,1.9067,60.0,0.0318,0.0
63,967680,train,2026-05-29 12:33:24,0.0039,1.7703,60.0,0.0295,0.0
64,983040,train,2026-05-29 12:34:05,0.0,1.8508,60.0,0.0308,0.0
65,998400,train,2026-05-29 12:34:45,0.0,1.9957,60.0,0.0333,0.0
66,1013760,train,2026-05-29 12:35:26,0.0,1.9563,60.0,0.0326,0.0
67,1029120,train,2026-05-29 12:36:06,0.0078,1.9183,60.0,0.032,0.0
68,1044480,train,2026-05-29 12:36:47,0.0039,2.0041,60.0,0.0334,0.0
69,1059840,train,2026-05-29 12:37:27,0.0039,1.8005,60.0,0.03,0.0
70,1075200,train,2026-05-29 12:38:08,0.0,1.7224,60.0,0.0287,0.0
71,1090560,train,2026-05-29 12:38:49,0.0039,1.7458,60.0,0.0291,0.0
72,1105920,train,2026-05-29 12:39:29,0.0117,1.8559,60.0,0.0309,0.0
73,1121280,train,2026-05-29 12:40:10,0.0,1.8828,60.0,0.0314,0.0
74,1136640,train,2026-05-29 12:40:50,0.0039,1.841,60.0,0.0307,0.0
75,1152000,train,2026-05-29 12:41:31,0.0039,1.9916,60.0,0.0332,0.0
76,1167360,train,2026-05-29 12:42:11,0.0039,1.8311,60.0,0.0305,0.0
77,1182720,train,2026-05-29 12:42:52,0.0039,2.0309,60.0,0.0338,0.0
78,1198080,train,2026-05-29 12:43:32,0.0,1.9408,60.0,0.0323,0.0
79,1213440,train,2026-05-29 12:44:13,0.0,2.1782,60.0,0.0363,0.0
80,1228800,train,2026-05-29 12:44:54,0.0039,2.1106,60.0,0.0352,0.0
81,1244160,train,2026-05-29 12:45:34,0.0078,2.0819,60.0,0.0347,0.0
82,1259520,train,2026-05-29 12:46:15,0.0078,2.1635,60.0,0.0361,0.0
83,1274880,train,2026-05-29 12:46:55,0.0039,1.9329,60.0,0.0322,0.0
84,1290240,train,2026-05-29 12:47:36,0.0039,2.131,60.0,0.0355,0.0
85,1305600,train,2026-05-29 12:48:16,0.0078,1.8048,60.0,0.0301,0.0
86,1320960,train,2026-05-29 12:48:57,0.0039,2.0839,60.0,0.0347,0.0
87,1336320,train,2026-05-29 12:49:37,0.0,2.0369,60.0,0.0339,0.0
88,1351680,train,2026-05-29 12:50:18,0.0039,2.2227,60.0,0.037,0.0
89,1367040,train,2026-05-29 12:50:58,0.0,2.1854,60.0,0.0364,0.0
90,1382400,train,2026-05-29 12:51:39,0.0,1.9977,60.0,0.0333,0.0
91,1397760,train,2026-05-29 12:52:19,0.0039,2.3311,60.0,0.0389,0.0
92,1413120,train,2026-05-29 12:53:00,0.0,1.9527,60.0,0.0325,0.0
93,1428480,train,2026-05-29 12:53:40,0.0039,2.2067,60.0,0.0368,0.0
94,1443840,train,2026-05-29 12:54:21,0.0039,1.9872,60.0,0.0331,0.0
95,1459200,train,2026-05-29 12:55:01,0.0039,2.0146,60.0,0.0336,0.0
96,1474560,train,2026-05-29 12:55:42,0.0117,2.126,60.0,0.0354,0.0
97,1474560,eval,2026-05-29 12:57:24,0.3542,6.1747,60.0,0.1029,0.0573
97,1489920,train,2026-05-29 12:58:04,0.0078,2.124,60.0,0.0354,0.0
98,1505280,train,2026-05-29 12:58:44,0.0117,2.3523,60.0,0.0392,0.0
99,1520640,train,2026-05-29 12:59:25,0.0039,2.1561,60.0,0.0359,0.0
100,1536000,train,2026-05-29 13:00:05,0.0,1.9442,60.0,0.0324,0.0
101,1551360,train,2026-05-29 13:00:46,0.0039,2.1173,60.0,0.0353,0.0
102,1566720,train,2026-05-29 13:01:26,0.0039,2.1957,60.0,0.0366,0.0
103,1582080,train,2026-05-29 13:02:07,0.0039,2.0418,60.0,0.034,0.0
104,1597440,train,2026-05-29 13:02:47,0.0078,2.249,60.0,0.0375,0.0
105,1612800,train,2026-05-29 13:03:28,0.0,2.1139,60.0,0.0352,0.0
106,1628160,train,2026-05-29 13:04:09,0.0,2.2733,60.0,0.0379,0.0
107,1643520,train,2026-05-29 13:04:49,0.0039,2.3715,60.0,0.0395,0.0
108,1658880,train,2026-05-29 13:05:30,0.0078,2.0285,60.0,0.0338,0.0
109,1674240,train,2026-05-29 13:06:10,0.0039,2.3971,60.0,0.04,0.0
110,1689600,train,2026-05-29 13:06:51,0.0078,2.4875,60.0,0.0415,0.0039
111,1704960,train,2026-05-29 13:07:31,0.0039,2.3225,60.0,0.0387,0.0
112,1720320,train,2026-05-29 13:08:12,0.0078,2.1828,60.0,0.0364,0.0
113,1735680,train,2026-05-29 13:08:52,0.0039,2.3544,60.0,0.0392,0.0
114,1751040,train,2026-05-29 13:09:32,0.0039,2.4806,60.0,0.0413,0.0
115,1766400,train,2026-05-29 13:10:13,0.0078,2.1565,60.0,0.0359,0.0
116,1781760,train,2026-05-29 13:10:53,0.0078,2.2191,60.0,0.037,0.0039
