iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-18 06:20:17,0.0,9.8772,60.0,0.1646,0.0
1,15360,train,2026-06-18 06:20:56,0.0,0.076,60.0,0.0013,0.0
2,30720,train,2026-06-18 06:21:37,0.0,0.1196,60.0,0.002,0.0
3,46080,train,2026-06-18 06:22:17,0.0,0.1794,60.0,0.003,0.0
4,61440,train,2026-06-18 06:22:57,0.0,0.2813,60.0,0.0047,0.0
5,76800,train,2026-06-18 06:23:38,0.0,0.3556,60.0,0.0059,0.0
6,92160,train,2026-06-18 06:24:19,0.0,0.4506,60.0,0.0075,0.0
7,107520,train,2026-06-18 06:24:59,0.0,0.6145,60.0,0.0102,0.0
8,122880,train,2026-06-18 06:25:40,0.0039,0.8112,60.0,0.0135,0.0
9,138240,train,2026-06-18 06:26:21,0.0,0.8709,60.0,0.0145,0.0
10,153600,train,2026-06-18 06:27:01,0.0039,0.9687,60.0,0.0161,0.0
11,168960,train,2026-06-18 06:27:42,0.0,1.1844,60.0,0.0197,0.0
12,184320,train,2026-06-18 06:28:23,0.0,1.1933,60.0,0.0199,0.0
13,199680,train,2026-06-18 06:29:04,0.0,1.3697,60.0,0.0228,0.0
14,215040,train,2026-06-18 06:29:45,0.0039,1.3486,60.0,0.0225,0.0
15,230400,train,2026-06-18 06:30:25,0.0039,1.4621,60.0,0.0244,0.0
16,245760,train,2026-06-18 06:31:06,0.0039,1.4189,60.0,0.0236,0.0
17,261120,train,2026-06-18 06:31:47,0.0,1.5516,60.0,0.0259,0.0
18,276480,train,2026-06-18 06:32:28,0.0,1.5841,60.0,0.0264,0.0
19,291840,train,2026-06-18 06:33:09,0.0039,1.6672,60.0,0.0278,0.0
20,307200,train,2026-06-18 06:33:49,0.0078,1.693,60.0,0.0282,0.0
21,322560,train,2026-06-18 06:34:30,0.0078,1.5907,60.0,0.0265,0.0
22,337920,train,2026-06-18 06:35:11,0.0,1.6338,60.0,0.0272,0.0
23,353280,train,2026-06-18 06:35:52,0.0,1.6055,60.0,0.0268,0.0
24,368640,train,2026-06-18 06:36:33,0.0,1.6991,60.0,0.0283,0.0
25,368640,eval,2026-06-18 06:38:16,0.2188,7.0647,60.0,0.1177,0.0729
25,384000,train,2026-06-18 06:38:55,0.0039,1.6542,60.0,0.0276,0.0
26,399360,train,2026-06-18 06:39:36,0.0039,1.6405,60.0,0.0273,0.0
27,414720,train,2026-06-18 06:40:17,0.0078,1.6254,60.0,0.0271,0.0
28,430080,train,2026-06-18 06:40:58,0.0,1.5998,60.0,0.0267,0.0
29,445440,train,2026-06-18 06:41:39,0.0039,1.6056,60.0,0.0268,0.0
30,460800,train,2026-06-18 06:42:19,0.0,1.698,60.0,0.0283,0.0
31,476160,train,2026-06-18 06:43:00,0.0,1.5069,60.0,0.0251,0.0
32,491520,train,2026-06-18 06:43:41,0.0,1.7502,60.0,0.0292,0.0
33,506880,train,2026-06-18 06:44:22,0.0,1.6552,60.0,0.0276,0.0
34,522240,train,2026-06-18 06:45:03,0.0,1.6966,60.0,0.0283,0.0
35,537600,train,2026-06-18 06:45:44,0.0039,1.7051,60.0,0.0284,0.0
36,552960,train,2026-06-18 06:46:24,0.0078,1.5638,60.0,0.0261,0.0
37,568320,train,2026-06-18 06:47:05,0.0,1.793,60.0,0.0299,0.0
38,583680,train,2026-06-18 06:47:46,0.0,1.7151,60.0,0.0286,0.0
39,599040,train,2026-06-18 06:48:27,0.0,1.6244,60.0,0.0271,0.0
40,614400,train,2026-06-18 06:49:08,0.0,1.8639,60.0,0.0311,0.0
41,629760,train,2026-06-18 06:49:49,0.0039,1.7588,60.0,0.0293,0.0
42,645120,train,2026-06-18 06:50:29,0.0039,1.5942,60.0,0.0266,0.0
43,660480,train,2026-06-18 06:51:10,0.0,1.7347,60.0,0.0289,0.0
44,675840,train,2026-06-18 06:51:51,0.0,1.7507,60.0,0.0292,0.0
45,691200,train,2026-06-18 06:52:32,0.0,1.7298,60.0,0.0288,0.0
46,706560,train,2026-06-18 06:53:13,0.0,1.733,60.0,0.0289,0.0
47,721920,train,2026-06-18 06:53:53,0.0,1.5371,60.0,0.0256,0.0
48,737280,train,2026-06-18 06:54:34,0.0,1.5947,60.0,0.0266,0.0
49,737280,eval,2026-06-18 06:56:15,0.026,4.0415,60.0,0.0674,0.0
