iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-11 09:22:33,0.0,9.9879,60.0,0.1665,0.0
1,15360,train,2026-06-11 09:23:12,0.0,0.0835,60.0,0.0014,0.0
2,30720,train,2026-06-11 09:23:52,0.0,0.0588,60.0,0.001,0.0
3,46080,train,2026-06-11 09:24:32,0.0,0.0935,60.0,0.0016,0.0
4,61440,train,2026-06-11 09:25:13,0.0,0.1145,60.0,0.0019,0.0
5,76800,train,2026-06-11 09:25:53,0.0,0.206,60.0,0.0034,0.0
6,92160,train,2026-06-11 09:26:33,0.0,0.3313,60.0,0.0055,0.0
7,107520,train,2026-06-11 09:27:13,0.0,0.4962,60.0,0.0083,0.0
8,122880,train,2026-06-11 09:27:54,0.0,0.5668,60.0,0.0094,0.0
9,138240,train,2026-06-11 09:28:34,0.0,0.6022,60.0,0.01,0.0
10,153600,train,2026-06-11 09:29:15,0.0,0.7132,60.0,0.0119,0.0
11,168960,train,2026-06-11 09:29:55,0.0,0.8606,60.0,0.0143,0.0
12,184320,train,2026-06-11 09:30:35,0.0,0.9491,60.0,0.0158,0.0
13,199680,train,2026-06-11 09:31:16,0.0,0.9686,60.0,0.0161,0.0
14,215040,train,2026-06-11 09:31:56,0.0,1.1556,60.0,0.0193,0.0
15,230400,train,2026-06-11 09:32:37,0.0,1.0344,60.0,0.0172,0.0
16,245760,train,2026-06-11 09:33:17,0.0039,1.074,60.0,0.0179,0.0
17,261120,train,2026-06-11 09:33:58,0.0078,1.2049,60.0,0.0201,0.0
18,276480,train,2026-06-11 09:34:38,0.0,1.1296,60.0,0.0188,0.0
19,291840,train,2026-06-11 09:35:19,0.0,1.2653,60.0,0.0211,0.0
20,307200,train,2026-06-11 09:35:59,0.0,1.2445,60.0,0.0207,0.0
21,322560,train,2026-06-11 09:36:40,0.0,1.3038,60.0,0.0217,0.0
22,337920,train,2026-06-11 09:37:20,0.0,1.2379,60.0,0.0206,0.0
23,353280,train,2026-06-11 09:38:00,0.0039,1.3689,60.0,0.0228,0.0
24,368640,train,2026-06-11 09:38:41,0.0,1.2428,60.0,0.0207,0.0
25,384000,train,2026-06-11 09:39:22,0.0039,1.3784,60.0,0.023,0.0
26,399360,train,2026-06-11 09:40:02,0.0,1.4216,60.0,0.0237,0.0
27,414720,train,2026-06-11 09:40:42,0.0,1.3912,60.0,0.0232,0.0
28,430080,train,2026-06-11 09:41:23,0.0039,1.4185,60.0,0.0236,0.0
29,445440,train,2026-06-11 09:42:03,0.0,1.3353,60.0,0.0223,0.0
30,460800,train,2026-06-11 09:42:44,0.0,1.5515,60.0,0.0259,0.0
31,476160,train,2026-06-11 09:43:24,0.0,1.5161,60.0,0.0253,0.0
32,491520,train,2026-06-11 09:44:05,0.0039,1.3176,60.0,0.022,0.0
33,506880,train,2026-06-11 09:44:45,0.0,1.479,60.0,0.0247,0.0
34,522240,train,2026-06-11 09:45:26,0.0,1.3843,60.0,0.0231,0.0
35,537600,train,2026-06-11 09:46:07,0.0,1.4025,60.0,0.0234,0.0
36,552960,train,2026-06-11 09:46:47,0.0039,1.4134,60.0,0.0236,0.0
37,568320,train,2026-06-11 09:47:28,0.0,1.5287,60.0,0.0255,0.0
38,583680,train,2026-06-11 09:48:09,0.0,1.4388,60.0,0.024,0.0
39,599040,train,2026-06-11 09:48:49,0.0039,1.5755,60.0,0.0263,0.0
40,614400,train,2026-06-11 09:49:30,0.0,1.5183,60.0,0.0253,0.0
41,629760,train,2026-06-11 09:50:11,0.0,1.4314,60.0,0.0239,0.0
42,645120,train,2026-06-11 09:50:51,0.0078,1.5887,60.0,0.0265,0.0
43,660480,train,2026-06-11 09:51:32,0.0,1.4836,60.0,0.0247,0.0
44,675840,train,2026-06-11 09:52:13,0.0,1.3131,60.0,0.0219,0.0
45,691200,train,2026-06-11 09:52:53,0.0,1.393,60.0,0.0232,0.0
46,706560,train,2026-06-11 09:53:34,0.0,1.4339,60.0,0.0239,0.0
47,721920,train,2026-06-11 09:54:14,0.0,1.3894,60.0,0.0232,0.0
48,737280,train,2026-06-11 09:54:55,0.0,1.4298,60.0,0.0238,0.0
49,737280,eval,2026-06-11 09:56:37,0.0833,5.1755,60.0,0.0863,0.0
49,752640,train,2026-06-11 09:57:17,0.0,1.4468,60.0,0.0241,0.0
50,768000,train,2026-06-11 09:57:58,0.0039,1.7333,60.0,0.0289,0.0
51,783360,train,2026-06-11 09:58:39,0.0039,1.598,60.0,0.0266,0.0
52,798720,train,2026-06-11 09:59:19,0.0039,1.563,60.0,0.026,0.0
53,814080,train,2026-06-11 10:00:00,0.0039,1.6879,60.0,0.0281,0.0
54,829440,train,2026-06-11 10:00:40,0.0078,1.6684,60.0,0.0278,0.0
55,844800,train,2026-06-11 10:01:21,0.0078,1.8002,60.0,0.03,0.0
56,860160,train,2026-06-11 10:02:01,0.0039,1.6923,60.0,0.0282,0.0
57,875520,train,2026-06-11 10:02:42,0.0,1.6961,60.0,0.0283,0.0
58,890880,train,2026-06-11 10:03:22,0.0,1.6181,60.0,0.027,0.0
59,906240,train,2026-06-11 10:04:03,0.0,1.7084,60.0,0.0285,0.0
60,921600,train,2026-06-11 10:04:43,0.0039,1.5623,60.0,0.026,0.0
61,936960,train,2026-06-11 10:05:24,0.0,1.4403,60.0,0.024,0.0
62,952320,train,2026-06-11 10:06:05,0.0039,1.4245,60.0,0.0237,0.0
63,967680,train,2026-06-11 10:06:45,0.0,1.4363,60.0,0.0239,0.0
64,983040,train,2026-06-11 10:07:26,0.0,1.5281,60.0,0.0255,0.0
