iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-11 08:40:15,0.0,9.8814,60.0,0.1647,0.0
1,15360,train,2026-06-11 08:40:55,0.0,0.0762,60.0,0.0013,0.0
2,30720,train,2026-06-11 08:41:35,0.0,0.1141,60.0,0.0019,0.0
3,46080,train,2026-06-11 08:42:15,0.0,0.1866,60.0,0.0031,0.0
4,61440,train,2026-06-11 08:42:56,0.0,0.2986,60.0,0.005,0.0
5,76800,train,2026-06-11 08:43:36,0.0,0.4308,60.0,0.0072,0.0
6,92160,train,2026-06-11 08:44:17,0.0,0.4964,60.0,0.0083,0.0
7,107520,train,2026-06-11 08:44:58,0.0,0.6313,60.0,0.0105,0.0
8,122880,train,2026-06-11 08:45:38,0.0,0.6491,60.0,0.0108,0.0
9,138240,train,2026-06-11 08:46:19,0.0039,0.7328,60.0,0.0122,0.0
10,153600,train,2026-06-11 08:47:00,0.0,0.77,60.0,0.0128,0.0
11,168960,train,2026-06-11 08:47:40,0.0,0.9764,60.0,0.0163,0.0
12,184320,train,2026-06-11 08:48:21,0.0,1.1293,60.0,0.0188,0.0
13,199680,train,2026-06-11 08:49:02,0.0,1.325,60.0,0.0221,0.0
14,215040,train,2026-06-11 08:49:42,0.0,1.3915,60.0,0.0232,0.0
15,230400,train,2026-06-11 08:50:23,0.0039,1.4087,60.0,0.0235,0.0
16,245760,train,2026-06-11 08:51:04,0.0,1.5378,60.0,0.0256,0.0
17,261120,train,2026-06-11 08:51:45,0.0,1.4051,60.0,0.0234,0.0
18,276480,train,2026-06-11 08:52:25,0.0039,1.3706,60.0,0.0228,0.0
19,291840,train,2026-06-11 08:53:06,0.0,1.6341,60.0,0.0272,0.0
20,307200,train,2026-06-11 08:53:47,0.0117,1.3124,60.0,0.0219,0.0
21,322560,train,2026-06-11 08:54:28,0.0,1.3306,60.0,0.0222,0.0
22,337920,train,2026-06-11 08:55:09,0.0039,1.4591,60.0,0.0243,0.0
23,353280,train,2026-06-11 08:55:50,0.0,1.4154,60.0,0.0236,0.0
24,368640,train,2026-06-11 08:56:31,0.0,1.2668,60.0,0.0211,0.0
25,384000,train,2026-06-11 08:57:11,0.0,1.4113,60.0,0.0235,0.0
