iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-02 08:38:08,0.0,9.9335,60.0,0.1656,0.0
1,15360,train,2026-06-02 08:38:51,0.0,0.0745,60.0,0.0012,0.0
2,30720,train,2026-06-02 08:39:35,0.0,0.0884,60.0,0.0015,0.0
3,46080,train,2026-06-02 08:40:19,0.0,0.109,60.0,0.0018,0.0
4,61440,train,2026-06-02 08:41:03,0.0,0.1579,60.0,0.0026,0.0
5,76800,train,2026-06-02 08:41:47,0.0,0.2079,60.0,0.0035,0.0
6,92160,train,2026-06-02 08:42:31,0.0,0.298,60.0,0.005,0.0
7,107520,train,2026-06-02 08:43:15,0.0,0.533,60.0,0.0089,0.0
8,122880,train,2026-06-02 08:43:59,0.0,0.5878,60.0,0.0098,0.0
9,138240,train,2026-06-02 08:44:44,0.0,0.774,60.0,0.0129,0.0
10,153600,train,2026-06-02 08:45:28,0.0,0.9061,60.0,0.0151,0.0
11,168960,train,2026-06-02 08:46:13,0.0,0.9476,60.0,0.0158,0.0
12,184320,train,2026-06-02 08:46:57,0.0039,1.2022,60.0,0.02,0.0
13,199680,train,2026-06-02 08:47:42,0.0,1.2116,60.0,0.0202,0.0
14,215040,train,2026-06-02 08:48:26,0.0,1.2112,60.0,0.0202,0.0
15,230400,train,2026-06-02 08:49:11,0.0,1.3053,60.0,0.0218,0.0
16,245760,train,2026-06-02 08:49:55,0.0,1.288,60.0,0.0215,0.0
17,261120,train,2026-06-02 08:50:40,0.0039,1.3587,60.0,0.0226,0.0
18,276480,train,2026-06-02 08:51:24,0.0,1.2943,60.0,0.0216,0.0
19,291840,train,2026-06-02 08:52:09,0.0039,1.1765,60.0,0.0196,0.0
20,307200,train,2026-06-02 08:52:53,0.0,1.277,60.0,0.0213,0.0
21,322560,train,2026-06-02 08:53:38,0.0,1.2505,60.0,0.0208,0.0
22,337920,train,2026-06-02 08:54:22,0.0039,1.732,60.0,0.0289,0.0
23,353280,train,2026-06-02 08:55:07,0.0,1.3832,60.0,0.0231,0.0
24,368640,train,2026-06-02 08:55:51,0.0,1.3388,60.0,0.0223,0.0
25,384000,train,2026-06-02 08:56:36,0.0,1.539,60.0,0.0256,0.0
26,399360,train,2026-06-02 08:57:20,0.0039,1.5467,60.0,0.0258,0.0
27,414720,train,2026-06-02 08:58:05,0.0078,1.4681,60.0,0.0245,0.0
28,430080,train,2026-06-02 08:58:49,0.0039,1.5193,60.0,0.0253,0.0
29,445440,train,2026-06-02 08:59:34,0.0,1.3134,60.0,0.0219,0.0
30,460800,train,2026-06-02 09:00:18,0.0,1.6147,60.0,0.0269,0.0
31,476160,train,2026-06-02 09:01:03,0.0,1.6228,60.0,0.027,0.0
32,491520,train,2026-06-02 09:01:47,0.0,1.5919,60.0,0.0265,0.0
33,506880,train,2026-06-02 09:02:32,0.0,1.3612,60.0,0.0227,0.0
34,522240,train,2026-06-02 09:03:16,0.0039,1.5989,60.0,0.0266,0.0
35,537600,train,2026-06-02 09:04:01,0.0039,1.7388,60.0,0.029,0.0
36,552960,train,2026-06-02 09:04:45,0.0,1.4772,60.0,0.0246,0.0
37,568320,train,2026-06-02 09:05:30,0.0,1.6111,60.0,0.0269,0.0
38,583680,train,2026-06-02 09:06:14,0.0039,1.649,60.0,0.0275,0.0
39,599040,train,2026-06-02 09:06:59,0.0,1.8273,60.0,0.0305,0.0
40,614400,train,2026-06-02 09:07:43,0.0,1.6293,60.0,0.0272,0.0
41,629760,train,2026-06-02 09:08:28,0.0,1.8172,60.0,0.0303,0.0
42,645120,train,2026-06-02 09:09:12,0.0,1.66,60.0,0.0277,0.0
43,660480,train,2026-06-02 09:09:57,0.0078,1.5583,60.0,0.026,0.0
44,675840,train,2026-06-02 09:10:41,0.0,1.7578,60.0,0.0293,0.0
45,691200,train,2026-06-02 09:11:26,0.0,1.6732,60.0,0.0279,0.0
46,706560,train,2026-06-02 09:12:10,0.0,1.7473,60.0,0.0291,0.0
