iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-17 04:41:06,0.0,9.918,60.0,0.1653,0.0
1,15360,train,2026-06-17 04:41:45,0.0,0.083,60.0,0.0014,0.0
2,30720,train,2026-06-17 04:42:25,0.0,0.1082,60.0,0.0018,0.0
3,46080,train,2026-06-17 04:43:06,0.0,0.1981,60.0,0.0033,0.0
4,61440,train,2026-06-17 04:43:46,0.0,0.2508,60.0,0.0042,0.0
5,76800,train,2026-06-17 04:44:27,0.0,0.4047,60.0,0.0067,0.0
6,92160,train,2026-06-17 04:45:07,0.0,0.5108,60.0,0.0085,0.0
7,107520,train,2026-06-17 04:45:48,0.0,0.6742,60.0,0.0112,0.0
8,122880,train,2026-06-17 04:46:29,0.0039,0.8858,60.0,0.0148,0.0
9,138240,train,2026-06-17 04:47:10,0.0,0.9424,60.0,0.0157,0.0
10,153600,train,2026-06-17 04:47:51,0.0,1.0169,60.0,0.0169,0.0
11,168960,train,2026-06-17 04:48:32,0.0039,1.3503,60.0,0.0225,0.0
12,184320,train,2026-06-17 04:49:13,0.0,1.2543,60.0,0.0209,0.0
13,199680,train,2026-06-17 04:49:53,0.0,1.3699,60.0,0.0228,0.0
14,215040,train,2026-06-17 04:50:34,0.0,1.2776,60.0,0.0213,0.0
15,230400,train,2026-06-17 04:51:15,0.0039,1.4219,60.0,0.0237,0.0
16,245760,train,2026-06-17 04:51:56,0.0,1.2985,60.0,0.0216,0.0
17,261120,train,2026-06-17 04:52:37,0.0039,1.4491,60.0,0.0242,0.0
18,276480,train,2026-06-17 04:53:18,0.0,1.3553,60.0,0.0226,0.0
19,291840,train,2026-06-17 04:53:59,0.0039,1.4763,60.0,0.0246,0.0
20,307200,train,2026-06-17 04:54:40,0.0,1.3544,60.0,0.0226,0.0
21,322560,train,2026-06-17 04:55:21,0.0,1.4777,60.0,0.0246,0.0
22,337920,train,2026-06-17 04:56:02,0.0,1.3317,60.0,0.0222,0.0
23,353280,train,2026-06-17 04:56:43,0.0039,1.5013,60.0,0.025,0.0
24,368640,train,2026-06-17 04:57:24,0.0,1.4779,60.0,0.0246,0.0
25,384000,train,2026-06-17 04:58:05,0.0039,1.6378,60.0,0.0273,0.0
26,399360,train,2026-06-17 04:58:46,0.0,1.3693,60.0,0.0228,0.0
27,414720,train,2026-06-17 04:59:27,0.0,1.6139,60.0,0.0269,0.0
28,430080,train,2026-06-17 05:00:08,0.0039,1.4875,60.0,0.0248,0.0
29,445440,train,2026-06-17 05:00:48,0.0078,1.5154,60.0,0.0253,0.0
30,460800,train,2026-06-17 05:01:29,0.0,1.5156,60.0,0.0253,0.0
31,476160,train,2026-06-17 05:02:10,0.0078,1.6182,60.0,0.027,0.0
32,491520,train,2026-06-17 05:02:50,0.0,1.6455,60.0,0.0274,0.0
33,506880,train,2026-06-17 05:03:32,0.0039,1.5887,60.0,0.0265,0.0
34,522240,train,2026-06-17 05:04:12,0.0,1.5171,60.0,0.0253,0.0
35,537600,train,2026-06-17 05:04:53,0.0,1.5214,60.0,0.0254,0.0
36,552960,train,2026-06-17 05:05:34,0.0,1.343,60.0,0.0224,0.0
37,568320,train,2026-06-17 05:06:15,0.0,1.6315,60.0,0.0272,0.0
38,583680,train,2026-06-17 05:06:56,0.0078,1.5889,60.0,0.0265,0.0
39,599040,train,2026-06-17 05:07:37,0.0,1.417,60.0,0.0236,0.0
40,614400,train,2026-06-17 05:08:18,0.0,1.5809,60.0,0.0263,0.0
41,629760,train,2026-06-17 05:08:59,0.0,1.2739,60.0,0.0212,0.0
42,645120,train,2026-06-17 05:09:40,0.0039,1.2119,60.0,0.0202,0.0
43,660480,train,2026-06-17 05:10:21,0.0,1.1369,60.0,0.0189,0.0
44,675840,train,2026-06-17 05:11:02,0.0,1.2749,60.0,0.0212,0.0
45,691200,train,2026-06-17 05:11:43,0.0,1.4616,60.0,0.0244,0.0
46,706560,train,2026-06-17 05:12:24,0.0039,1.4036,60.0,0.0234,0.0
47,721920,train,2026-06-17 05:13:05,0.0,1.3229,60.0,0.022,0.0
48,737280,train,2026-06-17 05:13:46,0.0,1.5048,60.0,0.0251,0.0
49,737280,eval,2026-06-17 05:15:27,0.3594,8.6784,60.0,0.1446,0.2552
49,752640,train,2026-06-17 05:16:07,0.0,1.5529,60.0,0.0259,0.0
50,768000,train,2026-06-17 05:16:48,0.0,1.6842,60.0,0.0281,0.0
51,783360,train,2026-06-17 05:17:28,0.0,1.5431,60.0,0.0257,0.0
52,798720,train,2026-06-17 05:18:09,0.0,1.527,60.0,0.0255,0.0
53,814080,train,2026-06-17 05:18:50,0.0078,1.678,60.0,0.028,0.0039
54,829440,train,2026-06-17 05:19:31,0.0,1.5384,60.0,0.0256,0.0
55,844800,train,2026-06-17 05:20:11,0.0039,1.6291,60.0,0.0272,0.0
56,860160,train,2026-06-17 05:20:52,0.0,1.6158,60.0,0.0269,0.0
57,875520,train,2026-06-17 05:21:33,0.0,1.6305,60.0,0.0272,0.0
58,890880,train,2026-06-17 05:22:14,0.0039,1.6232,60.0,0.0271,0.0
59,906240,train,2026-06-17 05:22:55,0.0,1.6339,60.0,0.0272,0.0
60,921600,train,2026-06-17 05:23:36,0.0078,1.4778,60.0,0.0246,0.0
61,936960,train,2026-06-17 05:24:17,0.0039,1.4961,60.0,0.0249,0.0
62,952320,train,2026-06-17 05:24:57,0.0,1.4432,60.0,0.0241,0.0
63,967680,train,2026-06-17 05:25:38,0.0,1.3237,60.0,0.0221,0.0
64,983040,train,2026-06-17 05:26:19,0.0078,1.613,60.0,0.0269,0.0
65,998400,train,2026-06-17 05:27:00,0.0039,1.3586,60.0,0.0226,0.0
66,1013760,train,2026-06-17 05:27:41,0.0,1.2962,60.0,0.0216,0.0
67,1029120,train,2026-06-17 05:28:22,0.0039,1.6026,60.0,0.0267,0.0
68,1044480,train,2026-06-17 05:29:03,0.0,1.4847,60.0,0.0247,0.0
69,1059840,train,2026-06-17 05:29:44,0.0,1.4857,60.0,0.0248,0.0
70,1075200,train,2026-06-17 05:30:24,0.0,1.7103,60.0,0.0285,0.0
71,1090560,train,2026-06-17 05:31:05,0.0078,1.6625,60.0,0.0277,0.0
72,1105920,train,2026-06-17 05:31:46,0.0039,1.569,60.0,0.0261,0.0
73,1121280,train,2026-06-17 05:32:27,0.0078,1.7459,60.0,0.0291,0.0
74,1136640,train,2026-06-17 05:33:08,0.0,1.5405,60.0,0.0257,0.0
75,1152000,train,2026-06-17 05:33:48,0.0,1.4597,60.0,0.0243,0.0
76,1167360,train,2026-06-17 05:34:29,0.0,1.4313,60.0,0.0239,0.0
77,1182720,train,2026-06-17 05:35:10,0.0039,1.6408,60.0,0.0273,0.0
78,1198080,train,2026-06-17 05:35:51,0.0,1.6316,60.0,0.0272,0.0
79,1213440,train,2026-06-17 05:36:32,0.0039,1.619,60.0,0.027,0.0
80,1228800,train,2026-06-17 05:37:12,0.0039,1.6235,60.0,0.0271,0.0
81,1244160,train,2026-06-17 05:37:54,0.0,1.7005,60.0,0.0283,0.0
82,1259520,train,2026-06-17 05:38:34,0.0039,1.5544,60.0,0.0259,0.0
83,1274880,train,2026-06-17 05:39:15,0.0039,1.619,60.0,0.027,0.0
84,1290240,train,2026-06-17 05:39:56,0.0,1.7344,60.0,0.0289,0.0
85,1305600,train,2026-06-17 05:40:37,0.0,1.4939,60.0,0.0249,0.0
86,1320960,train,2026-06-17 05:41:18,0.0,1.4694,60.0,0.0245,0.0
87,1336320,train,2026-06-17 05:41:59,0.0,1.6802,60.0,0.028,0.0
88,1351680,train,2026-06-17 05:42:39,0.0039,1.4581,60.0,0.0243,0.0
89,1367040,train,2026-06-17 05:43:20,0.0,1.7389,60.0,0.029,0.0
90,1382400,train,2026-06-17 05:44:01,0.0,1.5132,60.0,0.0252,0.0
91,1397760,train,2026-06-17 05:44:42,0.0,1.5087,60.0,0.0251,0.0
92,1413120,train,2026-06-17 05:45:22,0.0,1.5337,60.0,0.0256,0.0
93,1428480,train,2026-06-17 05:46:03,0.0,1.4013,60.0,0.0234,0.0
94,1443840,train,2026-06-17 05:46:44,0.0039,1.5662,60.0,0.0261,0.0
95,1459200,train,2026-06-17 05:47:25,0.0039,1.655,60.0,0.0276,0.0
96,1474560,train,2026-06-17 05:48:06,0.0,1.5356,60.0,0.0256,0.0
97,1474560,eval,2026-06-17 05:49:46,0.1719,5.5895,60.0,0.0932,0.0469
97,1489920,train,2026-06-17 05:50:26,0.0039,1.584,60.0,0.0264,0.0
98,1505280,train,2026-06-17 05:51:07,0.0,1.6442,60.0,0.0274,0.0
99,1520640,train,2026-06-17 05:51:48,0.0039,1.724,60.0,0.0287,0.0
100,1536000,train,2026-06-17 05:52:30,0.0,1.6853,60.0,0.0281,0.0
101,1551360,train,2026-06-17 05:53:11,0.0078,1.7451,60.0,0.0291,0.0
102,1566720,train,2026-06-17 05:53:52,0.0039,1.5995,60.0,0.0267,0.0
103,1582080,train,2026-06-17 05:54:33,0.0039,1.4841,60.0,0.0247,0.0
104,1597440,train,2026-06-17 05:55:15,0.0,1.5448,60.0,0.0257,0.0
105,1612800,train,2026-06-17 05:55:56,0.0,1.4932,60.0,0.0249,0.0
106,1628160,train,2026-06-17 05:56:37,0.0,1.5159,60.0,0.0253,0.0
107,1643520,train,2026-06-17 05:57:18,0.0,1.3078,60.0,0.0218,0.0
108,1658880,train,2026-06-17 05:57:59,0.0039,1.7154,60.0,0.0286,0.0
109,1674240,train,2026-06-17 05:58:40,0.0,1.453,60.0,0.0242,0.0
110,1689600,train,2026-06-17 05:59:21,0.0039,1.6594,60.0,0.0277,0.0
111,1704960,train,2026-06-17 06:00:02,0.0,1.5445,60.0,0.0257,0.0
112,1720320,train,2026-06-17 06:00:43,0.0039,1.5463,60.0,0.0258,0.0
113,1735680,train,2026-06-17 06:01:24,0.0,1.2842,60.0,0.0214,0.0
114,1751040,train,2026-06-17 06:02:05,0.0,1.5057,60.0,0.0251,0.0
115,1766400,train,2026-06-17 06:02:47,0.0,1.3896,60.0,0.0232,0.0
116,1781760,train,2026-06-17 06:03:28,0.0,1.6118,60.0,0.0269,0.0
117,1797120,train,2026-06-17 06:04:09,0.0117,1.6014,60.0,0.0267,0.0
118,1812480,train,2026-06-17 06:04:50,0.0,1.6964,60.0,0.0283,0.0
119,1827840,train,2026-06-17 06:05:31,0.0,1.4123,60.0,0.0235,0.0
120,1843200,train,2026-06-17 06:06:12,0.0039,1.4657,60.0,0.0244,0.0
121,1858560,train,2026-06-17 06:06:53,0.0078,1.8054,60.0,0.0301,0.0
122,1873920,train,2026-06-17 06:07:33,0.0039,1.2421,60.0,0.0207,0.0
123,1889280,train,2026-06-17 06:08:14,0.0039,1.5207,60.0,0.0253,0.0
124,1904640,train,2026-06-17 06:08:55,0.0039,1.5375,60.0,0.0256,0.0
125,1920000,train,2026-06-17 06:09:36,0.0,1.0695,60.0,0.0178,0.0
126,1935360,train,2026-06-17 06:10:17,0.0,1.3586,60.0,0.0226,0.0
127,1950720,train,2026-06-17 06:10:57,0.0,1.2867,60.0,0.0214,0.0
128,1966080,train,2026-06-17 06:11:38,0.0039,1.4937,60.0,0.0249,0.0
129,1981440,train,2026-06-17 06:12:19,0.0,1.4438,60.0,0.0241,0.0
130,1996800,train,2026-06-17 06:13:00,0.0,1.4763,60.0,0.0246,0.0
131,2012160,train,2026-06-17 06:13:41,0.0078,1.7319,60.0,0.0289,0.0
132,2027520,train,2026-06-17 06:14:21,0.0039,1.4236,60.0,0.0237,0.0039
133,2042880,train,2026-06-17 06:15:02,0.0,1.2231,60.0,0.0204,0.0
134,2058240,train,2026-06-17 06:15:43,0.0039,1.3258,60.0,0.0221,0.0
135,2073600,train,2026-06-17 06:16:23,0.0,1.271,60.0,0.0212,0.0
136,2088960,train,2026-06-17 06:17:04,0.0,1.3153,60.0,0.0219,0.0
137,2104320,train,2026-06-17 06:17:45,0.0,0.8668,60.0,0.0144,0.0
138,2119680,train,2026-06-17 06:18:26,0.0,1.1753,60.0,0.0196,0.0
139,2135040,train,2026-06-17 06:19:06,0.0,1.1928,60.0,0.0199,0.0
140,2150400,train,2026-06-17 06:19:47,0.0039,1.0323,60.0,0.0172,0.0
141,2165760,train,2026-06-17 06:20:28,0.0,1.1128,60.0,0.0185,0.0
142,2181120,train,2026-06-17 06:21:08,0.0,1.2973,60.0,0.0216,0.0
143,2196480,train,2026-06-17 06:21:49,0.0039,1.3051,60.0,0.0218,0.0
144,2211840,train,2026-06-17 06:22:30,0.0,1.325,60.0,0.0221,0.0
145,2211840,eval,2026-06-17 06:24:08,0.0469,3.4152,60.0,0.0569,0.0
145,2227200,train,2026-06-17 06:24:47,0.0,1.4055,60.0,0.0234,0.0
146,2242560,train,2026-06-17 06:25:28,0.0,1.1353,60.0,0.0189,0.0
147,2257920,train,2026-06-17 06:26:09,0.0039,1.2641,60.0,0.0211,0.0
148,2273280,train,2026-06-17 06:26:49,0.0039,1.1599,60.0,0.0193,0.0
149,2288640,train,2026-06-17 06:27:30,0.0,1.2186,60.0,0.0203,0.0
150,2304000,train,2026-06-17 06:28:11,0.0039,1.3699,60.0,0.0228,0.0
151,2319360,train,2026-06-17 06:28:52,0.0,1.21,60.0,0.0202,0.0
152,2334720,train,2026-06-17 06:29:32,0.0039,1.4591,60.0,0.0243,0.0
153,2350080,train,2026-06-17 06:30:13,0.0,1.4106,60.0,0.0235,0.0
154,2365440,train,2026-06-17 06:30:54,0.0039,1.3242,60.0,0.0221,0.0
155,2380800,train,2026-06-17 06:31:35,0.0,1.3341,60.0,0.0222,0.0
156,2396160,train,2026-06-17 06:32:16,0.0,1.5635,60.0,0.0261,0.0
157,2411520,train,2026-06-17 06:32:57,0.0039,1.2617,60.0,0.021,0.0
158,2426880,train,2026-06-17 06:33:37,0.0,1.221,60.0,0.0203,0.0
159,2442240,train,2026-06-17 06:34:18,0.0,1.4553,60.0,0.0243,0.0
160,2457600,train,2026-06-17 06:34:59,0.0039,1.6363,60.0,0.0273,0.0
161,2472960,train,2026-06-17 06:35:40,0.0039,1.3783,60.0,0.023,0.0
162,2488320,train,2026-06-17 06:36:21,0.0,1.5476,60.0,0.0258,0.0
163,2503680,train,2026-06-17 06:37:01,0.0039,1.6139,60.0,0.0269,0.0
164,2519040,train,2026-06-17 06:37:42,0.0,1.2472,60.0,0.0208,0.0
165,2534400,train,2026-06-17 06:38:23,0.0,1.4114,60.0,0.0235,0.0
166,2549760,train,2026-06-17 06:39:04,0.0,1.5917,60.0,0.0265,0.0
