iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-30 19:44:40,0.0,9.7879,60.0,0.1631,0.0
1,15360,train,2026-05-30 19:45:01,0.0,0.0973,60.0,0.0016,0.0
2,30720,train,2026-05-30 19:45:34,0.0,0.1034,60.0,0.0017,0.0
3,46080,train,2026-05-30 19:46:07,0.0,0.147,60.0,0.0025,0.0
4,61440,train,2026-05-30 19:46:41,0.0,0.1704,60.0,0.0028,0.0
5,76800,train,2026-05-30 19:47:15,0.0,0.2976,60.0,0.005,0.0
6,92160,train,2026-05-30 19:47:49,0.0,0.5211,60.0,0.0087,0.0
7,107520,train,2026-05-30 19:48:23,0.0,0.6578,60.0,0.011,0.0
8,122880,train,2026-05-30 19:48:57,0.0,0.8162,60.0,0.0136,0.0
9,138240,train,2026-05-30 19:49:31,0.0,1.0038,60.0,0.0167,0.0
10,153600,train,2026-05-30 19:50:05,0.0,1.2044,60.0,0.0201,0.0
11,168960,train,2026-05-30 19:50:40,0.0,1.1304,60.0,0.0188,0.0
12,184320,train,2026-05-30 19:51:14,0.0,1.2705,60.0,0.0212,0.0
13,199680,train,2026-05-30 19:51:48,0.0,1.173,60.0,0.0195,0.0
14,215040,train,2026-05-30 19:52:22,0.0,1.2216,60.0,0.0204,0.0
15,230400,train,2026-05-30 19:52:56,0.0039,1.3446,60.0,0.0224,0.0039
16,245760,train,2026-05-30 19:53:31,0.0,1.4613,60.0,0.0244,0.0
17,261120,train,2026-05-30 19:54:05,0.0,1.5249,60.0,0.0254,0.0
18,276480,train,2026-05-30 19:54:39,0.0039,1.497,60.0,0.0249,0.0
19,291840,train,2026-05-30 19:55:14,0.0,1.4559,60.0,0.0243,0.0
20,307200,train,2026-05-30 19:55:49,0.0,1.5599,60.0,0.026,0.0
21,322560,train,2026-05-30 19:56:23,0.0,1.6136,60.0,0.0269,0.0
22,337920,train,2026-05-30 19:56:58,0.0,1.4708,60.0,0.0245,0.0
23,353280,train,2026-05-30 19:57:32,0.0,1.4891,60.0,0.0248,0.0
24,368640,train,2026-05-30 19:58:06,0.0,1.4269,60.0,0.0238,0.0
25,384000,train,2026-05-30 19:58:41,0.0,1.3626,60.0,0.0227,0.0
26,399360,train,2026-05-30 19:59:15,0.0,1.559,60.0,0.026,0.0
27,414720,train,2026-05-30 19:59:49,0.0039,1.565,60.0,0.0261,0.0
28,430080,train,2026-05-30 20:00:24,0.0,1.3003,60.0,0.0217,0.0
29,445440,train,2026-05-30 20:00:58,0.0,1.4405,60.0,0.024,0.0
30,460800,train,2026-05-30 20:01:32,0.0,1.4774,60.0,0.0246,0.0
31,476160,train,2026-05-30 20:02:07,0.0,1.3738,60.0,0.0229,0.0
32,491520,train,2026-05-30 20:02:41,0.0039,1.3875,60.0,0.0231,0.0
33,506880,train,2026-05-30 20:03:15,0.0,1.222,60.0,0.0204,0.0
34,522240,train,2026-05-30 20:03:50,0.0,1.2149,60.0,0.0202,0.0
35,537600,train,2026-05-30 20:04:24,0.0,1.5938,60.0,0.0266,0.0
36,552960,train,2026-05-30 20:04:58,0.0,1.4151,60.0,0.0236,0.0
37,568320,train,2026-05-30 20:05:33,0.0039,1.3095,60.0,0.0218,0.0
38,583680,train,2026-05-30 20:06:07,0.0,1.2372,60.0,0.0206,0.0
39,599040,train,2026-05-30 20:06:41,0.0,1.5181,60.0,0.0253,0.0
40,614400,train,2026-05-30 20:07:15,0.0,1.4349,60.0,0.0239,0.0
41,629760,train,2026-05-30 20:07:49,0.0,1.5386,60.0,0.0256,0.0
42,645120,train,2026-05-30 20:08:24,0.0039,1.6782,60.0,0.028,0.0
43,660480,train,2026-05-30 20:08:58,0.0039,1.3725,60.0,0.0229,0.0
44,675840,train,2026-05-30 20:09:32,0.0,1.6954,60.0,0.0283,0.0
45,691200,train,2026-05-30 20:10:07,0.0,1.6004,60.0,0.0267,0.0
46,706560,train,2026-05-30 20:10:41,0.0,1.7643,60.0,0.0294,0.0
47,721920,train,2026-05-30 20:11:15,0.0,1.3744,60.0,0.0229,0.0
48,737280,train,2026-05-30 20:11:49,0.0,1.5757,60.0,0.0263,0.0
49,737280,eval,2026-05-30 20:13:29,0.1094,6.4758,60.0,0.1079,0.0729
49,752640,train,2026-05-30 20:13:50,0.0,1.2813,60.0,0.0214,0.0
50,768000,train,2026-05-30 20:14:24,0.0039,1.3266,60.0,0.0221,0.0
51,783360,train,2026-05-30 20:14:58,0.0,1.3215,60.0,0.022,0.0
52,798720,train,2026-05-30 20:15:32,0.0,1.0909,60.0,0.0182,0.0
53,814080,train,2026-05-30 20:16:06,0.0,1.4334,60.0,0.0239,0.0
54,829440,train,2026-05-30 20:16:40,0.0,1.5243,60.0,0.0254,0.0
55,844800,train,2026-05-30 20:17:15,0.0,1.4147,60.0,0.0236,0.0
56,860160,train,2026-05-30 20:17:49,0.0,1.536,60.0,0.0256,0.0
57,875520,train,2026-05-30 20:18:23,0.0,1.3218,60.0,0.022,0.0
58,890880,train,2026-05-30 20:18:57,0.0,1.3418,60.0,0.0224,0.0
59,906240,train,2026-05-30 20:19:31,0.0039,1.3326,60.0,0.0222,0.0
60,921600,train,2026-05-30 20:20:06,0.0,1.3931,60.0,0.0232,0.0
61,936960,train,2026-05-30 20:20:40,0.0,1.2918,60.0,0.0215,0.0
62,952320,train,2026-05-30 20:21:14,0.0078,1.3698,60.0,0.0228,0.0
63,967680,train,2026-05-30 20:21:48,0.0,1.1993,60.0,0.02,0.0
64,983040,train,2026-05-30 20:22:23,0.0,1.138,60.0,0.019,0.0
65,998400,train,2026-05-30 20:22:57,0.0,1.6192,60.0,0.027,0.0
66,1013760,train,2026-05-30 20:23:32,0.0117,1.4214,60.0,0.0237,0.0
67,1029120,train,2026-05-30 20:24:06,0.0,1.5143,60.0,0.0252,0.0
68,1044480,train,2026-05-30 20:24:41,0.0,1.345,60.0,0.0224,0.0
69,1059840,train,2026-05-30 20:25:15,0.0,1.6433,60.0,0.0274,0.0
70,1075200,train,2026-05-30 20:25:50,0.0,1.4597,60.0,0.0243,0.0
71,1090560,train,2026-05-30 20:26:24,0.0,1.6264,60.0,0.0271,0.0
72,1105920,train,2026-05-30 20:26:58,0.0039,1.5237,60.0,0.0254,0.0
73,1121280,train,2026-05-30 20:27:33,0.0,1.7275,60.0,0.0288,0.0
74,1136640,train,2026-05-30 20:28:07,0.0078,1.7097,60.0,0.0285,0.0
75,1152000,train,2026-05-30 20:28:41,0.0,1.568,60.0,0.0261,0.0
76,1167360,train,2026-05-30 20:29:16,0.0039,1.784,60.0,0.0297,0.0
77,1182720,train,2026-05-30 20:29:50,0.0,1.7011,60.0,0.0284,0.0
78,1198080,train,2026-05-30 20:30:24,0.0,1.5152,60.0,0.0253,0.0
79,1213440,train,2026-05-30 20:30:58,0.0,1.5938,60.0,0.0266,0.0
80,1228800,train,2026-05-30 20:31:33,0.0,1.1502,60.0,0.0192,0.0
81,1244160,train,2026-05-30 20:32:07,0.0,1.4113,60.0,0.0235,0.0
82,1259520,train,2026-05-30 20:32:41,0.0,1.5539,60.0,0.0259,0.0
83,1274880,train,2026-05-30 20:33:15,0.0,1.37,60.0,0.0228,0.0
84,1290240,train,2026-05-30 20:33:50,0.0,1.1965,60.0,0.0199,0.0
85,1305600,train,2026-05-30 20:34:24,0.0,0.9841,60.0,0.0164,0.0
86,1320960,train,2026-05-30 20:34:58,0.0,1.3447,60.0,0.0224,0.0
87,1336320,train,2026-05-30 20:35:32,0.0,1.2869,60.0,0.0214,0.0
88,1351680,train,2026-05-30 20:36:06,0.0,1.3494,60.0,0.0225,0.0
89,1367040,train,2026-05-30 20:36:41,0.0,1.2599,60.0,0.021,0.0
90,1382400,train,2026-05-30 20:37:15,0.0,1.2832,60.0,0.0214,0.0
91,1397760,train,2026-05-30 20:37:49,0.0039,1.3714,60.0,0.0229,0.0
92,1413120,train,2026-05-30 20:38:23,0.0039,1.5863,60.0,0.0264,0.0
93,1428480,train,2026-05-30 20:38:58,0.0,1.3363,60.0,0.0223,0.0
94,1443840,train,2026-05-30 20:39:32,0.0,1.4382,60.0,0.024,0.0
95,1459200,train,2026-05-30 20:40:06,0.0,1.4321,60.0,0.0239,0.0
96,1474560,train,2026-05-30 20:40:40,0.0,1.4245,60.0,0.0237,0.0
97,1474560,eval,2026-05-30 20:42:20,0.0781,3.9039,60.0,0.0651,0.0052
97,1489920,train,2026-05-30 20:42:41,0.0,1.1297,60.0,0.0188,0.0
98,1505280,train,2026-05-30 20:43:15,0.0039,1.5025,60.0,0.025,0.0
99,1520640,train,2026-05-30 20:43:49,0.0,1.0513,60.0,0.0175,0.0
100,1536000,train,2026-05-30 20:44:23,0.0,1.6474,60.0,0.0275,0.0
101,1551360,train,2026-05-30 20:44:57,0.0,1.1504,60.0,0.0192,0.0
102,1566720,train,2026-05-30 20:45:31,0.0039,1.3964,60.0,0.0233,0.0
103,1582080,train,2026-05-30 20:46:05,0.0,1.3741,60.0,0.0229,0.0
104,1597440,train,2026-05-30 20:46:40,0.0039,1.6637,60.0,0.0277,0.0
105,1612800,train,2026-05-30 20:47:14,0.0039,1.5805,60.0,0.0263,0.0
106,1628160,train,2026-05-30 20:47:48,0.0039,1.8068,60.0,0.0301,0.0
107,1643520,train,2026-05-30 20:48:23,0.0,1.9191,60.0,0.032,0.0
108,1658880,train,2026-05-30 20:48:57,0.0078,1.8722,60.0,0.0312,0.0
109,1674240,train,2026-05-30 20:49:31,0.0,1.3285,60.0,0.0221,0.0
110,1689600,train,2026-05-30 20:50:05,0.0039,1.4949,60.0,0.0249,0.0
111,1704960,train,2026-05-30 20:50:40,0.0,1.5207,60.0,0.0253,0.0
112,1720320,train,2026-05-30 20:51:14,0.0,1.4967,60.0,0.0249,0.0
113,1735680,train,2026-05-30 20:51:49,0.0,1.173,60.0,0.0196,0.0
114,1751040,train,2026-05-30 20:52:23,0.0,1.304,60.0,0.0217,0.0
115,1766400,train,2026-05-30 20:52:58,0.0,1.557,60.0,0.026,0.0
116,1781760,train,2026-05-30 20:53:33,0.0,1.3995,60.0,0.0233,0.0
117,1797120,train,2026-05-30 20:54:07,0.0039,1.2788,60.0,0.0213,0.0
118,1812480,train,2026-05-30 20:54:41,0.0,1.381,60.0,0.023,0.0
119,1827840,train,2026-05-30 20:55:16,0.0039,1.2688,60.0,0.0211,0.0
120,1843200,train,2026-05-30 20:55:50,0.0039,1.4086,60.0,0.0235,0.0
121,1858560,train,2026-05-30 20:56:25,0.0,1.2913,60.0,0.0215,0.0
122,1873920,train,2026-05-30 20:56:59,0.0,1.4949,60.0,0.0249,0.0
123,1889280,train,2026-05-30 20:57:33,0.0,0.9694,60.0,0.0162,0.0
124,1904640,train,2026-05-30 20:58:07,0.0,1.1488,60.0,0.0191,0.0
125,1920000,train,2026-05-30 20:58:41,0.0,1.1105,60.0,0.0185,0.0
126,1935360,train,2026-05-30 20:59:16,0.0,1.1826,60.0,0.0197,0.0
127,1950720,train,2026-05-30 20:59:50,0.0,1.2054,60.0,0.0201,0.0
128,1966080,train,2026-05-30 21:00:24,0.0,1.1651,60.0,0.0194,0.0
129,1981440,train,2026-05-30 21:00:58,0.0039,1.0932,60.0,0.0182,0.0
130,1996800,train,2026-05-30 21:01:33,0.0,1.0543,60.0,0.0176,0.0
131,2012160,train,2026-05-30 21:02:07,0.0,1.1115,60.0,0.0185,0.0
132,2027520,train,2026-05-30 21:02:41,0.0,1.2582,60.0,0.021,0.0
133,2042880,train,2026-05-30 21:03:16,0.0,1.2952,60.0,0.0216,0.0
134,2058240,train,2026-05-30 21:03:50,0.0,1.4097,60.0,0.0235,0.0
135,2073600,train,2026-05-30 21:04:24,0.0039,1.6821,60.0,0.028,0.0
136,2088960,train,2026-05-30 21:04:58,0.0039,1.3588,60.0,0.0226,0.0
137,2104320,train,2026-05-30 21:05:33,0.0,1.3136,60.0,0.0219,0.0
138,2119680,train,2026-05-30 21:06:07,0.0,1.3602,60.0,0.0227,0.0
139,2135040,train,2026-05-30 21:06:41,0.0,1.5597,60.0,0.026,0.0
140,2150400,train,2026-05-30 21:07:15,0.0,1.2924,60.0,0.0215,0.0
141,2165760,train,2026-05-30 21:07:50,0.0039,1.4078,60.0,0.0235,0.0
142,2181120,train,2026-05-30 21:08:24,0.0,1.4432,60.0,0.0241,0.0
143,2196480,train,2026-05-30 21:08:58,0.0039,1.2603,60.0,0.021,0.0
144,2211840,train,2026-05-30 21:09:32,0.0,1.5476,60.0,0.0258,0.0
145,2211840,eval,2026-05-30 21:11:13,0.1042,3.8667,60.0,0.0644,0.0521
145,2227200,train,2026-05-30 21:11:34,0.0039,1.7171,60.0,0.0286,0.0
146,2242560,train,2026-05-30 21:12:08,0.0,1.2785,60.0,0.0213,0.0
147,2257920,train,2026-05-30 21:12:42,0.0,1.2892,60.0,0.0215,0.0
