iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-02 02:27:41,0.0,9.6551,60.0,0.1609,0.0
1,15360,train,2026-06-02 02:28:03,0.0,0.0921,60.0,0.0015,0.0
2,30720,train,2026-06-02 02:28:37,0.0,0.1539,60.0,0.0026,0.0
3,46080,train,2026-06-02 02:29:11,0.0,0.1774,60.0,0.003,0.0
4,61440,train,2026-06-02 02:29:45,0.0,0.2444,60.0,0.0041,0.0
5,76800,train,2026-06-02 02:30:19,0.0,0.3323,60.0,0.0055,0.0
6,92160,train,2026-06-02 02:30:53,0.0,0.411,60.0,0.0068,0.0
7,107520,train,2026-06-02 02:31:27,0.0039,0.5483,60.0,0.0091,0.0
8,122880,train,2026-06-02 02:32:01,0.0,0.7709,60.0,0.0128,0.0
9,138240,train,2026-06-02 02:32:35,0.0,0.7531,60.0,0.0126,0.0
10,153600,train,2026-06-02 02:33:09,0.0039,1.1961,60.0,0.0199,0.0
11,168960,train,2026-06-02 02:33:42,0.0,1.1157,60.0,0.0186,0.0
12,184320,train,2026-06-02 02:34:16,0.0,1.3107,60.0,0.0218,0.0
13,199680,train,2026-06-02 02:34:50,0.0,1.4707,60.0,0.0245,0.0
14,215040,train,2026-06-02 02:35:24,0.0039,1.5829,60.0,0.0264,0.0
15,230400,train,2026-06-02 02:35:58,0.0,1.6373,60.0,0.0273,0.0
16,245760,train,2026-06-02 02:36:32,0.0,1.6979,60.0,0.0283,0.0
17,261120,train,2026-06-02 02:37:06,0.0,1.7837,60.0,0.0297,0.0
18,276480,train,2026-06-02 02:37:40,0.0078,2.0449,60.0,0.0341,0.0
19,291840,train,2026-06-02 02:38:14,0.0,1.848,60.0,0.0308,0.0
20,307200,train,2026-06-02 02:38:48,0.0078,2.0176,60.0,0.0336,0.0
21,322560,train,2026-06-02 02:39:22,0.0,1.9447,60.0,0.0324,0.0
22,337920,train,2026-06-02 02:39:56,0.0,1.7758,60.0,0.0296,0.0
23,353280,train,2026-06-02 02:40:30,0.0,1.7052,60.0,0.0284,0.0
24,368640,train,2026-06-02 02:41:04,0.0,1.8701,60.0,0.0312,0.0
25,384000,train,2026-06-02 02:41:38,0.0039,1.9611,60.0,0.0327,0.0
26,399360,train,2026-06-02 02:42:12,0.0,1.8401,60.0,0.0307,0.0
27,414720,train,2026-06-02 02:42:45,0.0,1.7428,60.0,0.029,0.0
28,430080,train,2026-06-02 02:43:19,0.0078,2.1122,60.0,0.0352,0.0
29,445440,train,2026-06-02 02:43:53,0.0,2.0055,60.0,0.0334,0.0
30,460800,train,2026-06-02 02:44:27,0.0,2.0094,60.0,0.0335,0.0
31,476160,train,2026-06-02 02:45:01,0.0078,1.8694,60.0,0.0312,0.0
32,491520,train,2026-06-02 02:45:35,0.0078,1.8584,60.0,0.031,0.0
33,506880,train,2026-06-02 02:46:09,0.0039,1.8066,60.0,0.0301,0.0
34,522240,train,2026-06-02 02:46:43,0.0039,1.9871,60.0,0.0331,0.0
35,537600,train,2026-06-02 02:47:17,0.0039,2.0353,60.0,0.0339,0.0
36,552960,train,2026-06-02 02:47:51,0.0,2.1111,60.0,0.0352,0.0
37,568320,train,2026-06-02 02:48:25,0.0039,1.8812,60.0,0.0314,0.0
38,583680,train,2026-06-02 02:48:59,0.0039,2.0071,60.0,0.0335,0.0039
39,599040,train,2026-06-02 02:49:33,0.0039,2.1807,60.0,0.0363,0.0
40,614400,train,2026-06-02 02:50:07,0.0,2.2707,60.0,0.0378,0.0
41,629760,train,2026-06-02 02:50:41,0.0,1.9166,60.0,0.0319,0.0
42,645120,train,2026-06-02 02:51:15,0.0,2.1698,60.0,0.0362,0.0
43,660480,train,2026-06-02 02:51:49,0.0039,2.1483,60.0,0.0358,0.0
44,675840,train,2026-06-02 02:52:22,0.0,1.9968,60.0,0.0333,0.0
45,691200,train,2026-06-02 02:52:56,0.0,2.0147,60.0,0.0336,0.0
46,706560,train,2026-06-02 02:53:30,0.0039,2.045,60.0,0.0341,0.0
47,721920,train,2026-06-02 02:54:04,0.0,2.0883,60.0,0.0348,0.0
48,737280,train,2026-06-02 02:54:38,0.0,2.2515,60.0,0.0375,0.0
49,737280,eval,2026-06-02 02:56:18,0.2292,5.7841,60.0,0.0964,0.0885
49,752640,train,2026-06-02 02:56:40,0.0,2.1317,60.0,0.0355,0.0
50,768000,train,2026-06-02 02:57:13,0.0,2.0602,60.0,0.0343,0.0
51,783360,train,2026-06-02 02:57:47,0.0039,2.4903,60.0,0.0415,0.0
52,798720,train,2026-06-02 02:58:21,0.0039,2.0989,60.0,0.035,0.0
53,814080,train,2026-06-02 02:58:56,0.0,2.2606,60.0,0.0377,0.0
54,829440,train,2026-06-02 02:59:30,0.0,2.1749,60.0,0.0362,0.0
55,844800,train,2026-06-02 03:00:04,0.0039,1.9834,60.0,0.0331,0.0
56,860160,train,2026-06-02 03:00:38,0.0,2.0502,60.0,0.0342,0.0
57,875520,train,2026-06-02 03:01:12,0.0,2.0568,60.0,0.0343,0.0
58,890880,train,2026-06-02 03:01:46,0.0039,1.9792,60.0,0.033,0.0
59,906240,train,2026-06-02 03:02:20,0.0039,2.02,60.0,0.0337,0.0
60,921600,train,2026-06-02 03:02:54,0.0,2.0115,60.0,0.0335,0.0
61,936960,train,2026-06-02 03:03:28,0.0,2.3554,60.0,0.0393,0.0
62,952320,train,2026-06-02 03:04:02,0.0039,2.1459,60.0,0.0358,0.0
63,967680,train,2026-06-02 03:04:36,0.0078,2.0053,60.0,0.0334,0.0
64,983040,train,2026-06-02 03:05:10,0.0039,2.0971,60.0,0.035,0.0
65,998400,train,2026-06-02 03:05:44,0.0,1.9334,60.0,0.0322,0.0
66,1013760,train,2026-06-02 03:06:18,0.0,1.92,60.0,0.032,0.0
67,1029120,train,2026-06-02 03:06:52,0.0039,2.1702,60.0,0.0362,0.0
68,1044480,train,2026-06-02 03:07:26,0.0,2.0076,60.0,0.0335,0.0
69,1059840,train,2026-06-02 03:08:00,0.0039,1.8768,60.0,0.0313,0.0
70,1075200,train,2026-06-02 03:08:34,0.0039,2.1002,60.0,0.035,0.0
71,1090560,train,2026-06-02 03:09:08,0.0117,2.1735,60.0,0.0362,0.0
72,1105920,train,2026-06-02 03:09:42,0.0,2.1913,60.0,0.0365,0.0
73,1121280,train,2026-06-02 03:10:16,0.0039,2.3253,60.0,0.0388,0.0
74,1136640,train,2026-06-02 03:10:50,0.0,2.2585,60.0,0.0376,0.0
75,1152000,train,2026-06-02 03:11:24,0.0039,2.2214,60.0,0.037,0.0
76,1167360,train,2026-06-02 03:11:58,0.0039,2.3101,60.0,0.0385,0.0
77,1182720,train,2026-06-02 03:12:32,0.0156,2.1745,60.0,0.0362,0.0
78,1198080,train,2026-06-02 03:13:06,0.0,2.188,60.0,0.0365,0.0
79,1213440,train,2026-06-02 03:13:40,0.0,2.0349,60.0,0.0339,0.0
80,1228800,train,2026-06-02 03:14:14,0.0,2.3172,60.0,0.0386,0.0
81,1244160,train,2026-06-02 03:14:48,0.0117,2.1493,60.0,0.0358,0.0
82,1259520,train,2026-06-02 03:15:22,0.0078,2.4024,60.0,0.04,0.0
83,1274880,train,2026-06-02 03:15:56,0.0078,1.9522,60.0,0.0325,0.0
84,1290240,train,2026-06-02 03:16:30,0.0,2.3769,60.0,0.0396,0.0
85,1305600,train,2026-06-02 03:17:04,0.0,2.175,60.0,0.0363,0.0
86,1320960,train,2026-06-02 03:17:38,0.0039,2.3866,60.0,0.0398,0.0
87,1336320,train,2026-06-02 03:18:12,0.0078,2.1179,60.0,0.0353,0.0
88,1351680,train,2026-06-02 03:18:46,0.0039,2.2915,60.0,0.0382,0.0
89,1367040,train,2026-06-02 03:19:20,0.0,2.0316,60.0,0.0339,0.0
90,1382400,train,2026-06-02 03:19:54,0.0078,2.1862,60.0,0.0364,0.0
91,1397760,train,2026-06-02 03:20:28,0.0039,2.3752,60.0,0.0396,0.0
92,1413120,train,2026-06-02 03:21:02,0.0039,2.1752,60.0,0.0363,0.0
93,1428480,train,2026-06-02 03:21:36,0.0039,2.1615,60.0,0.036,0.0
94,1443840,train,2026-06-02 03:22:10,0.0039,2.1981,60.0,0.0366,0.0
95,1459200,train,2026-06-02 03:22:44,0.0039,2.3327,60.0,0.0389,0.0
96,1474560,train,2026-06-02 03:23:18,0.0078,2.186,60.0,0.0364,0.0
97,1474560,eval,2026-06-02 03:25:00,0.2083,4.6387,60.0,0.0773,0.0677
97,1489920,train,2026-06-02 03:25:21,0.0039,2.3521,60.0,0.0392,0.0
98,1505280,train,2026-06-02 03:25:55,0.0,2.2552,60.0,0.0376,0.0
99,1520640,train,2026-06-02 03:26:29,0.0,2.2542,60.0,0.0376,0.0
100,1536000,train,2026-06-02 03:27:03,0.0,2.1403,60.0,0.0357,0.0
101,1551360,train,2026-06-02 03:27:37,0.0,2.2789,60.0,0.038,0.0
102,1566720,train,2026-06-02 03:28:11,0.0,2.3562,60.0,0.0393,0.0
103,1582080,train,2026-06-02 03:28:46,0.0078,2.2865,60.0,0.0381,0.0
104,1597440,train,2026-06-02 03:29:20,0.0,2.3038,60.0,0.0384,0.0
105,1612800,train,2026-06-02 03:29:54,0.0039,2.2775,60.0,0.038,0.0
106,1628160,train,2026-06-02 03:30:28,0.0,2.4691,60.0,0.0412,0.0
107,1643520,train,2026-06-02 03:31:02,0.0039,2.366,60.0,0.0394,0.0
108,1658880,train,2026-06-02 03:31:36,0.0,2.3235,60.0,0.0387,0.0
109,1674240,train,2026-06-02 03:32:10,0.0039,2.4001,60.0,0.04,0.0
110,1689600,train,2026-06-02 03:32:44,0.0,2.2415,60.0,0.0374,0.0
111,1704960,train,2026-06-02 03:33:18,0.0,2.4533,60.0,0.0409,0.0
112,1720320,train,2026-06-02 03:33:52,0.0078,2.4587,60.0,0.041,0.0
113,1735680,train,2026-06-02 03:34:26,0.0039,2.368,60.0,0.0395,0.0
114,1751040,train,2026-06-02 03:35:00,0.0,2.2489,60.0,0.0375,0.0
115,1766400,train,2026-06-02 03:35:34,0.0039,2.521,60.0,0.042,0.0
116,1781760,train,2026-06-02 03:36:08,0.0078,2.3158,60.0,0.0386,0.0
117,1797120,train,2026-06-02 03:36:42,0.0078,2.4765,60.0,0.0413,0.0
118,1812480,train,2026-06-02 03:37:16,0.0,2.3568,60.0,0.0393,0.0
119,1827840,train,2026-06-02 03:37:50,0.0039,2.4476,60.0,0.0408,0.0
120,1843200,train,2026-06-02 03:38:24,0.0,2.5399,60.0,0.0423,0.0
121,1858560,train,2026-06-02 03:38:58,0.0,2.5299,60.0,0.0422,0.0
122,1873920,train,2026-06-02 03:39:32,0.0117,2.4796,60.0,0.0413,0.0
123,1889280,train,2026-06-02 03:40:06,0.0039,2.4727,60.0,0.0412,0.0
124,1904640,train,2026-06-02 03:40:40,0.0078,2.2651,60.0,0.0378,0.0
