iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 04:03:02,0.0,9.9626,60.0,0.166,0.0
1,15360,train,2026-05-06 04:03:20,0.0,0.0867,60.0,0.0014,0.0
2,30720,train,2026-05-06 04:03:54,0.0,0.0806,60.0,0.0013,0.0
3,46080,train,2026-05-06 04:04:15,0.0,0.133,60.0,0.0022,0.0
4,61440,train,2026-05-06 04:04:36,0.0,0.1727,60.0,0.0029,0.0
5,76800,train,2026-05-06 04:04:57,0.0,0.1525,60.0,0.0025,0.0
6,92160,train,2026-05-06 04:05:19,0.0,0.2027,60.0,0.0034,0.0
7,107520,train,2026-05-06 04:05:40,0.0,0.1279,60.0,0.0021,0.0
8,122880,train,2026-05-06 04:06:01,0.0,0.3265,60.0,0.0054,0.0
9,138240,train,2026-05-06 04:06:23,0.0,0.6378,60.0,0.0106,0.0
10,153600,train,2026-05-06 04:06:44,0.0,0.674,60.0,0.0112,0.0
11,168960,train,2026-05-06 04:07:05,0.0,1.1103,60.0,0.0185,0.0
12,184320,train,2026-05-06 04:07:27,0.0,0.5166,60.0,0.0086,0.0
13,199680,train,2026-05-06 04:07:48,0.0,1.0781,60.0,0.018,0.0
14,215040,train,2026-05-06 04:08:10,0.0,1.2459,60.0,0.0208,0.0
15,230400,train,2026-05-06 04:08:32,0.0078,1.4743,60.0,0.0246,0.0
16,245760,train,2026-05-06 04:08:53,0.0078,1.4365,60.0,0.0239,0.0
17,261120,train,2026-05-06 04:09:15,0.0,1.5747,60.0,0.0262,0.0
18,276480,train,2026-05-06 04:09:36,0.0,1.4911,60.0,0.0249,0.0
19,291840,train,2026-05-06 04:09:58,0.0,1.6157,60.0,0.0269,0.0
20,307200,train,2026-05-06 04:10:19,0.0,1.5611,60.0,0.026,0.0
21,322560,train,2026-05-06 04:10:41,0.0,1.5496,60.0,0.0258,0.0
22,337920,train,2026-05-06 04:11:03,0.0,1.6755,60.0,0.0279,0.0
23,353280,train,2026-05-06 04:11:24,0.0039,1.5583,60.0,0.026,0.0
24,368640,train,2026-05-06 04:11:44,0.0078,1.5866,60.0,0.0264,0.0
25,384000,train,2026-05-06 04:12:03,0.0039,1.3729,60.0,0.0229,0.0
26,384000,eval,2026-05-06 04:12:30,0.0625,1.1528,60.0,0.0192,0.0
26,399360,train,2026-05-06 04:12:46,0.0078,1.6615,60.0,0.0277,0.0
27,414720,train,2026-05-06 04:13:04,0.0,1.8021,60.0,0.03,0.0
28,430080,train,2026-05-06 04:13:21,0.0039,1.6667,60.0,0.0278,0.0
29,445440,train,2026-05-06 04:13:39,0.0,1.7188,60.0,0.0286,0.0
30,460800,train,2026-05-06 04:13:57,0.0078,1.6841,60.0,0.0281,0.0
31,476160,train,2026-05-06 04:14:15,0.0039,1.8113,60.0,0.0302,0.0
32,491520,train,2026-05-06 04:14:32,0.0,1.6561,60.0,0.0276,0.0
33,506880,train,2026-05-06 04:14:49,0.0078,1.5993,60.0,0.0267,0.0
34,522240,train,2026-05-06 04:15:07,0.0039,1.711,60.0,0.0285,0.0
35,537600,train,2026-05-06 04:15:25,0.0,1.9129,60.0,0.0319,0.0
36,552960,train,2026-05-06 04:15:42,0.0,1.7091,60.0,0.0285,0.0
37,568320,train,2026-05-06 04:15:59,0.0,1.617,60.0,0.0269,0.0
38,583680,train,2026-05-06 04:16:16,0.0078,1.6494,60.0,0.0275,0.0
39,599040,train,2026-05-06 04:16:33,0.0039,1.7787,60.0,0.0296,0.0
40,614400,train,2026-05-06 04:16:51,0.0,1.5627,60.0,0.026,0.0
41,629760,train,2026-05-06 04:17:08,0.0039,1.7822,60.0,0.0297,0.0
42,645120,train,2026-05-06 04:17:27,0.0,1.6716,60.0,0.0279,0.0
43,660480,train,2026-05-06 04:17:44,0.0,1.6713,60.0,0.0279,0.0
44,675840,train,2026-05-06 04:18:01,0.0039,1.6551,60.0,0.0276,0.0
45,691200,train,2026-05-06 04:18:18,0.0,1.7472,60.0,0.0291,0.0
46,706560,train,2026-05-06 04:18:36,0.0039,1.3646,60.0,0.0227,0.0
47,721920,train,2026-05-06 04:18:53,0.0039,1.7832,60.0,0.0297,0.0
48,737280,train,2026-05-06 04:19:10,0.0039,1.8216,60.0,0.0304,0.0
49,752640,train,2026-05-06 04:19:27,0.0039,1.9495,60.0,0.0325,0.0
50,768000,train,2026-05-06 04:19:44,0.0039,1.7841,60.0,0.0297,0.0
51,768000,eval,2026-05-06 04:20:09,0.0,2.0899,60.0,0.0348,0.0
51,783360,train,2026-05-06 04:20:25,0.0,1.7601,60.0,0.0293,0.0
52,798720,train,2026-05-06 04:20:42,0.0,1.5924,60.0,0.0265,0.0
53,814080,train,2026-05-06 04:20:59,0.0,1.7125,60.0,0.0285,0.0
54,829440,train,2026-05-06 04:21:17,0.0039,1.8735,60.0,0.0312,0.0
55,844800,train,2026-05-06 04:21:33,0.0,1.5817,60.0,0.0264,0.0
56,860160,train,2026-05-06 04:21:51,0.0,1.7515,60.0,0.0292,0.0
