iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 10:51:49,0.0,9.8746,60.0,0.1646,0.0
1,15360,train,2026-05-06 10:52:05,0.0,0.0961,60.0,0.0016,0.0
2,30720,train,2026-05-06 10:52:24,0.0,0.1388,60.0,0.0023,0.0
3,46080,train,2026-05-06 10:52:41,0.0,0.1617,60.0,0.0027,0.0
4,61440,train,2026-05-06 10:52:59,0.0,0.2596,60.0,0.0043,0.0
5,76800,train,2026-05-06 10:53:17,0.0,0.349,60.0,0.0058,0.0
6,92160,train,2026-05-06 10:53:35,0.0,0.4532,60.0,0.0076,0.0
7,107520,train,2026-05-06 10:53:54,0.0,0.6414,60.0,0.0107,0.0
8,122880,train,2026-05-06 10:54:13,0.0,0.7992,60.0,0.0133,0.0
9,138240,train,2026-05-06 10:54:32,0.0,0.735,60.0,0.0122,0.0
10,153600,train,2026-05-06 10:54:50,0.0,0.9426,60.0,0.0157,0.0
11,168960,train,2026-05-06 10:55:08,0.0,1.1663,60.0,0.0194,0.0
12,184320,train,2026-05-06 10:55:26,0.0,1.494,60.0,0.0249,0.0
13,199680,train,2026-05-06 10:55:44,0.0,1.4769,60.0,0.0246,0.0
14,215040,train,2026-05-06 10:56:02,0.0,1.3576,60.0,0.0226,0.0
15,230400,train,2026-05-06 10:56:20,0.0,1.5179,60.0,0.0253,0.0
16,245760,train,2026-05-06 10:56:38,0.0,1.4859,60.0,0.0248,0.0
17,261120,train,2026-05-06 10:56:57,0.0,1.4353,60.0,0.0239,0.0
18,276480,train,2026-05-06 10:57:15,0.0,1.3524,60.0,0.0225,0.0
19,291840,train,2026-05-06 10:57:34,0.0078,1.5968,60.0,0.0266,0.0
20,307200,train,2026-05-06 10:57:53,0.0039,1.403,60.0,0.0234,0.0
21,322560,train,2026-05-06 10:58:11,0.0,1.4004,60.0,0.0233,0.0
22,337920,train,2026-05-06 10:58:29,0.0,1.6849,60.0,0.0281,0.0
23,353280,train,2026-05-06 10:58:47,0.0039,1.745,60.0,0.0291,0.0
24,368640,train,2026-05-06 10:59:05,0.0,1.7247,60.0,0.0287,0.0
25,384000,train,2026-05-06 10:59:23,0.0,1.7394,60.0,0.029,0.0
26,399360,train,2026-05-06 10:59:41,0.0039,1.8073,60.0,0.0301,0.0
27,414720,train,2026-05-06 10:59:59,0.0078,1.692,60.0,0.0282,0.0
28,430080,train,2026-05-06 11:00:17,0.0039,1.6117,60.0,0.0269,0.0
29,445440,train,2026-05-06 11:00:35,0.0,1.6123,60.0,0.0269,0.0
30,460800,train,2026-05-06 11:00:53,0.0039,1.6784,60.0,0.028,0.0
31,476160,train,2026-05-06 11:01:11,0.0,1.7426,60.0,0.029,0.0
32,491520,train,2026-05-06 11:01:29,0.0039,1.5153,60.0,0.0253,0.0
33,506880,train,2026-05-06 11:01:47,0.0117,1.8448,60.0,0.0307,0.0
34,522240,train,2026-05-06 11:02:05,0.0,1.6114,60.0,0.0269,0.0
35,537600,train,2026-05-06 11:02:22,0.0,1.5515,60.0,0.0259,0.0
36,552960,train,2026-05-06 11:02:40,0.0,1.6381,60.0,0.0273,0.0
37,568320,train,2026-05-06 11:02:58,0.0039,1.8097,60.0,0.0302,0.0
38,583680,train,2026-05-06 11:03:16,0.0039,1.3417,60.0,0.0224,0.0
39,599040,train,2026-05-06 11:03:34,0.0039,1.4663,60.0,0.0244,0.0
40,614400,train,2026-05-06 11:03:52,0.0039,1.3785,60.0,0.023,0.0
41,629760,train,2026-05-06 11:04:11,0.0,1.4333,60.0,0.0239,0.0
42,645120,train,2026-05-06 11:04:29,0.0039,1.609,60.0,0.0268,0.0
43,660480,train,2026-05-06 11:04:47,0.0,1.766,60.0,0.0294,0.0
44,675840,train,2026-05-06 11:05:05,0.0,1.6718,60.0,0.0279,0.0
45,691200,train,2026-05-06 11:05:23,0.0,1.5698,60.0,0.0262,0.0
46,706560,train,2026-05-06 11:05:41,0.0,1.6198,60.0,0.027,0.0
47,721920,train,2026-05-06 11:05:59,0.0,1.8568,60.0,0.0309,0.0
48,737280,train,2026-05-06 11:06:17,0.0039,1.3458,60.0,0.0224,0.0
