iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 23:18:26,0.0,9.9932,60.0,0.1666,0.0
1,15360,train,2026-04-15 23:18:43,0.0,0.0815,60.0,0.0014,0.0
2,30720,train,2026-04-15 23:19:07,0.0,0.1311,60.0,0.0022,0.0
3,46080,train,2026-04-15 23:19:24,0.0,0.2209,60.0,0.0037,0.0
4,61440,train,2026-04-15 23:19:41,0.0,0.3163,60.0,0.0053,0.0
5,76800,train,2026-04-15 23:19:58,0.0,0.4821,60.0,0.008,0.0
6,92160,train,2026-04-15 23:20:15,0.0,0.5643,60.0,0.0094,0.0
7,107520,train,2026-04-15 23:20:33,0.0039,0.6003,60.0,0.01,0.0
8,122880,train,2026-04-15 23:20:50,0.0,0.8216,60.0,0.0137,0.0
9,138240,train,2026-04-15 23:21:07,0.0,0.8445,60.0,0.0141,0.0
10,153600,train,2026-04-15 23:21:25,0.0039,0.9329,60.0,0.0155,0.0
11,168960,train,2026-04-15 23:21:42,0.0039,1.1259,60.0,0.0188,0.0
12,184320,train,2026-04-15 23:22:00,0.0,1.1322,60.0,0.0189,0.0
13,199680,train,2026-04-15 23:22:17,0.0,1.4118,60.0,0.0235,0.0
14,215040,train,2026-04-15 23:22:35,0.0,1.354,60.0,0.0226,0.0
15,230400,train,2026-04-15 23:22:52,0.0039,1.5157,60.0,0.0253,0.0
16,245760,train,2026-04-15 23:23:09,0.0039,1.4779,60.0,0.0246,0.0
17,261120,train,2026-04-15 23:23:27,0.0,1.4127,60.0,0.0235,0.0
18,276480,train,2026-04-15 23:23:44,0.0,1.603,60.0,0.0267,0.0
19,291840,train,2026-04-15 23:24:02,0.0,1.5614,60.0,0.026,0.0
20,307200,train,2026-04-15 23:24:19,0.0039,1.4848,60.0,0.0247,0.0
21,322560,train,2026-04-15 23:24:36,0.0,1.4431,60.0,0.0241,0.0
22,337920,train,2026-04-15 23:24:54,0.0,1.3589,60.0,0.0226,0.0
23,353280,train,2026-04-15 23:25:11,0.0,1.6434,60.0,0.0274,0.0
