iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 07:30:26,0.0,10.0148,60.0,0.1669,0.0
1,15360,train,2026-05-06 07:30:43,0.0,0.0976,60.0,0.0016,0.0
2,30720,train,2026-05-06 07:31:19,0.0,0.0581,60.0,0.001,0.0
3,46080,train,2026-05-06 07:31:43,0.0,0.0864,60.0,0.0014,0.0
4,61440,train,2026-05-06 07:32:06,0.0,0.194,60.0,0.0032,0.0
5,76800,train,2026-05-06 07:32:29,0.0,0.3462,60.0,0.0058,0.0
6,92160,train,2026-05-06 07:32:53,0.0,0.4069,60.0,0.0068,0.0
7,107520,train,2026-05-06 07:33:17,0.0,0.629,60.0,0.0105,0.0
8,122880,train,2026-05-06 07:33:40,0.0,0.687,60.0,0.0114,0.0
9,138240,train,2026-05-06 07:34:04,0.0,0.845,60.0,0.0141,0.0
10,153600,train,2026-05-06 07:34:28,0.0,1.0794,60.0,0.018,0.0
11,168960,train,2026-05-06 07:34:51,0.0,0.979,60.0,0.0163,0.0
12,184320,train,2026-05-06 07:35:15,0.0,1.2056,60.0,0.0201,0.0
13,199680,train,2026-05-06 07:35:39,0.0,1.1827,60.0,0.0197,0.0
14,215040,train,2026-05-06 07:36:03,0.0,1.3061,60.0,0.0218,0.0
15,230400,train,2026-05-06 07:36:26,0.0,1.3927,60.0,0.0232,0.0
16,245760,train,2026-05-06 07:36:50,0.0,1.3391,60.0,0.0223,0.0
17,261120,train,2026-05-06 07:37:14,0.0039,1.3943,60.0,0.0232,0.0
18,276480,train,2026-05-06 07:37:38,0.0,1.459,60.0,0.0243,0.0
19,291840,train,2026-05-06 07:38:02,0.0078,1.5341,60.0,0.0256,0.0039
20,307200,train,2026-05-06 07:38:25,0.0,1.4895,60.0,0.0248,0.0
21,322560,train,2026-05-06 07:38:49,0.0,1.6131,60.0,0.0269,0.0
22,337920,train,2026-05-06 07:39:13,0.0039,1.543,60.0,0.0257,0.0
23,353280,train,2026-05-06 07:39:37,0.0039,1.5916,60.0,0.0265,0.0
24,368640,train,2026-05-06 07:40:01,0.0039,1.7636,60.0,0.0294,0.0
25,384000,train,2026-05-06 07:40:25,0.0039,1.6668,60.0,0.0278,0.0
26,384000,eval,2026-05-06 07:40:55,0.1458,4.1385,60.0,0.069,0.0208
26,399360,train,2026-05-06 07:41:11,0.0078,1.6944,60.0,0.0282,0.0
27,414720,train,2026-05-06 07:41:35,0.0078,1.7703,60.0,0.0295,0.0
28,430080,train,2026-05-06 07:41:58,0.0039,1.7715,60.0,0.0295,0.0
29,445440,train,2026-05-06 07:42:22,0.0039,1.7721,60.0,0.0295,0.0
30,460800,train,2026-05-06 07:42:46,0.0039,2.1044,60.0,0.0351,0.0
31,476160,train,2026-05-06 07:43:10,0.0039,1.9666,60.0,0.0328,0.0
32,491520,train,2026-05-06 07:43:32,0.0039,1.8714,60.0,0.0312,0.0
33,506880,train,2026-05-06 07:43:50,0.0,1.8604,60.0,0.031,0.0
34,522240,train,2026-05-06 07:44:11,0.0078,1.9433,60.0,0.0324,0.0
35,537600,train,2026-05-06 07:44:30,0.0,1.7675,60.0,0.0295,0.0
36,552960,train,2026-05-06 07:44:50,0.0117,1.8072,60.0,0.0301,0.0
37,568320,train,2026-05-06 07:45:10,0.0039,1.839,60.0,0.0306,0.0
38,583680,train,2026-05-06 07:45:27,0.0,1.804,60.0,0.0301,0.0
39,599040,train,2026-05-06 07:45:46,0.0039,2.0248,60.0,0.0337,0.0
40,614400,train,2026-05-06 07:46:06,0.0039,1.8888,60.0,0.0315,0.0
41,629760,train,2026-05-06 07:46:22,0.0,1.9488,60.0,0.0325,0.0
42,645120,train,2026-05-06 07:46:41,0.0,1.7817,60.0,0.0297,0.0
43,660480,train,2026-05-06 07:47:01,0.0,1.9745,60.0,0.0329,0.0
44,675840,train,2026-05-06 07:47:20,0.0039,1.9393,60.0,0.0323,0.0
45,691200,train,2026-05-06 07:47:38,0.0039,2.0164,60.0,0.0336,0.0
46,706560,train,2026-05-06 07:47:55,0.0039,2.0223,60.0,0.0337,0.0
47,721920,train,2026-05-06 07:48:14,0.0078,2.0207,60.0,0.0337,0.0
48,737280,train,2026-05-06 07:48:32,0.0,1.8639,60.0,0.0311,0.0
