iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 07:28:31,0.0,9.781,60.0,0.163,0.0
1,15360,train,2026-05-06 07:28:46,0.0,0.0832,60.0,0.0014,0.0
2,30720,train,2026-05-06 07:29:07,0.0,0.0881,60.0,0.0015,0.0
3,46080,train,2026-05-06 07:29:27,0.0,0.1167,60.0,0.0019,0.0
4,61440,train,2026-05-06 07:29:48,0.0,0.1355,60.0,0.0023,0.0
5,76800,train,2026-05-06 07:30:09,0.0,0.2345,60.0,0.0039,0.0
6,92160,train,2026-05-06 07:30:30,0.0,0.2637,60.0,0.0044,0.0
7,107520,train,2026-05-06 07:30:51,0.0,0.2763,60.0,0.0046,0.0
8,122880,train,2026-05-06 07:31:09,0.0,0.5455,60.0,0.0091,0.0
9,138240,train,2026-05-06 07:31:26,0.0,0.4842,60.0,0.0081,0.0
10,153600,train,2026-05-06 07:31:44,0.0,0.6177,60.0,0.0103,0.0
11,168960,train,2026-05-06 07:32:03,0.0,0.8149,60.0,0.0136,0.0
12,184320,train,2026-05-06 07:32:21,0.0,0.6814,60.0,0.0114,0.0
13,199680,train,2026-05-06 07:32:38,0.0,0.9354,60.0,0.0156,0.0
14,215040,train,2026-05-06 07:32:56,0.0,0.9008,60.0,0.015,0.0
15,230400,train,2026-05-06 07:33:13,0.0,1.1416,60.0,0.019,0.0
16,245760,train,2026-05-06 07:33:30,0.0,0.9857,60.0,0.0164,0.0
17,261120,train,2026-05-06 07:33:46,0.0,1.2052,60.0,0.0201,0.0
18,276480,train,2026-05-06 07:34:04,0.0039,1.1526,60.0,0.0192,0.0
19,291840,train,2026-05-06 07:34:21,0.0,1.3105,60.0,0.0218,0.0
20,307200,train,2026-05-06 07:34:38,0.0,1.3129,60.0,0.0219,0.0
21,322560,train,2026-05-06 07:34:55,0.0,1.1525,60.0,0.0192,0.0
22,337920,train,2026-05-06 07:35:11,0.0,1.2957,60.0,0.0216,0.0
23,353280,train,2026-05-06 07:35:28,0.0,1.2742,60.0,0.0212,0.0
24,368640,train,2026-05-06 07:35:46,0.0,1.4233,60.0,0.0237,0.0
25,384000,train,2026-05-06 07:36:02,0.0,1.5788,60.0,0.0263,0.0
26,384000,eval,2026-05-06 07:36:26,0.0417,2.2715,60.0,0.0379,0.0208
26,399360,train,2026-05-06 07:36:42,0.0,1.5739,60.0,0.0262,0.0
27,414720,train,2026-05-06 07:37:00,0.0,1.751,60.0,0.0292,0.0
28,430080,train,2026-05-06 07:37:17,0.0,1.5891,60.0,0.0265,0.0
29,445440,train,2026-05-06 07:37:34,0.0039,1.6248,60.0,0.0271,0.0
30,460800,train,2026-05-06 07:37:50,0.0,1.6585,60.0,0.0276,0.0
31,476160,train,2026-05-06 07:38:07,0.0,1.5316,60.0,0.0255,0.0
