iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-06 10:25:03,0.0,9.9116,60.0,0.1652,0.0
1,15360,train,2026-05-06 10:25:18,0.0,0.0946,60.0,0.0016,0.0
2,30720,train,2026-05-06 10:25:35,0.0,0.0689,60.0,0.0011,0.0
3,46080,train,2026-05-06 10:25:52,0.0,0.1115,60.0,0.0019,0.0
4,61440,train,2026-05-06 10:26:08,0.0,0.1112,60.0,0.0019,0.0
5,76800,train,2026-05-06 10:26:25,0.0,0.1707,60.0,0.0028,0.0
6,92160,train,2026-05-06 10:26:42,0.0,0.3141,60.0,0.0052,0.0
7,107520,train,2026-05-06 10:26:59,0.0039,0.4057,60.0,0.0068,0.0
8,122880,train,2026-05-06 10:27:17,0.0,0.4735,60.0,0.0079,0.0
9,138240,train,2026-05-06 10:27:34,0.0,0.5795,60.0,0.0097,0.0
10,153600,train,2026-05-06 10:27:51,0.0078,0.8471,60.0,0.0141,0.0
11,168960,train,2026-05-06 10:28:08,0.0039,0.8181,60.0,0.0136,0.0
12,184320,train,2026-05-06 10:28:25,0.0,0.9559,60.0,0.0159,0.0
13,199680,train,2026-05-06 10:28:44,0.0,1.0536,60.0,0.0176,0.0
14,215040,train,2026-05-06 10:29:01,0.0,1.1039,60.0,0.0184,0.0
15,230400,train,2026-05-06 10:29:18,0.0,1.2726,60.0,0.0212,0.0
16,245760,train,2026-05-06 10:29:35,0.0,1.4611,60.0,0.0244,0.0
17,261120,train,2026-05-06 10:29:52,0.0039,1.3557,60.0,0.0226,0.0
18,276480,train,2026-05-06 10:30:10,0.0,1.3366,60.0,0.0223,0.0
19,291840,train,2026-05-06 10:30:27,0.0039,1.3235,60.0,0.0221,0.0
20,307200,train,2026-05-06 10:30:45,0.0039,1.4979,60.0,0.025,0.0
21,322560,train,2026-05-06 10:31:02,0.0,1.4696,60.0,0.0245,0.0
22,337920,train,2026-05-06 10:31:19,0.0039,1.5897,60.0,0.0265,0.0
23,353280,train,2026-05-06 10:31:36,0.0039,1.6441,60.0,0.0274,0.0
24,368640,train,2026-05-06 10:31:54,0.0078,1.7068,60.0,0.0284,0.0039
25,384000,train,2026-05-06 10:32:11,0.0,1.7453,60.0,0.0291,0.0
26,399360,train,2026-05-06 10:32:28,0.0,1.8047,60.0,0.0301,0.0
27,414720,train,2026-05-06 10:32:45,0.0,1.7299,60.0,0.0288,0.0
28,430080,train,2026-05-06 10:33:02,0.0039,1.7878,60.0,0.0298,0.0
29,445440,train,2026-05-06 10:33:20,0.0,1.5766,60.0,0.0263,0.0
30,460800,train,2026-05-06 10:33:37,0.0,1.7771,60.0,0.0296,0.0
31,476160,train,2026-05-06 10:33:54,0.0,1.7277,60.0,0.0288,0.0
32,491520,train,2026-05-06 10:34:11,0.0,2.0039,60.0,0.0334,0.0
33,506880,train,2026-05-06 10:34:29,0.0,1.9609,60.0,0.0327,0.0
34,522240,train,2026-05-06 10:34:46,0.0039,1.8647,60.0,0.0311,0.0
35,537600,train,2026-05-06 10:35:03,0.0,2.0713,60.0,0.0345,0.0
36,552960,train,2026-05-06 10:35:20,0.0039,2.238,60.0,0.0373,0.0
37,568320,train,2026-05-06 10:35:38,0.0,2.0467,60.0,0.0341,0.0
38,583680,train,2026-05-06 10:35:55,0.0078,2.0248,60.0,0.0337,0.0
