iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-29 18:32:48,0.0,9.9333,60.0,0.1656,0.0
1,15360,train,2026-05-29 18:33:29,0.0,0.0936,60.0,0.0016,0.0
2,30720,train,2026-05-29 18:34:11,0.0,0.129,60.0,0.0021,0.0
3,46080,train,2026-05-29 18:34:53,0.0,0.1299,60.0,0.0022,0.0
4,61440,train,2026-05-29 18:35:34,0.0,0.2451,60.0,0.0041,0.0
5,76800,train,2026-05-29 18:36:15,0.0,0.421,60.0,0.007,0.0
6,92160,train,2026-05-29 18:36:57,0.0,0.5103,60.0,0.0085,0.0
7,107520,train,2026-05-29 18:37:38,0.0,0.6196,60.0,0.0103,0.0
8,122880,train,2026-05-29 18:38:20,0.0,0.796,60.0,0.0133,0.0
9,138240,train,2026-05-29 18:39:01,0.0,0.8259,60.0,0.0138,0.0
10,153600,train,2026-05-29 18:39:43,0.0,1.0713,60.0,0.0179,0.0
11,168960,train,2026-05-29 18:40:24,0.0,1.3088,60.0,0.0218,0.0
12,184320,train,2026-05-29 18:41:06,0.0039,1.4662,60.0,0.0244,0.0
13,199680,train,2026-05-29 18:41:47,0.0,1.4895,60.0,0.0248,0.0
14,215040,train,2026-05-29 18:42:29,0.0,1.4105,60.0,0.0235,0.0
15,230400,train,2026-05-29 18:43:11,0.0,1.5862,60.0,0.0264,0.0
16,245760,train,2026-05-29 18:43:52,0.0039,1.7267,60.0,0.0288,0.0
17,261120,train,2026-05-29 18:44:34,0.0,1.7313,60.0,0.0289,0.0
18,276480,train,2026-05-29 18:45:15,0.0,1.6182,60.0,0.027,0.0
19,291840,train,2026-05-29 18:45:57,0.0,1.8799,60.0,0.0313,0.0
20,307200,train,2026-05-29 18:46:38,0.0039,1.6917,60.0,0.0282,0.0
21,322560,train,2026-05-29 18:47:20,0.0,1.6384,60.0,0.0273,0.0
22,337920,train,2026-05-29 18:48:02,0.0,1.8878,60.0,0.0315,0.0
23,353280,train,2026-05-29 18:48:43,0.0,1.9064,60.0,0.0318,0.0
24,368640,train,2026-05-29 18:49:25,0.0,1.9176,60.0,0.032,0.0
25,384000,train,2026-05-29 18:50:06,0.0078,1.8576,60.0,0.031,0.0
26,399360,train,2026-05-29 18:50:48,0.0078,1.9513,60.0,0.0325,0.0
27,414720,train,2026-05-29 18:51:30,0.0039,1.7866,60.0,0.0298,0.0
28,430080,train,2026-05-29 18:52:11,0.0,1.7042,60.0,0.0284,0.0
29,445440,train,2026-05-29 18:52:53,0.0,1.8015,60.0,0.03,0.0
