iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 03:25:04,0.0,9.8668,60.0,0.1644,0.0
1,15360,train,2026-05-24 03:25:35,0.0,0.0931,60.0,0.0016,0.0
2,30720,train,2026-05-24 03:26:09,0.0,0.1522,60.0,0.0025,0.0
3,46080,train,2026-05-24 03:26:40,0.0,0.1572,60.0,0.0026,0.0
4,61440,train,2026-05-24 03:27:09,0.0,0.293,60.0,0.0049,0.0
5,76800,train,2026-05-24 03:27:37,0.0,0.4954,60.0,0.0083,0.0
6,92160,train,2026-05-24 03:28:04,0.0,0.6208,60.0,0.0103,0.0
7,107520,train,2026-05-24 03:28:30,0.0,0.762,60.0,0.0127,0.0
8,122880,train,2026-05-24 03:28:56,0.0,0.9534,60.0,0.0159,0.0
9,138240,train,2026-05-24 03:29:23,0.0,1.1428,60.0,0.019,0.0
10,153600,train,2026-05-24 03:29:50,0.0,1.2195,60.0,0.0203,0.0
11,168960,train,2026-05-24 03:30:18,0.0,1.433,60.0,0.0239,0.0
12,184320,train,2026-05-24 03:30:46,0.0039,1.6696,60.0,0.0278,0.0
13,199680,train,2026-05-24 03:31:14,0.0,1.5318,60.0,0.0255,0.0
14,215040,train,2026-05-24 03:31:41,0.0,1.5232,60.0,0.0254,0.0
15,230400,train,2026-05-24 03:32:09,0.0,1.6601,60.0,0.0277,0.0
16,245760,train,2026-05-24 03:32:35,0.0,1.8448,60.0,0.0307,0.0
17,261120,train,2026-05-24 03:33:02,0.0039,1.7344,60.0,0.0289,0.0
18,276480,train,2026-05-24 03:33:28,0.0039,1.6159,60.0,0.0269,0.0
19,291840,train,2026-05-24 03:33:55,0.0039,1.8927,60.0,0.0315,0.0
20,307200,train,2026-05-24 03:34:21,0.0,1.6888,60.0,0.0281,0.0
21,322560,train,2026-05-24 03:34:47,0.0,1.5896,60.0,0.0265,0.0
22,337920,train,2026-05-24 03:35:13,0.0,1.8006,60.0,0.03,0.0
23,353280,train,2026-05-24 03:35:40,0.0039,1.8837,60.0,0.0314,0.0
24,368640,train,2026-05-24 03:36:06,0.0,1.8337,60.0,0.0306,0.0
25,384000,train,2026-05-24 03:36:33,0.0078,1.8488,60.0,0.0308,0.0
26,399360,train,2026-05-24 03:36:59,0.0117,1.9102,60.0,0.0318,0.0
27,414720,train,2026-05-24 03:37:26,0.0,1.7407,60.0,0.029,0.0
28,430080,train,2026-05-24 03:37:52,0.0,1.7782,60.0,0.0296,0.0
29,445440,train,2026-05-24 03:38:19,0.0,1.7952,60.0,0.0299,0.0
30,460800,train,2026-05-24 03:38:46,0.0039,1.8496,60.0,0.0308,0.0
31,476160,train,2026-05-24 03:39:13,0.0039,1.6424,60.0,0.0274,0.0
32,491520,train,2026-05-24 03:39:40,0.0,1.669,60.0,0.0278,0.0
33,506880,train,2026-05-24 03:40:06,0.0039,1.8397,60.0,0.0307,0.0
34,522240,train,2026-05-24 03:40:32,0.0078,1.7956,60.0,0.0299,0.0
35,537600,train,2026-05-24 03:40:58,0.0,1.8302,60.0,0.0305,0.0
36,552960,train,2026-05-24 03:41:24,0.0,1.6916,60.0,0.0282,0.0
37,568320,train,2026-05-24 03:41:51,0.0039,1.8319,60.0,0.0305,0.0
38,583680,train,2026-05-24 03:42:17,0.0,1.556,60.0,0.0259,0.0
39,599040,train,2026-05-24 03:42:43,0.0,1.646,60.0,0.0274,0.0
40,614400,train,2026-05-24 03:43:10,0.0039,1.5986,60.0,0.0266,0.0
41,629760,train,2026-05-24 03:43:36,0.0,1.721,60.0,0.0287,0.0
42,645120,train,2026-05-24 03:44:04,0.0,1.6714,60.0,0.0279,0.0
43,660480,train,2026-05-24 03:44:31,0.0039,1.6929,60.0,0.0282,0.0
44,675840,train,2026-05-24 03:44:57,0.0039,1.64,60.0,0.0273,0.0
45,691200,train,2026-05-24 03:45:23,0.0,1.6974,60.0,0.0283,0.0
46,706560,train,2026-05-24 03:45:49,0.0039,1.8313,60.0,0.0305,0.0
47,721920,train,2026-05-24 03:46:15,0.0039,1.9535,60.0,0.0326,0.0
48,737280,train,2026-05-24 03:46:40,0.0,1.4514,60.0,0.0242,0.0
49,737280,eval,2026-05-24 03:48:12,0.2396,6.6978,60.0,0.1116,0.0104
49,752640,train,2026-05-24 03:48:37,0.0,1.7625,60.0,0.0294,0.0
50,768000,train,2026-05-24 03:49:03,0.0078,1.7824,60.0,0.0297,0.0
51,783360,train,2026-05-24 03:49:28,0.0,1.7618,60.0,0.0294,0.0
52,798720,train,2026-05-24 03:49:54,0.0,1.8129,60.0,0.0302,0.0
53,814080,train,2026-05-24 03:50:20,0.0,1.7854,60.0,0.0298,0.0
54,829440,train,2026-05-24 03:50:46,0.0039,1.7161,60.0,0.0286,0.0
55,844800,train,2026-05-24 03:51:12,0.0,2.0214,60.0,0.0337,0.0
56,860160,train,2026-05-24 03:51:37,0.0,1.7752,60.0,0.0296,0.0
57,875520,train,2026-05-24 03:52:03,0.0,1.7102,60.0,0.0285,0.0
58,890880,train,2026-05-24 03:52:28,0.0039,1.9703,60.0,0.0328,0.0
59,906240,train,2026-05-24 03:52:54,0.0039,1.9993,60.0,0.0333,0.0
60,921600,train,2026-05-24 03:53:19,0.0,1.3839,60.0,0.0231,0.0
61,936960,train,2026-05-24 03:53:45,0.0,1.7153,60.0,0.0286,0.0
