iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 05:48:28,0.0,9.9045,60.0,0.1651,0.0
1,15360,train,2026-05-24 05:48:59,0.0,0.0932,60.0,0.0016,0.0
2,30720,train,2026-05-24 05:49:30,0.0,0.1766,60.0,0.0029,0.0
3,46080,train,2026-05-24 05:50:01,0.0,0.1677,60.0,0.0028,0.0
4,61440,train,2026-05-24 05:50:29,0.0,0.304,60.0,0.0051,0.0
5,76800,train,2026-05-24 05:50:56,0.0,0.4676,60.0,0.0078,0.0
6,92160,train,2026-05-24 05:51:23,0.0,0.7062,60.0,0.0118,0.0
7,107520,train,2026-05-24 05:51:49,0.0,0.7429,60.0,0.0124,0.0
8,122880,train,2026-05-24 05:52:15,0.0039,0.9034,60.0,0.0151,0.0
9,138240,train,2026-05-24 05:52:42,0.0,1.0741,60.0,0.0179,0.0
10,153600,train,2026-05-24 05:53:09,0.0,1.2335,60.0,0.0206,0.0
11,168960,train,2026-05-24 05:53:36,0.0,1.4292,60.0,0.0238,0.0
12,184320,train,2026-05-24 05:54:03,0.0,1.5141,60.0,0.0252,0.0
13,199680,train,2026-05-24 05:54:32,0.0,1.4119,60.0,0.0235,0.0
14,215040,train,2026-05-24 05:54:59,0.0,1.3977,60.0,0.0233,0.0
15,230400,train,2026-05-24 05:55:27,0.0,1.5186,60.0,0.0253,0.0
16,245760,train,2026-05-24 05:55:55,0.0,1.6484,60.0,0.0275,0.0
17,261120,train,2026-05-24 05:56:23,0.0,1.5969,60.0,0.0266,0.0
18,276480,train,2026-05-24 05:56:50,0.0039,1.4275,60.0,0.0238,0.0
19,291840,train,2026-05-24 05:57:17,0.0039,1.6283,60.0,0.0271,0.0039
20,307200,train,2026-05-24 05:57:44,0.0,1.5187,60.0,0.0253,0.0
21,322560,train,2026-05-24 05:58:11,0.0039,1.5071,60.0,0.0251,0.0
22,337920,train,2026-05-24 05:58:38,0.0,1.7138,60.0,0.0286,0.0
23,353280,train,2026-05-24 05:59:05,0.0,1.7272,60.0,0.0288,0.0
24,368640,train,2026-05-24 05:59:32,0.0,1.7672,60.0,0.0295,0.0
25,384000,train,2026-05-24 05:59:59,0.0039,1.7997,60.0,0.03,0.0
26,399360,train,2026-05-24 06:00:25,0.0078,1.7914,60.0,0.0299,0.0
27,414720,train,2026-05-24 06:00:52,0.0039,1.7128,60.0,0.0285,0.0
28,430080,train,2026-05-24 06:01:19,0.0,1.5512,60.0,0.0259,0.0
29,445440,train,2026-05-24 06:01:47,0.0,1.5928,60.0,0.0265,0.0
30,460800,train,2026-05-24 06:02:14,0.0,1.6086,60.0,0.0268,0.0
31,476160,train,2026-05-24 06:02:42,0.0,1.4699,60.0,0.0245,0.0
32,491520,train,2026-05-24 06:03:08,0.0,1.4103,60.0,0.0235,0.0
33,506880,train,2026-05-24 06:03:34,0.0,1.563,60.0,0.0261,0.0
34,522240,train,2026-05-24 06:04:00,0.0,1.4182,60.0,0.0236,0.0
35,537600,train,2026-05-24 06:04:26,0.0,1.5631,60.0,0.0261,0.0
36,552960,train,2026-05-24 06:04:53,0.0,1.5585,60.0,0.026,0.0
37,568320,train,2026-05-24 06:05:20,0.0,1.5142,60.0,0.0252,0.0
38,583680,train,2026-05-24 06:05:46,0.0,1.2238,60.0,0.0204,0.0
39,599040,train,2026-05-24 06:06:12,0.0,1.4855,60.0,0.0248,0.0
40,614400,train,2026-05-24 06:06:39,0.0,1.3304,60.0,0.0222,0.0
41,629760,train,2026-05-24 06:07:05,0.0,1.5232,60.0,0.0254,0.0
42,645120,train,2026-05-24 06:07:33,0.0039,1.5241,60.0,0.0254,0.0
43,660480,train,2026-05-24 06:08:00,0.0,1.5389,60.0,0.0256,0.0
44,675840,train,2026-05-24 06:08:26,0.0,1.5609,60.0,0.026,0.0
