iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 11:05:30,0.0,9.9328,60.0,0.1655,0.0
1,15360,train,2026-05-24 11:06:00,0.0,0.0928,60.0,0.0015,0.0
2,30720,train,2026-05-24 11:06:32,0.0,0.1282,60.0,0.0021,0.0
3,46080,train,2026-05-24 11:07:03,0.0,0.0962,60.0,0.0016,0.0
4,61440,train,2026-05-24 11:07:33,0.0,0.165,60.0,0.0028,0.0
5,76800,train,2026-05-24 11:08:01,0.0,0.3054,60.0,0.0051,0.0
6,92160,train,2026-05-24 11:08:30,0.0,0.299,60.0,0.005,0.0
7,107520,train,2026-05-24 11:08:57,0.0,0.4687,60.0,0.0078,0.0
8,122880,train,2026-05-24 11:09:26,0.0,0.5424,60.0,0.009,0.0
9,138240,train,2026-05-24 11:09:52,0.0,0.5855,60.0,0.0098,0.0
10,153600,train,2026-05-24 11:10:19,0.0,1.0135,60.0,0.0169,0.0
11,168960,train,2026-05-24 11:10:46,0.0,0.9297,60.0,0.0155,0.0
12,184320,train,2026-05-24 11:11:13,0.0,1.2342,60.0,0.0206,0.0
13,199680,train,2026-05-24 11:11:41,0.0,1.2762,60.0,0.0213,0.0
14,215040,train,2026-05-24 11:12:09,0.0,1.3045,60.0,0.0217,0.0
15,230400,train,2026-05-24 11:12:38,0.0,1.4462,60.0,0.0241,0.0
16,245760,train,2026-05-24 11:13:06,0.0,1.6348,60.0,0.0272,0.0
17,261120,train,2026-05-24 11:13:34,0.0,1.564,60.0,0.0261,0.0
18,276480,train,2026-05-24 11:14:02,0.0,1.5227,60.0,0.0254,0.0
19,291840,train,2026-05-24 11:14:30,0.0,1.5767,60.0,0.0263,0.0
20,307200,train,2026-05-24 11:14:58,0.0039,1.8262,60.0,0.0304,0.0
21,322560,train,2026-05-24 11:15:25,0.0,1.7549,60.0,0.0292,0.0
22,337920,train,2026-05-24 11:15:52,0.0,1.6271,60.0,0.0271,0.0
23,353280,train,2026-05-24 11:16:18,0.0,1.6099,60.0,0.0268,0.0
24,368640,train,2026-05-24 11:16:45,0.0,1.7069,60.0,0.0284,0.0
25,384000,train,2026-05-24 11:17:13,0.0,1.7109,60.0,0.0285,0.0
26,399360,train,2026-05-24 11:17:41,0.0039,1.8388,60.0,0.0306,0.0
27,414720,train,2026-05-24 11:18:08,0.0,1.6266,60.0,0.0271,0.0
28,430080,train,2026-05-24 11:18:36,0.0,1.8988,60.0,0.0316,0.0
29,445440,train,2026-05-24 11:19:04,0.0078,1.775,60.0,0.0296,0.0
30,460800,train,2026-05-24 11:19:32,0.0039,1.7625,60.0,0.0294,0.0
31,476160,train,2026-05-24 11:19:59,0.0078,1.6945,60.0,0.0282,0.0
32,491520,train,2026-05-24 11:20:27,0.0039,1.5973,60.0,0.0266,0.0
33,506880,train,2026-05-24 11:20:54,0.0,1.5107,60.0,0.0252,0.0
34,522240,train,2026-05-24 11:21:21,0.0,1.6983,60.0,0.0283,0.0
35,537600,train,2026-05-24 11:21:49,0.0,1.7429,60.0,0.029,0.0
36,552960,train,2026-05-24 11:22:18,0.0,1.776,60.0,0.0296,0.0
37,568320,train,2026-05-24 11:22:45,0.0,1.5948,60.0,0.0266,0.0
38,583680,train,2026-05-24 11:23:13,0.0,1.6726,60.0,0.0279,0.0
39,599040,train,2026-05-24 11:23:40,0.0,1.7944,60.0,0.0299,0.0
40,614400,train,2026-05-24 11:24:08,0.0,1.8522,60.0,0.0309,0.0
41,629760,train,2026-05-24 11:24:34,0.0,1.5826,60.0,0.0264,0.0
42,645120,train,2026-05-24 11:25:01,0.0039,1.8462,60.0,0.0308,0.0
43,660480,train,2026-05-24 11:25:28,0.0,1.7707,60.0,0.0295,0.0
44,675840,train,2026-05-24 11:25:54,0.0,1.6775,60.0,0.028,0.0
45,691200,train,2026-05-24 11:26:21,0.0,1.6503,60.0,0.0275,0.0
46,706560,train,2026-05-24 11:26:47,0.0,1.6533,60.0,0.0276,0.0
47,721920,train,2026-05-24 11:27:14,0.0039,1.7055,60.0,0.0284,0.0
48,737280,train,2026-05-24 11:27:40,0.0,1.9632,60.0,0.0327,0.0
49,737280,eval,2026-05-24 11:29:12,0.1562,4.1855,60.0,0.0698,0.026
49,752640,train,2026-05-24 11:29:37,0.0039,1.7724,60.0,0.0295,0.0
50,768000,train,2026-05-24 11:30:04,0.0039,1.7003,60.0,0.0283,0.0
51,783360,train,2026-05-24 11:30:32,0.0,2.0025,60.0,0.0334,0.0
52,798720,train,2026-05-24 11:30:59,0.0,1.76,60.0,0.0293,0.0
53,814080,train,2026-05-24 11:31:26,0.0,1.8407,60.0,0.0307,0.0
54,829440,train,2026-05-24 11:31:53,0.0,1.69,60.0,0.0282,0.0
55,844800,train,2026-05-24 11:32:20,0.0,1.5738,60.0,0.0262,0.0
56,860160,train,2026-05-24 11:32:47,0.0039,1.7025,60.0,0.0284,0.0
57,875520,train,2026-05-24 11:33:15,0.0,1.7181,60.0,0.0286,0.0
58,890880,train,2026-05-24 11:33:42,0.0,1.5985,60.0,0.0266,0.0
59,906240,train,2026-05-24 11:34:10,0.0,1.5544,60.0,0.0259,0.0
60,921600,train,2026-05-24 11:34:37,0.0,1.6903,60.0,0.0282,0.0
61,936960,train,2026-05-24 11:35:04,0.0039,1.8613,60.0,0.031,0.0
62,952320,train,2026-05-24 11:35:31,0.0,1.6656,60.0,0.0278,0.0
63,967680,train,2026-05-24 11:35:58,0.0,1.5874,60.0,0.0265,0.0
64,983040,train,2026-05-24 11:36:25,0.0039,1.8176,60.0,0.0303,0.0
65,998400,train,2026-05-24 11:36:51,0.0,1.6627,60.0,0.0277,0.0
66,1013760,train,2026-05-24 11:37:17,0.0039,1.5336,60.0,0.0256,0.0039
67,1029120,train,2026-05-24 11:37:44,0.0039,1.7547,60.0,0.0292,0.0
68,1044480,train,2026-05-24 11:38:11,0.0039,1.7991,60.0,0.03,0.0
69,1059840,train,2026-05-24 11:38:37,0.0,1.4301,60.0,0.0238,0.0
70,1075200,train,2026-05-24 11:39:03,0.0039,1.6591,60.0,0.0277,0.0
71,1090560,train,2026-05-24 11:39:29,0.0,1.8361,60.0,0.0306,0.0
72,1105920,train,2026-05-24 11:39:55,0.0039,1.9679,60.0,0.0328,0.0
73,1121280,train,2026-05-24 11:40:21,0.0,1.8826,60.0,0.0314,0.0
74,1136640,train,2026-05-24 11:40:47,0.0039,1.7361,60.0,0.0289,0.0
75,1152000,train,2026-05-24 11:41:13,0.0,1.7812,60.0,0.0297,0.0
76,1167360,train,2026-05-24 11:41:40,0.0039,1.7645,60.0,0.0294,0.0
77,1182720,train,2026-05-24 11:42:07,0.0039,1.7356,60.0,0.0289,0.0
78,1198080,train,2026-05-24 11:42:34,0.0,1.7741,60.0,0.0296,0.0
79,1213440,train,2026-05-24 11:43:01,0.0,1.7918,60.0,0.0299,0.0
80,1228800,train,2026-05-24 11:43:28,0.0,1.9697,60.0,0.0328,0.0
81,1244160,train,2026-05-24 11:43:55,0.0,1.7903,60.0,0.0298,0.0
82,1259520,train,2026-05-24 11:44:21,0.0,2.0304,60.0,0.0338,0.0
83,1274880,train,2026-05-24 11:44:47,0.0,1.7965,60.0,0.0299,0.0
84,1290240,train,2026-05-24 11:45:14,0.0,2.1336,60.0,0.0356,0.0
85,1305600,train,2026-05-24 11:45:41,0.0039,1.9054,60.0,0.0318,0.0
86,1320960,train,2026-05-24 11:46:09,0.0,2.1627,60.0,0.036,0.0
87,1336320,train,2026-05-24 11:46:37,0.0,1.7497,60.0,0.0292,0.0
88,1351680,train,2026-05-24 11:47:04,0.0,1.8612,60.0,0.031,0.0
89,1367040,train,2026-05-24 11:47:32,0.0,1.628,60.0,0.0271,0.0
90,1382400,train,2026-05-24 11:48:00,0.0,1.717,60.0,0.0286,0.0
91,1397760,train,2026-05-24 11:48:28,0.0,1.8787,60.0,0.0313,0.0
92,1413120,train,2026-05-24 11:48:56,0.0,1.7642,60.0,0.0294,0.0
93,1428480,train,2026-05-24 11:49:24,0.0,1.7378,60.0,0.029,0.0
94,1443840,train,2026-05-24 11:49:52,0.0078,1.6859,60.0,0.0281,0.0
95,1459200,train,2026-05-24 11:50:20,0.0,1.7907,60.0,0.0298,0.0
96,1474560,train,2026-05-24 11:50:48,0.0039,1.7081,60.0,0.0285,0.0
97,1474560,eval,2026-05-24 11:52:22,0.1094,3.2003,60.0,0.0533,0.0104
97,1489920,train,2026-05-24 11:52:49,0.0039,1.7644,60.0,0.0294,0.0
98,1505280,train,2026-05-24 11:53:19,0.0,1.5854,60.0,0.0264,0.0
99,1520640,train,2026-05-24 11:53:47,0.0,1.8358,60.0,0.0306,0.0
100,1536000,train,2026-05-24 11:54:16,0.0,1.7267,60.0,0.0288,0.0
101,1551360,train,2026-05-24 11:54:43,0.0,1.6367,60.0,0.0273,0.0
102,1566720,train,2026-05-24 11:55:11,0.0,1.7495,60.0,0.0292,0.0
103,1582080,train,2026-05-24 11:55:39,0.0,1.7198,60.0,0.0287,0.0
104,1597440,train,2026-05-24 11:56:07,0.0,1.6744,60.0,0.0279,0.0
105,1612800,train,2026-05-24 11:56:34,0.0039,1.8797,60.0,0.0313,0.0
106,1628160,train,2026-05-24 11:57:01,0.0,1.7075,60.0,0.0285,0.0
107,1643520,train,2026-05-24 11:57:29,0.0,1.9695,60.0,0.0328,0.0
108,1658880,train,2026-05-24 11:57:56,0.0039,1.8115,60.0,0.0302,0.0
109,1674240,train,2026-05-24 11:58:24,0.0039,1.7309,60.0,0.0288,0.0
110,1689600,train,2026-05-24 11:58:51,0.0,1.6171,60.0,0.027,0.0
111,1704960,train,2026-05-24 11:59:18,0.0,1.8911,60.0,0.0315,0.0
112,1720320,train,2026-05-24 11:59:45,0.0,1.8392,60.0,0.0307,0.0
113,1735680,train,2026-05-24 12:00:12,0.0,1.9757,60.0,0.0329,0.0
114,1751040,train,2026-05-24 12:00:39,0.0,1.7831,60.0,0.0297,0.0
115,1766400,train,2026-05-24 12:01:06,0.0078,1.9623,60.0,0.0327,0.0
116,1781760,train,2026-05-24 12:01:33,0.0039,1.9933,60.0,0.0332,0.0
117,1797120,train,2026-05-24 12:02:00,0.0078,2.019,60.0,0.0337,0.0
118,1812480,train,2026-05-24 12:02:27,0.0,2.0232,60.0,0.0337,0.0
119,1827840,train,2026-05-24 12:02:54,0.0,2.0465,60.0,0.0341,0.0
120,1843200,train,2026-05-24 12:03:21,0.0039,2.1044,60.0,0.0351,0.0
121,1858560,train,2026-05-24 12:03:48,0.0,2.0224,60.0,0.0337,0.0
122,1873920,train,2026-05-24 12:04:15,0.0039,1.9794,60.0,0.033,0.0
123,1889280,train,2026-05-24 12:04:41,0.0078,2.0547,60.0,0.0342,0.0
124,1904640,train,2026-05-24 12:05:07,0.0078,1.6639,60.0,0.0277,0.0
125,1920000,train,2026-05-24 12:05:34,0.0078,2.2088,60.0,0.0368,0.0
126,1935360,train,2026-05-24 12:06:00,0.0039,1.9616,60.0,0.0327,0.0
127,1950720,train,2026-05-24 12:06:26,0.0078,2.1894,60.0,0.0365,0.0
128,1966080,train,2026-05-24 12:06:53,0.0039,2.1664,60.0,0.0361,0.0
129,1981440,train,2026-05-24 12:07:19,0.0,2.2053,60.0,0.0368,0.0
130,1996800,train,2026-05-24 12:07:45,0.0,2.0628,60.0,0.0344,0.0
131,2012160,train,2026-05-24 12:08:11,0.0,2.0114,60.0,0.0335,0.0
132,2027520,train,2026-05-24 12:08:38,0.0,1.8214,60.0,0.0304,0.0
133,2042880,train,2026-05-24 12:09:04,0.0039,2.0976,60.0,0.035,0.0
134,2058240,train,2026-05-24 12:09:30,0.0,2.1977,60.0,0.0366,0.0
135,2073600,train,2026-05-24 12:09:56,0.0039,2.0822,60.0,0.0347,0.0
136,2088960,train,2026-05-24 12:10:22,0.0,2.049,60.0,0.0341,0.0
137,2104320,train,2026-05-24 12:10:48,0.0,1.9363,60.0,0.0323,0.0
138,2119680,train,2026-05-24 12:11:14,0.0039,1.7226,60.0,0.0287,0.0
139,2135040,train,2026-05-24 12:11:40,0.0039,2.0156,60.0,0.0336,0.0
140,2150400,train,2026-05-24 12:12:06,0.0,2.0217,60.0,0.0337,0.0
141,2165760,train,2026-05-24 12:12:32,0.0,1.6413,60.0,0.0274,0.0
142,2181120,train,2026-05-24 12:12:57,0.0,2.0337,60.0,0.0339,0.0
143,2196480,train,2026-05-24 12:13:23,0.0,1.9319,60.0,0.0322,0.0
144,2211840,train,2026-05-24 12:13:49,0.0,1.8139,60.0,0.0302,0.0
145,2211840,eval,2026-05-24 12:15:24,0.1823,4.4638,60.0,0.0744,0.026
145,2227200,train,2026-05-24 12:15:49,0.0039,2.417,60.0,0.0403,0.0
146,2242560,train,2026-05-24 12:16:15,0.0039,2.179,60.0,0.0363,0.0
147,2257920,train,2026-05-24 12:16:41,0.0,2.0855,60.0,0.0348,0.0
148,2273280,train,2026-05-24 12:17:07,0.0078,2.3129,60.0,0.0385,0.0
149,2288640,train,2026-05-24 12:17:34,0.0,2.1044,60.0,0.0351,0.0
150,2304000,train,2026-05-24 12:17:59,0.0078,2.2776,60.0,0.038,0.0
151,2319360,train,2026-05-24 12:18:25,0.0,1.9045,60.0,0.0317,0.0
152,2334720,train,2026-05-24 12:18:51,0.0,2.1276,60.0,0.0355,0.0
153,2350080,train,2026-05-24 12:19:16,0.0039,2.0564,60.0,0.0343,0.0
154,2365440,train,2026-05-24 12:19:42,0.0039,2.0898,60.0,0.0348,0.0
155,2380800,train,2026-05-24 12:20:07,0.0,1.8092,60.0,0.0302,0.0
156,2396160,train,2026-05-24 12:20:33,0.0039,2.1883,60.0,0.0365,0.0
157,2411520,train,2026-05-24 12:20:58,0.0039,1.9549,60.0,0.0326,0.0
158,2426880,train,2026-05-24 12:21:24,0.0039,1.9522,60.0,0.0325,0.0
159,2442240,train,2026-05-24 12:21:50,0.0,2.0793,60.0,0.0347,0.0
160,2457600,train,2026-05-24 12:22:16,0.0039,2.0389,60.0,0.034,0.0
161,2472960,train,2026-05-24 12:22:41,0.0,1.9637,60.0,0.0327,0.0
162,2488320,train,2026-05-24 12:23:07,0.0,1.8136,60.0,0.0302,0.0
163,2503680,train,2026-05-24 12:23:32,0.0,2.182,60.0,0.0364,0.0
164,2519040,train,2026-05-24 12:23:59,0.0039,2.2732,60.0,0.0379,0.0
165,2534400,train,2026-05-24 12:24:25,0.0039,2.2413,60.0,0.0374,0.0
166,2549760,train,2026-05-24 12:24:51,0.0,2.3135,60.0,0.0386,0.0
167,2565120,train,2026-05-24 12:25:18,0.0039,2.0868,60.0,0.0348,0.0
168,2580480,train,2026-05-24 12:25:45,0.0039,2.172,60.0,0.0362,0.0
169,2595840,train,2026-05-24 12:26:12,0.0,1.9998,60.0,0.0333,0.0
170,2611200,train,2026-05-24 12:26:39,0.0,1.99,60.0,0.0332,0.0
171,2626560,train,2026-05-24 12:27:06,0.0078,1.9895,60.0,0.0332,0.0
172,2641920,train,2026-05-24 12:27:32,0.0,2.0427,60.0,0.034,0.0
173,2657280,train,2026-05-24 12:27:59,0.0039,2.2933,60.0,0.0382,0.0
174,2672640,train,2026-05-24 12:28:25,0.0039,2.1816,60.0,0.0364,0.0
175,2688000,train,2026-05-24 12:28:52,0.0,2.405,60.0,0.0401,0.0
176,2703360,train,2026-05-24 12:29:18,0.0078,1.9972,60.0,0.0333,0.0
177,2718720,train,2026-05-24 12:29:45,0.0,2.0324,60.0,0.0339,0.0
178,2734080,train,2026-05-24 12:30:12,0.0,1.8455,60.0,0.0308,0.0
179,2749440,train,2026-05-24 12:30:38,0.0039,1.8924,60.0,0.0315,0.0
180,2764800,train,2026-05-24 12:31:04,0.0039,2.2363,60.0,0.0373,0.0
181,2780160,train,2026-05-24 12:31:31,0.0039,2.2408,60.0,0.0373,0.0
182,2795520,train,2026-05-24 12:31:57,0.0,2.0134,60.0,0.0336,0.0
183,2810880,train,2026-05-24 12:32:23,0.0078,2.0751,60.0,0.0346,0.0
184,2826240,train,2026-05-24 12:32:49,0.0,2.1009,60.0,0.035,0.0
185,2841600,train,2026-05-24 12:33:14,0.0,1.6899,60.0,0.0282,0.0
186,2856960,train,2026-05-24 12:33:40,0.0078,1.7238,60.0,0.0287,0.0
187,2872320,train,2026-05-24 12:34:06,0.0,1.6753,60.0,0.0279,0.0
188,2887680,train,2026-05-24 12:34:31,0.0,1.8268,60.0,0.0304,0.0
189,2903040,train,2026-05-24 12:34:57,0.0078,1.8465,60.0,0.0308,0.0
190,2918400,train,2026-05-24 12:35:22,0.0117,1.77,60.0,0.0295,0.0
191,2933760,train,2026-05-24 12:35:48,0.0117,1.9683,60.0,0.0328,0.0
192,2949120,train,2026-05-24 12:36:13,0.0,1.9474,60.0,0.0325,0.0
193,2949120,eval,2026-05-24 12:37:46,0.1302,3.867,60.0,0.0644,0.0104
193,2964480,train,2026-05-24 12:38:11,0.0,1.9318,60.0,0.0322,0.0
194,2979840,train,2026-05-24 12:38:37,0.0,1.8976,60.0,0.0316,0.0
195,2995200,train,2026-05-24 12:39:03,0.0,1.9215,60.0,0.032,0.0
196,3010560,train,2026-05-24 12:39:29,0.0,1.6972,60.0,0.0283,0.0
197,3025920,train,2026-05-24 12:39:54,0.0,1.9325,60.0,0.0322,0.0
198,3041280,train,2026-05-24 12:40:21,0.0039,1.9601,60.0,0.0327,0.0
199,3056640,train,2026-05-24 12:40:47,0.0039,1.9177,60.0,0.032,0.0
200,3072000,train,2026-05-24 12:41:13,0.0117,2.0718,60.0,0.0345,0.0
201,3087360,train,2026-05-24 12:41:40,0.0039,1.9812,60.0,0.033,0.0
202,3102720,train,2026-05-24 12:42:08,0.0078,2.351,60.0,0.0392,0.0
203,3118080,train,2026-05-24 12:42:35,0.0117,2.0365,60.0,0.0339,0.0
204,3133440,train,2026-05-24 12:43:02,0.0,2.1644,60.0,0.0361,0.0
205,3148800,train,2026-05-24 12:43:29,0.0039,2.2013,60.0,0.0367,0.0
206,3164160,train,2026-05-24 12:43:55,0.0078,2.1554,60.0,0.0359,0.0
207,3179520,train,2026-05-24 12:44:22,0.0039,2.1534,60.0,0.0359,0.0
208,3194880,train,2026-05-24 12:44:49,0.0078,2.0504,60.0,0.0342,0.0
209,3210240,train,2026-05-24 12:45:17,0.0039,2.0921,60.0,0.0349,0.0
210,3225600,train,2026-05-24 12:45:44,0.0039,2.2773,60.0,0.038,0.0
211,3240960,train,2026-05-24 12:46:11,0.0078,2.1539,60.0,0.0359,0.0
212,3256320,train,2026-05-24 12:46:38,0.0,2.3109,60.0,0.0385,0.0
213,3271680,train,2026-05-24 12:47:06,0.0,2.1436,60.0,0.0357,0.0
214,3287040,train,2026-05-24 12:47:33,0.0039,2.262,60.0,0.0377,0.0
215,3302400,train,2026-05-24 12:48:01,0.0039,2.0095,60.0,0.0335,0.0
216,3317760,train,2026-05-24 12:48:29,0.0,1.9661,60.0,0.0328,0.0
217,3333120,train,2026-05-24 12:48:57,0.0039,2.1323,60.0,0.0355,0.0
218,3348480,train,2026-05-24 12:49:23,0.0039,2.1516,60.0,0.0359,0.0
219,3363840,train,2026-05-24 12:49:51,0.0039,2.2217,60.0,0.037,0.0
220,3379200,train,2026-05-24 12:50:18,0.0039,2.2206,60.0,0.037,0.0
221,3394560,train,2026-05-24 12:50:47,0.0039,2.5369,60.0,0.0423,0.0
222,3409920,train,2026-05-24 12:51:15,0.0,2.3143,60.0,0.0386,0.0
223,3425280,train,2026-05-24 12:51:42,0.0078,2.2332,60.0,0.0372,0.0
224,3440640,train,2026-05-24 12:52:11,0.0039,2.2023,60.0,0.0367,0.0
225,3456000,train,2026-05-24 12:52:39,0.0,2.2336,60.0,0.0372,0.0
226,3471360,train,2026-05-24 12:53:08,0.0039,2.2958,60.0,0.0383,0.0
227,3486720,train,2026-05-24 12:53:35,0.0,1.9594,60.0,0.0327,0.0
228,3502080,train,2026-05-24 12:54:02,0.0078,2.1882,60.0,0.0365,0.0
229,3517440,train,2026-05-24 12:54:29,0.0,2.0765,60.0,0.0346,0.0
230,3532800,train,2026-05-24 12:54:57,0.0078,2.121,60.0,0.0353,0.0
231,3548160,train,2026-05-24 12:55:25,0.0,2.4204,60.0,0.0403,0.0
232,3563520,train,2026-05-24 12:55:52,0.0039,2.1668,60.0,0.0361,0.0
233,3578880,train,2026-05-24 12:56:19,0.0117,2.134,60.0,0.0356,0.0
234,3594240,train,2026-05-24 12:56:47,0.0078,2.1598,60.0,0.036,0.0
235,3609600,train,2026-05-24 12:57:14,0.0,1.9569,60.0,0.0326,0.0
236,3624960,train,2026-05-24 12:57:42,0.0039,2.3787,60.0,0.0396,0.0
237,3640320,train,2026-05-24 12:58:08,0.0078,2.1433,60.0,0.0357,0.0
238,3655680,train,2026-05-24 12:58:36,0.0156,2.0821,60.0,0.0347,0.0
239,3671040,train,2026-05-24 12:59:02,0.0,2.0137,60.0,0.0336,0.0
240,3686400,train,2026-05-24 12:59:29,0.0078,2.2934,60.0,0.0382,0.0
241,3686400,eval,2026-05-24 13:01:04,0.1615,4.6392,60.0,0.0773,0.0417
241,3701760,train,2026-05-24 13:01:30,0.0,2.0013,60.0,0.0334,0.0
242,3717120,train,2026-05-24 13:01:57,0.0117,1.9475,60.0,0.0325,0.0
243,3732480,train,2026-05-24 13:02:24,0.0,2.1854,60.0,0.0364,0.0
244,3747840,train,2026-05-24 13:02:50,0.0,2.1158,60.0,0.0353,0.0
245,3763200,train,2026-05-24 13:03:16,0.0078,2.1538,60.0,0.0359,0.0
246,3778560,train,2026-05-24 13:03:43,0.0117,2.3762,60.0,0.0396,0.0
247,3793920,train,2026-05-24 13:04:10,0.0039,2.4256,60.0,0.0404,0.0
248,3809280,train,2026-05-24 13:04:36,0.0078,2.2493,60.0,0.0375,0.0
249,3824640,train,2026-05-24 13:05:03,0.0039,2.3634,60.0,0.0394,0.0
250,3840000,train,2026-05-24 13:05:30,0.0039,2.4242,60.0,0.0404,0.0
251,3855360,train,2026-05-24 13:05:56,0.0078,2.3075,60.0,0.0385,0.0
252,3870720,train,2026-05-24 13:06:22,0.0039,2.2263,60.0,0.0371,0.0
253,3886080,train,2026-05-24 13:06:49,0.0,1.8411,60.0,0.0307,0.0
254,3901440,train,2026-05-24 13:07:15,0.0039,2.3946,60.0,0.0399,0.0
255,3916800,train,2026-05-24 13:07:41,0.0039,2.1043,60.0,0.0351,0.0039
256,3932160,train,2026-05-24 13:08:08,0.0,2.2835,60.0,0.0381,0.0
257,3947520,train,2026-05-24 13:08:35,0.0,2.3037,60.0,0.0384,0.0
258,3962880,train,2026-05-24 13:09:06,0.0039,1.9268,60.0,0.0321,0.0
259,3978240,train,2026-05-24 13:09:33,0.0,2.07,60.0,0.0345,0.0
260,3993600,train,2026-05-24 13:10:00,0.0039,2.1418,60.0,0.0357,0.0
261,4008960,train,2026-05-24 13:10:27,0.0,2.2001,60.0,0.0367,0.0
262,4024320,train,2026-05-24 13:10:55,0.0117,2.3596,60.0,0.0393,0.0039
263,4039680,train,2026-05-24 13:11:22,0.0039,2.2649,60.0,0.0377,0.0
264,4055040,train,2026-05-24 13:11:49,0.0039,2.3822,60.0,0.0397,0.0
265,4070400,train,2026-05-24 13:12:16,0.0,2.2755,60.0,0.0379,0.0
266,4085760,train,2026-05-24 13:12:44,0.0078,2.0989,60.0,0.035,0.0
267,4101120,train,2026-05-24 13:13:11,0.0,2.2233,60.0,0.0371,0.0
268,4116480,train,2026-05-24 13:13:39,0.0039,2.3118,60.0,0.0385,0.0
269,4131840,train,2026-05-24 13:14:06,0.0078,2.1092,60.0,0.0352,0.0
