iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-15 12:24:44,0.0,9.8921,60.0,0.1649,0.0
1,15360,train,2026-07-15 12:25:33,0.0,0.1135,60.0,0.0019,0.0
2,30720,train,2026-07-15 12:26:24,0.0,0.1863,60.0,0.0031,0.0
3,46080,train,2026-07-15 12:27:16,0.0,0.2617,60.0,0.0044,0.0
4,61440,train,2026-07-15 12:28:07,0.0,0.417,60.0,0.007,0.0
5,76800,train,2026-07-15 12:28:59,0.0,0.5323,60.0,0.0089,0.0
6,92160,train,2026-07-15 12:29:52,0.0,0.9596,60.0,0.016,0.0
7,107520,train,2026-07-15 12:30:45,0.0,1.6474,60.0,0.0275,0.0
8,122880,train,2026-07-15 12:31:37,0.0039,1.7492,60.0,0.0292,0.0
9,138240,train,2026-07-15 12:32:29,0.0039,2.5223,60.0,0.042,0.0
10,153600,train,2026-07-15 12:33:21,0.0,2.9222,60.0,0.0487,0.0
11,168960,train,2026-07-15 12:34:14,0.0039,3.1773,60.0,0.053,0.0
12,184320,train,2026-07-15 12:35:06,0.0,3.2245,60.0,0.0537,0.0
13,199680,train,2026-07-15 12:35:58,0.0078,3.3122,60.0,0.0552,0.0
14,215040,train,2026-07-15 12:36:51,0.0039,3.4144,60.0,0.0569,0.0
15,230400,train,2026-07-15 12:37:43,0.0039,3.6048,60.0,0.0601,0.0
16,245760,train,2026-07-15 12:38:36,0.0078,3.6126,60.0,0.0602,0.0
17,261120,train,2026-07-15 12:39:29,0.0078,3.5462,60.0,0.0591,0.0
18,276480,train,2026-07-15 12:40:21,0.0,3.6482,60.0,0.0608,0.0
19,291840,train,2026-07-15 12:41:13,0.0117,3.8994,60.0,0.065,0.0
20,307200,train,2026-07-15 12:42:06,0.0,3.9116,60.0,0.0652,0.0
21,322560,train,2026-07-15 12:42:58,0.0,3.8389,60.0,0.064,0.0
22,337920,train,2026-07-15 12:43:50,0.0,3.4954,60.0,0.0583,0.0
23,353280,train,2026-07-15 12:44:42,0.0078,3.8,60.0,0.0633,0.0
24,368640,train,2026-07-15 12:45:35,0.0,3.9371,60.0,0.0656,0.0
25,368640,eval,2026-07-15 12:47:41,0.1719,10.2628,60.0,0.171,0.0469
25,384000,train,2026-07-15 12:48:32,0.0039,3.569,60.0,0.0595,0.0039
26,399360,train,2026-07-15 12:49:24,0.0039,3.8188,60.0,0.0636,0.0
27,414720,train,2026-07-15 12:50:17,0.0039,3.9636,60.0,0.0661,0.0
28,430080,train,2026-07-15 12:51:09,0.0,3.6812,60.0,0.0614,0.0
29,445440,train,2026-07-15 12:52:03,0.0039,3.8002,60.0,0.0633,0.0
30,460800,train,2026-07-15 12:52:56,0.0039,3.7412,60.0,0.0624,0.0
31,476160,train,2026-07-15 12:53:49,0.0039,3.9442,60.0,0.0657,0.0
32,491520,train,2026-07-15 12:54:41,0.0039,3.838,60.0,0.064,0.0
33,506880,train,2026-07-15 12:55:34,0.0039,4.0505,60.0,0.0675,0.0
34,522240,train,2026-07-15 12:56:26,0.0039,3.8822,60.0,0.0647,0.0
35,537600,train,2026-07-15 12:57:19,0.0039,3.7808,60.0,0.063,0.0
36,552960,train,2026-07-15 12:58:11,0.0078,3.9244,60.0,0.0654,0.0
37,568320,train,2026-07-15 12:59:04,0.0039,3.8753,60.0,0.0646,0.0
38,583680,train,2026-07-15 12:59:56,0.0,3.7172,60.0,0.062,0.0
39,599040,train,2026-07-15 13:00:49,0.0039,3.9124,60.0,0.0652,0.0
40,614400,train,2026-07-15 13:01:42,0.0039,3.9024,60.0,0.065,0.0
41,629760,train,2026-07-15 13:02:35,0.0,3.7423,60.0,0.0624,0.0
42,645120,train,2026-07-15 13:03:28,0.0078,3.9857,60.0,0.0664,0.0
43,660480,train,2026-07-15 13:04:20,0.0,3.8885,60.0,0.0648,0.0
44,675840,train,2026-07-15 13:05:13,0.0039,3.6915,60.0,0.0615,0.0
45,691200,train,2026-07-15 13:06:05,0.0078,3.884,60.0,0.0647,0.0
46,706560,train,2026-07-15 13:06:58,0.0,3.8563,60.0,0.0643,0.0
47,721920,train,2026-07-15 13:07:51,0.0078,4.0799,60.0,0.068,0.0
48,737280,train,2026-07-15 13:08:43,0.0039,4.1199,60.0,0.0687,0.0
49,737280,eval,2026-07-15 13:10:49,0.2083,11.1398,60.0,0.1857,0.0469
49,752640,train,2026-07-15 13:11:40,0.0,3.9944,60.0,0.0666,0.0
50,768000,train,2026-07-15 13:12:32,0.0,3.9388,60.0,0.0656,0.0
51,783360,train,2026-07-15 13:13:25,0.0039,3.9811,60.0,0.0664,0.0
52,798720,train,2026-07-15 13:14:17,0.0039,3.9969,60.0,0.0666,0.0
53,814080,train,2026-07-15 13:15:10,0.0,3.9124,60.0,0.0652,0.0
54,829440,train,2026-07-15 13:16:04,0.0039,4.2317,60.0,0.0705,0.0
55,844800,train,2026-07-15 13:16:56,0.0,4.0998,60.0,0.0683,0.0
56,860160,train,2026-07-15 13:17:48,0.0078,4.0517,60.0,0.0675,0.0
57,875520,train,2026-07-15 13:18:41,0.0156,3.9508,60.0,0.0658,0.0
58,890880,train,2026-07-15 13:19:33,0.0,4.0363,60.0,0.0673,0.0
59,906240,train,2026-07-15 13:20:26,0.0,4.0541,60.0,0.0676,0.0
60,921600,train,2026-07-15 13:21:18,0.0,4.0132,60.0,0.0669,0.0
61,936960,train,2026-07-15 13:22:10,0.0,3.9303,60.0,0.0655,0.0
62,952320,train,2026-07-15 13:23:02,0.0078,3.7919,60.0,0.0632,0.0
63,967680,train,2026-07-15 13:23:55,0.0039,3.9664,60.0,0.0661,0.0
64,983040,train,2026-07-15 13:24:48,0.0,3.9217,60.0,0.0654,0.0
65,998400,train,2026-07-15 13:25:41,0.0078,4.1358,60.0,0.0689,0.0
66,1013760,train,2026-07-15 13:26:33,0.0,4.011,60.0,0.0668,0.0
67,1029120,train,2026-07-15 13:27:26,0.0039,4.1313,60.0,0.0689,0.0
68,1044480,train,2026-07-15 13:28:19,0.0039,3.8355,60.0,0.0639,0.0
69,1059840,train,2026-07-15 13:29:12,0.0078,3.8418,60.0,0.064,0.0
70,1075200,train,2026-07-15 13:30:04,0.0078,3.9518,60.0,0.0659,0.0
71,1090560,train,2026-07-15 13:30:57,0.0,4.0331,60.0,0.0672,0.0
72,1105920,train,2026-07-15 13:31:49,0.0039,4.0683,60.0,0.0678,0.0
