iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-04 03:41:08,0.0,9.7856,60.0,0.1631,0.0
1,15360,train,2026-07-04 03:41:28,0.0,0.0737,60.0,0.0012,0.0
2,30720,train,2026-07-04 03:42:24,0.0,0.0877,60.0,0.0015,0.0
3,46080,train,2026-07-04 03:43:20,0.0,0.1119,60.0,0.0019,0.0
4,61440,train,2026-07-04 03:44:15,0.0,0.1458,60.0,0.0024,0.0
5,76800,train,2026-07-04 03:45:12,0.0,0.2417,60.0,0.004,0.0
6,92160,train,2026-07-04 03:46:08,0.0,0.2908,60.0,0.0048,0.0
7,107520,train,2026-07-04 03:47:04,0.0,0.4164,60.0,0.0069,0.0
8,122880,train,2026-07-04 03:48:01,0.0,0.5087,60.0,0.0085,0.0
9,138240,train,2026-07-04 03:48:57,0.0,0.6242,60.0,0.0104,0.0
10,153600,train,2026-07-04 03:49:54,0.0,0.7636,60.0,0.0127,0.0
11,168960,train,2026-07-04 03:50:51,0.0,0.9962,60.0,0.0166,0.0
12,184320,train,2026-07-04 03:51:47,0.0039,1.3005,60.0,0.0217,0.0
13,199680,train,2026-07-04 03:52:44,0.0,1.3022,60.0,0.0217,0.0
14,215040,train,2026-07-04 03:53:41,0.0039,1.4266,60.0,0.0238,0.0
15,230400,train,2026-07-04 03:54:38,0.0,1.2511,60.0,0.0209,0.0
16,245760,train,2026-07-04 03:55:34,0.0039,1.5659,60.0,0.0261,0.0
17,261120,train,2026-07-04 03:56:31,0.0,1.4285,60.0,0.0238,0.0
18,276480,train,2026-07-04 03:57:28,0.0039,1.3835,60.0,0.0231,0.0
19,291840,train,2026-07-04 03:58:25,0.0,1.688,60.0,0.0281,0.0
20,307200,train,2026-07-04 03:59:21,0.0039,1.3715,60.0,0.0229,0.0
21,322560,train,2026-07-04 04:00:18,0.0,1.2943,60.0,0.0216,0.0
22,337920,train,2026-07-04 04:01:15,0.0039,1.4367,60.0,0.0239,0.0
23,353280,train,2026-07-04 04:02:12,0.0039,1.3285,60.0,0.0221,0.0
24,368640,train,2026-07-04 04:03:09,0.0,1.2873,60.0,0.0215,0.0
25,368640,eval,2026-07-04 04:05:13,0.026,4.589,60.0,0.0765,0.0
25,384000,train,2026-07-04 04:05:34,0.0039,1.3619,60.0,0.0227,0.0039
26,399360,train,2026-07-04 04:06:30,0.0,1.1788,60.0,0.0196,0.0
27,414720,train,2026-07-04 04:07:27,0.0039,1.3677,60.0,0.0228,0.0
28,430080,train,2026-07-04 04:08:24,0.0,1.2953,60.0,0.0216,0.0
29,445440,train,2026-07-04 04:09:20,0.0039,1.1567,60.0,0.0193,0.0
30,460800,train,2026-07-04 04:10:17,0.0039,1.4771,60.0,0.0246,0.0
31,476160,train,2026-07-04 04:11:14,0.0039,1.3062,60.0,0.0218,0.0
32,491520,train,2026-07-04 04:12:11,0.0078,1.5484,60.0,0.0258,0.0
33,506880,train,2026-07-04 04:13:08,0.0039,1.4324,60.0,0.0239,0.0
34,522240,train,2026-07-04 04:14:08,0.0,1.3738,60.0,0.0229,0.0
35,537600,train,2026-07-04 04:15:04,0.0039,1.3545,60.0,0.0226,0.0
36,552960,train,2026-07-04 04:16:01,0.0039,1.7145,60.0,0.0286,0.0
37,568320,train,2026-07-04 04:16:58,0.0039,1.2643,60.0,0.0211,0.0
38,583680,train,2026-07-04 04:17:55,0.0,1.4877,60.0,0.0248,0.0
39,599040,train,2026-07-04 04:18:52,0.0,1.6591,60.0,0.0277,0.0
40,614400,train,2026-07-04 04:19:48,0.0,1.4379,60.0,0.024,0.0
41,629760,train,2026-07-04 04:20:45,0.0039,1.5232,60.0,0.0254,0.0
42,645120,train,2026-07-04 04:21:42,0.0,1.2143,60.0,0.0202,0.0
43,660480,train,2026-07-04 04:22:39,0.0,1.2545,60.0,0.0209,0.0
44,675840,train,2026-07-04 04:23:36,0.0039,1.1164,60.0,0.0186,0.0
45,691200,train,2026-07-04 04:24:33,0.0039,1.3889,60.0,0.0231,0.0
46,706560,train,2026-07-04 04:25:29,0.0,1.1985,60.0,0.02,0.0
47,721920,train,2026-07-04 04:26:26,0.0,1.3654,60.0,0.0228,0.0
48,737280,train,2026-07-04 04:27:23,0.0078,1.3016,60.0,0.0217,0.0
49,737280,eval,2026-07-04 04:29:31,0.1927,7.0662,60.0,0.1178,0.0729
49,752640,train,2026-07-04 04:29:52,0.0078,1.3518,60.0,0.0225,0.0
50,768000,train,2026-07-04 04:30:48,0.0,1.4907,60.0,0.0248,0.0
51,783360,train,2026-07-04 04:31:45,0.0,1.58,60.0,0.0263,0.0
52,798720,train,2026-07-04 04:32:41,0.0,1.3097,60.0,0.0218,0.0
53,814080,train,2026-07-04 04:33:38,0.0039,1.3384,60.0,0.0223,0.0
54,829440,train,2026-07-04 04:34:35,0.0039,1.5395,60.0,0.0257,0.0
55,844800,train,2026-07-04 04:35:31,0.0039,1.6166,60.0,0.0269,0.0
