iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-30 23:02:54,0.0,9.6998,60.0,0.1617,0.0
1,15360,train,2026-05-30 23:03:15,0.0,0.0732,60.0,0.0012,0.0
2,30720,train,2026-05-30 23:03:47,0.0,0.1027,60.0,0.0017,0.0
3,46080,train,2026-05-30 23:04:21,0.0,0.1065,60.0,0.0018,0.0
4,61440,train,2026-05-30 23:04:54,0.0,0.1832,60.0,0.0031,0.0
5,76800,train,2026-05-30 23:05:28,0.0,0.2547,60.0,0.0042,0.0
6,92160,train,2026-05-30 23:06:01,0.0,0.378,60.0,0.0063,0.0
7,107520,train,2026-05-30 23:06:35,0.0,0.568,60.0,0.0095,0.0
8,122880,train,2026-05-30 23:07:09,0.0,0.6811,60.0,0.0114,0.0
9,138240,train,2026-05-30 23:07:43,0.0039,0.7655,60.0,0.0128,0.0
10,153600,train,2026-05-30 23:08:17,0.0,0.9416,60.0,0.0157,0.0
11,168960,train,2026-05-30 23:08:51,0.0039,1.0345,60.0,0.0172,0.0
12,184320,train,2026-05-30 23:09:25,0.0,1.2603,60.0,0.021,0.0
13,199680,train,2026-05-30 23:09:59,0.0,1.3502,60.0,0.0225,0.0
14,215040,train,2026-05-30 23:10:33,0.0,1.2877,60.0,0.0215,0.0
15,230400,train,2026-05-30 23:11:08,0.0,1.3914,60.0,0.0232,0.0
16,245760,train,2026-05-30 23:11:41,0.0,1.4165,60.0,0.0236,0.0
17,261120,train,2026-05-30 23:12:15,0.0,1.322,60.0,0.022,0.0
18,276480,train,2026-05-30 23:12:49,0.0,1.2036,60.0,0.0201,0.0
19,291840,train,2026-05-30 23:13:23,0.0,1.0527,60.0,0.0175,0.0
20,307200,train,2026-05-30 23:13:57,0.0039,1.0636,60.0,0.0177,0.0
21,322560,train,2026-05-30 23:14:31,0.0,0.9681,60.0,0.0161,0.0
22,337920,train,2026-05-30 23:15:05,0.0039,1.6091,60.0,0.0268,0.0
23,353280,train,2026-05-30 23:15:39,0.0,1.4001,60.0,0.0233,0.0
24,368640,train,2026-05-30 23:16:13,0.0,1.2639,60.0,0.0211,0.0
25,384000,train,2026-05-30 23:16:47,0.0,1.5457,60.0,0.0258,0.0
26,399360,train,2026-05-30 23:17:21,0.0039,1.5006,60.0,0.025,0.0
27,414720,train,2026-05-30 23:17:55,0.0,1.2865,60.0,0.0214,0.0
28,430080,train,2026-05-30 23:18:29,0.0039,1.3739,60.0,0.0229,0.0
29,445440,train,2026-05-30 23:19:03,0.0,1.1214,60.0,0.0187,0.0
30,460800,train,2026-05-30 23:19:37,0.0,1.5021,60.0,0.025,0.0
31,476160,train,2026-05-30 23:20:11,0.0039,1.2883,60.0,0.0215,0.0
32,491520,train,2026-05-30 23:20:45,0.0,1.4585,60.0,0.0243,0.0
33,506880,train,2026-05-30 23:21:19,0.0078,1.1314,60.0,0.0189,0.0
