iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-02 04:09:39,0.0,9.763,60.0,0.1627,0.0
1,15360,train,2026-06-02 04:10:00,0.0,0.0748,60.0,0.0012,0.0
2,30720,train,2026-06-02 04:10:33,0.0,0.1153,60.0,0.0019,0.0
3,46080,train,2026-06-02 04:11:05,0.0,0.1555,60.0,0.0026,0.0
4,61440,train,2026-06-02 04:11:38,0.0,0.2007,60.0,0.0033,0.0
5,76800,train,2026-06-02 04:12:11,0.0,0.3298,60.0,0.0055,0.0
6,92160,train,2026-06-02 04:12:44,0.0,0.3776,60.0,0.0063,0.0
7,107520,train,2026-06-02 04:13:17,0.0,0.532,60.0,0.0089,0.0
8,122880,train,2026-06-02 04:13:50,0.0,0.5537,60.0,0.0092,0.0
9,138240,train,2026-06-02 04:14:24,0.0,0.7965,60.0,0.0133,0.0
10,153600,train,2026-06-02 04:14:57,0.0,0.8091,60.0,0.0135,0.0
11,168960,train,2026-06-02 04:15:30,0.0,1.0635,60.0,0.0177,0.0
12,184320,train,2026-06-02 04:16:03,0.0,1.1753,60.0,0.0196,0.0
13,199680,train,2026-06-02 04:16:36,0.0,1.4722,60.0,0.0245,0.0
14,215040,train,2026-06-02 04:17:09,0.0,1.489,60.0,0.0248,0.0
15,230400,train,2026-06-02 04:17:42,0.0,1.3622,60.0,0.0227,0.0
16,245760,train,2026-06-02 04:18:15,0.0,1.7232,60.0,0.0287,0.0
17,261120,train,2026-06-02 04:18:48,0.0,1.6415,60.0,0.0274,0.0
18,276480,train,2026-06-02 04:19:22,0.0,1.499,60.0,0.025,0.0
19,291840,train,2026-06-02 04:19:55,0.0,1.8411,60.0,0.0307,0.0
20,307200,train,2026-06-02 04:20:28,0.0,1.4859,60.0,0.0248,0.0
21,322560,train,2026-06-02 04:21:01,0.0039,1.4052,60.0,0.0234,0.0
22,337920,train,2026-06-02 04:21:34,0.0039,1.5132,60.0,0.0252,0.0
23,353280,train,2026-06-02 04:22:07,0.0,1.4687,60.0,0.0245,0.0
24,368640,train,2026-06-02 04:22:40,0.0,1.542,60.0,0.0257,0.0
25,384000,train,2026-06-02 04:23:14,0.0,1.5592,60.0,0.026,0.0
26,399360,train,2026-06-02 04:23:47,0.0117,1.926,60.0,0.0321,0.0
27,414720,train,2026-06-02 04:24:20,0.0,1.8468,60.0,0.0308,0.0
