iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-15 10:57:55,0.0,9.9678,60.0,0.1661,0.0
1,15360,train,2026-05-15 10:58:31,0.0,0.0747,60.0,0.0012,0.0
2,30720,train,2026-05-15 10:59:09,0.0,0.109,60.0,0.0018,0.0
3,46080,train,2026-05-15 10:59:46,0.0,0.1625,60.0,0.0027,0.0
4,61440,train,2026-05-15 11:00:22,0.0,0.2406,60.0,0.004,0.0
5,76800,train,2026-05-15 11:00:58,0.0,0.3799,60.0,0.0063,0.0
6,92160,train,2026-05-15 11:01:34,0.0,0.4451,60.0,0.0074,0.0
7,107520,train,2026-05-15 11:02:09,0.0,0.5905,60.0,0.0098,0.0
8,122880,train,2026-05-15 11:02:45,0.0,0.567,60.0,0.0095,0.0
9,138240,train,2026-05-15 11:03:20,0.0,0.7294,60.0,0.0122,0.0
10,153600,train,2026-05-15 11:03:56,0.0,0.7819,60.0,0.013,0.0
11,168960,train,2026-05-15 11:04:31,0.0,1.0203,60.0,0.017,0.0
12,184320,train,2026-05-15 11:05:06,0.0,1.2024,60.0,0.02,0.0
13,199680,train,2026-05-15 11:05:41,0.0,1.1865,60.0,0.0198,0.0
14,215040,train,2026-05-15 11:06:15,0.0,1.3429,60.0,0.0224,0.0
15,230400,train,2026-05-15 11:06:50,0.0,1.256,60.0,0.0209,0.0
16,245760,train,2026-05-15 11:07:25,0.0,1.423,60.0,0.0237,0.0
17,261120,train,2026-05-15 11:08:00,0.0,1.25,60.0,0.0208,0.0
18,276480,train,2026-05-15 11:08:35,0.0,1.2421,60.0,0.0207,0.0
19,291840,train,2026-05-15 11:09:10,0.0,1.4321,60.0,0.0239,0.0
20,307200,train,2026-05-15 11:09:45,0.0,1.2196,60.0,0.0203,0.0
21,322560,train,2026-05-15 11:10:19,0.0,1.2725,60.0,0.0212,0.0
22,337920,train,2026-05-15 11:10:54,0.0,1.3848,60.0,0.0231,0.0
23,353280,train,2026-05-15 11:11:28,0.0039,1.3815,60.0,0.023,0.0
24,368640,train,2026-05-15 11:12:03,0.0,1.4071,60.0,0.0235,0.0
25,384000,train,2026-05-15 11:12:37,0.0,1.5076,60.0,0.0251,0.0
26,399360,train,2026-05-15 11:13:11,0.0,1.4001,60.0,0.0233,0.0
27,414720,train,2026-05-15 11:13:46,0.0039,1.5893,60.0,0.0265,0.0
