iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 15:26:29,0.0,9.9172,60.0,0.1653,0.0
1,15360,train,2026-05-16 15:27:26,0.0,0.0774,60.0,0.0013,0.0
2,30720,train,2026-05-16 15:28:25,0.0,0.1145,60.0,0.0019,0.0
3,46080,train,2026-05-16 15:29:23,0.0,0.1886,60.0,0.0031,0.0
4,61440,train,2026-05-16 15:30:22,0.0,0.2555,60.0,0.0043,0.0
5,76800,train,2026-05-16 15:31:21,0.0,0.4227,60.0,0.007,0.0
6,92160,train,2026-05-16 15:32:20,0.0,0.5889,60.0,0.0098,0.0
7,107520,train,2026-05-16 15:33:18,0.0,0.8117,60.0,0.0135,0.0
8,122880,train,2026-05-16 15:34:15,0.0,0.7674,60.0,0.0128,0.0
9,138240,train,2026-05-16 15:35:12,0.0,0.7934,60.0,0.0132,0.0
10,153600,train,2026-05-16 15:36:09,0.0,0.9051,60.0,0.0151,0.0
11,168960,train,2026-05-16 15:37:06,0.0,0.8899,60.0,0.0148,0.0
12,184320,train,2026-05-16 15:38:02,0.0,1.0492,60.0,0.0175,0.0
13,199680,train,2026-05-16 15:38:58,0.0,0.7956,60.0,0.0133,0.0
14,215040,train,2026-05-16 15:39:55,0.0,0.9146,60.0,0.0152,0.0
15,230400,train,2026-05-16 15:40:51,0.0,0.8734,60.0,0.0146,0.0
16,245760,train,2026-05-16 15:41:49,0.0,0.8899,60.0,0.0148,0.0
17,261120,train,2026-05-16 15:42:46,0.0039,0.9524,60.0,0.0159,0.0
18,276480,train,2026-05-16 15:43:43,0.0,0.9525,60.0,0.0159,0.0
19,291840,train,2026-05-16 15:44:40,0.0,1.0273,60.0,0.0171,0.0
20,307200,train,2026-05-16 15:45:37,0.0,1.0783,60.0,0.018,0.0
21,322560,train,2026-05-16 15:46:34,0.0,1.0552,60.0,0.0176,0.0
22,337920,train,2026-05-16 15:47:31,0.0,1.0896,60.0,0.0182,0.0
23,353280,train,2026-05-16 15:48:27,0.0,1.2488,60.0,0.0208,0.0
24,368640,train,2026-05-16 15:49:24,0.0,1.0804,60.0,0.018,0.0
25,384000,train,2026-05-16 15:50:21,0.0,1.1304,60.0,0.0188,0.0
26,399360,train,2026-05-16 15:51:19,0.0,1.0269,60.0,0.0171,0.0
27,414720,train,2026-05-16 15:52:16,0.0,1.1035,60.0,0.0184,0.0
28,430080,train,2026-05-16 15:53:14,0.0,1.1111,60.0,0.0185,0.0
29,445440,train,2026-05-16 15:54:11,0.0,0.9682,60.0,0.0161,0.0
30,460800,train,2026-05-16 15:55:09,0.0,1.2559,60.0,0.0209,0.0
31,476160,train,2026-05-16 15:56:07,0.0,1.0826,60.0,0.018,0.0
