iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 22:09:07,0.0,9.9501,60.0,0.1658,0.0
1,15360,train,2026-05-16 22:09:35,0.0,0.074,60.0,0.0012,0.0
2,30720,train,2026-05-16 22:10:03,0.0,0.1241,60.0,0.0021,0.0
3,46080,train,2026-05-16 22:10:29,0.0,0.1762,60.0,0.0029,0.0
4,61440,train,2026-05-16 22:10:55,0.0,0.2463,60.0,0.0041,0.0
5,76800,train,2026-05-16 22:11:20,0.0,0.3799,60.0,0.0063,0.0
6,92160,train,2026-05-16 22:11:45,0.0,0.38,60.0,0.0063,0.0
7,107520,train,2026-05-16 22:12:10,0.0,0.5187,60.0,0.0086,0.0
8,122880,train,2026-05-16 22:12:34,0.0,0.5455,60.0,0.0091,0.0
9,138240,train,2026-05-16 22:12:59,0.0,0.6412,60.0,0.0107,0.0
10,153600,train,2026-05-16 22:13:24,0.0,0.6976,60.0,0.0116,0.0
11,168960,train,2026-05-16 22:13:48,0.0,0.9377,60.0,0.0156,0.0
12,184320,train,2026-05-16 22:14:12,0.0,1.1156,60.0,0.0186,0.0
13,199680,train,2026-05-16 22:14:37,0.0039,1.307,60.0,0.0218,0.0
14,215040,train,2026-05-16 22:15:01,0.0,1.1936,60.0,0.0199,0.0
15,230400,train,2026-05-16 22:15:26,0.0039,1.1992,60.0,0.02,0.0
16,245760,train,2026-05-16 22:15:50,0.0039,1.3784,60.0,0.023,0.0
17,261120,train,2026-05-16 22:16:14,0.0,1.4189,60.0,0.0236,0.0
18,276480,train,2026-05-16 22:16:38,0.0,1.3007,60.0,0.0217,0.0
19,291840,train,2026-05-16 22:17:03,0.0078,1.6941,60.0,0.0282,0.0
20,307200,train,2026-05-16 22:17:27,0.0039,1.3362,60.0,0.0223,0.0
21,322560,train,2026-05-16 22:17:51,0.0,1.4058,60.0,0.0234,0.0
22,337920,train,2026-05-16 22:18:15,0.0,1.5049,60.0,0.0251,0.0
23,353280,train,2026-05-16 22:18:39,0.0,1.4545,60.0,0.0242,0.0
24,368640,train,2026-05-16 22:19:03,0.0,1.5088,60.0,0.0251,0.0
25,384000,train,2026-05-16 22:19:27,0.0,1.5591,60.0,0.026,0.0
26,399360,train,2026-05-16 22:19:51,0.0,1.6694,60.0,0.0278,0.0
27,414720,train,2026-05-16 22:20:15,0.0,1.7573,60.0,0.0293,0.0
28,430080,train,2026-05-16 22:20:39,0.0,1.643,60.0,0.0274,0.0
29,445440,train,2026-05-16 22:21:03,0.0039,1.4847,60.0,0.0247,0.0
30,460800,train,2026-05-16 22:21:27,0.0,1.5352,60.0,0.0256,0.0
31,476160,train,2026-05-16 22:21:51,0.0,1.7535,60.0,0.0292,0.0
32,491520,train,2026-05-16 22:22:15,0.0,1.6593,60.0,0.0277,0.0
33,506880,train,2026-05-16 22:22:39,0.0039,1.7645,60.0,0.0294,0.0
34,522240,train,2026-05-16 22:23:03,0.0,1.6131,60.0,0.0269,0.0
35,537600,train,2026-05-16 22:23:27,0.0,1.52,60.0,0.0253,0.0
36,552960,train,2026-05-16 22:23:52,0.0039,1.7021,60.0,0.0284,0.0
37,568320,train,2026-05-16 22:24:16,0.0039,2.0756,60.0,0.0346,0.0
38,583680,train,2026-05-16 22:24:40,0.0078,1.6665,60.0,0.0278,0.0
39,599040,train,2026-05-16 22:25:04,0.0078,1.5691,60.0,0.0262,0.0
40,614400,train,2026-05-16 22:25:28,0.0039,1.4821,60.0,0.0247,0.0
41,629760,train,2026-05-16 22:25:52,0.0039,1.6317,60.0,0.0272,0.0
42,645120,train,2026-05-16 22:26:16,0.0,1.6151,60.0,0.0269,0.0
43,660480,train,2026-05-16 22:26:40,0.0039,1.4785,60.0,0.0246,0.0
44,675840,train,2026-05-16 22:27:04,0.0,1.7165,60.0,0.0286,0.0
45,691200,train,2026-05-16 22:27:28,0.0039,1.5975,60.0,0.0266,0.0
46,706560,train,2026-05-16 22:27:52,0.0,1.9095,60.0,0.0318,0.0
47,721920,train,2026-05-16 22:28:16,0.0039,1.4277,60.0,0.0238,0.0
48,737280,train,2026-05-16 22:28:40,0.0,1.5612,60.0,0.026,0.0
49,737280,eval,2026-05-16 22:30:17,0.2656,5.6835,60.0,0.0947,0.0573
49,752640,train,2026-05-16 22:30:41,0.0078,1.6722,60.0,0.0279,0.0
50,768000,train,2026-05-16 22:31:05,0.0039,1.8059,60.0,0.0301,0.0
51,783360,train,2026-05-16 22:31:29,0.0,1.5253,60.0,0.0254,0.0
52,798720,train,2026-05-16 22:31:53,0.0,1.6206,60.0,0.027,0.0
