iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-15 17:43:46,0.0,9.9005,60.0,0.165,0.0
1,15360,train,2026-05-15 17:44:25,0.0,0.0654,60.0,0.0011,0.0
2,30720,train,2026-05-15 17:45:06,0.0,0.1083,60.0,0.0018,0.0
3,46080,train,2026-05-15 17:45:46,0.0,0.1616,60.0,0.0027,0.0
4,61440,train,2026-05-15 17:46:25,0.0,0.2662,60.0,0.0044,0.0
5,76800,train,2026-05-15 17:47:05,0.0,0.3522,60.0,0.0059,0.0
6,92160,train,2026-05-15 17:47:45,0.0,0.3712,60.0,0.0062,0.0
7,107520,train,2026-05-15 17:48:24,0.0,0.4962,60.0,0.0083,0.0
8,122880,train,2026-05-15 17:49:04,0.0,0.4999,60.0,0.0083,0.0
9,138240,train,2026-05-15 17:49:44,0.0,0.8332,60.0,0.0139,0.0
10,153600,train,2026-05-15 17:50:24,0.0039,0.8446,60.0,0.0141,0.0039
11,168960,train,2026-05-15 17:51:04,0.0,1.0175,60.0,0.017,0.0
12,184320,train,2026-05-15 17:51:44,0.0078,1.1512,60.0,0.0192,0.0
13,199680,train,2026-05-15 17:52:24,0.0,0.9535,60.0,0.0159,0.0
14,215040,train,2026-05-15 17:53:04,0.0,1.1553,60.0,0.0193,0.0
15,230400,train,2026-05-15 17:53:45,0.0,1.198,60.0,0.02,0.0
16,245760,train,2026-05-15 17:54:25,0.0039,1.2937,60.0,0.0216,0.0
17,261120,train,2026-05-15 17:55:05,0.0,1.1862,60.0,0.0198,0.0
18,276480,train,2026-05-15 17:55:45,0.0,1.5821,60.0,0.0264,0.0
19,291840,train,2026-05-15 17:56:25,0.0039,1.2461,60.0,0.0208,0.0
20,307200,train,2026-05-15 17:57:05,0.0,1.3873,60.0,0.0231,0.0
21,322560,train,2026-05-15 17:57:45,0.0,1.506,60.0,0.0251,0.0
22,337920,train,2026-05-15 17:58:26,0.0,1.3815,60.0,0.023,0.0
23,353280,train,2026-05-15 17:59:06,0.0039,1.367,60.0,0.0228,0.0
24,368640,train,2026-05-15 17:59:46,0.0,1.5797,60.0,0.0263,0.0
25,384000,train,2026-05-15 18:00:26,0.0,1.5895,60.0,0.0265,0.0
26,399360,train,2026-05-15 18:01:06,0.0,1.6257,60.0,0.0271,0.0
27,414720,train,2026-05-15 18:01:47,0.0039,1.3647,60.0,0.0227,0.0
28,430080,train,2026-05-15 18:02:27,0.0039,1.6889,60.0,0.0281,0.0
29,445440,train,2026-05-15 18:03:07,0.0,1.5618,60.0,0.026,0.0
30,460800,train,2026-05-15 18:03:47,0.0,1.5822,60.0,0.0264,0.0
31,476160,train,2026-05-15 18:04:27,0.0039,1.6096,60.0,0.0268,0.0
32,491520,train,2026-05-15 18:05:08,0.0,1.5659,60.0,0.0261,0.0
33,506880,train,2026-05-15 18:05:48,0.0,1.5162,60.0,0.0253,0.0
34,522240,train,2026-05-15 18:06:28,0.0,1.5008,60.0,0.025,0.0
35,537600,train,2026-05-15 18:07:09,0.0,1.5471,60.0,0.0258,0.0
36,552960,train,2026-05-15 18:07:49,0.0039,1.7722,60.0,0.0295,0.0039
37,568320,train,2026-05-15 18:08:29,0.0,1.6583,60.0,0.0276,0.0
38,583680,train,2026-05-15 18:09:09,0.0078,1.5321,60.0,0.0255,0.0
39,599040,train,2026-05-15 18:09:50,0.0078,1.5278,60.0,0.0255,0.0
40,614400,train,2026-05-15 18:10:30,0.0,1.4488,60.0,0.0241,0.0
41,629760,train,2026-05-15 18:11:10,0.0039,1.5503,60.0,0.0258,0.0
42,645120,train,2026-05-15 18:11:50,0.0039,1.3947,60.0,0.0232,0.0
43,660480,train,2026-05-15 18:12:31,0.0,1.5881,60.0,0.0265,0.0
44,675840,train,2026-05-15 18:13:11,0.0,1.5438,60.0,0.0257,0.0
45,691200,train,2026-05-15 18:13:51,0.0,1.5243,60.0,0.0254,0.0
46,706560,train,2026-05-15 18:14:31,0.0,1.3631,60.0,0.0227,0.0
47,721920,train,2026-05-15 18:15:11,0.0039,1.3444,60.0,0.0224,0.0
48,737280,train,2026-05-15 18:15:52,0.0,1.5153,60.0,0.0253,0.0
49,737280,eval,2026-05-15 18:17:40,0.1875,7.4027,60.0,0.1234,0.0156
49,752640,train,2026-05-15 18:18:20,0.0,1.231,60.0,0.0205,0.0
50,768000,train,2026-05-15 18:19:00,0.0039,1.6594,60.0,0.0277,0.0
51,783360,train,2026-05-15 18:19:40,0.0039,1.6015,60.0,0.0267,0.0
52,798720,train,2026-05-15 18:20:20,0.0,1.7335,60.0,0.0289,0.0
53,814080,train,2026-05-15 18:21:00,0.0,1.9499,60.0,0.0325,0.0
54,829440,train,2026-05-15 18:21:41,0.0,1.7664,60.0,0.0294,0.0
55,844800,train,2026-05-15 18:22:21,0.0039,1.63,60.0,0.0272,0.0
56,860160,train,2026-05-15 18:23:01,0.0,1.778,60.0,0.0296,0.0
57,875520,train,2026-05-15 18:23:41,0.0,1.7975,60.0,0.03,0.0
58,890880,train,2026-05-15 18:24:22,0.0039,1.8405,60.0,0.0307,0.0
59,906240,train,2026-05-15 18:25:02,0.0,1.5361,60.0,0.0256,0.0
60,921600,train,2026-05-15 18:25:42,0.0,1.6958,60.0,0.0283,0.0
61,936960,train,2026-05-15 18:26:23,0.0,1.8642,60.0,0.0311,0.0
62,952320,train,2026-05-15 18:27:03,0.0,1.7449,60.0,0.0291,0.0
63,967680,train,2026-05-15 18:27:43,0.0117,1.9243,60.0,0.0321,0.0
64,983040,train,2026-05-15 18:28:24,0.0039,1.8731,60.0,0.0312,0.0
65,998400,train,2026-05-15 18:29:04,0.0,1.7448,60.0,0.0291,0.0
66,1013760,train,2026-05-15 18:29:44,0.0078,1.9266,60.0,0.0321,0.0
