iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-07 19:30:12,0.0,9.9558,60.0,0.1659,0.0
1,15360,train,2026-05-07 19:30:40,0.0,0.0786,60.0,0.0013,0.0
2,30720,train,2026-05-07 19:31:09,0.0,0.0837,60.0,0.0014,0.0
3,46080,train,2026-05-07 19:31:37,0.0,0.1486,60.0,0.0025,0.0
4,61440,train,2026-05-07 19:32:04,0.0,0.1921,60.0,0.0032,0.0
5,76800,train,2026-05-07 19:32:30,0.0,0.3637,60.0,0.0061,0.0
6,92160,train,2026-05-07 19:32:54,0.0,0.443,60.0,0.0074,0.0
7,107520,train,2026-05-07 19:33:19,0.0,0.6898,60.0,0.0115,0.0
8,122880,train,2026-05-07 19:33:43,0.0,0.8692,60.0,0.0145,0.0
9,138240,train,2026-05-07 19:34:08,0.0,0.8368,60.0,0.0139,0.0
10,153600,train,2026-05-07 19:34:33,0.0,0.8793,60.0,0.0147,0.0
11,168960,train,2026-05-07 19:34:57,0.0039,0.9228,60.0,0.0154,0.0
12,184320,train,2026-05-07 19:35:22,0.0,0.9747,60.0,0.0162,0.0
13,199680,train,2026-05-07 19:35:46,0.0039,0.9935,60.0,0.0166,0.0
14,215040,train,2026-05-07 19:36:11,0.0039,1.2902,60.0,0.0215,0.0
15,230400,train,2026-05-07 19:36:35,0.0,1.1539,60.0,0.0192,0.0
16,245760,train,2026-05-07 19:37:00,0.0039,1.4036,60.0,0.0234,0.0
17,261120,train,2026-05-07 19:37:24,0.0,1.2151,60.0,0.0203,0.0
18,276480,train,2026-05-07 19:37:48,0.0039,1.3758,60.0,0.0229,0.0
19,291840,train,2026-05-07 19:38:13,0.0,1.4771,60.0,0.0246,0.0
20,307200,train,2026-05-07 19:38:37,0.0039,1.4743,60.0,0.0246,0.0
21,322560,train,2026-05-07 19:39:02,0.0,1.377,60.0,0.023,0.0
22,337920,train,2026-05-07 19:39:26,0.0,1.4475,60.0,0.0241,0.0
23,353280,train,2026-05-07 19:39:50,0.0,1.3342,60.0,0.0222,0.0
24,368640,train,2026-05-07 19:40:14,0.0,1.4378,60.0,0.024,0.0
25,384000,train,2026-05-07 19:40:38,0.0,1.4751,60.0,0.0246,0.0
26,399360,train,2026-05-07 19:41:03,0.0039,1.704,60.0,0.0284,0.0
27,414720,train,2026-05-07 19:41:27,0.0,1.5847,60.0,0.0264,0.0
28,430080,train,2026-05-07 19:41:51,0.0,1.6974,60.0,0.0283,0.0
29,445440,train,2026-05-07 19:42:16,0.0,1.5353,60.0,0.0256,0.0
30,460800,train,2026-05-07 19:42:40,0.0,1.3684,60.0,0.0228,0.0
31,476160,train,2026-05-07 19:43:04,0.0,1.5106,60.0,0.0252,0.0
32,491520,train,2026-05-07 19:43:29,0.0,1.5442,60.0,0.0257,0.0
33,506880,train,2026-05-07 19:43:53,0.0039,1.5701,60.0,0.0262,0.0
34,522240,train,2026-05-07 19:44:17,0.0039,1.3938,60.0,0.0232,0.0
35,537600,train,2026-05-07 19:44:41,0.0,1.6503,60.0,0.0275,0.0
36,552960,train,2026-05-07 19:45:05,0.0039,1.4889,60.0,0.0248,0.0
37,568320,train,2026-05-07 19:45:29,0.0,1.7166,60.0,0.0286,0.0
38,583680,train,2026-05-07 19:45:53,0.0,1.7455,60.0,0.0291,0.0
39,599040,train,2026-05-07 19:46:17,0.0039,1.4793,60.0,0.0247,0.0
40,614400,train,2026-05-07 19:46:42,0.0,1.5622,60.0,0.026,0.0
41,629760,train,2026-05-07 19:47:06,0.0,1.5604,60.0,0.026,0.0
42,645120,train,2026-05-07 19:47:30,0.0,1.5351,60.0,0.0256,0.0
43,660480,train,2026-05-07 19:47:54,0.0,1.5799,60.0,0.0263,0.0
44,675840,train,2026-05-07 19:48:18,0.0,1.5395,60.0,0.0257,0.0
45,691200,train,2026-05-07 19:48:42,0.0039,1.5862,60.0,0.0264,0.0039
46,706560,train,2026-05-07 19:49:06,0.0,1.6449,60.0,0.0274,0.0
47,721920,train,2026-05-07 19:49:30,0.0,1.5249,60.0,0.0254,0.0
48,737280,train,2026-05-07 19:49:54,0.0,1.497,60.0,0.025,0.0
49,737280,eval,2026-05-07 19:51:27,0.1354,4.318,60.0,0.072,0.0833
49,752640,train,2026-05-07 19:51:51,0.0,1.6106,60.0,0.0268,0.0
50,768000,train,2026-05-07 19:52:14,0.0,1.257,60.0,0.021,0.0
51,783360,train,2026-05-07 19:52:38,0.0,1.5825,60.0,0.0264,0.0
52,798720,train,2026-05-07 19:53:02,0.0039,1.7278,60.0,0.0288,0.0
53,814080,train,2026-05-07 19:53:26,0.0,1.3572,60.0,0.0226,0.0
54,829440,train,2026-05-07 19:53:50,0.0,1.3435,60.0,0.0224,0.0
55,844800,train,2026-05-07 19:54:14,0.0,1.4587,60.0,0.0243,0.0
56,860160,train,2026-05-07 19:54:38,0.0039,1.5664,60.0,0.0261,0.0
